"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-03-12 06:",3509,1,6.7,0,1.9,78,0,0,60,44.89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,463.577,194.0212,506.9915,1216.8188,1486.8428,1042.1015,960.0123,629.299,513.222,489.6756,501.7482,381.4385,276.3186,517.0725,231.4202,113.3833,422.2874,1654.938,1374.4213,950.9245,811.2262,547.9433,500.7966,488.03,534.8546,471.0855,317.6906,854.6611,9497.2854,156,0,6377,6099,3463,3502,3540,3266
"2022-06-17 21:",573,2,23.8,0,2.8,78,0,9,32,566.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,365.5591,121.853,324.7507,678.4764,877.4211,830.0441,767.0675,586.7067,615.9062,510.8792,534.5118,424.4922,249.818,524.9995,515.147,184.1862,359.619,932.7321,1080.398,878.9944,775.2695,642.5232,509.234,549.963,650.0687,497.2141,366.6421,819.2178,6820.4031,362,1843,6377,6099,3463,3502,3540,3266
"2022-09-25 18:",546,7,23.2,0,1.9,46,0,2,32,538.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,545.7217,332.816,618.3725,939.3621,1135.5236,1104.7981,1106.855,850.1251,945.2984,815.7477,887.954,710.1938,484.16,828.6888,471.518,272.7414,573.4007,1136.2419,1301.8049,1038.7405,1091.4318,930.0026,859.711,797.8255,1063.4335,820.553,597.3379,1370.7011,8854.7579,244,0,6377,6099,3463,3502,3540,3266
"2022-08-15 09:",3880,0,28.1,0,4.6,83,0,10,17,789.61,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728.3446,402.6428,606.0176,656.3127,725.109,692.6518,830.6835,856.5263,862.0513,711.2023,829.1708,580.3089,397.8161,959.7733,802.6339,465.9591,766.6994,740.1618,839.0493,822.982,933.2849,998.1052,1058.2561,903.4922,909.8262,817.5572,617.9958,1593.2719,6240.235,282,552,6377,6099,3463,3502,3540,3266
"2022-11-04 01:",553,0,5,0,2.8,49,0,6,8,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530.7584,262.4528,274.689,455.0057,627.4432,683.2896,750.684,596.7227,626.8782,534.576,642.1038,490.7055,315.5027,709.9789,464.2202,225.2701,285.6555,580.8572,685.9299,751.651,728.8502,557.1831,679.2599,665.4548,802.2945,564.5619,484.6548,1126.063,5263.7108,9,0,6377,6099,3463,3502,3540,3266
"2022-05-12 00:",3853,1,16.6,0,1.3,64,0,9,24,275.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.5536,140.5178,224.219,578.6665,729.8959,788.7545,682.9445,543.6921,511.1889,418.1614,400.9579,291.3023,202.47,431.5976,371.6357,132.8752,306.4333,732.3223,1018.3169,918.3144,752.9576,519.9238,426.5585,397.9155,490.4335,357.7626,300.837,793.7641,6202.1726,160,1,6377,6099,3463,3502,3540,3266
"2022-10-03 23:",3529,0,22.8,10.5,4.2,99,0,10,10,519.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,393.1049,131.0351,188.9396,576.7745,796.1166,797.107,747.643,488.6102,474.3962,425.0056,427.3055,270.1477,190.7319,384.7807,348.1716,124.4858,318.6778,823.3084,1005.8902,951.883,753.2294,496.4135,397.9719,381.7457,438.5907,340.0881,300.6124,707.4575,6451.9521,108,368,6377,6099,3463,3502,3540,3266
"2022-07-03 06:",3586,1,24.5,0,0.9,85,0,3,35,600.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,394.2817,165.0192,411.8573,1199.9224,1379.6022,1032.0692,947.5077,646.3676,561.9086,545.1521,585.3729,394.3351,294.8146,523.8838,289.5191,141.8488,338.8427,1619.1868,1333.7731,921.8835,767.0586,616.1209,519.6319,478.6651,487.6686,456.899,388.2316,850.1745,9201.0035,113,0,6377,6099,3463,3502,3540,3266
"2022-09-09 17:",3509,9,29.9,0,2.2,32,0,7,23,894.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,571.6013,239.2327,354.8619,869.8124,964.3048,801.9797,807.254,687.0162,655.5787,560.7338,644.7975,392.6763,325.9453,545.266,422.077,206.7948,309.2468,1052.9303,906.8693,658.6381,683.6105,644.8647,652.7581,491.7737,514.4909,456.3213,372.7585,972.3714,6745.3991,360,0,6377,6099,3463,3502,3540,3266
"2022-11-11 01:",3506,0,11.8,0,2.2,82,0,5,59,139.24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.1145,186.3536,392.959,1109.0037,1086.6183,807.6102,1044.2077,875.7365,911.0104,970.0609,1073.2431,742.3253,531.3825,878.4623,496.8098,242.9503,456.7829,1602.1046,1316.3181,1052.5962,1011.4035,931.7244,791.3649,938.4064,979.9366,867.0583,549.6489,1437.8465,9029.8623,44,0,6377,6099,3463,3502,3540,3266
