"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-04-02 22:",3880,0,6.8,0,1.8,60,0,2,11,46.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,689.858,381.3669,655.0359,593.2062,653.5149,737.7547,827.8405,820.9822,933.0724,786.7832,864.6536,603.5804,466.3232,930.8436,873.2698,506.9669,658.8697,768.7926,832.2435,858.2329,835.8652,1019.0102,1160.5256,888.5362,954.7181,855.6566,650.6708,1517.0822,6107.4505,183,511,6377,6099,3463,3502,3540,3266
"2022-12-17 12:",3880,1,-3.6,0,3.8,37,1.9,1,21,12.96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,657.8253,363.6583,517.7376,520.7116,653.5684,644.7275,791.9272,740.7094,889.1456,653.929,674.8523,609.2492,386.2333,869.7918,713.5024,414.2151,683.2349,661.0356,843.7408,720.0744,775.0046,821.452,984.6499,686.0499,798.5733,706.9585,599.9156,1349.9489,5610.7901,491,948,6377,6099,3463,3502,3540,3266
"2022-07-12 03:",3880,0,23.7,0,2.9,81,0,7,8,561.69,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.7789,415.0445,681.8148,637.1029,777.1052,804.2655,931.7324,985.7712,1004.9059,796.2006,951.8444,667.274,484.6021,987.797,906.836,526.4529,858.4537,817.8558,1009.2261,918.4583,1041.4059,1061.8389,1184.3982,923.4702,1022.5641,925.9418,658.568,1454.7614,6937.1521,3,0,6377,6099,3463,3502,3540,3266
"2022-05-01 11:",3880,2,17.2,0,4,29,0,0,76,295.84,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,770.5356,425.9664,619.5097,582.3159,702.7775,790.0647,865.3671,935.3338,907.6044,700.5463,810.191,660.8023,451.7599,944.1649,697.4327,404.886,646.9014,777.5794,916.6178,867.3174,918.0788,917.9824,908.757,860.3402,923.7884,797.1051,631.0986,1506.197,6420.1186,365,698,6377,6099,3463,3502,3540,3266
"2022-12-12 20:",3880,0,3,0,0.7,91,0,6,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,654.7814,361.9759,557.4641,555.1739,706.1689,633.3048,724.7711,771.1806,843.9797,661.2178,860.7294,699.1062,448.3965,916.5828,824.3333,478.5569,674.06,660.6799,842.7867,706.5863,832.8314,962.01,1008.3384,878.9486,923.4105,860.005,649.3906,1366.5272,5662.303,244,347,6377,6099,3463,3502,3540,3266
"2022-10-03 10:",3880,0,20.1,2.6,0.8,99,0,10,12,404.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770.3738,425.8773,672.8803,609.8362,720.6313,761.2741,851.8497,905.9377,852.5123,712.6927,845.5519,568.6858,392.7665,876.6346,974.1291,565.5191,703.1267,767.1463,894.7337,765.2496,1007.4883,1030.0883,995.3797,841.8751,862.9202,820.545,564.0645,1348.2681,6378.2092,234,508,6377,6099,3463,3502,3540,3266
"2022-12-13 00:",3880,0,2.8,0,2.6,90,0,8,22,7.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732.4197,404.8954,637.046,623.0752,779.1222,762.0352,870.1882,912.0968,962.6733,708.7889,958.7973,744.3745,445.5669,953.2168,860.4903,499.5474,804.5869,764.7054,1014.2447,891.9347,990.2041,1063.102,1165.2194,947.954,1026.68,923.6085,665.1639,1450.7931,6695.5097,23,1,6377,6099,3463,3502,3540,3266
"2022-10-25 01:",3880,0,7.2,0,2.2,61,0,1,17,51.84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.6648,407.7955,700.0622,592.0793,748.2391,760.6142,892.8277,952.1104,971.8908,797.6865,917.5801,697.3293,447.6255,977.2439,827.6962,480.5093,719.6877,739.2268,997.4464,904.2727,1004.8918,1054.0086,1167.4099,950.9354,1016.3326,946.9928,671.6562,1545.5575,6639.598,12,0,6377,6099,3463,3502,3540,3266
"2022-08-20 00:",3880,0,26.8,0.2,2.8,95,0,10,32,718.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,732.5665,404.9768,666.4922,727.532,726.6964,771.8714,850.1203,945.5014,915.5619,760.7194,920.5948,667.3032,470.714,915.2431,854.6389,496.1502,782.3219,804.5759,933.3907,885.8954,960.6972,1066.2663,1113.0815,961.9937,955.6936,923.7348,660.1567,1496.3338,6660.7793,28,0,6377,6099,3463,3502,3540,3266
"2022-08-03 03:",3880,0,25.5,1.6,3.4,96,0,10,10,650.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719.0902,397.5262,669.404,687.4023,755.4821,806.6509,879.931,908.9317,946.8155,787.2999,880.6308,635.3121,481.3709,959.0939,874.8108,507.861,744.4516,838.3892,1065.9881,913.7472,969.5738,1036.4891,1141.6899,963.9856,998.922,922.1123,621.2998,1508.0036,6917.1646,3,0,6377,6099,3463,3502,3540,3266
