"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-10-21 15:",543,5,20.5,0,2.6,39,0,2,48,420.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1150.2023,625.5859,1069.319,1227.9618,1002.4539,1197.29,1414.0961,1273.5835,1468.6196,1346.0261,1054.4065,820.5223,550.7813,1201.0989,1321.7299,690.8512,1048.7335,1068.9567,1228.2321,1180.2584,1484.2957,1343.8597,1509.8892,1291.2011,1151.0995,1092.2267,802.1998,1672.5544,9803.5447,400,1695,6377,6099,3463,3502,3540,3266
"2022-05-28 05:",543,1,15.5,0,0.7,78,0,8,23,240.25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1070.4174,582.1913,908.3161,801.8679,920.1184,925.994,1126.6089,1090.2268,1292.0284,1245.9611,1126.7406,787.8338,620.5916,990.6085,1339.2477,700.0079,1012.1088,870.494,1097.1153,1073.6188,1133.3462,1135.3242,1535.5651,1255.9288,1131.9617,1033.2362,659.4349,1421.398,7949.1635,25,208,6377,6099,3463,3502,3540,3266
"2022-11-30 02:",543,0,-3.2,0,5.4,52,0,9,9,10.24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107.5149,602.3688,870.1762,611.5647,907.8659,958.0545,1192.4666,1017.8613,1257.0741,1191.3394,1094.7485,764.5152,610.387,1066.256,1213.5648,634.3148,1117.05,822.8511,1154.2995,1099.629,1252.8142,1129.5292,1593.0908,1180.3418,1112.1629,1038.1819,698.3401,1593.7662,7999.5455,0,0,6377,6099,3463,3502,3540,3266
"2022-12-17 17:",543,1,-5.7,0,3.9,42,1.5,1,25,32.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1473.2572,801.2926,1282.048,1116.7307,1523.1047,1431.107,1671.3136,1444.8873,1549.5729,1450.5872,1327.8411,1010.1997,681.1359,1188.6866,1638.4074,856.3748,1265.8132,1238.9352,1351.8252,1335.0912,1588.9261,1413.3304,1594.4047,1464.6976,1475.6169,1246.0318,845.642,1680.8102,11257.0337,522,2903,6377,6099,3463,3502,3540,3266
"2022-02-11 16:",543,2,8.3,0,2.5,37,0,0,95,68.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1353.6806,736.256,1244.4024,1028.0492,1105.708,1168.4782,1477.5496,1437.1261,1405.3286,1259.6621,1050.2116,834.142,569.5551,1100.1194,1805.8745,943.9074,1195.6429,1191.0449,1236.0185,1224.564,1428.4079,1310.0206,1588.7133,1236.3242,1204.1418,1142.379,763.0706,1694.758,9859.8203,405,1666,6377,6099,3463,3502,3540,3266
"2022-09-06 04:",543,0,17.3,2.3,7,98,0,10,4,299.29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976.9757,531.3692,822.8605,663.5006,865.6201,841.0539,1014.1166,993.1375,1164.4202,1152.8143,1109.7884,787.9496,543.2034,979.1428,1130.6471,590.9749,826.5526,816.6562,1093.2544,995.8491,1098.0255,1097.5043,1377.6843,1144.5742,1098.5181,1004.3489,662.5854,1520.4342,7388.0764,7,1,6377,6099,3463,3502,3540,3266
"2022-06-07 00:",543,1,16.7,0,3.3,62,0,8,12,278.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045.1267,568.4362,975.0626,809.4422,986.5084,958.2744,1185.7632,1097.0287,1358.9772,1299.967,1099.4788,854.5348,661.0831,1068.4562,1486.5311,776.991,1105.6189,1019.4606,1178.3265,1131.7185,1219.0155,1186.9006,1656.4962,1291.9773,1218.5937,1145.5013,694.3281,1831.8021,8488.5093,16,29,6377,6099,3463,3502,3540,3266
"2022-11-01 02:",543,0,12.3,0,1.7,90,0,8,35,151.29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061.8645,577.5394,871.6652,683.55,885.0673,956.4783,1198.0723,987.3061,1278.4984,1183.8986,1074.0655,755.9196,562.0979,1068.4989,1188.9445,621.4461,1042.7617,820.1836,1097.1544,1052.5952,1274.5105,1112.8187,1560.011,1205.5675,1095.7975,1028.2888,713.2088,1516.676,7967.6116,0,0,6377,6099,3463,3502,3540,3266
"2022-04-04 20:",543,1,10.2,0,2.3,39,0,0,33,104.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1213.254,659.8795,1018.5604,887.5647,1061.598,1027.6211,1198.8262,1193.0343,1302.8601,1253.6414,1021.8844,836.8234,616.3389,1066.5029,1619.8385,846.6688,1133.1454,1014.5297,1254.1533,1184.5661,1184.2538,1315.5768,1594.5652,1307.897,1234.8672,1036.4575,719.6237,1509.4591,8813.1129,381,757,6377,6099,3463,3502,3540,3266
"2022-01-15 12:",543,1,0.4,0,2.3,41,0,9,50,0.16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1219.8449,663.4639,1118.16,1057.2689,1303.1128,1275.0656,1490.1176,1336.5863,1401.5745,1330.5671,1188.9571,899.2651,589.1129,1187.7126,1577.3421,824.4565,1182.978,1162.8043,1344.7694,1266.2026,1377.0382,1273.8501,1543.7753,1302.3573,1359.1259,1090.7549,661.7107,1442.5838,10276.3794,273,2180,6377,6099,3463,3502,3540,3266
