"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-10-09 08:",3529,2,14,0,2,71,0,10,7,196,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,464.0173,154.6721,204.2566,656.3922,753.0753,714.4216,722.9031,521.9503,485.2322,435.3041,421.3572,297.6923,207.6381,516.726,361.6997,129.3228,288.9521,779.9607,895.991,857.4111,675.8361,513.6674,466.1339,420.36,470.6816,367.7989,351.4726,713.1677,6055.9911,161,976,6377,6099,3463,3502,3540,3266
"2022-03-17 20:",3571,1,10.5,0,4.1,70,0,10,34,110.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,453.574,209.3412,2130.2505,4881.8341,4087.0888,2160.4782,1690.8777,1180.9315,1197.6931,954.5219,886.4117,638.2121,486.7988,903.4101,444.1303,206.2528,2326.2262,6845.324,4252.6441,2257.1461,1453.6241,978.2037,998.7361,917.1062,840.446,691.016,620.8076,1362.6062,27629.0171,544,2355,6377,6099,3463,3502,3540,3266
"2022-08-06 03:",3507,0,27.8,0,0.6,86,0,6,21,772.84,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,430.3955,143.4652,168.6241,513.0088,740.5509,698.8177,688.2126,479.388,442.8986,383.0056,368.4685,293.8545,188.4434,427.6179,277.4601,99.2035,278.2654,691.5262,909.7452,793.1389,658.2312,505.7269,428.5153,395.3715,438.4283,322.3201,306.4176,696.7583,5693.2315,11,0,6377,6099,3463,3502,3540,3266
"2022-11-21 08:",502,28,9.5,0,1.5,77,0,2,26,90.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091.8271,563.599,866.8396,686.413,694.2677,570.2567,785.1426,690.3346,814.4249,615.9334,610.3138,467.5305,449.4768,805.7537,971.056,516.1541,677.5501,755.2913,798.0023,815.4013,992.0293,906.0452,789.3322,803.7192,1012.5186,736.8714,580.2177,1267.561,6096.8042,646,0,6377,6099,3463,3502,3540,3266
"2022-08-29 16:",540,5,21.8,0,3.4,75,0,10,17,475.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,461.9011,193.3198,358.4539,1191.3088,1265.1721,977.271,955.6712,696.3617,876.6813,692.5194,693.9764,464.2872,345.1472,649.4135,458.9344,224.8533,363.823,1528.3396,1152.4742,855.2491,834.6107,616.8234,679.1579,624.8032,643.6995,503.0179,410.2672,1029.3371,8760.0967,471,0,6377,6099,3463,3502,3540,3266
"2022-08-05 19:",573,4,30.4,0,2.8,67,0,5,20,924.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,403.3754,134.4583,232.5037,596.3684,766.536,768.4575,713.0957,572.0313,580.2939,501.9094,441.1296,336.7332,253.3053,489.43,382.1388,136.6303,354.2049,753.7518,898.9888,780.5224,729.8798,582.8409,548.453,554.4126,534.1032,462.3475,357.5608,843.0634,6007.6004,465,2062,6377,6099,3463,3502,3540,3266
"2022-07-11 15:",3524,0,29.8,0,2.3,67,0,9,47,888.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,338.781,141.7904,337.9271,1257.3336,1381.0116,980.8692,904.716,763.9203,864.2481,765.8513,647.9915,483.5944,308.2894,654.9673,342.0258,167.5743,335.9598,1498.1961,1159.7669,887.3364,867.6488,689.878,739.4183,568.7043,580.8334,549.9119,473.4886,1022.6326,8936.8786,505,0,6377,6099,3463,3502,3540,3266
"2022-08-16 11:",3507,0,27.3,0,2.5,70,0,4,37,745.29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,496.7576,165.5861,241.3192,616.5022,705.8682,646.3561,671.0952,577.18,589.12,503.1526,501.8222,354.7554,281.2643,539.4638,722.44,258.302,771.7639,728.1149,847.9093,699.2273,819.6646,582.3188,602.5509,485.7098,553.8071,527.7504,393.0456,787.0974,5734.7378,262,1344,6377,6099,3463,3502,3540,3266
"2022-01-17 09:",516,1,-7.9,0,1.5,57,0,0,13,62.41,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.1514,162.872,376.8309,1112.6773,1299.4136,943.0604,945.2903,680.0887,827.4044,673.044,576.5793,406.4372,339.867,656.3828,312.3824,153.0506,421.6865,1596.941,1153.1038,833.0036,827.46,694.3619,611.6575,582.3598,612.618,524.475,394.3565,1010.2441,8710.95,597,0,6377,6099,3463,3502,3540,3266
"2022-07-28 02:",3878,0,26.6,0,2.4,71,0,1,14,707.56,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580.9987,1336.5334,1848.2037,1017.0492,826.5081,769.7552,1008.4706,1501.1616,1843.5018,1623.1185,1306.8494,823.5072,634.0868,1227.6976,1880.4027,1575.1271,1822.3205,1166.4643,1001.7799,896.0908,1460.0555,1891.7169,2271.655,1600.2082,1444.3935,893.9088,719.5538,1526.6519,8146.1736,7,0,6377,6099,3463,3502,3540,3266
"2022-05-05 04:",3508,0,13.7,0,0.6,46,0,0,28,187.69,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.399,190.7994,1067.6367,4253.1189,3867.3649,1981.4992,1386.6528,898.3625,1003.9331,827.7574,791.9459,516.0227,415.4199,820.743,394.7046,183.2993,1436.9221,6284.311,3889.1271,1891.2457,1375.5142,785.886,759.3965,821.311,689.86,627.4141,553.9398,1173.0112,24928.8338,53,27,6377,6099,3463,3502,3540,3266
"2022-12-03 22:",3864,3,1.8,0,3.4,73,0,8,50,3.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,726.1172,338.16,638.9813,1015.6998,1496.7761,1365.6293,1339.5958,1106.3381,1127.7942,933.7099,836.217,692.4149,473.1838,881.2268,654.2414,348.4676,585.6699,1281.1734,1563.416,1426.0575,1368.5308,1070.38,1139.4569,1071.0515,1077.5049,829.1541,601.4237,1451.3613,10856.8787,281,479,6377,6099,3463,3502,3540,3266
