"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m5","m20","m25","m30","m35","m40","m45","m50","m55","m65","f0","f10","f15","f20","f25","f35","f40","f50","f65","f70","sub_passenger"
0,1.9,0,1.7,35,0,0,3.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,768.3739,1533.5207,3021.9892,3308.7379,1904.7691,1631.5211,1074.65,1075.261,856.697,810.2722,425.5368,892.3827,414.4201,1725.9705,4504.0262,3165.0785,1318.7469,897.7426,775.275,560.3337,1237.8167,1831
0,1.8,0,1.4,37,0,0,3.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,677.759,1951.9843,3481.3525,3627.6926,1972.7596,1616.5206,1034.5832,1026.4613,898.046,856.0725,440.202,828.4641,384.7362,2255.1883,4648.2518,3286.5011,1368.0086,879.5719,816.4424,581.6992,1292.1359,2177
2,0.5,0,1.5,38,0,0,0.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625.3572,2263.3812,4061.439,3857.673,2021.4605,1588.2836,1078.4719,995.6357,881.8446,888.3974,443.0869,777.9175,361.2626,2646.9193,5060.285,3510.5175,1263.0188,879.2243,786.7407,566.1505,1277.7392,2172
0,-0.9,0,0.7,42,0,1,0.81,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,714.8656,2380.0975,4256.555,4122.9342,2106.8455,1541.2446,1063.4898,1068.9945,832.9198,851.4151,453.6725,673.987,312.9978,2808.1361,5475.9384,3621.7632,1294.8336,894.2637,784.0434,534.6887,1281.4106,1919
3,-1.2,0,0.9,45,0,7,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,600.0606,2302.7393,4307.0667,4168.2017,2142.992,1517.6744,1055.6617,1070.2002,881.6793,842.4864,444.6465,584.2799,271.3378,2620.2517,5433.5806,3618.2199,1328.7882,853.9846,784.2678,559.3522,1222.8802,1822
1,-1.6,0,0.9,47,0,4,2.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,480.8395,1990.2825,3809.3629,3987.5885,2022.8202,1425.254,971.6193,1046.1585,838.2168,864.8032,438.4032,505.39,234.7017,2174.8429,5054.2346,3458.2767,1213.1176,840.3534,756.7894,562.3245,1215.1594,3216
1,-2.4,0,2.1,49,0,3,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,554.185,1010.5843,2966.0381,3306.7813,1845.7715,1368.3173,890.7127,1025.4351,816.4539,802.2568,424.2162,380.3577,176.6365,1027.2487,4384.5668,3166.2979,1187.2465,796.9554,779.8195,561.7106,1241.576,4686
0,-2.5,0,1,49,0,6,6.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,514.7113,665.6039,2697.6954,3215.2554,1777.7479,1298.3517,862.1241,974.7318,801.8453,810.0397,442.2193,388.5686,180.4501,752.5396,4242.8454,3115.3854,1215.4682,782.2246,794.7583,524.8618,1222.1237,1294
1,-2.6,0,0.9,52,0,8,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,461.283,515.973,2496.8181,3131.7732,1621.3565,1229.9252,818.7908,895.2271,730.9854,759.3371,404.4098,300.0897,139.3609,637.14,4208.4572,3002.7874,1097.3711,646.9265,672.8306,501.4084,1108.3629,312
0,-2.8,0,2.3,55,0,7,7.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.8054,527.3301,2528.0976,3054.5089,1649.3404,1254.9868,791.2885,906.0489,725.6719,728.0094,416.2185,330.7562,153.6023,598.9934,4230.2852,2960.1867,1067.6567,643.7032,677.3715,493.9842,1148.3885,2
0,-2.9,0,2.1,57,0,8,8.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.4803,506.7215,2550.0382,3069.2582,1676.1082,1252.7303,827.1632,886.2969,745.1448,726.0669,398.5573,341.9429,158.7973,607.0678,4255.3486,2997.0907,1080.3975,685.7243,682.0035,510.7964,1135.7623,0
0,-2.6,0,1.9,57,0,8,6.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.5551,524.8589,2538.5105,3066.2662,1675.8869,1256.0014,817.9012,875.2236,744.1317,726.8703,406.412,344.1256,159.8109,588.4983,4273.9491,3008.6295,1060.8378,660.4695,689.4129,484.6168,1126.2161,0
0,-2.1,0,2.5,56,0,9,4.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.0988,526.9761,2514.5834,3082.9688,1698.6529,1213.0688,803.6301,904.0857,750.5879,716.3295,417.9578,355.3955,165.0447,605.8067,4276.3212,3002.3673,1080.4464,659.0926,697.1884,487.8129,1136.0043,0
0,-1.9,0,2,55,0,8,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.6023,544.9547,2554.3603,3061.9827,1704.6129,1205.585,796.9997,899.1318,728.445,714.0956,414.0992,338.3259,157.1177,637.0526,4266.5884,2968.2033,1103.7989,660.6537,679.593,482.6152,1123.3199,5
0,-1.9,0,2.3,56,0,9,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.9007,548.4396,2545.7365,3049.3064,1695.6564,1224.7163,821.4094,906.7302,731.1179,713.7302,426.0584,324.6109,150.7487,665.0012,4218.3895,2984.2089,1075.489,647.9535,675.7104,511.8701,1157.4969,161
0,-1.9,0,2.5,66,0.1,9,3.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.7984,574.8667,2542.303,3031.7595,1690.2626,1212.6061,799.429,925.2835,746.232,713.4863,431.7673,324.349,150.6269,639.7209,4248.1746,2973.5895,1073.0664,661.6567,680.5979,538.8868,1164.5989,246
0,-2.2,0,2,81,0.5,9,4.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.7436,549.6872,2469.1511,3039.5463,1655.5987,1199.5701,824.9195,907.0188,698.9761,734.231,438.3799,314.2971,145.9589,619.3514,4174.7932,2932.8963,1086.8994,666.1195,680.5075,534.7857,1183.6856,416
1,-2.2,0,2,83,0.5,8,4.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.7321,566.1793,2445.8786,2979.8742,1677.396,1186.7689,872.3767,891.3126,687.7629,772.8655,445.4824,317.0563,147.2402,582.732,4060.9573,2869.5038,1089.1511,683.126,691.9868,537.8985,1176.5494,789
