"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","semester","past_return","X5_6","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","m20","m25","m30","m35","m45","m50","m55","m65","f0","f10","f15","f20","f25","f65","bus_passenger","sub_passenger"
1,-2.5,0,1,49,0,6,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2697.6954,3215.2554,1777.7479,1298.3517,974.7318,801.8453,810.0397,442.2193,388.5686,180.4501,752.5396,4242.8454,3115.3854,524.8618,340,1294
0,-2.6,0,0.9,52,0,8,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496.8181,3131.7732,1621.3565,1229.9252,895.2271,730.9854,759.3371,404.4098,300.0897,139.3609,637.14,4208.4572,3002.7874,501.4084,124,312
0,-2.8,0,2.3,55,0,7,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528.0976,3054.5089,1649.3404,1254.9868,906.0489,725.6719,728.0094,416.2185,330.7562,153.6023,598.9934,4230.2852,2960.1867,493.9842,36,2
0,-2.9,0,2.1,57,0,8,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550.0382,3069.2582,1676.1082,1252.7303,886.2969,745.1448,726.0669,398.5573,341.9429,158.7973,607.0678,4255.3486,2997.0907,510.7964,13,0
0,-2.6,0,1.9,57,0,8,6.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2538.5105,3066.2662,1675.8869,1256.0014,875.2236,744.1317,726.8703,406.412,344.1256,159.8109,588.4983,4273.9491,3008.6295,484.6168,19,0
0,-2.1,0,2.5,56,0,9,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2514.5834,3082.9688,1698.6529,1213.0688,904.0857,750.5879,716.3295,417.9578,355.3955,165.0447,605.8067,4276.3212,3002.3673,487.8129,8,0
0,-1.9,0,2,55,0,8,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554.3603,3061.9827,1704.6129,1205.585,899.1318,728.445,714.0956,414.0992,338.3259,157.1177,637.0526,4266.5884,2968.2033,482.6152,12,5
0,-1.9,0,2.3,56,0,9,3.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2545.7365,3049.3064,1695.6564,1224.7163,906.7302,731.1179,713.7302,426.0584,324.6109,150.7487,665.0012,4218.3895,2984.2089,511.8701,37,161
0,-1.9,0,2.5,66,0.1,9,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2542.303,3031.7595,1690.2626,1212.6061,925.2835,746.232,713.4863,431.7673,324.349,150.6269,639.7209,4248.1746,2973.5895,538.8868,56,246
0,-2.2,0,2,81,0.5,9,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2469.1511,3039.5463,1655.5987,1199.5701,907.0188,698.9761,734.231,438.3799,314.2971,145.9589,619.3514,4174.7932,2932.8963,534.7857,85,416
