"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m5","m25","m45","m50","m55","m65","m70","f10","f20","f30","f35","f40","f50","bus_passenger","sub_passenger"
0,-1.6,0,0.9,47,4,44,2.56,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1990.2825,3987.5885,1046.1585,838.2168,864.8032,438.4032,746.3631,234.7017,5054.2346,1734.4228,1213.1176,840.3534,756.7894,482,3216
2,-2.4,0,2.1,49,3,49,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1010.5843,3306.7813,1025.4351,816.4539,802.2568,424.2162,756.3511,176.6365,4384.5668,1643.6693,1187.2465,796.9554,779.8195,634,4686
0,-2.5,0,1,49,6,48,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,665.6039,3215.2554,974.7318,801.8453,810.0397,442.2193,751.4911,180.4501,4242.8454,1664.3515,1215.4682,782.2246,794.7583,340,1294
0,-2.6,0,0.9,52,8,52,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,515.973,3131.7732,895.2271,730.9854,759.3371,404.4098,784.51,139.3609,4208.4572,1629.9731,1097.3711,646.9265,672.8306,124,312
0,-2.8,0,2.3,55,7,51,7.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,527.3301,3054.5089,906.0489,725.6719,728.0094,416.2185,770.8469,153.6023,4230.2852,1675.7792,1067.6567,643.7032,677.3715,36,2
1,-2.9,0,2.1,57,8,55,8.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,506.7215,3069.2582,886.2969,745.1448,726.0669,398.5573,763.9788,158.7973,4255.3486,1656.4244,1080.3975,685.7243,682.0035,13,0
0,-2.6,0,1.9,57,8,51,6.76,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,524.8589,3066.2662,875.2236,744.1317,726.8703,406.412,745.4565,159.8109,4273.9491,1641.1874,1060.8378,660.4695,689.4129,19,0
0,-2.1,0,2.5,56,9,38,4.41,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,526.9761,3082.9688,904.0857,750.5879,716.3295,417.9578,737.3836,165.0447,4276.3212,1675.377,1080.4464,659.0926,697.1884,8,0
0,-1.9,0,2,55,8,41,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,544.9547,3061.9827,899.1318,728.445,714.0956,414.0992,748.4007,157.1177,4266.5884,1678.664,1103.7989,660.6537,679.593,12,5
0,-1.9,0,2.3,56,9,43,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,548.4396,3049.3064,906.7302,731.1179,713.7302,426.0584,747.7826,150.7487,4218.3895,1659.9689,1075.489,647.9535,675.7104,37,161
0,-1.9,0,2.5,66,9,43,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574.8667,3031.7595,925.2835,746.232,713.4863,431.7673,759.6752,150.6269,4248.1746,1668.6876,1073.0664,661.6567,680.5979,56,246
0,-2.2,0,2,81,9,52,4.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,549.6872,3039.5463,907.0188,698.9761,734.231,438.3799,754.8039,145.9589,4174.7932,1639.6134,1086.8994,666.1195,680.5075,85,416
0,-2.2,0,2,83,8,54,4.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,566.1793,2979.8742,891.3126,687.7629,772.8655,445.4824,734.9286,147.2402,4060.9573,1686.3704,1089.1511,683.126,691.9868,171,789
0,-1.9,0.3,1.4,82,8,38,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,518.2788,2847.3887,880.3636,685.5117,776.3128,456.9606,686.8144,173.4091,3916.1752,1644.2672,1116.403,719.6571,730.6254,188,1035
1,-0.8,0,0.7,81,7,46,0.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,575.6963,2849.6423,971.919,739.2145,794.1095,469.9947,732.5448,180.0431,3896.1996,1647.9914,1119.7084,752.7486,793.803,186,980
0,0,0,3.3,80,8,52,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,637.0834,2874.238,1014.5956,776.9283,785.4998,427.9908,742.5658,166.7717,3902.4411,1610.8288,1237.3767,803.0257,808.333,220,1083
0,1.4,0,2.4,74,6,65,1.96,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,774.3842,3096.9322,1052.0858,842.0146,805.2971,428.0588,693.9417,249.3356,4098.2867,1666.6389,1245.0799,881.6837,803.6848,251,1307
