"y","past_return","m50","temp","f50","m20","sub_passenger","bus_passenger","X10_11","m25","f20","m30","m45","wet","f45","m55","sunny","m5","f15","f25","f0","f65","m35","m40","f30","wind","semester","m0","f60","f35","most_use","m70","m60","dust","f55","f40","m65","f70","cloud","X8_9","rain","X12_13","weekend","temp.sqr","X15_16"
3,0,898.046,1.8,816.4424,3481.3525,2177,393,0,3627.6926,4648.2518,1972.7596,1026.4613,37,954.1123,856.0725,1,1951.9843,2255.1883,3286.5011,828.4641,581.6992,1616.5206,1034.5832,1735.9394,1.4,0,677.759,649.4567,1368.0086,21737.0262,785.5772,575.7618,36,805.2629,879.5719,440.202,1292.1359,0,0,0,0,1,3.24,0
3,0,881.8446,0.5,786.7407,4061.439,2172,436,0,3857.673,5060.285,2021.4605,995.6357,38,943.3894,888.3974,0,2263.3812,2646.9193,3510.5175,777.9175,566.1505,1588.2836,1078.4719,1746.7962,1.5,0,625.3572,669.0835,1263.0188,23109.4736,747.7952,579.374,42,813.6039,879.2243,443.0869,1277.7392,0,0,0,0,1,0.25,0
0,2,832.9198,-0.9,784.0434,4256.555,1919,374,0,4122.9342,5475.9384,2106.8455,1068.9945,42,987.391,851.4151,0,2380.0975,2808.1361,3621.7632,673.987,534.6887,1541.2446,1063.4898,1750.1372,0.7,0,714.8656,655.461,1294.8336,24170.2517,760.3326,619.3034,46,769.2663,894.2637,453.6725,1281.4106,1,0,0,0,1,0.81,0
1,0,881.6793,-1.2,784.2678,4307.0667,1822,305,0,4168.2017,5433.5806,2142.992,1070.2002,45,986.3548,842.4864,0,2302.7393,2620.2517,3618.2199,584.2799,559.3522,1517.6744,1055.6617,1765.6912,0.9,0,600.0606,706.2706,1328.7882,24282.2147,769.1565,617.974,43,799.8908,853.9846,444.6465,1222.8802,7,0,0,0,1,1.44,0
0,3,838.2168,-1.6,756.7894,3809.3629,3216,482,0,3987.5885,5054.2346,2022.8202,1046.1585,47,908.8601,864.8032,0,1990.2825,2174.8429,3458.2767,505.39,562.3245,1425.254,971.6193,1734.4228,0.9,0,480.8395,680.7566,1213.1176,22705.0773,746.3631,558.3138,44,742.736,840.3534,438.4032,1215.1594,4,0,0,0,1,2.56,0
2,1,816.4539,-2.4,779.8195,2966.0381,4686,634,0,3306.7813,4384.5668,1845.7715,1025.4351,49,866.2712,802.2568,0,1010.5843,1027.2487,3166.2979,380.3577,561.7106,1368.3173,890.7127,1643.6693,2.1,0,554.185,675.7285,1187.2465,19868.6887,756.3511,546.7402,49,757.9299,796.9554,424.2162,1241.576,3,0,0,0,1,5.76,0
0,1,801.8453,-2.5,794.7583,2697.6954,1294,340,0,3215.2554,4242.8454,1777.7479,974.7318,49,842.5428,810.0397,0,665.6039,752.5396,3115.3854,388.5686,524.8618,1298.3517,862.1241,1664.3515,1,0,514.7113,695.5734,1215.4682,19227.1009,751.4911,568.5069,48,727.5439,782.2246,442.2193,1222.1237,6,0,0,0,1,6.25,0
1,0,730.9854,-2.6,672.8306,2496.8181,312,124,0,3131.7732,4208.4572,1621.3565,895.2271,52,746.8139,759.3371,0,515.973,637.14,3002.7874,300.0897,501.4084,1229.9252,818.7908,1629.9731,0.9,0,461.283,611.6483,1097.3711,18418.4618,784.51,509.645,52,622.0597,646.9265,404.4098,1108.3629,8,0,0,0,1,6.76,0
0,1,725.6719,-2.8,677.3715,2528.0976,2,36,0,3054.5089,4230.2852,1649.3404,906.0489,55,749.1479,728.0094,0,527.3301,598.9934,2960.1867,330.7562,493.9842,1254.9868,791.2885,1675.7792,2.3,0,459.8054,629.755,1067.6567,18420.8415,770.8469,491.5773,51,629.466,643.7032,416.2185,1148.3885,7,0,0,0,1,7.84,0
0,0,745.1448,-2.9,682.0035,2550.0382,0,13,0,3069.2582,4255.3486,1676.1082,886.2969,57,770.2866,726.0669,0,506.7215,607.0678,2997.0907,341.9429,510.7964,1252.7303,827.1632,1656.4244,2.1,0,471.4803,615.1559,1080.3975,18537.3961,763.9788,494.3149,55,619.1185,685.7243,398.5573,1135.7623,8,0,0,0,1,8.41,0
0,0,744.1317,-2.6,689.4129,2538.5105,0,19,0,3066.2662,4273.9491,1675.8869,875.2236,57,754.7675,726.8703,0,524.8589,588.4983,3008.6295,344.1256,484.6168,1256.0014,817.9012,1641.1874,1.9,0,492.5551,622.665,1060.8378,18521.2688,745.4565,496.8338,51,589.0645,660.4695,406.412,1126.2161,8,0,0,0,1,6.76,0
0,0,750.5879,-2.1,697.1884,2514.5834,0,8,0,3082.9688,4276.3212,1698.6529,904.0857,56,739.2058,716.3295,0,526.9761,605.8067,3002.3673,355.3955,487.8129,1213.0688,803.6301,1675.377,2.5,0,445.0988,619.0804,1080.4464,18543.7858,737.3836,500.0517,38,595.6035,659.0926,417.9578,1136.0043,9,0,0,0,1,4.41,0
0,0,728.445,-1.9,679.593,2554.3603,5,12,0,3061.9827,4266.5884,1704.6129,899.1318,55,754.1053,714.0956,0,544.9547,637.0526,2968.2033,338.3259,482.6152,1205.585,796.9997,1678.664,2,0,434.6023,635.7418,1103.7989,18543.7955,748.4007,501.2277,41,581.9424,660.6537,414.0992,1123.3199,8,0,0,0,1,3.61,0
0,0,731.1179,-1.9,675.7104,2545.7365,161,37,0,3049.3064,4218.3895,1695.6564,906.7302,56,731.9394,713.7302,0,548.4396,665.0012,2984.2089,324.6109,511.8701,1224.7163,821.4094,1659.9689,2.3,0,412.9007,635.9868,1075.489,18453.4719,747.7826,510.728,43,595.7291,647.9535,426.0584,1157.4969,9,0,0,0,1,3.61,0
0,0,746.232,-1.9,680.5979,2542.303,246,56,0,3031.7595,4248.1746,1690.2626,925.2835,66,746.2945,713.4863,0,574.8667,639.7209,2973.5895,324.349,538.8868,1212.6061,799.429,1668.6876,2.5,0,420.7984,658.7549,1073.0664,18440.4493,759.6752,517.5398,43,601.7095,661.6567,431.7673,1164.5989,9,0,0,0,1,3.61,0
0,0,698.9761,-2.2,680.5075,2469.1511,416,85,0,3039.5463,4174.7932,1655.5987,907.0188,81,735.9822,734.231,0,549.6872,619.3514,2932.8963,314.2971,534.7857,1199.5701,824.9195,1639.6134,2,0,414.7436,629.731,1086.8994,18198.0685,754.8039,517.8935,52,620.8738,666.1195,438.3799,1183.6856,9,0,0,0,1,4.84,0
1,0,687.7629,-2.2,691.9868,2445.8786,789,171,0,2979.8742,4060.9573,1677.396,891.3126,83,738.8499,772.8655,0,566.1793,582.732,2869.5038,317.0563,537.8985,1186.7689,872.3767,1686.3704,2,0,449.7321,650.1473,1089.1511,17995.9003,734.9286,530.9345,54,641.7601,683.126,445.4824,1176.5494,8,1,0,0,1,4.84,0
0,1,685.5117,-1.9,730.6254,2399.9479,1035,188,0,2847.3887,3916.1752,1660.2613,880.3636,82,762.4441,776.3128,0,518.2788,589.3282,2790.5682,373.4072,534.122,1219.8663,834.134,1644.2672,1.4,0,457.7015,630.4952,1116.403,17594.8778,686.8144,516.6764,38,678.2829,719.6571,456.9606,1159.131,8,0,0.3,0,1,3.61,0
0,0,739.2145,-0.8,793.803,2348.6809,980,186,1,2849.6423,3896.1996,1654.5955,971.919,81,785.2918,794.1095,0,575.6963,632.6776,2789.9729,387.6929,529.7216,1245.1284,853.3559,1647.9914,0.7,0,493.107,686.5591,1119.7084,17551.9194,732.5448,530.3676,46,708.6192,752.7486,469.9947,1192.8083,7,0,0,0,1,0.64,0
1,1,776.9283,0,808.333,2428.9893,1083,220,0,2874.238,3902.4411,1704.4265,1014.5956,80,816.1618,785.4998,0,637.0834,704.0107,2823.5763,359.1147,532.8006,1312.0558,943.8775,1610.8288,3.3,0,565.0802,649.8822,1237.3767,17893.9325,742.5658,536.7211,52,764.3561,803.0257,427.9908,1304.3411,8,0,0,0,1,0,0
0,0,842.0146,1.4,803.6848,2553.8709,1307,251,0,3096.9322,4098.2867,1808.7333,1052.0858,74,866.4332,805.2971,1,774.3842,848.3786,3010.0309,536.9017,541.7407,1358.0544,973.1295,1666.6389,2.4,0,569.5927,646.2579,1245.0799,18837.6272,693.9417,529.9763,65,743.7875,881.6837,428.0588,1288.6323,6,0,0,1,1,1.96,0
0,0,869.0742,1.4,821.4102,2719.6056,1489,343,0,3235.9751,4258.0445,1888.7752,1044.7225,67,935.6483,808.177,1,808.9133,983.88,3205.7348,818.0814,533.556,1387.0997,1029.1762,1715.4634,3.6,0,815.6734,658.2622,1306.1918,19716.8901,755.5868,532.6915,59,777.4661,952.7356,408.0048,1370.8558,3,0,0,0,1,1.96,0
2,0,883.5678,2.4,846.7926,2882.892,1618,367,0,3349.7157,4481.4933,1954.7321,1137.1555,55,968.025,804.7556,1,1002.3004,1331.7228,3361.0543,878.6592,603.1208,1497.7037,1062.4139,1794.8592,3.5,0,817.1264,654.9396,1320.17,20642.6203,756.9006,521.6277,62,833.2126,992.1802,408.1565,1245.7425,1,0,0,0,1,5.76,0
0,0,853.4059,2.5,846.7644,3120.7859,2054,388,0,3486.664,4712.0271,2063.8073,1091.4846,46,954.9945,807.2075,1,1297.0896,1688.3151,3529.1173,939.6766,596.9327,1445.9994,1109.1937,1830.8999,3.3,0,864.6418,629.5059,1303.2258,21492.5267,773.9112,519.9179,46,823.7659,994.0372,428.9827,1216.4534,0,0,0,0,1,6.25,1
0,0,863.2513,2.5,899.8927,3374.3148,2230,465,0,3669.4364,5063.1589,2082.8798,1119.0707,45,956.3247,853.5617,1,1600.7282,2171.2288,3639.9819,1007.2311,562.35,1451.9756,1039.4907,1920.2308,3,0,777.8725,651.7925,1317.1841,22519.1623,799.1847,554.4749,37,864.8622,973.9869,385.5774,1290.0584,0,0,0,0,1,6.25,0
0,1,863.1784,1.2,860.2495,3887.7327,2283,464,0,3893.5444,5532.0384,2206.5296,1098.6465,45,984.5096,859.1337,1,1846.4531,2424.7573,3886.1084,830.7737,538.1844,1526.3762,1053.9673,1925.9611,2.7,0,741.337,648.4771,1307.3212,24165.612,815.0186,585.6299,35,836.6289,903.5491,408.6593,1274.2889,0,0,0,0,1,1.44,0
1,1,889.1927,-0.5,852.6026,4151.5567,2227,406,0,4015.2045,5673.6481,2201.5787,1046.2956,40,958.3552,811.1428,0,2041.3181,2460.2036,4022.5551,637.631,577.2871,1517.6441,1041.9536,1985.6483,2.9,0,650.3535,676.5605,1222.7737,24790.6092,833.3295,574.8783,34,788.0574,920.1534,423.7561,1177.0982,0,0,0,0,1,0.25,0
0,0,871.3076,-1.6,810.5095,4383.8353,2152,371,0,4121.813,5723.259,2198.7499,1060.9019,41,902.1259,823.536,0,1931.3085,2455.9861,3991.8154,546.9288,559.4414,1547.3232,1012.3337,1914.8314,2,0,648.1827,648.6117,1315.8114,25197.4386,829.5648,552.3845,28,775.9222,870.9679,427.686,1223.7716,0,0,0,0,1,2.56,0
0,2,803.9074,-2.6,785.26,3990.1439,3853,469,0,3996.4277,5350.0875,2047.8595,1073.7328,46,898.2168,808.785,0,1639.9636,1915.152,3893.08,416.575,551.7985,1432.3184,964.321,1875.5813,1.6,0,580.0914,691.6397,1295.8298,23881.3281,788.7672,540.6714,27,800.1316,809.7796,408.2072,1219.6571,0,0,0,0,1,6.76,0
0,0,841.3478,-2.9,799.0475,3147.1985,4295,642,0,3656.7708,4760.5238,1917.7334,1028.2462,48,847.5671,811.96,0,906.2387,1058.0538,3619.6258,419.1941,551.3256,1363.413,942.9685,1843.4158,2.7,0,558.5282,666.741,1194.3992,21503.0803,778.7249,547.0492,20,765.0819,783.3676,427.58,1175.6434,0,0,0,0,1,8.41,0
1,0,800.7484,-3.8,799.6374,2838.5561,1183,290,0,3555.0641,4706.2114,1884.5123,1039.9894,49,827.7268,763.2258,0,642.8577,767.9079,3542.5483,392.1807,564.4722,1342.2597,895.4819,1842.3086,2.1,0,576.0977,683.2331,1203.7896,20915.2501,793.1548,558.7961,33,737.9257,795.783,434.2469,1165.0347,0,0,0,0,1,14.44,0
0,0,746.819,-4.4,693.2796,2702.1775,296,116,0,3454.4892,4753.8475,1756.178,983.0021,48,705.2005,704.2859,0,412.8902,635.5786,3512.6591,302.5978,500.2525,1322.5,892.449,1853.8448,2.9,0,454.4504,613.1592,1167.7962,20523.4923,750.5164,527.5285,26,641.8205,711.2368,409.5073,1144.6911,0,0,0,0,1,19.36,0
0,0,731.7209,-5.2,685.142,2739.8139,0,54,0,3483.7838,4745.3337,1746.7593,991.3523,51,710.2858,702.5412,0,429.0108,630.3021,3556.0776,298.2608,494.7284,1301.7749,898.57,1867.0894,1.6,0,470.1789,623.4963,1180.2811,20620.9137,760.0452,527.1577,27,640.3266,689.1734,412.3134,1090.2994,1,0,0,0,0,27.04,0
0,0,748.8319,-5.8,681.5611,2757.503,0,28,0,3502.4904,4775.0704,1760.4701,953.1996,52,723.9464,699.2396,0,434.1726,650.0474,3567.5378,288.5762,496.2779,1298.267,884.6295,1899.451,2.1,0,451.7634,636.0671,1171.9583,20732.748,768.6048,519.202,29,647.3592,663.4489,402.6155,1091.5168,0,0,0,0,0,33.64,0
0,0,757.3202,-6.4,681.0465,2772.7609,0,21,0,3491.2571,4815.8483,1754.8118,957.8903,56,722.0812,683.5991,0,417.6675,671.1149,3579.102,285.7222,502.6214,1314.0017,901.255,1887.8221,1.7,0,464.014,631.7989,1184.0139,20799.6178,754.1195,507.8375,25,640.2234,662.989,407.4006,1121.5832,5,0,0,0,0,40.96,0
0,0,749.408,-7,687.0972,2780.6139,0,9,0,3487.9432,4798.7789,1754.4657,965.8599,59,724.244,719.0592,0,438.2313,687.2134,3579.6345,302.9079,504.5646,1299.2547,904.8807,1884.7284,1.6,0,494.9173,633.0392,1176.7656,20762.1849,759.2225,493.8672,21,632.5592,675.5828,390.0664,1092.3598,2,0,0,0,0,49,0
0,0,742.6971,-7.2,698.4787,2803.1913,10,35,0,3518.3709,4752.0265,1779.2022,970.6791,61,723.0045,708.5429,0,446.1406,678.9458,3579.2221,307.4638,478.4149,1301.6667,894.8631,1880.5437,1.3,0,507.3804,631.4011,1212.531,20826.7544,770.3506,502.8778,30,656.7043,685.3887,397.9289,1133.1607,3,0,0,0,0,51.84,0
0,0,762.1957,-7.4,712.693,2795.1302,565,64,0,3487.6214,4772.6754,1789.8582,1008.9347,59,709.2058,727.9901,0,440.6551,675.2878,3560.5171,291.5509,483.2726,1292.5421,915.6993,1910.9327,0.3,0,445.032,659.0093,1226.4843,20835.7614,793.6769,530.6742,24,666.4392,683.1681,409.5458,1113.8521,2,0,0,0,0,54.76,0
0,0,789.6308,-7.8,696.985,2756.9281,892,173,0,3454.61,4694.4118,1791.7569,996.9741,55,731.2445,774.9457,0,459.447,674.2249,3569.0227,301.4263,523.1746,1361.1127,926.5137,1890.5477,2.1,0,460.1583,642.1534,1238.8622,20757.2521,819.6501,536.3459,22,722.7125,683.3059,434.1096,1165.0858,1,0,0,0,0,60.84,0
0,1,895.0344,-7.7,772.7932,2652.1441,2435,344,0,3324.0483,4636.7636,1801.4965,1149.7792,54,802.7161,844.6391,0,430.9352,658.9151,3455.4277,352.3485,534.9,1453.0328,1025.6266,1902.6712,2,0,487.1381,697.5645,1310.0714,20535.6556,858.7583,598.5327,21,779.1232,743.9412,484.3968,1267.5847,0,0,0,0,0,59.29,0
3,1,1018.9741,-7.6,936.5414,2519.3405,4472,712,0,2847.9055,4270.768,1648.7732,1208.1979,55,924.3551,913.6478,0,644.902,743.7441,3084.5751,375.8258,533.7396,1426.351,1119.5196,1705.8362,1.6,0,436.3641,728.622,1263.8432,18767.3927,869.331,643.2286,25,843.9229,925.8083,517.2983,1304.7471,1,1,0,0,0,57.76,0
2,3,1103.368,-6.9,915.2747,2482.0831,2597,484,0,2662.0406,3956.3774,1612.2712,1250.4559,55,1035.5256,1001.3734,0,672.8843,686.4385,2871.5283,376.2878,562.8275,1395.7268,1181.4821,1671.153,1.7,0,468.4626,767.7525,1285.0733,17936.2537,922.4688,736.8433,23,895.3672,940.7677,549.8313,1391.9837,1,0,0,0,0,47.61,0
1,5,1166.6949,-4,943.9601,2511.324,1361,332,1,2688.0373,3960.7385,1640.1081,1312.3121,55,1173.343,1056.6613,0,744.7539,754.2041,2821.1083,362.6595,586.9194,1439.9264,1159.787,1675.3203,1.2,0,509.9497,765.2355,1342.5714,18079.1343,859.6573,746.2477,20,910.2718,1009.0316,514.519,1392.7046,2,0,0,0,0,16,0
0,1,1122.7146,-1.4,946.7855,2534.5863,1430,306,0,2626.2692,4061.4116,1662.9091,1295.4737,44,1104.404,1081.0416,0,878.6157,863.6813,2868.6999,430.8532,593.273,1466.3247,1156.4928,1684.9537,1.5,0,517.4044,776.9227,1418.3272,18323.4817,906.669,717.0376,32,919.8563,1043.2783,551.6107,1475.7007,0,0,0,0,0,1.96,0
3,2,1154.8022,0.9,1008.2463,2710.3982,1601,350,0,2693.7614,4233.7315,1720.4887,1293.3652,36,1121.1977,1075.5495,0,857.3689,1014.0743,2922.4458,371.4619,622.8533,1510.9998,1224.5282,1625.2388,2.1,0,458.3968,798.234,1447.0067,18864.0709,926.741,739.0346,38,921.7864,1013.2716,541.5435,1309.883,2,0,0,1,0,0.81,0
0,3,1217.4117,1.7,1044.9356,2856.6664,1661,407,0,2721.8669,4305.2457,1717.156,1311.0648,43,1156.7422,1066.5346,1,776.4583,1117.9918,2941.0495,477.6398,629.8864,1460.7442,1210.1774,1699.0385,2.8,0,554.3713,807.4246,1398.3945,19100.1617,956.0724,759.8518,35,930.1997,1056.2872,542.9097,1360.3603,4,0,0,0,0,2.89,0
2,2,1235.0978,2,1042.1027,2913.5869,1746,409,0,2828.2211,4551.2047,1716.8676,1334.6582,43,1176.4602,1092.2724,1,774.643,1331.7675,2947.6832,405.9336,617.1358,1520.8883,1277.6667,1718.2784,2.4,0,451.932,841.7481,1423.4154,19620.1456,924.2738,737.439,37,1000.6554,1152.2567,541.6243,1314.2719,6,0,0,0,0,4,0
1,1,1182.228,2.2,987.4939,3048.8963,2078,475,0,2861.655,4622.7266,1743.0036,1273.3366,48,1213.4825,1004.7152,1,862.0225,1509.9943,3001.5806,421.9394,633.3601,1563.615,1279.4113,1732.9643,2.2,0,518.499,844.4154,1458.7331,20033.1745,908.7911,739.1344,33,964.4287,1115.5868,503.9378,1320.5806,6,0,0,0,0,4.84,1
0,0,1200.9963,2.3,1036.4946,3128.9349,2675,576,0,2945.7799,4704.3098,1758.573,1286.7302,49,1165.018,931.7262,1,1113.7642,1773.7533,3014.8984,401.7319,575.3131,1541.2622,1264.2411,1653.7936,2.4,0,527.9048,837.3723,1330.0928,20077.6446,924.7538,703.575,37,913.6478,1060.8693,509.5979,1322.5985,7,0,0,0,0,5.29,0
0,2,1119.0981,1.6,969.4632,3566.9292,3455,626,0,3144.4974,5077.701,1832.8592,1265.1751,56,1125.9201,862.4286,1,1462.203,2060.307,3165.3341,470.282,591.3638,1580.843,1260.9816,1699.6399,3,0,478.9472,794.8837,1307.0461,21374.8499,918.6571,662.4177,38,912.9846,1050.205,528.022,1304.803,8,0,0,0,0,2.56,0
1,1,1149.0736,1.3,969.3633,4113.3908,4126,939,0,3613.3573,5727.6594,2164.098,1371.9742,58,1187.7941,922.902,1,1744.4481,2215.459,3976.3613,458.8049,613.0449,1658.274,1358.0766,2191.8572,1.9,0,486.4166,790.7419,1477.9913,24922.9893,933.1072,717.9191,31,952.0257,1075.355,510.3344,1259.3332,9,0,0,0,0,1.69,0
2,1,1018.1303,1.3,904.3468,4065.1125,2725,729,0,3726.0957,5850.444,2131.5452,1213.1551,65,1112.8779,864.4499,1,1583.4592,2102.8311,4043.4377,461.8789,628.8605,1653.4535,1230.2638,2116.7063,2.6,0,477.2858,784.2587,1431.2488,25018.0437,876.745,650.9527,21,909.9748,979.0794,491.4713,1230.6667,9,0,0,0,0,1.69,0
1,1,952.5821,1.2,849.9934,3789.5552,3443,627,0,3683.61,5604.409,2130.5112,1167.5954,68,1040.8249,816.706,1,1381.3895,1698.0712,3963.7459,466.3662,628.7436,1583.3262,1089.3896,2055.64,1.8,0,497.7466,732.2397,1380.969,24191.7665,848.6156,590.3687,22,842.1525,899.9572,479.5888,1215.3251,9,0,0,0,0,1.44,0
3,0,884.6691,1.1,837.7435,3060.5916,3962,723,0,3461.494,5014.7695,1987.1486,1045.0666,74,999.9461,776.5617,1,873.1528,1002.9422,3702.9449,408.4166,618.7889,1515.8027,994.5742,1898.2962,2.8,0,531.9859,753.9444,1354.3022,21995.3497,876.2562,607.2116,29,787.7225,788.8963,450.1245,1199.8616,9,0,0,0,0,1.21,0
2,0,845.0835,0.9,792.4223,2813.8935,1166,362,0,3518.1665,4899.2655,1926.8968,1037.7303,75,979.5203,744.7992,0,609.4041,810.8642,3708.7899,403.045,598.7396,1424.2559,896.9688,1918.2531,1.5,0,497.0972,721.0197,1286.4655,21495.9867,871.3815,579.0217,28,753.3699,740.4864,441.0624,1186.8485,8,0,0,0,0,0.81,0
0,0,749.8151,0.6,717.6586,2724.7673,319,203,0,3416.9302,4984.0756,1768.6366,970.2347,75,761.3617,743.2161,0,470.2152,624.7277,3580.1829,343.2253,505.2386,1333.3334,895.762,1884.8524,1.3,0,414.5938,635.2793,1181.4152,20874.1936,783.018,537.363,27,673.1856,711.5363,424.8363,1145.3585,9,0,0,0,0,0.36,0
0,1,766.7922,0.7,711.7672,2761.1498,1,65,0,3449.8626,5007.5642,1765.9561,963.4141,81,775.1001,709.9803,0,444.4648,605.8332,3637.2328,332.3311,512.173,1298.8684,884.8557,1887.471,1.6,0,426.6739,641.0496,1207.9439,21016.0488,782.3677,524.4742,30,662.4176,698.8754,418.9969,1212.3185,9,0,0,0,0,0.49,0
