"y","past_return","bus_passenger","temp","sub_passenger","f45","m40","wet","cloud","m25","f55","rain","m30","m50","f15","m45","m35","f70","m60","f30","m70","m0","f35","f20","dust","sunny","m20","m65","f0","wind","X18_19","m55","m5","f50","f60","f65","f25","most_use","f40","semester","X9_10","X8_9","X7_8","temp.sqr"
1,2,393,1.8,2177,954.1123,1034.5832,37,0,3627.6926,805.2629,0,1972.7596,898.046,2255.1883,1026.4613,1616.5206,1292.1359,575.7618,1735.9394,785.5772,677.759,1368.0086,4648.2518,36,1,3481.3525,440.202,828.4641,1.4,0,856.0725,1951.9843,816.4424,649.4567,581.6992,3286.5011,21737.0262,879.5719,0,0,0,0,3.24
1,0,436,0.5,2172,943.3894,1078.4719,38,0,3857.673,813.6039,0,2021.4605,881.8446,2646.9193,995.6357,1588.2836,1277.7392,579.374,1746.7962,747.7952,625.3572,1263.0188,5060.285,42,0,4061.439,443.0869,777.9175,1.5,0,888.3974,2263.3812,786.7407,669.0835,566.1505,3510.5175,23109.4736,879.2243,0,0,0,0,0.25
0,0,374,-0.9,1919,987.391,1063.4898,42,1,4122.9342,769.2663,0,2106.8455,832.9198,2808.1361,1068.9945,1541.2446,1281.4106,619.3034,1750.1372,760.3326,714.8656,1294.8336,5475.9384,46,0,4256.555,453.6725,673.987,0.7,1,851.4151,2380.0975,784.0434,655.461,534.6887,3621.7632,24170.2517,894.2637,0,0,0,0,0.81
0,0,305,-1.2,1822,986.3548,1055.6617,45,7,4168.2017,799.8908,0,2142.992,881.6793,2620.2517,1070.2002,1517.6744,1222.8802,617.974,1765.6912,769.1565,600.0606,1328.7882,5433.5806,43,0,4307.0667,444.6465,584.2799,0.9,0,842.4864,2302.7393,784.2678,706.2706,559.3522,3618.2199,24282.2147,853.9846,0,0,0,0,1.44
0,2,482,-1.6,3216,908.8601,971.6193,47,4,3987.5885,742.736,0,2022.8202,838.2168,2174.8429,1046.1585,1425.254,1215.1594,558.3138,1734.4228,746.3631,480.8395,1213.1176,5054.2346,44,0,3809.3629,438.4032,505.39,0.9,0,864.8032,1990.2825,756.7894,680.7566,562.3245,3458.2767,22705.0773,840.3534,0,0,0,0,2.56
2,0,634,-2.4,4686,866.2712,890.7127,49,3,3306.7813,757.9299,0,1845.7715,816.4539,1027.2487,1025.4351,1368.3173,1241.576,546.7402,1643.6693,756.3511,554.185,1187.2465,4384.5668,49,0,2966.0381,424.2162,380.3577,2.1,0,802.2568,1010.5843,779.8195,675.7285,561.7106,3166.2979,19868.6887,796.9554,0,0,0,0,5.76
0,0,340,-2.5,1294,842.5428,862.1241,49,6,3215.2554,727.5439,0,1777.7479,801.8453,752.5396,974.7318,1298.3517,1222.1237,568.5069,1664.3515,751.4911,514.7113,1215.4682,4242.8454,48,0,2697.6954,442.2193,388.5686,1,0,810.0397,665.6039,794.7583,695.5734,524.8618,3115.3854,19227.1009,782.2246,0,0,0,0,6.25
0,0,124,-2.6,312,746.8139,818.7908,52,8,3131.7732,622.0597,0,1621.3565,730.9854,637.14,895.2271,1229.9252,1108.3629,509.645,1629.9731,784.51,461.283,1097.3711,4208.4572,52,0,2496.8181,404.4098,300.0897,0.9,0,759.3371,515.973,672.8306,611.6483,501.4084,3002.7874,18418.4618,646.9265,0,0,0,0,6.76
0,1,36,-2.8,2,749.1479,791.2885,55,7,3054.5089,629.466,0,1649.3404,725.6719,598.9934,906.0489,1254.9868,1148.3885,491.5773,1675.7792,770.8469,459.8054,1067.6567,4230.2852,51,0,2528.0976,416.2185,330.7562,2.3,0,728.0094,527.3301,677.3715,629.755,493.9842,2960.1867,18420.8415,643.7032,0,0,0,0,7.84
1,0,13,-2.9,0,770.2866,827.1632,57,8,3069.2582,619.1185,0,1676.1082,745.1448,607.0678,886.2969,1252.7303,1135.7623,494.3149,1656.4244,763.9788,471.4803,1080.3975,4255.3486,55,0,2550.0382,398.5573,341.9429,2.1,0,726.0669,506.7215,682.0035,615.1559,510.7964,2997.0907,18537.3961,685.7243,0,0,0,0,8.41
