"y","past_return","bus_passenger","sub_passenger","temp","X8_9","m50","wet","rain","m30","sunny","f25","m45","m25","m40","f45","f20","m35","X7_8","m20","m5","f55","m65","f70","wind","m70","f65","f0","f15","f30","m0","m55","m60","f35","f40","dust","f50","cloud","most_use","weekend","f60","semester","X17_18","temp.sqr","X9_10","X18_19"
2,2,393,2177,1.8,0,898.046,37,0,1972.7596,1,3286.5011,1026.4613,3627.6926,1034.5832,954.1123,4648.2518,1616.5206,0,3481.3525,1951.9843,805.2629,440.202,1292.1359,1.4,785.5772,581.6992,828.4641,2255.1883,1735.9394,677.759,856.0725,575.7618,1368.0086,879.5719,36,816.4424,0,21737.0262,1,649.4567,0,0,3.24,0,0
1,2,436,2172,0.5,0,881.8446,38,0,2021.4605,0,3510.5175,995.6357,3857.673,1078.4719,943.3894,5060.285,1588.2836,0,4061.439,2263.3812,813.6039,443.0869,1277.7392,1.5,747.7952,566.1505,777.9175,2646.9193,1746.7962,625.3572,888.3974,579.374,1263.0188,879.2243,42,786.7407,0,23109.4736,1,669.0835,0,1,0.25,0,0
1,0,374,1919,-0.9,0,832.9198,42,0,2106.8455,0,3621.7632,1068.9945,4122.9342,1063.4898,987.391,5475.9384,1541.2446,0,4256.555,2380.0975,769.2663,453.6725,1281.4106,0.7,760.3326,534.6887,673.987,2808.1361,1750.1372,714.8656,851.4151,619.3034,1294.8336,894.2637,46,784.0434,1,24170.2517,1,655.461,0,0,0.81,0,1
2,1,305,1822,-1.2,0,881.6793,45,0,2142.992,0,3618.2199,1070.2002,4168.2017,1055.6617,986.3548,5433.5806,1517.6744,0,4307.0667,2302.7393,799.8908,444.6465,1222.8802,0.9,769.1565,559.3522,584.2799,2620.2517,1765.6912,600.0606,842.4864,617.974,1328.7882,853.9846,43,784.2678,7,24282.2147,1,706.2706,0,0,1.44,0,0
1,1,482,3216,-1.6,0,838.2168,47,0,2022.8202,0,3458.2767,1046.1585,3987.5885,971.6193,908.8601,5054.2346,1425.254,0,3809.3629,1990.2825,742.736,438.4032,1215.1594,0.9,746.3631,562.3245,505.39,2174.8429,1734.4228,480.8395,864.8032,558.3138,1213.1176,840.3534,44,756.7894,4,22705.0773,1,680.7566,0,0,2.56,0,0
1,3,634,4686,-2.4,0,816.4539,49,0,1845.7715,0,3166.2979,1025.4351,3306.7813,890.7127,866.2712,4384.5668,1368.3173,0,2966.0381,1010.5843,757.9299,424.2162,1241.576,2.1,756.3511,561.7106,380.3577,1027.2487,1643.6693,554.185,802.2568,546.7402,1187.2465,796.9554,49,779.8195,3,19868.6887,1,675.7285,0,0,5.76,0,0
1,2,340,1294,-2.5,0,801.8453,49,0,1777.7479,0,3115.3854,974.7318,3215.2554,862.1241,842.5428,4242.8454,1298.3517,0,2697.6954,665.6039,727.5439,442.2193,1222.1237,1,751.4911,524.8618,388.5686,752.5396,1664.3515,514.7113,810.0397,568.5069,1215.4682,782.2246,48,794.7583,6,19227.1009,1,695.5734,0,0,6.25,0,0
1,2,124,312,-2.6,0,730.9854,52,0,1621.3565,0,3002.7874,895.2271,3131.7732,818.7908,746.8139,4208.4572,1229.9252,0,2496.8181,515.973,622.0597,404.4098,1108.3629,0.9,784.51,501.4084,300.0897,637.14,1629.9731,461.283,759.3371,509.645,1097.3711,646.9265,52,672.8306,8,18418.4618,1,611.6483,0,0,6.76,0,0
0,2,36,2,-2.8,0,725.6719,55,0,1649.3404,0,2960.1867,906.0489,3054.5089,791.2885,749.1479,4230.2852,1254.9868,0,2528.0976,527.3301,629.466,416.2185,1148.3885,2.3,770.8469,493.9842,330.7562,598.9934,1675.7792,459.8054,728.0094,491.5773,1067.6567,643.7032,51,677.3715,7,18420.8415,1,629.755,0,0,7.84,0,0
0,1,13,0,-2.9,0,745.1448,57,0,1676.1082,0,2997.0907,886.2969,3069.2582,827.1632,770.2866,4255.3486,1252.7303,0,2550.0382,506.7215,619.1185,398.5573,1135.7623,2.1,763.9788,510.7964,341.9429,607.0678,1656.4244,471.4803,726.0669,494.3149,1080.3975,685.7243,55,682.0035,8,18537.3961,1,615.1559,0,0,8.41,0,0
0,0,19,0,-2.6,0,744.1317,57,0,1675.8869,0,3008.6295,875.2236,3066.2662,817.9012,754.7675,4273.9491,1256.0014,0,2538.5105,524.8589,589.0645,406.412,1126.2161,1.9,745.4565,484.6168,344.1256,588.4983,1641.1874,492.5551,726.8703,496.8338,1060.8378,660.4695,51,689.4129,8,18521.2688,1,622.665,0,0,6.76,0,0
0,0,8,0,-2.1,0,750.5879,56,0,1698.6529,0,3002.3673,904.0857,3082.9688,803.6301,739.2058,4276.3212,1213.0688,0,2514.5834,526.9761,595.6035,417.9578,1136.0043,2.5,737.3836,487.8129,355.3955,605.8067,1675.377,445.0988,716.3295,500.0517,1080.4464,659.0926,38,697.1884,9,18543.7858,1,619.0804,0,0,4.41,0,0
0,0,12,5,-1.9,0,728.445,55,0,1704.6129,0,2968.2033,899.1318,3061.9827,796.9997,754.1053,4266.5884,1205.585,0,2554.3603,544.9547,581.9424,414.0992,1123.3199,2,748.4007,482.6152,338.3259,637.0526,1678.664,434.6023,714.0956,501.2277,1103.7989,660.6537,41,679.593,8,18543.7955,1,635.7418,0,0,3.61,0,0
0,1,37,161,-1.9,0,731.1179,56,0,1695.6564,0,2984.2089,906.7302,3049.3064,821.4094,731.9394,4218.3895,1224.7163,0,2545.7365,548.4396,595.7291,426.0584,1157.4969,2.3,747.7826,511.8701,324.6109,665.0012,1659.9689,412.9007,713.7302,510.728,1075.489,647.9535,43,675.7104,9,18453.4719,1,635.9868,0,0,3.61,0,0
3,1,56,246,-1.9,0,746.232,66,0,1690.2626,0,2973.5895,925.2835,3031.7595,799.429,746.2945,4248.1746,1212.6061,0,2542.303,574.8667,601.7095,431.7673,1164.5989,2.5,759.6752,538.8868,324.349,639.7209,1668.6876,420.7984,713.4863,517.5398,1073.0664,661.6567,43,680.5979,9,18440.4493,1,658.7549,0,0,3.61,0,0
0,1,85,416,-2.2,0,698.9761,81,0,1655.5987,0,2932.8963,907.0188,3039.5463,824.9195,735.9822,4174.7932,1199.5701,1,2469.1511,549.6872,620.8738,438.3799,1183.6856,2,754.8039,534.7857,314.2971,619.3514,1639.6134,414.7436,734.231,517.8935,1086.8994,666.1195,52,680.5075,9,18198.0685,1,629.731,0,0,4.84,0,0
1,0,171,789,-2.2,1,687.7629,83,0,1677.396,0,2869.5038,891.3126,2979.8742,872.3767,738.8499,4060.9573,1186.7689,0,2445.8786,566.1793,641.7601,445.4824,1176.5494,2,734.9286,537.8985,317.0563,582.732,1686.3704,449.7321,772.8655,530.9345,1089.1511,683.126,54,691.9868,8,17995.9003,1,650.1473,0,0,4.84,0,0
