"y","past_return","bus_passenger","temp","sub_passenger","m5","m70","m45","m65","wet","m20","f15","f35","f50","f55","m60","f0","m35","f70","m0","f40","dust","f65","m50","m55","m30","m40","m25","wind","sunny","f45","f20","f60","f30","f25","most_use","X8_9","cloud","rain","semester","temp.sqr"
0,0,31,-9.5,0,525.4608,750.5507,1014.5726,415.4611,53,2866.8979,738.5755,1188.6643,755.3466,677.3316,558.5864,296.1686,1313.3466,1189.693,406.837,804.3343,28,561.5044,776.9581,692.5564,1854.9242,885.5889,3485.0239,0.4,0,760.3798,5243.4859,633.0934,1929.179,3863.5146,21745.0364,0,0,0,0,90.25
0,0,21,-9.7,0,521.471,764.8525,1008.3225,422.3944,53,2885.5195,755.7248,1201.1916,747.1067,676.6968,567.8771,324.6041,1319.2047,1203.7371,400.2994,800.5362,27,560.4542,786.2622,705.2427,1823.2178,904.8892,3463.1004,0.7,0,763.0562,5219.6293,625.6352,1937.3055,3869.9637,21719.1325,0,0,0,0,94.09
1,0,37,-9.7,10,528.009,797.1978,1016.4897,409.3198,53,2874.1256,740.1541,1204.8043,739.2441,691.5008,555.6764,307.3936,1325.7285,1227.5633,405.1587,814.99,28,552.9624,784.9762,700.1515,1850.4179,875.6074,3497.7384,1.3,0,747.298,5199.0172,625.3389,1963.8387,3876.4963,21792.1669,0,0,0,0,94.09
0,0,84,-9.4,536,535.2342,783.4185,1038.7832,400.9919,52,2867.2513,724.6544,1181.6266,733.3476,698.3865,591.3685,313.0799,1290.7929,1197.9763,404.2836,796.8901,23,531.2784,753.801,691.3478,1827.5459,895.5805,3502.1113,2.1,0,745.8775,5209.6321,648.6094,1959.3242,3889.4334,21727.7177,0,0,0,0,88.36
0,1,170,-9.5,830,514.4082,818.2583,1067.2626,423.5761,53,2882.4397,724.2828,1165.5926,751.6937,724.6395,586.2203,325.5845,1323.9203,1223.2789,410.3971,836.5751,23,573.3897,820.5946,779.1655,1841.6199,895.6652,3484.2176,2.8,0,782.6278,5163.2428,636.1408,1966.2171,3883.6038,21710.8538,0,0,0,0,90.25
1,0,383,-9.7,2357,518.1743,850.1881,1237.4479,472.8276,53,2814.3129,702.5744,1260.9828,825.8168,815.3155,631.9897,333.4394,1409.065,1224.0391,412.1648,870.7548,22,569.9138,881.3755,818.0717,1852.803,1008.0645,3385.6878,2.1,0,783.6471,4980.7431,694.7487,1968.1367,3705.7025,21377.4338,0,0,0,0,94.09
0,0,762,-10,4469,521.5568,908.6973,1222.653,506.2153,56,2636.1464,664.6216,1299.0338,921.1549,885.9505,671.5472,326.6516,1407.346,1307.8295,406.3629,957.2345,26,648.9351,911.1048,897.7685,1743.2474,1106.5168,3021.7826,1.5,0,915.0162,4687.4694,743.3611,1837.2313,3333.6287,19965.8856,1,0,0,0,100
0,0,551,-9.1,2667,517.7037,925.7582,1237.9295,518.5684,53,2575.3268,624.9374,1277.179,918.6608,970.6548,752.9411,322.5323,1491.3888,1345.7436,452.458,1076.6846,29,675.1017,986.0229,1024.0906,1694.3252,1122.107,2780.5418,2.2,0,1057.0155,4337.34,746.6121,1750.0887,3043.1945,18949.3848,0,0,0,0,82.81
0,0,348,-7.2,1563,552.6883,869.3806,1333.5553,546.9763,45,2628.7226,721.6159,1342.6648,970.9769,1022.1081,813.9705,376.6535,1524.0656,1326.8808,464.665,1108.3032,23,676.758,1004.3129,1024.1602,1696.0148,1134.7975,2688.9705,1.4,0,1105.4802,4272.1012,758.1096,1806.5082,2993.1432,18952.1909,0,0,0,0,51.84
0,0,346,-4.1,1524,669.5418,936.2369,1390.1862,551.5998,39,2739.9418,947.4042,1423.1595,1025.6117,1008.9082,838.3953,417.7801,1547.0146,1329.9242,509.8079,1164.7817,19,679.3858,1026.922,1021.0125,1671.1294,1171.7337,2737.0316,1.3,0,1141.8606,4364.2538,792.3186,1800.257,3043.899,19326.6867,0,0,0,0,16.81
2,1,374,-2.3,1736,721.5939,895.8703,1278.9523,523.5256,33,2799.1224,1255.6501,1506.3952,988.3978,968.6527,777.8785,441.5234,1491.834,1258.9318,454.38,1154.6784,23,641.4015,1046.4941,1005.1665,1639.5613,1166.6427,2755.091,1.5,0,1094.4911,4417.7039,851.8484,1729.4144,3076.9189,19416.0411,0,0,0,0,5.29
2,2,467,-0.1,1958,890.0848,921.2341,1351.1537,533.0189,31,2825.6534,1377.9415,1476.8738,1068.6311,1031.1557,786.992,433.1517,1557.1143,1250.5348,488.5523,1213.113,29,690.8295,1099.5273,1030.3848,1728.2772,1198.7013,2810.7934,2.1,0,1152.8373,4589.0767,773.0516,1797.4152,3151.8071,19937.0111,0,0,0,0,0.01
2,1,471,0.3,1989,990.4274,998.1393,1361.508,512.9199,29,3021.3221,1652.8573,1437.8003,1043.7557,1024.4388,756.9998,370.6194,1550.5288,1257.4417,471.5126,1226.211,33,695.6891,1134.9517,1010.3929,1786.3895,1195.189,2823.2942,2.9,0,1175.2225,4735.6207,777.2731,1747.0136,3138.452,20240.4212,0,0,0,0,0.09
1,3,587,0.5,2397,1153.6232,960.9982,1276.1145,534.0647,26,3285.8603,1874.5049,1395.6057,984.2897,983.0007,809.9548,441.5007,1616.9715,1263.6144,550.145,1178.486,37,700.0778,1106.2133,1014.3808,1810.3525,1225.8022,2836.8301,2.7,0,1170.4702,4824.9807,838.3841,1790.6983,3180.6662,20741.9653,0,0,0,0,0.25
0,0,611,1.2,2968,1398.9054,954.7097,1273.1786,526.7054,26,3315.1127,2148.7835,1279.8501,1002.1223,943.5502,791.0822,473.0515,1558.4117,1183.6642,475.361,1139.4113,36,696.1552,1111.8038,984.6662,1796.2574,1230.5199,2914.8865,1.8,1,1086.1521,4912.1986,793.496,1765.6301,3189.3508,20731.6979,0,0,0,0,1.44
1,1,724,0.1,3902,1857.0676,962.2832,1311.7547,456.7969,28,3939.4556,2406.2096,1289.2529,979.5222,967.5646,783.1386,448.0482,1678.1162,1197.4208,463.2115,1141.0369,30,701.6072,1062.3146,984.1251,1866.1009,1339.3042,3321.4978,2.2,0,1154.5756,5456.858,789.9065,1926.7054,3333.3372,22811.324,0,3,0,0,0.01
1,1,795,-1.5,4384,1892.4653,928.6718,1389.1828,495.8731,31,4583.6901,2403.2758,1481.649,979.4097,967.0917,779.5735,402.3185,1819.1391,1186.3906,517.6056,1124.2925,43,690.8859,1011.6011,977.7877,2275.041,1321.4135,4032.8153,1.8,0,1145.7372,6304.6666,761.544,2299.3144,4216.1531,27012.4686,0,5,0,0,2.25
1,1,743,-2.7,2849,1900.2685,917.2191,1288.9165,510.0612,33,4645.4759,2328.917,1469.4937,931.2593,944.3264,743.1474,462.885,1806.0311,1227.7242,484.7754,1066.4441,45,641.2034,1029.3314,904.6388,2234.36,1292.1927,4188.3456,1.7,0,1093.887,6567.642,756.014,2315.6029,4413.2405,27640.1917,0,6,0,0,7.29
0,0,670,-3.1,4094,1606.2101,849.8282,1330.7441,478.4683,38,4328.5295,1902.4329,1396.4993,931.1158,867.5265,715.7018,458.8823,1652.9835,1289.5654,453.171,1023.6674,37,645.0775,901.6727,876.2951,2209.4043,1174.6526,4151.3106,2,0,1046.6675,6244.9215,702.8838,2240.9374,4310.7985,26535.3846,0,5,0,0,9.61
1,1,952,-3.1,5942,968.2369,840.16,1209.706,441.5509,42,3411.2392,1014.6081,1391.3292,895.6344,816.6922,679.3884,434.3388,1528.1408,1216.3591,440.072,878.7162,48,630.8571,893.2405,836.0639,2068.1033,1061.0964,3748.8262,2.4,0,980.5716,5180.3379,673.187,2037.39,3967.2045,23332.5711,0,7,0,0,9.61
1,2,488,-3.5,1519,617.4739,827.4708,1096.9888,423.2565,41,3118.9273,756.8604,1348.8118,875.8976,799.5704,650.648,385.348,1470.0368,1183.1616,449.4872,843.9628,49,614.6078,826.7743,835.5305,1954.6744,949.0452,3536.0698,2,0,900.571,5124.0426,679.2215,1958.686,3922.9378,22434.1865,0,5,0,0,12.25
0,0,203,-3.9,422,512.431,760.5487,969.5784,424.9615,42,2873.1633,703.9971,1182.5792,711.6704,699.5703,585.7393,300.5479,1371.3977,1156.2608,384.6338,754.267,44,530.616,730.0622,772.9306,1806.7111,881.5768,3498.9465,1.4,0,740.3711,5070.5633,631.0872,1881.3444,3762.5836,21447.2891,0,9,0,0,15.21
0,0,63,-3.9,0,474.6798,789.8287,933.0681,419.8032,43,2970.8666,696.9938,1224.6675,725.4735,708.217,555.508,316.7305,1356.7293,1152.8367,403.2564,813.3593,35,534.8357,713.1575,767.2839,1819.4069,905.3709,3526.2868,0.5,0,729.1746,5075.6263,604.6425,1852.2317,3697.335,21523.1501,0,9,0,0,15.21
0,0,25,-4.2,0,486.1353,786.2597,922.7325,403.499,46,2987.8581,690.8017,1228.1246,732.5375,691.2879,550.9708,283.5038,1311.2902,1159.7016,408.045,793.0934,40,544.2736,729.1983,743.2281,1862.9256,901.0428,3570.0069,1.8,0,762.3018,5085.93,619.1604,1868.3427,3700.8019,21615.28,0,9,0,0,17.64
0,0,16,-4.5,0,444.3509,750.1719,960.0304,400.9995,47,2991.3152,694.9904,1258.8661,731.4297,687.2633,526.1236,291.9945,1306.0544,1166.7279,396.8106,779.5717,39,557.55,733.1764,737.7184,1848.5737,895.6319,3576.8066,2.2,0,767.0162,5093.5483,627.5333,1893.5208,3727.7374,21696.4225,0,10,0,0,20.25
0,0,13,-4.8,0,415.0799,751.5299,961.6887,407.6998,47,2986.3064,702.792,1244.2817,731.2966,700.9553,528.3547,302.6404,1318.4498,1160.9577,387.6222,778.0624,32,546.6946,747.0137,700.88,1869.1093,900.1134,3564.1738,2,0,767.6884,5078.3994,630.4842,1882.7187,3680.2075,21623.6466,0,8,0,0,23.04
0,0,16,-5.2,5,406.6304,740.3083,941.6506,418.2127,49,3007.9401,707.2407,1238.8504,735.4102,704.6995,533.0752,317.4736,1281.7233,1206.465,403.9537,774.612,41,530.0956,734.1748,691.0044,1859.7312,874.2504,3537.2872,2.2,0,772.6015,5085.5425,615.0417,1890.9583,3683.6173,21585.6503,0,8,0,0,27.04
0,0,71,-5.2,387,419.3342,764.0478,967.822,410.7372,52,3003.5835,716.3532,1239.3343,722.3222,711.7772,549.6075,317.8499,1290.8534,1153.2089,396.4145,769.4109,39,528.1741,757.9961,706.4174,1851.3687,877.8292,3520.2087,2.4,0,773.7553,5071.0736,617.8679,1860.3084,3680.9609,21517.6915,0,9,0,0,27.04
0,0,106,-5,542,451.0851,764.684,965.7046,422.1737,54,2917.6528,690.9113,1234.9902,742.5319,750.5736,569.2287,339.0557,1308.912,1215.4186,360.7055,771.702,41,557.4945,742.0227,732.9028,1845.7036,849.129,3517.831,2.2,0,790.4532,5024.8955,642.6657,1883.5763,3673.7963,21407.3577,0,9,0,0,25
1,0,143,-4.6,740,462.5205,776.4369,1041.4091,420.2657,53,2888.7251,664.938,1308.6438,737.9799,746.5623,583.8648,336.675,1337.4282,1196.6938,356.1793,778.6596,48,581.5863,781.4039,761.3563,1883.17,913.0934,3457.1882,2.8,0,825.6381,4968.1962,655.8791,1858.4893,3586.6556,21288.4964,0,9,0,0,21.16
0,0,327,-4.4,1399,484.3889,771.9808,1083.9982,461.9087,48,2800.5703,649.2459,1312.8418,800.6006,820.4351,573.8121,314.3258,1344.5362,1240.0011,389.6597,871.5437,46,569.9307,789.2881,829.8544,1872.3522,938.3553,3354.4112,2.5,0,838.2411,4764.8182,683.7872,1872.4087,3496.7404,20818.679,1,9,0,0,19.36
0,0,310,-3.8,1708,497.0887,833.9628,1084.5766,485.1149,46,2792.3987,715.0558,1320.8736,867.8647,885.455,611.1615,393.1772,1428.0098,1277.2798,470.3826,956.3724,45,565.8049,829.1019,827.1005,1928.6128,1009.0105,3266.7098,2.3,0,957.4627,4581.0491,719.9029,1877.0555,3412.2992,20607.0085,0,6,0,0,14.44
1,0,339,-2.3,1541,523.3849,794.077,1090.6277,472.6991,44,2728.4385,775.5927,1458.9302,875.6432,897.2029,642.1395,438.1741,1474.459,1248.7414,527.7075,982.9637,40,583.4966,944.9707,914.4444,1882.2897,1065.1612,3326.1332,1.9,0,1011.3299,4579.4485,722.981,1931.5826,3378.0346,20759.3163,0,9,0,0,5.29
1,0,371,-0.7,1881,625.5192,789.1756,1207.2313,445.7614,43,2854.1762,1091.4731,1508.2707,947.1598,931.8789,695.7939,489.5941,1550.9907,1203.3036,560.4334,1062.9198,48,531.2809,915.1337,887.8996,1891.2047,1145.4263,3418.3323,3.1,0,1083.9995,4664.3196,725.8047,1972.3468,3491.6524,21351.2934,0,8,0,0,0.49
1,1,437,0.4,2311,756.5417,824.5547,1178.4289,476.8997,41,3032.0063,1418.3676,1405.3529,938.6229,896.7101,678.1037,641.1621,1534.1241,1225.1625,548.9127,1044.1677,50,579.149,897.947,874.6011,1950.8591,1149.359,3523.6286,2.3,0,1027.7092,4717.3625,744.7834,2003.8058,3593.5033,21760.6426,0,9,0,0,0.16
0,2,505,0.7,2321,915.9971,807.6497,1223.5129,529.9334,43,3234.2773,1577.9678,1441.7933,956.0173,968.4607,688.7868,797.5233,1661.7907,1243.4471,478.6637,1028.5661,67,569.827,919.6838,863.5621,2092.6379,1152.3514,3622.0447,1.7,0,1098.7953,5044.4375,770.9538,2101.7887,3825.0115,23023.7816,0,9,0,0,0.49
2,1,486,0.9,2578,1054.2489,866.3437,1231.3038,521.143,43,3571.5808,1824.2145,1514.5348,931.5853,1016.1794,716.5108,936.3386,1693.0148,1241.34,707.9326,1092.4196,64,593.1005,935.9681,914.544,2150.3615,1136.0374,3705.2662,1.9,0,1065.9342,5364.6823,769.9476,2044.6895,3947.8873,23992.0172,0,9,0,0,0.81
1,2,562,1.3,3009,1337.8087,876.6273,1236.5559,486.7494,43,3827.4323,2133.644,1529.0039,961.5287,1034.447,685.1154,1017.9888,1696.6678,1165.9321,708.5457,1038.0118,53,602.48,902.9864,902.6114,2306.0026,1088.2887,3958.3842,2.2,1,1052.6412,5746.5213,756.5037,2073.7059,3945.9289,25083.6469,0,9,0,0,1.69
1,0,577,1.8,3462,1652.4301,866.9959,1232.2925,491.5617,43,4056.3119,2545.6233,1470.9461,989.4994,987.6425,717.6448,987.1625,1748.0724,1161.588,720.1448,1032.7851,60,626.4377,935.0131,955.2105,2389.6722,1099.0466,4055.061,2.2,1,1042.281,6191.6408,764.0249,2160.6819,4271.3504,26343.7367,0,9,0,0,3.24
0,0,604,1.6,3261,2034.7409,883.7528,1253.9613,524.2001,44,4667.3043,2937.5236,1528.0851,1024.8674,996.4236,687.913,823.1259,1739.9016,1220.3208,620.7631,965.9127,63,589.1208,954.3157,948.4766,2456.5403,1119.7851,4487.9399,1.6,1,1111.1416,6943.9664,810.6627,2186.7108,4556.515,28566.9634,0,10,0,0,2.56
0,1,597,1.4,2924,2038.1945,856.7169,1236.9849,502.7228,48,5110.1827,2700.9713,1478.4659,979.4042,960.3255,631.6124,684.358,1790.0681,1245.6468,525.7453,912.8821,69,604.0219,912.9314,937.343,2511.7143,1146.4246,4724.3478,1.7,1,1018.1777,7330.97,788.5421,2258.4784,4694.1151,29898.3423,0,9,0,0,1.96
1,0,507,1.3,2658,1998.8292,840.5222,1128.3404,494.9282,49,5257.0103,2551.541,1493.662,968.3302,903.5999,589.5157,574.9777,1786.6712,1239.9422,497.1676,863.4262,63,595.3455,927.4984,958.3742,2487.1717,1106.1128,4845.4869,2.5,1,987.5744,7382.5695,761.6662,2173.1945,4776.4147,30202.1808,0,9,0,0,1.69
0,0,535,1.3,4588,1751.2914,864.1645,1120,489.7212,51,4760.7919,2070.3047,1489.1773,899.029,909.0966,622.7534,558.8662,1609.1754,1201.8332,460.9479,843.0894,60,605.3195,855.2817,940.7125,2344.2785,1056.4981,4549.7056,1.6,1,936.0206,6747.5526,776.9504,2106.1107,4545.0212,28151.8132,0,9,0,0,1.69
0,0,925,1.3,6290,995.7926,872.252,1060.6224,457.4015,51,3472.106,1192.8203,1379.3974,871.2449,824.13,588.8891,425.2869,1451.0688,1171.8475,440.8085,803.2575,73,581.9971,838.0459,896.505,2031.8258,970.3667,3836.7539,1.1,1,886.4286,5489.0459,740.7933,1904.1128,3830.8774,23395.188,0,9,0,0,1.69
0,1,371,1.4,1572,758.1559,855.4488,1055.0342,443.8894,53,3166.7361,861.232,1349.8706,821.6096,760.2695,589.7115,426.7679,1386.6813,1153.1304,462.1271,785.9305,55,551.3497,845.3674,874.957,1964.2721,949.2515,3645.3629,0.8,0,864.4501,5230.9795,718.1592,1897.6438,3736.3746,22377.9209,0,9,0,0,1.96
0,0,156,1.3,439,587.8633,735.6779,962.9196,410.9361,53,3087.1038,717.8544,1272.4406,764.3882,685.3946,554.6021,313.8881,1294.0457,1147.5428,392.2097,733.5466,52,499.9179,721.9499,813.6375,1862.1457,847.3744,3513.4304,0.3,0,742.8254,5052.359,652.0182,1791.6324,3635.135,21508.2926,0,9,0,0,1.69
0,0,39,1.3,0,557.2282,720.7225,995.406,413.2254,56,3048.1699,707.3458,1253.384,752.8985,655.1477,549.1088,322.6537,1253.0544,1163.9951,384.6692,733.5083,56,505.912,707.4617,802.9729,1844.6937,857.5405,3528.4368,1.3,1,683.5532,5052.5385,635.1175,1789.4716,3627.6688,21397.4177,0,9,0,0,1.69
0,0,14,1.5,0,510.3862,733.4612,980.7524,406.1689,68,3051.8322,683.259,1233.3196,740.768,679.3533,511.0734,317.6517,1254.0981,1137.3424,442.1687,712.49,57,490.9788,733.6056,796.3735,1861.1394,827.887,3484.316,1.7,1,702.1439,5048.1899,632.2066,1814.2613,3615.308,21362.4645,0,9,0,0,2.25
0,0,11,2.3,0,496.2466,733.2047,977.9288,395.969,73,3042.3727,685.7616,1223.0808,742.5794,681.4515,521.6082,337.4698,1253.9553,1119.7321,409.5083,713.3655,54,512.1871,727.3213,771.5709,1839.5115,838.7265,3505.3914,2.1,1,684.1347,5062.7687,628.2365,1804.0246,3651.5311,21382.6361,0,9,0,0,5.29
0,0,10,2.4,0,519.558,733.0258,978.2633,397.9425,74,3074.4867,669.9352,1221.3876,742.9367,683.1055,520.4267,346.7728,1266.9282,1144.9604,400.784,710.0216,56,504.4714,718.2118,774.3506,1836.8971,848.3535,3449.9689,1.9,1,677.5247,5017.6785,619.5007,1814.7394,3634.1544,21316.2408,0,9,0,0,5.76
0,0,15,2.4,9,519.5921,736.0362,970.8578,399.5839,78,3041.597,646.1051,1218.3058,752.0569,684.0648,526.2065,337.882,1263.6652,1132.7858,385.6267,718.2752,59,514.7669,716.4237,772.1182,1848.6048,856.1104,3444.3577,2.8,1,685.5467,4985.6035,631.7494,1806.0777,3617.7614,21225.9731,0,9,0,0,5.76
0,0,44,1.5,205,494.7831,753.6695,962.2059,414.0796,79,2995.8535,669.8282,1238.6916,738.8313,687.7645,515.3254,359.2722,1266.4765,1135.0307,374.5777,726.2189,69,532.2081,736.2734,759.9918,1826.4985,830.7045,3436.0203,3.4,1,702.2617,4994.3667,638.0673,1822.2398,3618.088,21198.2349,0,8,0,0,2.25
0,0,64,0.1,289,500.6858,747.9351,950.2821,408.8345,76,3029.6704,686.2348,1237.2721,758.6066,699.2549,508.3542,369.9148,1231.9645,1145.7971,379.7208,727.6383,73,534.7952,729.9952,765.5119,1810.651,868.6801,3416.8657,4,0,701.818,4908.9215,641.8402,1803.6034,3592.9277,21031.8763,0,3,0,0,0.01
0,0,102,-1,491,505.5625,740.0742,946.9104,411.1003,78,3015.7035,648.767,1223.3605,757.346,704.0803,510.1351,343.0486,1223.6421,1132.3994,385.0539,734.3416,83,535.7525,714.258,787.4326,1802.3035,850.9779,3399.722,3.1,0,712.9012,4840.3283,650.4404,1798.3314,3541.6913,20845.0826,0,3,0,0,1
0,0,223,-2.5,877,491.5746,761.554,966.5149,424.3091,75,2924.962,643.4876,1189.7673,749.4372,723.3811,572.909,370.6167,1206.5423,1180.7565,423.4725,753.3476,98,545.2934,721.8026,771.7025,1825.2358,868.2516,3329.3294,3.5,0,753.3462,4696.8871,673.9896,1776.3912,3436.2676,20385.3827,1,1,0,0,6.25
0,0,216,-3.4,1177,502.3691,727.5028,986.262,450.6381,70,2783.1929,655.3129,1178.8354,748.4139,790.7746,578.1826,349.8773,1226.745,1157.6541,411.6054,776.3244,88,521.4169,746.783,746.6805,1825.0458,880.8303,3277.445,4.6,0,783.8675,4496.2641,655.7615,1743.1775,3321.775,19852.4807,0,1,0,0,11.56
0,1,211,-3.1,1127,511.9698,721.3972,1005.3935,469.5043,61,2792.027,677.1801,1273.1469,767.6964,846.3343,633.1284,423.8432,1416.8877,1144.9574,518.2585,863.2488,53,558.9826,764.5253,807.6411,1862.8756,1001.7808,3247.5473,4.2,0,825.7008,4484.5632,733.6528,1752.2881,3278.4748,20107.8106,0,0,0,0,9.61
0,0,207,-3.1,1148,635.3058,772.2438,1017.1203,418.0031,53,2867.6544,774.001,1344.8111,835.8219,876.2418,614.8954,500.625,1441.9932,1111.51,531.7488,871.8992,45,588.5061,799.2789,772.8527,1891.448,1116.0828,3263.6,4.5,0,834.9209,4494.4742,681.4727,1798.1419,3315.9332,20418.056,0,0,0,0,9.61
0,0,389,-1.5,1580,632.8864,787.2407,1045.8641,425.3195,46,3363.4528,933.3193,1317.0128,815.7619,924.8537,594.3824,625.9726,1461.4149,1126.193,630.0411,910.3295,40,602.5616,794.8165,789.3853,1902.9504,1111.6209,3476.1014,3.9,0,961.0474,4747.2292,720.5907,1875.7305,3517.9849,21661.8769,0,0,0,0,2.25
0,1,394,-0.4,1871,731.4795,812.0731,1087.1117,447.3709,35,3329.2064,1126.8067,1363.1763,856.6139,967.7276,593.2558,622.8163,1512.8107,1125.9686,738.0655,980.0378,38,592.8409,833.4425,795.4178,2026.6466,1122.8769,3578.1867,3.4,0,995.1954,4986.6075,748.7873,1951.3447,3600.6907,22348.6696,0,0,0,0,0.16
1,0,364,0.1,2028,857.0299,810.637,1102.8367,443.698,31,3397.1834,1395.5304,1374.455,883.6493,1022.0045,570.9882,832.6094,1508.9384,1111.0318,687.1786,988.3617,28,589.4691,834.5835,800.5017,2021.5387,1112.3147,3813.7455,4,0,998.5618,5208.505,734.1823,1958.0374,3714.0878,22996.4912,0,0,0,0,0.01
0,3,432,0.5,2304,1208.5638,801.738,1119.0984,474.9823,36,3627.5647,1741.0337,1351.8728,833.9735,990.5625,573.3848,914.8009,1515.8106,1109.9976,732.9285,988.6655,37,590.7319,881.2262,808.3482,2098.6716,1113.9994,3857.5434,4.3,0,1011.3095,5418.2522,692.4285,1991.6567,3768.2521,23629.6241,0,0,0,0,0.25
1,0,491,-0.1,2516,1616.2848,830.4032,1190.6151,449.5989,38,3886.5375,2155.2157,1332.3706,818.9891,932.9054,601.8644,897.0749,1515.9673,1155.8504,751.3162,980.2382,35,600.6374,878.923,830.4256,2164.9698,1099.7019,4082.5503,4,0,970.2256,5865.105,710.1596,1974.6235,3993.6053,24815.7293,0,0,0,0,0.01
2,0,469,-1.1,2638,1953.2426,822.8965,1115.925,439.301,39,4315.8193,2432.8995,1377.2147,827.1451,954.649,604.0696,703.2849,1516.6124,1124.1859,615.5294,939.309,28,584.3416,858.1834,844.77,2341.2923,1135.5172,4310.9887,3.5,0,1008.0614,6334.2912,710.6731,2074.3958,4179.2412,26449.8556,0,0,0,0,1.21
4,1,463,-2.4,2332,2073.1991,819.1513,1138.8168,453.0814,43,4552.9204,2517.6539,1344.9876,925.2605,900.5074,590.5408,561.1836,1468.9995,1139.6089,541.436,945.7401,28,560.2925,864.1828,910.9316,2369.7071,1051.8279,4458.2754,2.8,0,1020.9941,6611.4421,701.1785,2166.7952,4356.0624,27329.1897,0,0,0,0,5.76
0,1,443,-3.1,2398,2028.9094,866.1993,1081.2734,425.9245,41,4705.9731,2405.7152,1290.5353,846.9992,892.1797,586.0917,481.5665,1488.2849,1140.7649,526.0906,893.5348,29,560.4339,852.6209,838.5001,2297.2773,1006.9966,4502.4762,3,0,935.9786,6625.4534,682.1357,2176.1766,4463.3578,27549.5346,0,0,0,0,9.61
1,1,479,-3.9,4045,1655.1515,816.3512,1025.7416,443.7315,33,4185.7887,1940.0456,1318.9133,876.6649,895.4406,602.0952,466.4487,1438.9806,1163.9845,530.7938,873.4205,23,564.9509,850.9701,801.6402,2172.6787,988.9646,4257.2716,3.2,0,894.1632,6206.2997,675.1549,2103.8438,4312.9366,25996.713,0,0,0,0,15.21
0,0,753,-4.4,4884,820.0239,784.8381,992.3713,452.1093,36,3295.94,1117.8698,1301.5471,850.6631,847.0938,582.5634,349.957,1420.007,1216.33,509.306,839.5451,16,566.2016,825.0251,754.3933,2038.8988,966.2662,3738.1376,2.9,0,859.2304,5293.6837,680.6803,1965.0016,3914.4968,22967.7126,0,0,0,0,19.36
0,0,292,-5.3,1190,574.4363,843.5918,1009.1712,438.1251,42,3010.7097,841.1971,1253.9594,824.0082,813.081,593.2849,371.517,1341.6374,1177.3726,490.5576,803.9743,23,564.0986,759.1968,742.703,2008.5808,932.7086,3613.4698,4.3,0,788.9628,5211.8857,652.8751,1929.9297,3929.2341,22299.4066,0,0,0,0,28.09
0,0,123,-6.4,306,531.8375,813.5733,953.9544,403.6884,50,2790.8244,717.4589,1181.6098,747.4594,679.061,523.1585,371.6102,1294.0855,1148.9222,399.8777,779.8031,27,508.6941,729.9258,708.0794,1867.6799,877.7108,3631.0799,3.5,0,667.3961,5061.133,619.5948,1908.1898,3797.332,21531.9343,0,0,0,0,40.96
0,1,65,-7.2,0,482.1795,820.4594,957.1438,396.565,55,2841.6177,690.295,1192.5558,730.0344,675.0286,507.0416,355.4707,1214.815,1150.2223,427.5627,778.0498,22,524.854,709.6975,722.1414,1867.1067,881.4804,3614.5031,2.6,0,653.7381,5053.7677,609.7862,1931.9963,3795.4313,21511.7936,0,0,0,0,51.84
0,0,12,-7.9,0,481.2618,836.1792,961.7567,381.7634,58,2896.1613,704.8763,1185.232,732.6998,671.3504,524.7905,338.2724,1265.8558,1147.3782,429.5601,791.4708,27,516.6819,704.6188,710.9062,1874.6403,864.3721,3614.1539,2.3,0,680.4598,5097.9713,620.4322,1923.0268,3757.6253,21614.6667,0,0,0,0,62.41
0,0,16,-8.6,0,475.9066,815.558,984.562,394.0959,59,2951.7548,709.988,1194.714,729.0788,685.2755,510.4923,327.5797,1274.0092,1133.0724,423.055,772.9645,23,518.1962,709.349,712.0167,1858.1048,886.5565,3630.9678,1.1,0,692.6485,5069.5007,615.9635,1911.0223,3741.3603,21631.4339,0,0,0,0,73.96
0,0,12,-8.5,0,458.033,830.3529,988.6611,399.9098,59,2909.6324,712.1328,1203.7767,733.412,686.9822,518.1705,344.711,1263.622,1126.9878,441.4926,769.0429,21,532.7937,720.3089,713.1219,1826.1026,879.4236,3647.4692,1.7,0,700.0676,5091.4859,629.3158,1917.2782,3755.623,21614.99,0,0,0,0,72.25
0,0,34,-8.9,8,443.2432,840.1666,1003.3557,393.3146,60,2924.7635,686.0715,1226.227,735.5098,695.0285,509.9476,352.7897,1269.5324,1150.4958,427.84,774.5747,24,530.3411,710.845,728.6937,1854.5271,886.6428,3632.9773,1.3,0,688.2282,5093.082,634.3743,1955.9619,3754.3751,21711.4463,0,0,0,0,79.21
0,0,75,-9.1,550,452.1816,837.4521,1021.5719,391.0275,60,2918.2785,693.1493,1193.7552,773.2122,728.552,509.1671,342.4087,1275.7229,1185.8169,455.5605,767.485,22,518.635,737.4996,711.2284,1860.3848,905.3978,3624.2712,1.2,0,715.5588,5099.6497,645.8809,1919.9439,3756.2492,21648.2554,0,0,0,0,82.81
0,0,148,-9.1,910,517.9554,834.6962,1025.3193,410.1489,60,2889.9257,716.2945,1209.6559,750.238,727.2234,548.6871,353.8341,1303.3155,1189.7242,446.2801,799.8941,23,559.8347,724.4121,749.734,1833.2878,898.0923,3584.5268,0.9,0,753.6663,4991.806,653.9885,1951.6427,3748.122,21512.2824,0,0,0,0,82.81
