"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m10","m5","m20","m30","m45","m65","f15","f20","f25","f35","f50","f55","f65","bus_passenger","sub_passenger"
0,11.8,0,1.4,96,10,16,139.24,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,634.9342,293.0462,1396.6178,3849.5289,1977.3017,1049.2048,432.353,1594.7799,5368.899,3644.1727,1336.1808,826.0623,775.1641,553.3624,333,1502
4,11.9,0.1,2.3,95,10,22,141.61,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,649.1757,299.6188,1443.9884,4003.2271,2079.3398,1111.4102,410.1913,1631.0986,5618.3554,3676.274,1358.4788,868.1512,748.798,559.0239,389,1791
2,12,0,0.6,94,10,27,144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,711.0967,328.1978,1529.4098,4060.6333,2144.752,1089.0895,410.2734,1960.5023,5823.2914,3817.9649,1293.7923,862.4857,756.6777,550.8056,401,1919
0,12.2,0,2.1,93,10,25,148.84,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,704.2793,325.0514,1763.4732,4515.0623,2091.3664,1108.5368,432.3301,2144.2076,6049.0173,3960.677,1382.6423,841.4747,743.0603,576.1096,409,2011
3,12.3,0,0.8,92,10,26,151.29,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,612.46,282.6736,1943.4229,4732.9632,2178.1828,1144.2231,430.9925,2361.1944,6492.4617,4177.2216,1340.4118,858.2584,725.8681,579.0825,350,1959
5,12.3,0,1.4,92,9,26,151.29,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,568.8776,262.5586,1945.005,4833.3919,2247.8264,1084.5286,441.3912,2190.005,6540.4184,4237.9425,1348.8387,872.4666,754.9605,584.7344,327,1791
2,12,0,0.5,92,8,19,144,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,573.4178,264.6542,1836.3172,4796.1855,2141.7724,1033.5228,412.8996,1980.5644,6599.478,4236.0253,1267.2557,888.5126,733.1624,589.1637,337,2209
2,11.9,0,1.3,92,7,19,141.61,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,608.1875,280.7016,1630.1421,4636.7373,2155.9894,1027.6632,433.1514,1736.5918,6570.2097,4156.6957,1305.1002,827.1057,701.1718,607.8249,336,2081
3,11.5,0,0.1,92,8,12,132.25,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,581.5064,268.387,1420.2454,4224.6222,2036.9394,1044.6201,432.8486,1433.8976,6153.7931,3965.4941,1275.1235,793.4001,678.27,618.5155,368,2218
1,11,0,0.7,92,9,12,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471.7038,217.7091,827.2113,3585.0309,1841.9739,953.7798,434.663,1143.0417,5678.2966,3750.0108,1241.6837,700.4429,588.3071,525.0687,329,1278
2,10.8,0,0.7,91,8,25,116.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.4116,213.8818,763.3902,3549.7218,1843.4854,952.4562,411.7999,1111.4928,5693.9961,3756.6056,1213.7795,697.2107,574.93,535.5878,78,0
1,10.6,0,3.4,91,8,9,112.36,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.7235,218.6412,735.9907,3485.8464,1852.7216,962.9866,422.1312,1098.0585,5678.4813,3765.3995,1232.1534,704.2766,592.2259,544.4863,23,0
1,9.8,0,2.9,90,8,5,96.04,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.5773,234.7278,743.2342,3461.5877,1851.4066,990.6352,416.8456,1069.4541,5659.3268,3744.4406,1244.6702,693.7316,584.3167,551.6595,11,0
0,9.3,0,2.8,92,2,9,86.49,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.4079,235.1109,760.1987,3456.617,1879.7797,975.1194,417.3269,1064.2833,5648.9183,3774.1679,1254.4559,684.6021,600.1501,550.4696,14,0
1,9.3,0,1.8,91,8,76.5,86.49,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496.0753,228.9575,766.0715,3474.9079,1887.4978,1002.6573,422.0085,1070.8014,5683.2926,3750.6821,1269.1078,698.7638,609.5779,525.5811,14,5
0,8.7,0,3.8,90,8,88.5,75.69,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.4153,236.4992,771.8554,3462.7007,1871.519,979.7375,429.6818,1030.6899,5655.638,3795.1537,1284.9443,712.1898,622.4786,537.1718,49,165
1,8.3,0,3.7,90,6,98,68.89,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.8644,228.3986,738.2849,3449.1822,1862.3059,1016.9551,436.0983,1043.4378,5591.4747,3718.386,1222.8973,702.3351,629.8166,586.3227,77,254
1,8.7,0,3.5,87,9,8,75.69,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.5038,239.3089,923.9553,3373.3817,1908.919,1182.139,419.5883,1127.3514,5528.0496,3655.4946,1318.573,785.0621,701.0782,596.4139,91,390
11,9,0,3.2,86,9,123.5,81,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659.3882,304.3328,1103.0601,3377.2692,1798.2369,1269.2333,459.6818,1221.3788,5323.8051,3451.0102,1369.7737,851.7195,793.9026,595.2,176,718
3,9.6,0,2.2,85,9,6,92.16,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656.6411,303.0644,1149.27,3388.1404,1780.9306,1286.1001,528.6603,1263.6386,5100.0056,3143.201,1377.3723,930.132,874.6169,575.3295,174,988
5,10.2,0,2.9,85,9,16,104.04,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,684.1663,315.7683,1342.0695,3574.7723,1701.3851,1277.5018,512.5124,1313.0236,5138.4923,3148.8897,1516.9335,1024.7684,953.5767,621.7658,204,918
3,11.4,0,2.2,83,9,17,129.96,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,695.2274,320.8737,1492.5022,3855.3692,1772.3555,1313.1151,509.0351,1446.3738,5314.2764,3102.8376,1529.1399,1029.6853,978.2729,624.4874,200,981
1,12.9,0,2.4,85,10,37,166.41,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,689.6192,318.2855,1545.8702,3927.3308,1758.352,1295.5142,529.1599,1590.491,5515.3443,3179.0891,1544.1033,1086.7712,934.3108,617.3835,318,1402
0,10.1,0,4.8,93,10,57,102.01,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,763.1002,352.1994,1637.3602,4050.0306,1796.1728,1356.976,558.6043,1654.3082,5528.6541,3185.5834,1580.8756,1075.2247,990.4923,615.0463,301,1478
0,8.4,0,3.9,95,10,55,70.56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,700.1082,323.1264,1587.5649,4069.2234,1801.786,1422.6812,500.0716,1589.0411,5566.2632,3148.8332,1554.4514,1177.783,1019.2451,656.8786,333,1502
0,7.6,7.9,3.5,97,10,54,57.76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,585.8026,270.3703,1411.5854,3990.4437,1783.0168,1418.2936,555.7791,1592.1335,5517.9768,3146.8379,1505.2342,1111.2307,1009.8375,606.9333,389,1791
1,7.5,0,4,98,10,57,56.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,575.4208,265.5786,1361.645,4035.7366,1748.6467,1281.1317,550.6086,1661.5112,5561.348,3178.7341,1365.3214,1055.7757,979.029,618.6409,401,1919
1,7.2,0,2.8,97,10,63,51.84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,514.0152,237.2372,1583.1694,4251.8537,1882.5965,1293.5848,564.3311,1900.9005,5788.9125,3362.8173,1456.3097,957.6884,972.7273,635.3003,409,2011
2,6.9,0.8,4.3,98,10,5,47.61,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,556.3831,256.7917,1821.3596,4340.1941,2165.5912,1304.3996,487.4868,2162.9284,6280.9074,4042.3258,1465.223,1037.9041,938.9524,635.0499,350,1959
5,7,0,3,95,10,12,49,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,461.7472,213.1138,1815.2755,4490.6198,2171.5067,1235.1352,497.5155,2152.8075,6497.3574,4204.4606,1431.5617,981.5606,922.7941,613.2573,327,1791
2,6.8,0,3.3,92,9,15,46.24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,499.1299,230.3672,1790.5183,4581.3668,2157.4263,1152.8127,451.0192,2032.6672,6534.0938,4224.3421,1463.5074,897.5692,841.4341,605.8922,337,2209
5,6.1,0,2.9,89,2,20,37.21,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,463.679,214.0052,1585.4092,4374.9298,2124.3662,1111.5612,442.1223,1718.1013,6348.443,4134.7642,1384.1061,887.577,807.5672,595.1459,336,2081
2,5.9,0,3.2,88,8,23,34.81,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,493.4804,227.7597,1197.8348,4087.5435,2048.0411,1043.0564,430.8156,1408.7284,6043.2126,4033.3969,1356.4658,830.7865,791.6262,585.0664,368,2218
1,5.5,0,2.4,87,5,16,30.25,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,457.6708,211.2324,737.172,3538.3118,1889.4355,951.9376,406.2856,1156.5341,5712.8983,3785.5023,1199.0818,709.5242,636.0388,554.3509,329,1278
5,4.9,0,3.3,86,2,19,24.01,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.1388,209.6022,718.8493,3514.7721,1896.6948,937.3403,429.0184,1050.4783,5808.4135,3826.2617,1251.062,699.8031,642.97,556.945,95,1
0,4.6,0,3.8,86,0,18,21.16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.4514,207.4388,728.2919,3545.7586,1891.6694,989.8204,425.8071,1063.4233,5808.2181,3846.9807,1234.0382,694.023,652.8313,551.8604,45,0
1,4.2,0,2.3,84,5,19,17.64,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.3468,212.9292,738.24,3510.4057,1869.7428,992.7047,419.0218,1088.9907,5805.1424,3884.3961,1235.2604,702.0604,666.1931,550.7126,15,0
0,3.4,0,0.5,85,3,17,11.56,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.0608,221.5663,721.7899,3548.1496,1873.8133,977.8503,409.2201,1064.5017,5837.9453,3893.0059,1227.2718,704.9083,674.0636,547.3185,18,0
0,3.1,0,1.6,88,0,13,9.61,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.3702,227.2471,724.9463,3507.8229,1879.6705,974.5666,423.8933,1075.8567,5865.9241,3916.3038,1240.1296,699.5831,680.297,557.7194,30,4
0,2.9,0,2.7,91,7,14,8.41,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.0761,236.3423,714.3292,3517.7153,1876.3696,965.1605,434.4174,1041.4773,5795.5454,3939.4797,1255.8683,690.4417,672.8644,535.3907,87,539
1,2.6,0,0.7,91,4,19,6.76,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.0701,245.1087,727.2682,3478.4137,1859.0101,1007.274,473.548,1058.9104,5675.0514,3878.7955,1284.8935,699.8604,685.5433,585.8917,184,847
1,2.4,0,1.1,92,3,17,5.76,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.4265,269.2736,927.1853,3355.5873,1881.2325,1121.8031,477.0747,1148.6651,5589.0325,3822.185,1315.6904,796.2123,781.3477,580.0818,473,2429
8,2.5,0,1,93,7,17,6.25,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664.8818,306.8678,1096.5478,3493.9513,1709.6298,1170.305,507.2772,1266.7001,5540.9436,3452.3797,1406.6308,879.0103,814.648,604.3572,746,4209
2,4.3,0,1.4,90,8,19,18.49,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.0698,300.9549,1176.3402,3511.2975,1687.4401,1344.2804,556.1824,1362.2095,5330.9152,3181.36,1385.6735,912.5178,912.2042,655.3532,496,2556
2,6.1,0,2.1,78,7,29,37.21,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,701.1273,323.5968,1199.5898,3594.389,1690.9294,1236.6926,529.1245,1465.1472,5311.7514,3217.45,1420.1814,956.5613,928.7155,632.3723,304,1496
4,7.2,0,1,74,7,44,51.84,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,688.0134,317.544,1420.4406,3786.4687,1685.445,1243.1712,523.1058,1633.1457,5415.8764,3272.3335,1507.0758,974.5918,957.8411,652.1677,312,1348
4,9.7,0,2.1,65,5,54,94.09,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,694.5921,320.5803,1412.5858,3909.9734,1698.8924,1215.451,512.8052,1755.801,5587.6342,3264.1034,1520.5619,987.9864,933.572,620.4825,344,1581
7,10.4,0,2.4,60,6,52,108.16,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,790.98,365.0673,1434.234,3994.4991,1767.1954,1281.8285,553.4106,1735.4495,5729.2472,3377.1308,1485.2228,978.3502,985.8073,703.8475,414,1825
3,11.6,0,2,55,0,63,134.56,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,793.5455,366.2512,1567.4569,3952.5275,1729.3671,1296.9337,514.8313,1838.4197,5822.7976,3333.856,1502.9666,951.3937,995.8776,709.775,424,1814
3,12.1,0,1.9,52,0,63,146.41,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,679.0481,313.4063,1494.1232,4085.0412,1759.9902,1268.4919,541.268,1805.7907,5700.6144,3252.2424,1475.6747,1016.3147,1015.4776,660.1355,497,2244
7,13.1,0,2,48,7,68,171.61,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,598.8125,276.3744,1447.8639,4072.0713,1762.5747,1249.0608,517.0533,1915.855,5768.4663,3361.5208,1481.4208,949.8962,994.0793,632.6281,554,2540
6,12.6,0,2.6,48,4,87,158.76,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,546.2287,252.1048,1710.7986,4222.9764,1846.1012,1301.449,490.1685,2098.7946,6064.0145,3463.0131,1439.7217,979.9381,971.2917,649.9857,670,3406
20,12.1,0,2.2,51,8,78,146.41,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,572.0422,264.019,1949.5565,4720.2918,2222.9375,1371.2369,530.0805,2410.6566,6829.5029,4097.9406,1628.426,973.3171,954.6203,631.5549,878,3874
7,10.9,0,2.3,58,7,83,118.81,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,597.8111,275.9124,2087.9962,4861.2337,2245.1743,1309.4801,487.4107,2406.7944,6884.3128,4289.2533,1498.9362,932.593,856.0687,639.6047,720,2672
7,9.5,0,2.1,65,0,70,90.25,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,547.0082,252.4648,1910.1024,4950.67,2265.8602,1325.8907,495.4128,2253.9233,6900.9308,4278.7907,1422.2464,954.7014,881.5628,655.1951,542,2503
7,8.1,0,3.4,71,2,66,65.61,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,587.5155,271.1611,1685.1264,4693.2831,2195.9357,1206.5645,473.9382,1830.1504,6664.893,4215.6308,1414.4494,897.9275,804.5357,642.3091,575,2499
3,6.9,0,2.3,73,3,50,47.61,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,574.0564,264.9486,1406.0855,4176.9197,2129.2359,1152.5824,475.0685,1498.7636,6262.6299,4074.5631,1304.2096,851.7124,766.2315,617.0329,505,2665
6,6.1,0,0.9,74,0,39,37.21,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,461.5624,213.0281,840.3188,3452.5442,1923.5674,1009.733,437.316,1213.0449,5854.9653,3832.0264,1231.6475,728.1146,679.2365,551.4978,385,1379
4,5.4,0,0.4,76,0,40,29.16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.1468,217.9132,811.9743,3447.1209,1947.0389,990.6368,429.5537,1150.1684,5810.843,3881.2765,1284.6634,721.1554,669.9724,549.596,139,0
0,5.1,0,0.4,76,0,26,26.01,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.4635,208.3674,795.8232,3439.3688,1910.2534,1011.4389,401.2803,1168.8122,5788.3312,3846.6846,1273.4795,717.3059,673.3015,559.4181,27,0
0,4.8,0,0.1,76,0,37,23.04,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.4803,213.9132,819.3122,3474.8025,1891.3823,1001.6302,409.5414,1156.4799,5781.4241,3858.447,1277.7568,718.882,654.3623,546.6463,28,0
1,4.7,0,1.6,79,0,27,22.09,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.4788,217.1437,826.2348,3468.072,1881.5406,1015.2265,415.0154,1153.8034,5778.8239,3878.458,1300.0561,711.6597,645.4974,540.4249,20,0
1,4.4,0,1.3,82,0,47,19.36,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.4703,217.1395,821.4323,3441.1225,1888.9222,1029.8276,404.8372,1172.5478,5800.0577,3894.8988,1317.1869,702.8219,673.8714,554.0491,32,10
0,4.2,0,1.9,81,0,47,17.64,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.7723,211.2794,813.0251,3471.1604,1876.1526,1015.4506,348.6947,1146.1542,5773.9239,3897.9671,1279.8363,712.7951,687.1578,526.6262,85,542
0,4,0,1.4,75,0,27,16,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.9973,210.9216,841.3117,3415.7801,1861.5296,1059.2544,406.8425,1129.4886,5679.1883,3866.5146,1283.1321,736.8583,722.1061,561.1255,185,819
1,3.7,0,0.8,79,3,22,13.69,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.5468,238.4059,995.0822,3386.0994,1835.8904,1206.7186,439.3498,1155.9823,5503.8499,3820.861,1375.6136,853.428,734.6282,591.9056,441,2333
11,4.3,0,1.2,81,6,28,18.49,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617.4126,284.9592,1144.1649,3482.9748,1716.265,1250.9577,504.6825,1332.0741,5551.3194,3514.2882,1420.1798,838.7635,812.389,630.734,771,4099
5,6.2,0,1.4,77,8,39,38.44,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.1329,274.6764,1300.274,3546.3628,1675.2938,1321.7007,504.5361,1422.7239,5327.8976,3298.7901,1377.5414,934.4735,931.2529,618.8607,535,2528
5,8.2,0,1.4,65,7,55,67.24,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,621.3481,286.7753,1456.5361,3541.8875,1670.0571,1298.0366,496.5504,1619.1489,5338.1756,3268.1433,1398.6088,954.5946,916.9075,643.6467,322,1493
1,11.1,0,1.2,62,1,66,123.21,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.473,299.2948,1485.8506,3738.7765,1733.2493,1292.3872,481.3625,1680.2657,5372.2765,3283.8786,1475.7818,960.7789,930.9655,630.5844,320,1382
9,13.5,0,2,51,0,87,182.25,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,759.6449,350.6055,1681.3396,3885.9388,1746.1569,1328.5774,513.0293,1724.2005,5565.0838,3299.9773,1432.0794,967.6598,905.4285,611.007,342,1591
4,14.1,0,3.2,43,0,90,198.81,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,793.671,366.3094,1745.3112,4070.5126,1745.2791,1253.911,539.5618,1724.1039,5668.8835,3288.724,1482.5029,1005.5776,917.1762,585.0213,422,1814
8,15.5,0,3,45,0,106,240.25,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,588.5216,271.6249,1669.9102,4118.3629,1798.751,1316.2157,501.5795,1831.6897,5643.4784,3337.7619,1463.5395,1003.4001,979.285,616.7315,420,1860
1,16.5,0,3.3,40,0,126,272.25,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,493.7342,227.877,1674.7886,4057.0431,1791.3064,1281.5592,491.4541,1906.6349,5703.6295,3315.3466,1456.1819,978.9599,946.5149,629.8063,488,2326
10,16.3,0,3.2,39,3,121,265.69,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,583.6119,269.3586,1677.2486,4072.6194,1836.5245,1246.9353,506.7037,1915.6097,5811.6711,3399.4852,1478.1128,998.836,951.7312,621.2046,530,2636
11,15.6,0,3.1,44,7,131,243.36,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,549.4033,253.57,1848.7106,4346.9848,1857.3508,1257.4881,492.8192,2136.0991,5982.4569,3473.4162,1519.425,911.1207,994.5976,629.837,677,3569
13,14.6,0,2.2,49,4,103,213.16,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,569.1073,262.6646,2114.1261,4556.0419,2123.5715,1365.9487,459.2048,2405.9938,6453.4362,4039.8483,1522.9112,988.2123,938.3404,607.5479,919,3867
11,13.7,0,3.5,54,9,83,187.69,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,522.4654,241.1377,2140.3488,4852.579,2105.844,1242.4256,452.795,2463.9081,6841.7041,4272.875,1488.7057,959.4599,872.6378,625.6441,669,2558
4,13,0,3.3,59,9,72,169,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,501.1058,231.2796,1998.4378,4726.2214,2177.1904,1254.6057,455.1532,2216.3847,6929.4898,4280.1497,1497.4996,919.5761,831.776,597.38,489,2585
3,12.4,0,3.3,64,9,57,153.76,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,478.0599,220.6425,1767.2425,4630.5881,2116.9004,1109.7753,469.437,1976.3521,6642.3544,4236.4196,1428.8732,867.7595,796.4127,618.1858,474,2624
9,12,0,3.1,67,10,53,144,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,476.4475,219.8985,1488.5852,4191.386,1953.9782,1038.4319,450.7556,1582.6569,6216.8844,4063.7134,1424.3475,848.7106,805.0995,587.9798,506,2695
0,11.4,0,3.6,67,10,55,129.96,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,461.4558,212.9793,862.3346,3590.3824,1882.6687,983.2078,390.9618,1266.2686,5877.7855,3858.958,1347.3925,723.2601,659.6975,555.4079,408,1372
3,10.7,0,2.7,66,9,59,114.49,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.8761,217.7888,868.045,3522.2581,1877.7647,975.1565,398.8231,1131.3018,5802.1897,3820.0475,1342.5273,712.6869,665.1139,544.6756,137,0
1,10,0,2.5,70,10,67,100,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.3468,215.2366,877.0134,3501.948,1833.1262,977.9371,397.5921,1158.0034,5883.0641,3853.5194,1317.9148,735.4271,676.0375,566.6804,31,0
0,9.4,0,2.7,71,9,72,88.36,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.1964,208.7058,822.6007,3532.7117,1851.4544,1000.6437,394.8036,1153.081,5888.2524,3862.0694,1339.0355,714.9899,669.3716,541.7495,16,0
0,8.9,0,1.2,71,10,63,79.21,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475.7286,219.5665,864.3561,3495.1465,1873.267,1016.4613,405.3394,1126.8128,5831.3131,3883.7395,1318.8567,711.1796,657.0694,546.3483,17,0
0,8.6,0,2.5,68,10,57,73.96,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.9595,220.5966,883.7641,3476.6947,1873.5426,1009.6677,409.149,1145.6096,5884.3517,3892.6008,1338.013,718.6342,682.8086,544.7338,34,8
0,8.4,0,0.2,67,10,53,70.56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.5632,211.1825,838.0344,3479.4315,1875.4744,1027.186,392.8506,1126.3472,5854.1448,3917.0522,1331.1776,717.7879,690.7732,539.7503,81,543
0,8.2,0,2,68,10,46,67.24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.3072,211.5258,832.3133,3440.4691,1854.9932,1029.2178,396.5886,1145.1506,5800.7441,3935.3815,1330.3348,737.5031,704.2227,554.0588,164,793
