"y","station_dist","station_type","temp","rain","wet","cloud","temp.sqr","semester","past_return","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m5","m25","m30","m40","m50","m55","m65","m70","f10","f25","f35","f55","f70","bus_passenger","m0","f65"
1,232,0,10.1,0,67,5,102.01,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,781.3914,3358.9989,1791.7112,873.1387,858.7659,792.9406,426.6123,770.1387,254.0487,3478.4542,1280.572,752.6806,1169.8012,229,471.9178,494.9985
0,92,0,26.3,0,85,3,691.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,518.9975,792.692,869.6653,886.3076,730.3095,762.3042,481.7654,960.2487,345.3586,946.8189,1141.2097,990.9892,1423.9555,0,836.8477,603.2421
0,395,0,25.6,31.3,94,10,655.36,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,416.6793,605.9553,600.5148,597.0746,563.2695,649.2989,444.2501,830.0278,291.4876,606.2327,734.0394,735.2249,1154.3617,302,785.1822,512.7254
1,41,0,26.2,0,87,6,686.44,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,554.1763,890.1888,866.3205,771.7753,900.2623,1084.3151,606.08,1270.4249,319.6644,881.7051,955.2602,1240.8434,2007.2844,47,651.1162,824.5374
0,85,0,-7.3,0,73,8,53.29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614.1946,1436.2023,1503.237,1079.9794,881.9268,921.3428,421.6254,904.1158,342.9425,1784.5974,1443.3352,1017.9278,1345.1478,217,811.4713,572.2115
0,220,1,-1.9,0,76,7,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.4772,1329.1757,1017.0461,621.6305,542.4187,541.1179,288.4218,540.4905,118.2809,1368.94,787.4577,540.7625,885.2775,12,376.3303,328.0417
5,248,0,16.6,0,36,10,275.56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,487.2278,803.4653,853.1379,862.4195,689.7937,734.962,516.715,912.0691,314.3492,884.927,1039.6398,978.234,1321.0263,81,895.3022,683.8762
0,113,0,3.4,0,78,9,11.56,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,718.6216,3725.3647,1965.4853,950.3614,770.7346,797.9514,443.811,805.4439,157.327,3649.939,1320.6432,821.953,1162.8,375,432.8086,533.4266
1,405,0,11.4,0,83,9,129.96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,527.9057,723.2117,734.734,737.7293,671.1069,725.4375,431.9847,886.3525,470.2115,756.847,931.1042,839.4871,1261.8997,198,1086.7743,522.6117
2,10,0,24.4,2.2,92,10,595.36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,573.9039,1370.8314,1298.0302,1079.2356,863.3848,902.5972,441.5072,848.0074,314.9726,1397.8883,1345.3571,978.8613,1260.6054,249,679.4994,608.7453
0,410,0,17.4,0,59,5,302.76,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1282.5225,815.8343,853.2783,1450.2183,1358.7797,1246.6972,656.2175,1246.8285,1339.5034,872.8184,1465.5503,1428.7036,1573.0535,294,1376.884,748.4545
6,90,0,29.6,0,71,4,876.16,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,539.933,1051.5753,1032.1224,917.7719,892.2456,922.2359,506.2845,876.2742,307.4993,1194.3749,1059.2586,1075.854,1534.5697,243,509.1484,639.4358
0,554,0,-3.5,0,75,9,12.25,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1420.7548,2949.1456,1645.3288,1145.28,1043.6264,989.2389,508.6865,972.5876,206.5284,3167.9628,1533.5706,1041.6125,1311.3475,408,739.1287,668.2969
