"y","past_return","sub_passenger","station_dist","bus_passenger","temp","m50","m25","m30","m35","f60","m20","m5","station_type","f50","f30","f70","f0","f15","f45","m40","m55","m45","f20","m0","m70","m60","wind","f55","f40","f65","f25","wet","f35","dust","m65","most_use","cloud","sunny","X16_17","temp.sqr","X8_9","X7_8","rain","semester","X19_20","X12_13"
0,0,2891,116,588,18.2,1138.3341,2900.6113,1602.65,1467.1225,814.5304,4069.1209,1128.9789,1,1125.3679,1676.1578,1545.5296,342.0876,1381.9247,1167.1415,1200.6915,1060.4553,1266.2838,5817.6357,583.9291,948.4237,683.7198,2.3,933.3223,1070.9006,558.0362,3101.1401,99,1381.0832,7,561.2721,22015.5215,10,0,0,331.24,0,0,2.3,1,0,0
5,1,1978,17,460,14.9,1189.644,2969.8952,1654.6714,1466.7537,775.8823,4545.8822,1622.9065,1,1075.5271,1772.9982,1272.1347,371.3039,1530.4597,1209.4567,1193.6853,1136.5164,1280.3634,6459.476,504.9149,950.0209,723.2091,2.5,1023.2113,1135.9412,644.666,3052.9182,50,1544.7893,53,522.3453,23467.3842,10,1,0,222.01,0,0,0,1,0,0
14,5,4490,37,776,17.9,1065.9485,3099.1834,1708.2918,1412.1088,782.8465,3812.3499,1255.6128,0,920.2205,1868.2146,1366.6872,371.1851,1349.8926,1087.4383,1071.0108,889.1949,1203.2695,5396.4755,683.2408,988.09,662.7755,2.6,900.0467,1103.7082,637.7482,3468.6875,84,1396.0931,21,508.3619,22161.4046,8,1,0,320.41,1,0,0,1,0,0
0,0,0,116,40,23.7,814.5272,3695.2728,1901.6286,1381.0965,620.1049,3475.1488,636.1171,1,783.6204,1981.1039,1190.7285,319.788,930.1277,764.5446,906.405,762.977,925.7469,5584.5799,427.2256,773.6314,536.0623,2.8,687.0776,767.6839,524.8127,3950.3858,96,1371.3186,19,407.4045,23340.5349,10,1,0,561.69,0,0,0,0,0,0
7,10,0,116,118,17.8,869.6845,4239.3344,2032.6935,1392.6166,632.2449,4637.2733,1143.3906,1,778.8159,1792.4657,1151.1514,401.0805,1445.6653,715.8999,906.7988,836.779,992.2652,5974.3404,421.2409,818.3379,536.8338,1.9,714.7555,778.4218,524.0454,3811.1243,86,1281.6577,40,399.3519,25161.5059,7,1,0,316.84,0,0,0,1,0,0
1,6,0,51,23,8.7,762.6935,3621.0753,1829.7639,1319.6123,595.2741,3550.6754,772.8041,0,759.5057,1717.5665,1221.6358,322.2181,982.5582,826.1986,900.4039,816.3193,950.3274,5400.789,409.6733,847.5774,505.335,1.9,644.1025,712.8154,524.0593,3559.0618,58,1266.6112,20,401.8204,22265.1554,6,1,0,75.69,0,0,0,1,0,0
0,1,2163,546,448,24.5,892.9268,3645.1626,2109.7896,1572.9056,733.3221,3841.1779,1270.3625,0,879.1716,1952.8128,1293.2218,958.8757,1576.6969,1077.7651,1144.8611,932.5088,1271.7665,5460.4873,681.6324,746.7481,597.0459,4.2,896.1701,1046.8266,647.6201,3710.1321,54,1631.8705,50,456.1359,23924.3384,2,1,0,600.25,0,0,0,1,0,0
9,7,2887,37,593,27.7,877.9071,4879.5201,2318.3412,1581.8975,648.4481,4885.9982,997.5676,0,764.5501,2045.1416,1181.5667,413.4293,1274.2178,811.704,987.102,824.3602,940.7406,6323.4467,459.1552,757.544,579.9079,1.9,685.4674,810.4037,490.3932,4570.0219,81,1359.6668,28,411.39,27964.034,0,1,0,767.29,0,0,0,0,0,0
6,3,4303,116,839,26.9,977.5598,2908.3735,1761.2468,1375.5162,679.1263,3032.99,550.2865,1,860.1241,1634.7112,1365.6468,499.64,954.062,1049.0849,1064.5688,941.8307,1107.6799,4793.4673,546.9564,840.454,629.2682,2.2,810.3191,982.7264,589.937,3237.9157,89,1220.1769,19.5,466.2896,19964.3976,10,1,0,723.61,1,0,0,0,0,0
4,11,2763,37,563,-4.3,1049.6416,2692.5035,1657.2913,1484.9312,771.5786,2525.5709,802.3288,0,933.4412,1700.6607,1362.727,436.1389,742.958,1169.6089,1067.1779,1016.4731,1271.5629,4089.8537,476.2704,895.6861,735.4294,3.8,901.2309,1023.4973,623.2557,2878.7932,73,1351.6933,41,507.5462,18381.2978,0,0,0,18.49,0,0,0,0,0,0
