"y","f45","m20","past_return","f25","temp","f50","wet","m30","f20","X17_18","f30","m45","f0","most_use","m5","bus_passenger","m50","m25","f15","m55","f65","sub_passenger","f35","f70","m0","m35","f40","wind","m65","f55","m60","f60","m70","dust","m40","X15_16","semester","X14_15","X12_13","cloud","sunny","X16_17","X11_12","X18_19","rain","X9_10","temp.sqr"
0,945.9123,3021.9892,1,3165.0785,1.9,775.275,35,1904.7691,4504.0262,0,1726.6451,1075.261,892.3827,20581.514,1533.5207,334,856.697,3308.7379,1725.9705,810.2722,560.3337,1831,1318.7469,1237.8167,768.3739,1631.5211,897.7426,1.7,425.5368,831.9715,516.2654,641.0388,811.7398,46,1074.65,1,0,0,0,0,1,0,0,0,0,0,3.61
0,954.1123,3481.3525,0,3286.5011,1.8,816.4424,37,1972.7596,4648.2518,0,1735.9394,1026.4613,828.4641,21737.0262,1951.9843,393,898.046,3627.6926,2255.1883,856.0725,581.6992,2177,1368.0086,1292.1359,677.759,1616.5206,879.5719,1.4,440.202,805.2629,575.7618,649.4567,785.5772,36,1034.5832,0,0,0,0,0,1,1,0,0,0,0,3.24
0,943.3894,4061.439,0,3510.5175,0.5,786.7407,38,2021.4605,5060.285,1,1746.7962,995.6357,777.9175,23109.4736,2263.3812,436,881.8446,3857.673,2646.9193,888.3974,566.1505,2172,1263.0188,1277.7392,625.3572,1588.2836,879.2243,1.5,443.0869,813.6039,579.374,669.0835,747.7952,42,1078.4719,0,0,0,0,0,0,0,0,0,0,0,0.25
0,987.391,4256.555,0,3621.7632,-0.9,784.0434,42,2106.8455,5475.9384,0,1750.1372,1068.9945,673.987,24170.2517,2380.0975,374,832.9198,4122.9342,2808.1361,851.4151,534.6887,1919,1294.8336,1281.4106,714.8656,1541.2446,894.2637,0.7,453.6725,769.2663,619.3034,655.461,760.3326,46,1063.4898,0,0,0,0,1,0,0,0,1,0,0,0.81
0,986.3548,4307.0667,0,3618.2199,-1.2,784.2678,45,2142.992,5433.5806,0,1765.6912,1070.2002,584.2799,24282.2147,2302.7393,305,881.6793,4168.2017,2620.2517,842.4864,559.3522,1822,1328.7882,1222.8802,600.0606,1517.6744,853.9846,0.9,444.6465,799.8908,617.974,706.2706,769.1565,43,1055.6617,0,0,0,0,7,0,0,0,0,0,0,1.44
0,908.8601,3809.3629,0,3458.2767,-1.6,756.7894,47,2022.8202,5054.2346,0,1734.4228,1046.1585,505.39,22705.0773,1990.2825,482,838.2168,3987.5885,2174.8429,864.8032,562.3245,3216,1213.1176,1215.1594,480.8395,1425.254,840.3534,0.9,438.4032,742.736,558.3138,680.7566,746.3631,44,971.6193,0,0,0,0,4,0,0,0,0,0,0,2.56
0,866.2712,2966.0381,0,3166.2979,-2.4,779.8195,49,1845.7715,4384.5668,0,1643.6693,1025.4351,380.3577,19868.6887,1010.5843,634,816.4539,3306.7813,1027.2487,802.2568,561.7106,4686,1187.2465,1241.576,554.185,1368.3173,796.9554,2.1,424.2162,757.9299,546.7402,675.7285,756.3511,49,890.7127,0,0,0,0,3,0,0,0,0,0,0,5.76
0,842.5428,2697.6954,0,3115.3854,-2.5,794.7583,49,1777.7479,4242.8454,0,1664.3515,974.7318,388.5686,19227.1009,665.6039,340,801.8453,3215.2554,752.5396,810.0397,524.8618,1294,1215.4682,1222.1237,514.7113,1298.3517,782.2246,1,442.2193,727.5439,568.5069,695.5734,751.4911,48,862.1241,0,0,0,0,6,0,0,0,0,0,0,6.25
0,746.8139,2496.8181,0,3002.7874,-2.6,672.8306,52,1621.3565,4208.4572,0,1629.9731,895.2271,300.0897,18418.4618,515.973,124,730.9854,3131.7732,637.14,759.3371,501.4084,312,1097.3711,1108.3629,461.283,1229.9252,646.9265,0.9,404.4098,622.0597,509.645,611.6483,784.51,52,818.7908,0,0,0,0,8,0,0,0,0,0,0,6.76
0,749.1479,2528.0976,0,2960.1867,-2.8,677.3715,55,1649.3404,4230.2852,0,1675.7792,906.0489,330.7562,18420.8415,527.3301,36,725.6719,3054.5089,598.9934,728.0094,493.9842,2,1067.6567,1148.3885,459.8054,1254.9868,643.7032,2.3,416.2185,629.466,491.5773,629.755,770.8469,51,791.2885,0,0,0,0,7,0,0,0,0,0,0,7.84
0,770.2866,2550.0382,0,2997.0907,-2.9,682.0035,57,1676.1082,4255.3486,0,1656.4244,886.2969,341.9429,18537.3961,506.7215,13,745.1448,3069.2582,607.0678,726.0669,510.7964,0,1080.3975,1135.7623,471.4803,1252.7303,685.7243,2.1,398.5573,619.1185,494.3149,615.1559,763.9788,55,827.1632,0,0,0,0,8,0,0,0,0,0,0,8.41
0,754.7675,2538.5105,0,3008.6295,-2.6,689.4129,57,1675.8869,4273.9491,0,1641.1874,875.2236,344.1256,18521.2688,524.8589,19,744.1317,3066.2662,588.4983,726.8703,484.6168,0,1060.8378,1126.2161,492.5551,1256.0014,660.4695,1.9,406.412,589.0645,496.8338,622.665,745.4565,51,817.9012,0,0,0,0,8,0,0,0,0,0,0,6.76
0,739.2058,2514.5834,0,3002.3673,-2.1,697.1884,56,1698.6529,4276.3212,0,1675.377,904.0857,355.3955,18543.7858,526.9761,8,750.5879,3082.9688,605.8067,716.3295,487.8129,0,1080.4464,1136.0043,445.0988,1213.0688,659.0926,2.5,417.9578,595.6035,500.0517,619.0804,737.3836,38,803.6301,0,0,0,0,9,0,0,0,0,0,0,4.41
0,754.1053,2554.3603,0,2968.2033,-1.9,679.593,55,1704.6129,4266.5884,0,1678.664,899.1318,338.3259,18543.7955,544.9547,12,728.445,3061.9827,637.0526,714.0956,482.6152,5,1103.7989,1123.3199,434.6023,1205.585,660.6537,2,414.0992,581.9424,501.2277,635.7418,748.4007,41,796.9997,0,0,0,0,8,0,0,0,0,0,0,3.61
0,731.9394,2545.7365,0,2984.2089,-1.9,675.7104,56,1695.6564,4218.3895,0,1659.9689,906.7302,324.6109,18453.4719,548.4396,37,731.1179,3049.3064,665.0012,713.7302,511.8701,161,1075.489,1157.4969,412.9007,1224.7163,647.9535,2.3,426.0584,595.7291,510.728,635.9868,747.7826,43,821.4094,0,0,0,0,9,0,0,0,0,0,0,3.61
0,746.2945,2542.303,0,2973.5895,-1.9,680.5979,66,1690.2626,4248.1746,0,1668.6876,925.2835,324.349,18440.4493,574.8667,56,746.232,3031.7595,639.7209,713.4863,538.8868,246,1073.0664,1164.5989,420.7984,1212.6061,661.6567,2.5,431.7673,601.7095,517.5398,658.7549,759.6752,43,799.429,0,0,0,0,9,0,0,0,0,0,0,3.61
0,735.9822,2469.1511,0,2932.8963,-2.2,680.5075,81,1655.5987,4174.7932,0,1639.6134,907.0188,314.2971,18198.0685,549.6872,85,698.9761,3039.5463,619.3514,734.231,534.7857,416,1086.8994,1183.6856,414.7436,1199.5701,666.1195,2,438.3799,620.8738,517.8935,629.731,754.8039,52,824.9195,0,0,0,0,9,0,0,0,0,0,0,4.84
0,738.8499,2445.8786,0,2869.5038,-2.2,691.9868,83,1677.396,4060.9573,0,1686.3704,891.3126,317.0563,17995.9003,566.1793,171,687.7629,2979.8742,582.732,772.8655,537.8985,789,1089.1511,1176.5494,449.7321,1186.7689,683.126,2,445.4824,641.7601,530.9345,650.1473,734.9286,54,872.3767,0,0,0,0,8,0,0,0,0,0,0,4.84
0,762.4441,2399.9479,0,2790.5682,-1.9,730.6254,82,1660.2613,3916.1752,0,1644.2672,880.3636,373.4072,17594.8778,518.2788,188,685.5117,2847.3887,589.3282,776.3128,534.122,1035,1116.403,1159.131,457.7015,1219.8663,719.6571,1.4,456.9606,678.2829,516.6764,630.4952,686.8144,38,834.134,0,0,0,0,8,0,0,0,0,0.3,1,3.61
0,785.2918,2348.6809,0,2789.9729,-0.8,793.803,81,1654.5955,3896.1996,0,1647.9914,971.919,387.6929,17551.9194,575.6963,186,739.2145,2849.6423,632.6776,794.1095,529.7216,980,1119.7084,1192.8083,493.107,1245.1284,752.7486,0.7,469.9947,708.6192,530.3676,686.5591,732.5448,46,853.3559,0,0,0,0,7,0,0,0,0,0,0,0.64
0,816.1618,2428.9893,0,2823.5763,0,808.333,80,1704.4265,3902.4411,0,1610.8288,1014.5956,359.1147,17893.9325,637.0834,220,776.9283,2874.238,704.0107,785.4998,532.8006,1083,1237.3767,1304.3411,565.0802,1312.0558,803.0257,3.3,427.9908,764.3561,536.7211,649.8822,742.5658,52,943.8775,0,0,0,0,8,0,0,1,0,0,0,0
0,866.4332,2553.8709,0,3010.0309,1.4,803.6848,74,1808.7333,4098.2867,0,1666.6389,1052.0858,536.9017,18837.6272,774.3842,251,842.0146,3096.9322,848.3786,805.2971,541.7407,1307,1245.0799,1288.6323,569.5927,1358.0544,881.6837,2.4,428.0588,743.7875,529.9763,646.2579,693.9417,65,973.1295,0,0,0,1,6,1,0,0,0,0,0,1.96
0,935.6483,2719.6056,0,3205.7348,1.4,821.4102,67,1888.7752,4258.0445,0,1715.4634,1044.7225,818.0814,19716.8901,808.9133,343,869.0742,3235.9751,983.88,808.177,533.556,1489,1306.1918,1370.8558,815.6734,1387.0997,952.7356,3.6,408.0048,777.4661,532.6915,658.2622,755.5868,59,1029.1762,0,0,0,0,3,1,0,0,0,0,0,1.96
0,968.025,2882.892,0,3361.0543,2.4,846.7926,55,1954.7321,4481.4933,0,1794.8592,1137.1555,878.6592,20642.6203,1002.3004,367,883.5678,3349.7157,1331.7228,804.7556,603.1208,1618,1320.17,1245.7425,817.1264,1497.7037,992.1802,3.5,408.1565,833.2126,521.6277,654.9396,756.9006,62,1062.4139,0,0,1,0,1,1,0,0,0,0,0,5.76
0,954.9945,3120.7859,0,3529.1173,2.5,846.7644,46,2063.8073,4712.0271,0,1830.8999,1091.4846,939.6766,21492.5267,1297.0896,388,853.4059,3486.664,1688.3151,807.2075,596.9327,2054,1303.2258,1216.4534,864.6418,1445.9994,994.0372,3.3,428.9827,823.7659,519.9179,629.5059,773.9112,46,1109.1937,1,0,0,0,0,1,0,0,0,0,0,6.25
0,956.3247,3374.3148,0,3639.9819,2.5,899.8927,45,2082.8798,5063.1589,0,1920.2308,1119.0707,1007.2311,22519.1623,1600.7282,465,863.2513,3669.4364,2171.2288,853.5617,562.35,2230,1317.1841,1290.0584,777.8725,1451.9756,973.9869,3,385.5774,864.8622,554.4749,651.7925,799.1847,37,1039.4907,0,0,0,0,0,1,1,0,0,0,0,6.25
1,984.5096,3887.7327,0,3886.1084,1.2,860.2495,45,2206.5296,5532.0384,1,1925.9611,1098.6465,830.7737,24165.612,1846.4531,464,863.1784,3893.5444,2424.7573,859.1337,538.1844,2283,1307.3212,1274.2889,741.337,1526.3762,903.5491,2.7,408.6593,836.6289,585.6299,648.4771,815.0186,35,1053.9673,0,0,0,0,0,1,0,0,0,0,0,1.44
0,958.3552,4151.5567,0,4022.5551,-0.5,852.6026,40,2201.5787,5673.6481,0,1985.6483,1046.2956,637.631,24790.6092,2041.3181,406,889.1927,4015.2045,2460.2036,811.1428,577.2871,2227,1222.7737,1177.0982,650.3535,1517.6441,920.1534,2.9,423.7561,788.0574,574.8783,676.5605,833.3295,34,1041.9536,0,0,0,0,0,0,0,0,1,0,0,0.25
