"y","sub_passenger","past_return","bus_passenger","temp","sunny","f0","f45","wet","f35","dust","m25","m0","m70","m55","f25","m45","m65","f40","m30","m35","m50","m40","f70","f65","m60","f50","f15","f60","wind","f55","m5","X18_19","m20","f30","cloud","f20","most_use","rain","weekend","temp.sqr","X7_8","X5_6","X8_9","X9_10","X12_13","X15_16","semester"
0,1831,0,334,1.9,1,892.3827,945.9123,35,1318.7469,46,3308.7379,768.3739,811.7398,810.2722,3165.0785,1075.261,425.5368,897.7426,1904.7691,1631.5211,856.697,1074.65,1237.8167,560.3337,516.2654,775.275,1725.9705,641.0388,1.7,831.9715,1533.5207,0,3021.9892,1726.6451,0,4504.0262,20581.514,0,1,3.61,0,0,0,0,0,1,0
0,2177,0,393,1.8,1,828.4641,954.1123,37,1368.0086,36,3627.6926,677.759,785.5772,856.0725,3286.5011,1026.4613,440.202,879.5719,1972.7596,1616.5206,898.046,1034.5832,1292.1359,581.6992,575.7618,816.4424,2255.1883,649.4567,1.4,805.2629,1951.9843,0,3481.3525,1735.9394,0,4648.2518,21737.0262,0,1,3.24,0,0,0,0,0,0,0
0,2172,0,436,0.5,0,777.9175,943.3894,38,1263.0188,42,3857.673,625.3572,747.7952,888.3974,3510.5175,995.6357,443.0869,879.2243,2021.4605,1588.2836,881.8446,1078.4719,1277.7392,566.1505,579.374,786.7407,2646.9193,669.0835,1.5,813.6039,2263.3812,0,4061.439,1746.7962,0,5060.285,23109.4736,0,1,0.25,0,0,0,0,0,0,0
0,1919,2,374,-0.9,0,673.987,987.391,42,1294.8336,46,4122.9342,714.8656,760.3326,851.4151,3621.7632,1068.9945,453.6725,894.2637,2106.8455,1541.2446,832.9198,1063.4898,1281.4106,534.6887,619.3034,784.0434,2808.1361,655.461,0.7,769.2663,2380.0975,1,4256.555,1750.1372,1,5475.9384,24170.2517,0,1,0.81,0,0,0,0,0,0,0
0,1822,0,305,-1.2,0,584.2799,986.3548,45,1328.7882,43,4168.2017,600.0606,769.1565,842.4864,3618.2199,1070.2002,444.6465,853.9846,2142.992,1517.6744,881.6793,1055.6617,1222.8802,559.3522,617.974,784.2678,2620.2517,706.2706,0.9,799.8908,2302.7393,0,4307.0667,1765.6912,7,5433.5806,24282.2147,0,1,1.44,0,0,0,0,0,0,0
1,3216,0,482,-1.6,0,505.39,908.8601,47,1213.1176,44,3987.5885,480.8395,746.3631,864.8032,3458.2767,1046.1585,438.4032,840.3534,2022.8202,1425.254,838.2168,971.6193,1215.1594,562.3245,558.3138,756.7894,2174.8429,680.7566,0.9,742.736,1990.2825,0,3809.3629,1734.4228,4,5054.2346,22705.0773,0,1,2.56,0,0,0,0,0,0,0
0,4686,1,634,-2.4,0,380.3577,866.2712,49,1187.2465,49,3306.7813,554.185,756.3511,802.2568,3166.2979,1025.4351,424.2162,796.9554,1845.7715,1368.3173,816.4539,890.7127,1241.576,561.7106,546.7402,779.8195,1027.2487,675.7285,2.1,757.9299,1010.5843,0,2966.0381,1643.6693,3,4384.5668,19868.6887,0,1,5.76,0,0,0,0,0,0,0
0,1294,1,340,-2.5,0,388.5686,842.5428,49,1215.4682,48,3215.2554,514.7113,751.4911,810.0397,3115.3854,974.7318,442.2193,782.2246,1777.7479,1298.3517,801.8453,862.1241,1222.1237,524.8618,568.5069,794.7583,752.5396,695.5734,1,727.5439,665.6039,0,2697.6954,1664.3515,6,4242.8454,19227.1009,0,1,6.25,0,0,0,0,0,0,0
0,312,0,124,-2.6,0,300.0897,746.8139,52,1097.3711,52,3131.7732,461.283,784.51,759.3371,3002.7874,895.2271,404.4098,646.9265,1621.3565,1229.9252,730.9854,818.7908,1108.3629,501.4084,509.645,672.8306,637.14,611.6483,0.9,622.0597,515.973,0,2496.8181,1629.9731,8,4208.4572,18418.4618,0,1,6.76,0,0,0,0,0,0,0
0,2,0,36,-2.8,0,330.7562,749.1479,55,1067.6567,51,3054.5089,459.8054,770.8469,728.0094,2960.1867,906.0489,416.2185,643.7032,1649.3404,1254.9868,725.6719,791.2885,1148.3885,493.9842,491.5773,677.3715,598.9934,629.755,2.3,629.466,527.3301,0,2528.0976,1675.7792,7,4230.2852,18420.8415,0,1,7.84,0,0,0,0,0,0,0
0,0,0,13,-2.9,0,341.9429,770.2866,57,1080.3975,55,3069.2582,471.4803,763.9788,726.0669,2997.0907,886.2969,398.5573,685.7243,1676.1082,1252.7303,745.1448,827.1632,1135.7623,510.7964,494.3149,682.0035,607.0678,615.1559,2.1,619.1185,506.7215,0,2550.0382,1656.4244,8,4255.3486,18537.3961,0,1,8.41,0,0,0,0,0,0,0
0,0,0,19,-2.6,0,344.1256,754.7675,57,1060.8378,51,3066.2662,492.5551,745.4565,726.8703,3008.6295,875.2236,406.412,660.4695,1675.8869,1256.0014,744.1317,817.9012,1126.2161,484.6168,496.8338,689.4129,588.4983,622.665,1.9,589.0645,524.8589,0,2538.5105,1641.1874,8,4273.9491,18521.2688,0,1,6.76,0,0,0,0,0,0,0
0,0,0,8,-2.1,0,355.3955,739.2058,56,1080.4464,38,3082.9688,445.0988,737.3836,716.3295,3002.3673,904.0857,417.9578,659.0926,1698.6529,1213.0688,750.5879,803.6301,1136.0043,487.8129,500.0517,697.1884,605.8067,619.0804,2.5,595.6035,526.9761,0,2514.5834,1675.377,9,4276.3212,18543.7858,0,1,4.41,0,0,0,0,0,0,0
0,5,0,12,-1.9,0,338.3259,754.1053,55,1103.7989,41,3061.9827,434.6023,748.4007,714.0956,2968.2033,899.1318,414.0992,660.6537,1704.6129,1205.585,728.445,796.9997,1123.3199,482.6152,501.2277,679.593,637.0526,635.7418,2,581.9424,544.9547,0,2554.3603,1678.664,8,4266.5884,18543.7955,0,1,3.61,0,0,0,0,0,0,0
0,161,0,37,-1.9,0,324.6109,731.9394,56,1075.489,43,3049.3064,412.9007,747.7826,713.7302,2984.2089,906.7302,426.0584,647.9535,1695.6564,1224.7163,731.1179,821.4094,1157.4969,511.8701,510.728,675.7104,665.0012,635.9868,2.3,595.7291,548.4396,0,2545.7365,1659.9689,9,4218.3895,18453.4719,0,1,3.61,0,1,0,0,0,0,0
0,246,0,56,-1.9,0,324.349,746.2945,66,1073.0664,43,3031.7595,420.7984,759.6752,713.4863,2973.5895,925.2835,431.7673,661.6567,1690.2626,1212.6061,746.232,799.429,1164.5989,538.8868,517.5398,680.5979,639.7209,658.7549,2.5,601.7095,574.8667,0,2542.303,1668.6876,9,4248.1746,18440.4493,0,1,3.61,0,0,0,0,0,0,0
0,416,0,85,-2.2,0,314.2971,735.9822,81,1086.8994,52,3039.5463,414.7436,754.8039,734.231,2932.8963,907.0188,438.3799,666.1195,1655.5987,1199.5701,698.9761,824.9195,1183.6856,534.7857,517.8935,680.5075,619.3514,629.731,2,620.8738,549.6872,0,2469.1511,1639.6134,9,4174.7932,18198.0685,0,1,4.84,1,0,0,0,0,0,0
0,789,0,171,-2.2,0,317.0563,738.8499,83,1089.1511,54,2979.8742,449.7321,734.9286,772.8655,2869.5038,891.3126,445.4824,683.126,1677.396,1186.7689,687.7629,872.3767,1176.5494,537.8985,530.9345,691.9868,582.732,650.1473,2,641.7601,566.1793,0,2445.8786,1686.3704,8,4060.9573,17995.9003,0,1,4.84,0,0,1,0,0,0,0
1,1035,0,188,-1.9,0,373.4072,762.4441,82,1116.403,38,2847.3887,457.7015,686.8144,776.3128,2790.5682,880.3636,456.9606,719.6571,1660.2613,1219.8663,685.5117,834.134,1159.131,534.122,516.6764,730.6254,589.3282,630.4952,1.4,678.2829,518.2788,0,2399.9479,1644.2672,8,3916.1752,17594.8778,0.3,1,3.61,0,0,0,1,0,0,0
0,980,0,186,-0.8,0,387.6929,785.2918,81,1119.7084,46,2849.6423,493.107,732.5448,794.1095,2789.9729,971.919,469.9947,752.7486,1654.5955,1245.1284,739.2145,853.3559,1192.8083,529.7216,530.3676,793.803,632.6776,686.5591,0.7,708.6192,575.6963,0,2348.6809,1647.9914,7,3896.1996,17551.9194,0,1,0.64,0,0,0,0,0,0,0
0,1083,0,220,0,0,359.1147,816.1618,80,1237.3767,52,2874.238,565.0802,742.5658,785.4998,2823.5763,1014.5956,427.9908,803.0257,1704.4265,1312.0558,776.9283,943.8775,1304.3411,532.8006,536.7211,808.333,704.0107,649.8822,3.3,764.3561,637.0834,0,2428.9893,1610.8288,8,3902.4411,17893.9325,0,1,0,0,0,0,0,0,0,0
1,1307,1,251,1.4,1,536.9017,866.4332,74,1245.0799,65,3096.9322,569.5927,693.9417,805.2971,3010.0309,1052.0858,428.0588,881.6837,1808.7333,1358.0544,842.0146,973.1295,1288.6323,541.7407,529.9763,803.6848,848.3786,646.2579,2.4,743.7875,774.3842,0,2553.8709,1666.6389,6,4098.2867,18837.6272,0,1,1.96,0,0,0,0,1,0,0
1,1489,0,343,1.4,1,818.0814,935.6483,67,1306.1918,59,3235.9751,815.6734,755.5868,808.177,3205.7348,1044.7225,408.0048,952.7356,1888.7752,1387.0997,869.0742,1029.1762,1370.8558,533.556,532.6915,821.4102,983.88,658.2622,3.6,777.4661,808.9133,0,2719.6056,1715.4634,3,4258.0445,19716.8901,0,1,1.96,0,0,0,0,0,0,0
0,1618,1,367,2.4,1,878.6592,968.025,55,1320.17,62,3349.7157,817.1264,756.9006,804.7556,3361.0543,1137.1555,408.1565,992.1802,1954.7321,1497.7037,883.5678,1062.4139,1245.7425,603.1208,521.6277,846.7926,1331.7228,654.9396,3.5,833.2126,1002.3004,0,2882.892,1794.8592,1,4481.4933,20642.6203,0,1,5.76,0,0,0,0,0,0,0
3,2054,2,388,2.5,1,939.6766,954.9945,46,1303.2258,46,3486.664,864.6418,773.9112,807.2075,3529.1173,1091.4846,428.9827,994.0372,2063.8073,1445.9994,853.4059,1109.1937,1216.4534,596.9327,519.9179,846.7644,1688.3151,629.5059,3.3,823.7659,1297.0896,0,3120.7859,1830.8999,0,4712.0271,21492.5267,0,1,6.25,0,0,0,0,0,1,0
0,2230,1,465,2.5,1,1007.2311,956.3247,45,1317.1841,37,3669.4364,777.8725,799.1847,853.5617,3639.9819,1119.0707,385.5774,973.9869,2082.8798,1451.9756,863.2513,1039.4907,1290.0584,562.35,554.4749,899.8927,2171.2288,651.7925,3,864.8622,1600.7282,0,3374.3148,1920.2308,0,5063.1589,22519.1623,0,1,6.25,0,0,0,0,0,0,0
1,2283,1,464,1.2,1,830.7737,984.5096,45,1307.3212,35,3893.5444,741.337,815.0186,859.1337,3886.1084,1098.6465,408.6593,903.5491,2206.5296,1526.3762,863.1784,1053.9673,1274.2889,538.1844,585.6299,860.2495,2424.7573,648.4771,2.7,836.6289,1846.4531,0,3887.7327,1925.9611,0,5532.0384,24165.612,0,1,1.44,0,0,0,0,0,0,0
2,2227,1,406,-0.5,0,637.631,958.3552,40,1222.7737,34,4015.2045,650.3535,833.3295,811.1428,4022.5551,1046.2956,423.7561,920.1534,2201.5787,1517.6441,889.1927,1041.9536,1177.0982,577.2871,574.8783,852.6026,2460.2036,676.5605,2.9,788.0574,2041.3181,1,4151.5567,1985.6483,0,5673.6481,24790.6092,0,1,0.25,0,0,0,0,0,0,0
0,2152,0,371,-1.6,0,546.9288,902.1259,41,1315.8114,28,4121.813,648.1827,829.5648,823.536,3991.8154,1060.9019,427.686,870.9679,2198.7499,1547.3232,871.3076,1012.3337,1223.7716,559.4414,552.3845,810.5095,2455.9861,648.6117,2,775.9222,1931.3085,0,4383.8353,1914.8314,0,5723.259,25197.4386,0,1,2.56,0,0,0,0,0,0,0
0,3853,0,469,-2.6,0,416.575,898.2168,46,1295.8298,27,3996.4277,580.0914,788.7672,808.785,3893.08,1073.7328,408.2072,809.7796,2047.8595,1432.3184,803.9074,964.321,1219.6571,551.7985,540.6714,785.26,1915.152,691.6397,1.6,800.1316,1639.9636,0,3990.1439,1875.5813,0,5350.0875,23881.3281,0,1,6.76,0,0,0,0,0,0,0
