"y","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m5","m20","m25","m30","m35","m45","m65","m70","f0","f15","f25","f30","f35","f40","f50","f55","f60","sub_passenger"
3,0,1.5,38,0,0,42,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625.3572,2263.3812,4061.439,3857.673,2021.4605,1588.2836,995.6357,443.0869,747.7952,777.9175,2646.9193,3510.5175,1746.7962,1263.0188,879.2243,786.7407,813.6039,669.0835,2172
0,0,0.7,42,0,1,46,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,714.8656,2380.0975,4256.555,4122.9342,2106.8455,1541.2446,1068.9945,453.6725,760.3326,673.987,2808.1361,3621.7632,1750.1372,1294.8336,894.2637,784.0434,769.2663,655.461,1919
1,0,0.9,45,0,7,43,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,600.0606,2302.7393,4307.0667,4168.2017,2142.992,1517.6744,1070.2002,444.6465,769.1565,584.2799,2620.2517,3618.2199,1765.6912,1328.7882,853.9846,784.2678,799.8908,706.2706,1822
0,0,0.9,47,0,4,44,2.56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,480.8395,1990.2825,3809.3629,3987.5885,2022.8202,1425.254,1046.1585,438.4032,746.3631,505.39,2174.8429,3458.2767,1734.4228,1213.1176,840.3534,756.7894,742.736,680.7566,3216
2,0,2.1,49,0,3,49,5.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,554.185,1010.5843,2966.0381,3306.7813,1845.7715,1368.3173,1025.4351,424.2162,756.3511,380.3577,1027.2487,3166.2979,1643.6693,1187.2465,796.9554,779.8195,757.9299,675.7285,4686
0,0,1,49,0,6,48,6.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,514.7113,665.6039,2697.6954,3215.2554,1777.7479,1298.3517,974.7318,442.2193,751.4911,388.5686,752.5396,3115.3854,1664.3515,1215.4682,782.2246,794.7583,727.5439,695.5734,1294
1,0,0.9,52,0,8,52,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,461.283,515.973,2496.8181,3131.7732,1621.3565,1229.9252,895.2271,404.4098,784.51,300.0897,637.14,3002.7874,1629.9731,1097.3711,646.9265,672.8306,622.0597,611.6483,312
0,0,2.3,55,0,7,51,7.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.8054,527.3301,2528.0976,3054.5089,1649.3404,1254.9868,906.0489,416.2185,770.8469,330.7562,598.9934,2960.1867,1675.7792,1067.6567,643.7032,677.3715,629.466,629.755,2
0,0,2.1,57,0,8,55,8.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.4803,506.7215,2550.0382,3069.2582,1676.1082,1252.7303,886.2969,398.5573,763.9788,341.9429,607.0678,2997.0907,1656.4244,1080.3975,685.7243,682.0035,619.1185,615.1559,0
0,0,1.9,57,0,8,51,6.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.5551,524.8589,2538.5105,3066.2662,1675.8869,1256.0014,875.2236,406.412,745.4565,344.1256,588.4983,3008.6295,1641.1874,1060.8378,660.4695,689.4129,589.0645,622.665,0
0,0,2.5,56,0,9,38,4.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.0988,526.9761,2514.5834,3082.9688,1698.6529,1213.0688,904.0857,417.9578,737.3836,355.3955,605.8067,3002.3673,1675.377,1080.4464,659.0926,697.1884,595.6035,619.0804,0
0,0,2,55,0,8,41,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.6023,544.9547,2554.3603,3061.9827,1704.6129,1205.585,899.1318,414.0992,748.4007,338.3259,637.0526,2968.2033,1678.664,1103.7989,660.6537,679.593,581.9424,635.7418,5
0,0,2.3,56,0,9,43,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.9007,548.4396,2545.7365,3049.3064,1695.6564,1224.7163,906.7302,426.0584,747.7826,324.6109,665.0012,2984.2089,1659.9689,1075.489,647.9535,675.7104,595.7291,635.9868,161
0,0,2.5,66,0.1,9,43,3.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.7984,574.8667,2542.303,3031.7595,1690.2626,1212.6061,925.2835,431.7673,759.6752,324.349,639.7209,2973.5895,1668.6876,1073.0664,661.6567,680.5979,601.7095,658.7549,246
0,0,2,81,0.5,9,52,4.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.7436,549.6872,2469.1511,3039.5463,1655.5987,1199.5701,907.0188,438.3799,754.8039,314.2971,619.3514,2932.8963,1639.6134,1086.8994,666.1195,680.5075,620.8738,629.731,416
1,0,2,83,0.5,8,54,4.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.7321,566.1793,2445.8786,2979.8742,1677.396,1186.7689,891.3126,445.4824,734.9286,317.0563,582.732,2869.5038,1686.3704,1089.1511,683.126,691.9868,641.7601,650.1473,789
0,0.3,1.4,82,0.4,8,38,3.61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.7015,518.2788,2399.9479,2847.3887,1660.2613,1219.8663,880.3636,456.9606,686.8144,373.4072,589.3282,2790.5682,1644.2672,1116.403,719.6571,730.6254,678.2829,630.4952,1035
0,0,0.7,81,0.3,7,46,0.64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,493.107,575.6963,2348.6809,2849.6423,1654.5955,1245.1284,971.919,469.9947,732.5448,387.6929,632.6776,2789.9729,1647.9914,1119.7084,752.7486,793.803,708.6192,686.5591,980
1,0,3.3,80,0.2,8,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,565.0802,637.0834,2428.9893,2874.238,1704.4265,1312.0558,1014.5956,427.9908,742.5658,359.1147,704.0107,2823.5763,1610.8288,1237.3767,803.0257,808.333,764.3561,649.8822,1083
0,0,2.4,74,0,6,65,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,569.5927,774.3842,2553.8709,3096.9322,1808.7333,1358.0544,1052.0858,428.0588,693.9417,536.9017,848.3786,3010.0309,1666.6389,1245.0799,881.6837,803.6848,743.7875,646.2579,1307
0,0,3.6,67,0,3,59,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,815.6734,808.9133,2719.6056,3235.9751,1888.7752,1387.0997,1044.7225,408.0048,755.5868,818.0814,983.88,3205.7348,1715.4634,1306.1918,952.7356,821.4102,777.4661,658.2622,1489
2,0,3.5,55,0,1,62,5.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,817.1264,1002.3004,2882.892,3349.7157,1954.7321,1497.7037,1137.1555,408.1565,756.9006,878.6592,1331.7228,3361.0543,1794.8592,1320.17,992.1802,846.7926,833.2126,654.9396,1618
0,0,3.3,46,0,0,46,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,864.6418,1297.0896,3120.7859,3486.664,2063.8073,1445.9994,1091.4846,428.9827,773.9112,939.6766,1688.3151,3529.1173,1830.8999,1303.2258,994.0372,846.7644,823.7659,629.5059,2054
