"y","temp","rain","wind","wet","cloud","sunny","semester","past_return","X2_3","X3_4","X4_5","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m5","m20","m25","m30","m35","m45","m50","m65","m70","f10","f20","f30","f35","f45","f50","f60","f65","bus_passenger","sub_passenger"
0,-0.9,0,0.7,42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2380.0975,4256.555,4122.9342,2106.8455,1541.2446,1068.9945,832.9198,453.6725,760.3326,312.9978,5475.9384,1750.1372,1294.8336,987.391,784.0434,655.461,534.6887,374,1919
0,-1.2,0,0.9,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2302.7393,4307.0667,4168.2017,2142.992,1517.6744,1070.2002,881.6793,444.6465,769.1565,271.3378,5433.5806,1765.6912,1328.7882,986.3548,784.2678,706.2706,559.3522,305,1822
0,-1.6,0,0.9,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1990.2825,3809.3629,3987.5885,2022.8202,1425.254,1046.1585,838.2168,438.4032,746.3631,234.7017,5054.2346,1734.4228,1213.1176,908.8601,756.7894,680.7566,562.3245,482,3216
1,-2.4,0,2.1,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.5843,2966.0381,3306.7813,1845.7715,1368.3173,1025.4351,816.4539,424.2162,756.3511,176.6365,4384.5668,1643.6693,1187.2465,866.2712,779.8195,675.7285,561.7106,634,4686
1,-2.5,0,1,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,665.6039,2697.6954,3215.2554,1777.7479,1298.3517,974.7318,801.8453,442.2193,751.4911,180.4501,4242.8454,1664.3515,1215.4682,842.5428,794.7583,695.5734,524.8618,340,1294
0,-2.6,0,0.9,52,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,515.973,2496.8181,3131.7732,1621.3565,1229.9252,895.2271,730.9854,404.4098,784.51,139.3609,4208.4572,1629.9731,1097.3711,746.8139,672.8306,611.6483,501.4084,124,312
0,-2.8,0,2.3,55,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.3301,2528.0976,3054.5089,1649.3404,1254.9868,906.0489,725.6719,416.2185,770.8469,153.6023,4230.2852,1675.7792,1067.6567,749.1479,677.3715,629.755,493.9842,36,2
0,-2.9,0,2.1,57,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.7215,2550.0382,3069.2582,1676.1082,1252.7303,886.2969,745.1448,398.5573,763.9788,158.7973,4255.3486,1656.4244,1080.3975,770.2866,682.0035,615.1559,510.7964,13,0
0,-2.6,0,1.9,57,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.8589,2538.5105,3066.2662,1675.8869,1256.0014,875.2236,744.1317,406.412,745.4565,159.8109,4273.9491,1641.1874,1060.8378,754.7675,689.4129,622.665,484.6168,19,0
0,-2.1,0,2.5,56,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.9761,2514.5834,3082.9688,1698.6529,1213.0688,904.0857,750.5879,417.9578,737.3836,165.0447,4276.3212,1675.377,1080.4464,739.2058,697.1884,619.0804,487.8129,8,0
0,-1.9,0,2,55,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.9547,2554.3603,3061.9827,1704.6129,1205.585,899.1318,728.445,414.0992,748.4007,157.1177,4266.5884,1678.664,1103.7989,754.1053,679.593,635.7418,482.6152,12,5
0,-1.9,0,2.3,56,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548.4396,2545.7365,3049.3064,1695.6564,1224.7163,906.7302,731.1179,426.0584,747.7826,150.7487,4218.3895,1659.9689,1075.489,731.9394,675.7104,635.9868,511.8701,37,161
0,-1.9,0,2.5,66,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.8667,2542.303,3031.7595,1690.2626,1212.6061,925.2835,746.232,431.7673,759.6752,150.6269,4248.1746,1668.6876,1073.0664,746.2945,680.5979,658.7549,538.8868,56,246
0,-2.2,0,2,81,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549.6872,2469.1511,3039.5463,1655.5987,1199.5701,907.0188,698.9761,438.3799,754.8039,145.9589,4174.7932,1639.6134,1086.8994,735.9822,680.5075,629.731,534.7857,85,416
1,-2.2,0,2,83,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.1793,2445.8786,2979.8742,1677.396,1186.7689,891.3126,687.7629,445.4824,734.9286,147.2402,4060.9573,1686.3704,1089.1511,738.8499,691.9868,650.1473,537.8985,171,789
0,-1.9,0.3,1.4,82,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.2788,2399.9479,2847.3887,1660.2613,1219.8663,880.3636,685.5117,456.9606,686.8144,173.4091,3916.1752,1644.2672,1116.403,762.4441,730.6254,630.4952,534.122,188,1035
2,-0.8,0,0.7,81,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,575.6963,2348.6809,2849.6423,1654.5955,1245.1284,971.919,739.2145,469.9947,732.5448,180.0431,3896.1996,1647.9914,1119.7084,785.2918,793.803,686.5591,529.7216,186,980
0,0,0,3.3,80,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,637.0834,2428.9893,2874.238,1704.4265,1312.0558,1014.5956,776.9283,427.9908,742.5658,166.7717,3902.4411,1610.8288,1237.3767,816.1618,808.333,649.8822,532.8006,220,1083
1,1.4,0,2.4,74,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,774.3842,2553.8709,3096.9322,1808.7333,1358.0544,1052.0858,842.0146,428.0588,693.9417,249.3356,4098.2867,1666.6389,1245.0799,866.4332,803.6848,646.2579,541.7407,251,1307
1,1.4,0,3.6,67,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,808.9133,2719.6056,3235.9751,1888.7752,1387.0997,1044.7225,869.0742,408.0048,755.5868,379.9147,4258.0445,1715.4634,1306.1918,935.6483,821.4102,658.2622,533.556,343,1489
0,2.4,0,3.5,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1002.3004,2882.892,3349.7157,1954.7321,1497.7037,1137.1555,883.5678,408.1565,756.9006,408.0468,4481.4933,1794.8592,1320.17,968.025,846.7926,654.9396,603.1208,367,1618
2,2.5,0,3.3,46,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1297.0896,3120.7859,3486.664,2063.8073,1445.9994,1091.4846,853.4059,428.9827,773.9112,436.3829,4712.0271,1830.8999,1303.2258,954.9945,846.7644,629.5059,596.9327,388,2054
1,2.5,0,3,45,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1600.7282,3374.3148,3669.4364,2082.8798,1451.9756,1119.0707,863.2513,385.5774,799.1847,467.7551,5063.1589,1920.2308,1317.1841,956.3247,899.8927,651.7925,562.35,465,2230
4,1.2,0,2.7,45,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1846.4531,3887.7327,3893.5444,2206.5296,1526.3762,1098.6465,863.1784,408.6593,815.0186,385.8087,5532.0384,1925.9611,1307.3212,984.5096,860.2495,648.4771,538.1844,464,2283
