"y","past_return","bus_passenger","sub_passenger","temp","m20","m30","m5","wet","m25","m50","f20","f0","m35","m0","f15","m45","m60","f50","f70","m55","m40","f25","f40","f30","f65","f35","cloud","dust","f60","wind","m65","m70","f45","f55","sunny","rain","most_use","semester","X8_9","X21_22","X19_20"
1,3,436,2172,0.5,4061.439,2021.4605,2263.3812,38,3857.673,881.8446,5060.285,777.9175,1588.2836,625.3572,2646.9193,995.6357,579.374,786.7407,1277.7392,888.3974,1078.4719,3510.5175,879.2243,1746.7962,566.1505,1263.0188,0,42,669.0835,1.5,443.0869,747.7952,943.3894,813.6039,0,0,23109.4736,0,0,0,0
5,4,374,1919,-0.9,4256.555,2106.8455,2380.0975,42,4122.9342,832.9198,5475.9384,673.987,1541.2446,714.8656,2808.1361,1068.9945,619.3034,784.0434,1281.4106,851.4151,1063.4898,3621.7632,894.2637,1750.1372,534.6887,1294.8336,1,46,655.461,0.7,453.6725,760.3326,987.391,769.2663,0,0,24170.2517,0,0,0,0
2,5,305,1822,-1.2,4307.0667,2142.992,2302.7393,45,4168.2017,881.6793,5433.5806,584.2799,1517.6744,600.0606,2620.2517,1070.2002,617.974,784.2678,1222.8802,842.4864,1055.6617,3618.2199,853.9846,1765.6912,559.3522,1328.7882,7,43,706.2706,0.9,444.6465,769.1565,986.3548,799.8908,0,0,24282.2147,0,0,0,1
5,0,482,3216,-1.6,3809.3629,2022.8202,1990.2825,47,3987.5885,838.2168,5054.2346,505.39,1425.254,480.8395,2174.8429,1046.1585,558.3138,756.7894,1215.1594,864.8032,971.6193,3458.2767,840.3534,1734.4228,562.3245,1213.1176,4,44,680.7566,0.9,438.4032,746.3631,908.8601,742.736,0,0,22705.0773,0,0,0,0
3,0,634,4686,-2.4,2966.0381,1845.7715,1010.5843,49,3306.7813,816.4539,4384.5668,380.3577,1368.3173,554.185,1027.2487,1025.4351,546.7402,779.8195,1241.576,802.2568,890.7127,3166.2979,796.9554,1643.6693,561.7106,1187.2465,3,49,675.7285,2.1,424.2162,756.3511,866.2712,757.9299,0,0,19868.6887,0,0,1,0
3,0,340,1294,-2.5,2697.6954,1777.7479,665.6039,49,3215.2554,801.8453,4242.8454,388.5686,1298.3517,514.7113,752.5396,974.7318,568.5069,794.7583,1222.1237,810.0397,862.1241,3115.3854,782.2246,1664.3515,524.8618,1215.4682,6,48,695.5734,1,442.2193,751.4911,842.5428,727.5439,0,0,19227.1009,0,0,0,0
0,1,124,312,-2.6,2496.8181,1621.3565,515.973,52,3131.7732,730.9854,4208.4572,300.0897,1229.9252,461.283,637.14,895.2271,509.645,672.8306,1108.3629,759.3371,818.7908,3002.7874,646.9265,1629.9731,501.4084,1097.3711,8,52,611.6483,0.9,404.4098,784.51,746.8139,622.0597,0,0,18418.4618,0,0,0,0
1,0,36,2,-2.8,2528.0976,1649.3404,527.3301,55,3054.5089,725.6719,4230.2852,330.7562,1254.9868,459.8054,598.9934,906.0489,491.5773,677.3715,1148.3885,728.0094,791.2885,2960.1867,643.7032,1675.7792,493.9842,1067.6567,7,51,629.755,2.3,416.2185,770.8469,749.1479,629.466,0,0,18420.8415,0,0,0,0
2,1,13,0,-2.9,2550.0382,1676.1082,506.7215,57,3069.2582,745.1448,4255.3486,341.9429,1252.7303,471.4803,607.0678,886.2969,494.3149,682.0035,1135.7623,726.0669,827.1632,2997.0907,685.7243,1656.4244,510.7964,1080.3975,8,55,615.1559,2.1,398.5573,763.9788,770.2866,619.1185,0,0,18537.3961,0,0,0,0
0,1,19,0,-2.6,2538.5105,1675.8869,524.8589,57,3066.2662,744.1317,4273.9491,344.1256,1256.0014,492.5551,588.4983,875.2236,496.8338,689.4129,1126.2161,726.8703,817.9012,3008.6295,660.4695,1641.1874,484.6168,1060.8378,8,51,622.665,1.9,406.412,745.4565,754.7675,589.0645,0,0,18521.2688,0,0,0,0
1,0,8,0,-2.1,2514.5834,1698.6529,526.9761,56,3082.9688,750.5879,4276.3212,355.3955,1213.0688,445.0988,605.8067,904.0857,500.0517,697.1884,1136.0043,716.3295,803.6301,3002.3673,659.0926,1675.377,487.8129,1080.4464,9,38,619.0804,2.5,417.9578,737.3836,739.2058,595.6035,0,0,18543.7858,0,0,0,0
0,0,12,5,-1.9,2554.3603,1704.6129,544.9547,55,3061.9827,728.445,4266.5884,338.3259,1205.585,434.6023,637.0526,899.1318,501.2277,679.593,1123.3199,714.0956,796.9997,2968.2033,660.6537,1678.664,482.6152,1103.7989,8,41,635.7418,2,414.0992,748.4007,754.1053,581.9424,0,0,18543.7955,0,0,0,0
0,1,37,161,-1.9,2545.7365,1695.6564,548.4396,56,3049.3064,731.1179,4218.3895,324.6109,1224.7163,412.9007,665.0012,906.7302,510.728,675.7104,1157.4969,713.7302,821.4094,2984.2089,647.9535,1659.9689,511.8701,1075.489,9,43,635.9868,2.3,426.0584,747.7826,731.9394,595.7291,0,0,18453.4719,0,0,0,0
0,1,56,246,-1.9,2542.303,1690.2626,574.8667,66,3031.7595,746.232,4248.1746,324.349,1212.6061,420.7984,639.7209,925.2835,517.5398,680.5979,1164.5989,713.4863,799.429,2973.5895,661.6567,1668.6876,538.8868,1073.0664,9,43,658.7549,2.5,431.7673,759.6752,746.2945,601.7095,0,0,18440.4493,0,0,0,0
0,0,85,416,-2.2,2469.1511,1655.5987,549.6872,81,3039.5463,698.9761,4174.7932,314.2971,1199.5701,414.7436,619.3514,907.0188,517.8935,680.5075,1183.6856,734.231,824.9195,2932.8963,666.1195,1639.6134,534.7857,1086.8994,9,52,629.731,2,438.3799,754.8039,735.9822,620.8738,0,0,18198.0685,0,0,0,0
0,1,171,789,-2.2,2445.8786,1677.396,566.1793,83,2979.8742,687.7629,4060.9573,317.0563,1186.7689,449.7321,582.732,891.3126,530.9345,691.9868,1176.5494,772.8655,872.3767,2869.5038,683.126,1686.3704,537.8985,1089.1511,8,54,650.1473,2,445.4824,734.9286,738.8499,641.7601,0,0,17995.9003,0,1,0,0
1,1,188,1035,-1.9,2399.9479,1660.2613,518.2788,82,2847.3887,685.5117,3916.1752,373.4072,1219.8663,457.7015,589.3282,880.3636,516.6764,730.6254,1159.131,776.3128,834.134,2790.5682,719.6571,1644.2672,534.122,1116.403,8,38,630.4952,1.4,456.9606,686.8144,762.4441,678.2829,0,0.3,17594.8778,0,0,0,0
1,0,186,980,-0.8,2348.6809,1654.5955,575.6963,81,2849.6423,739.2145,3896.1996,387.6929,1245.1284,493.107,632.6776,971.919,530.3676,793.803,1192.8083,794.1095,853.3559,2789.9729,752.7486,1647.9914,529.7216,1119.7084,7,46,686.5591,0.7,469.9947,732.5448,785.2918,708.6192,0,0,17551.9194,0,0,0,0
