"y","station_dist","station_type","rain","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m5","m20","m25","m50","m60","m70","f0","f10","f25","f30","f50","bus_passenger","sub_passenger"
2,83,0,0,38,4,25,196,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.9243,778.6675,3661.6816,3698.6177,758.1603,515.5839,880.1078,307.5023,142.8033,3759.2702,1926.8066,692.8855,87,491
0,232,0,0,90,9,23,712.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.9142,630.0561,3346.3029,3629.9772,819.4221,544.8302,779.8468,465.0494,215.9675,3919.504,1891.4111,705.5442,40,0
0,83,0,0,53,0,12,0.16,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.962,809.8449,3363.5771,3652.5296,701.8256,564.2394,815.4369,315.3233,146.4353,3814.2314,1886.1922,723.7352,32,0
2,128,0,0,53,0,52,14.44,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,237.638,667.7692,2863.0543,2742.5329,1144.3204,746.9329,872.238,406.2011,188.6385,3020.8422,1762.3749,963.4855,390,1745
1,554,0,0,79,10,21,506.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.3867,1153.0075,3789.3985,3472.8105,1107.3945,683.6361,977.6446,582.7445,270.6247,3946.0204,2213.0515,1037.5461,1076,3953
0,113,0,0,60,8,32,912.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,304.7175,1308.6242,4675.0897,4193.8257,918.3821,587.9764,881.2204,553.2564,256.9306,4372.9345,2105.34,889.0395,523,2901
9,116,1,0,76,10,13,556.96,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,224.9406,1469.5145,4825.4998,3070.0538,1231.8874,704.0077,942.3648,557.9528,259.1117,3059.7847,1820.7593,1097.2955,650,2903
0,554,0,0,78,10,21,538.24,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200.5269,1067.4876,3650.7496,2868.8596,992.5923,675.8402,939.5774,379.9969,176.4694,2946.8066,1621.2409,1040.3433,200,1086
6,554,0,0,26,0,190,519.84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,278.8777,1925.0347,4528.6924,3144.6672,1160.7732,673.1254,957.6269,572.6999,265.9604,3361.0155,1828.5797,1061.8109,756,3975
0,554,0,0,50,3,51,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,255.6611,595.771,2727.6224,2763.671,1067.2183,741.1082,949.7132,423.6749,196.7531,3069.1719,1825.949,955.3641,309,1460
0,554,0,0,72,10,6,313.29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.2077,1050.1802,4256.6661,3932.6662,855.5343,595.0728,801.9989,390.9703,181.5656,4088.011,1967.061,773.6398,241,365
0,232,0,0,89,10,13,118.81,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.0236,929.876,4680.4998,4077.3215,795.4671,507.8352,809.9298,371.9862,172.7491,4019.2066,1871.0314,761.974,42,0
3,113,0,0,66,9,37,412.09,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,263.868,905.5001,3896.6227,3622.3959,969.4519,533.9908,745.2407,738.633,343.0189,3931.248,2007.0507,913.1708,493,2712
1,83,0,0,83,8,72,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.9423,317.8394,1978.9882,2510.0624,711.2383,468.3072,781.5032,367.1268,170.4928,2497.2931,1347.3779,635.2249,43,0
0,546,0,0,83,5,29,240.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.7318,775.7487,3783.5657,3764.82,849.4635,531.9166,842.6965,387.6591,180.0275,4047.3419,1941.9104,739.088,45,0
1,546,0,0,79,10,36,655.36,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,262.6789,556.7266,3117.7112,3236.6675,815.355,570.8986,763.4365,504.8616,234.456,3415.1659,1781.9638,890.8203,328,1626
4,128,0,0,22,0,39,681.21,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,243.6811,1553.9034,4431.0626,3070.5106,1289.4603,773.3077,931.2902,497.3225,230.9548,3282.2623,1679.4806,1073.6769,588,3154
0,113,0,0,58,0,42,372.49,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,274.3782,1271.962,4774.8638,3033.1051,1136.0722,707.1783,928.9032,379.4115,176.1974,3144.8458,1801.4823,1106.3895,370,1868
2,113,0,0,52,9,10,158.76,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,214.2599,1539.8321,4813.4792,4143.3761,981.1678,612.3796,938.4044,466.6015,216.6885,4154.6634,2107.2335,848.4363,620,3268
7,116,1,0,66,8,24,506.25,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.4614,858.2264,4322.9762,3859.3038,807.9917,535.9503,769.4783,433.2034,201.1783,4026.6442,1910.974,783.7572,139,337
