"y","past_return","m20","m25","f15","temp","bus_passenger","f45","X17_18","sub_passenger","f50","m30","f20","wet","m50","m5","f55","m55","f70","f0","most_use","f30","X14_15","f40","f25","m0","m35","X16_17","m65","m40","m60","m45","f35","f60","m70","f65","dust","sunny","wind","cloud","X9_10","X12_13","semester","rain","X18_19","X11_12"
1,0,3481.3525,3627.6926,2255.1883,1.8,393,954.1123,0,2177,816.4424,1972.7596,4648.2518,37,898.046,1951.9843,805.2629,856.0725,1292.1359,828.4641,21737.0262,1735.9394,0,879.5719,3286.5011,677.759,1616.5206,1,440.202,1034.5832,575.7618,1026.4613,1368.0086,649.4567,785.5772,581.6992,36,1,1.4,0,0,0,0,0,0,0
0,1,4061.439,3857.673,2646.9193,0.5,436,943.3894,1,2172,786.7407,2021.4605,5060.285,38,881.8446,2263.3812,813.6039,888.3974,1277.7392,777.9175,23109.4736,1746.7962,0,879.2243,3510.5175,625.3572,1588.2836,0,443.0869,1078.4719,579.374,995.6357,1263.0188,669.0835,747.7952,566.1505,42,0,1.5,0,0,0,0,0,0,0
0,0,4256.555,4122.9342,2808.1361,-0.9,374,987.391,0,1919,784.0434,2106.8455,5475.9384,42,832.9198,2380.0975,769.2663,851.4151,1281.4106,673.987,24170.2517,1750.1372,0,894.2637,3621.7632,714.8656,1541.2446,0,453.6725,1063.4898,619.3034,1068.9945,1294.8336,655.461,760.3326,534.6887,46,0,0.7,1,0,0,0,0,1,0
2,0,4307.0667,4168.2017,2620.2517,-1.2,305,986.3548,0,1822,784.2678,2142.992,5433.5806,45,881.6793,2302.7393,799.8908,842.4864,1222.8802,584.2799,24282.2147,1765.6912,0,853.9846,3618.2199,600.0606,1517.6744,0,444.6465,1055.6617,617.974,1070.2002,1328.7882,706.2706,769.1565,559.3522,43,0,0.9,7,0,0,0,0,0,0
0,0,3809.3629,3987.5885,2174.8429,-1.6,482,908.8601,0,3216,756.7894,2022.8202,5054.2346,47,838.2168,1990.2825,742.736,864.8032,1215.1594,505.39,22705.0773,1734.4228,0,840.3534,3458.2767,480.8395,1425.254,0,438.4032,971.6193,558.3138,1046.1585,1213.1176,680.7566,746.3631,562.3245,44,0,0.9,4,0,0,0,0,0,0
0,0,2966.0381,3306.7813,1027.2487,-2.4,634,866.2712,0,4686,779.8195,1845.7715,4384.5668,49,816.4539,1010.5843,757.9299,802.2568,1241.576,380.3577,19868.6887,1643.6693,0,796.9554,3166.2979,554.185,1368.3173,0,424.2162,890.7127,546.7402,1025.4351,1187.2465,675.7285,756.3511,561.7106,49,0,2.1,3,0,0,0,0,0,0
1,0,2697.6954,3215.2554,752.5396,-2.5,340,842.5428,0,1294,794.7583,1777.7479,4242.8454,49,801.8453,665.6039,727.5439,810.0397,1222.1237,388.5686,19227.1009,1664.3515,0,782.2246,3115.3854,514.7113,1298.3517,0,442.2193,862.1241,568.5069,974.7318,1215.4682,695.5734,751.4911,524.8618,48,0,1,6,0,0,0,0,0,0
0,1,2496.8181,3131.7732,637.14,-2.6,124,746.8139,0,312,672.8306,1621.3565,4208.4572,52,730.9854,515.973,622.0597,759.3371,1108.3629,300.0897,18418.4618,1629.9731,0,646.9265,3002.7874,461.283,1229.9252,0,404.4098,818.7908,509.645,895.2271,1097.3711,611.6483,784.51,501.4084,52,0,0.9,8,0,0,0,0,0,0
0,3,2528.0976,3054.5089,598.9934,-2.8,36,749.1479,0,2,677.3715,1649.3404,4230.2852,55,725.6719,527.3301,629.466,728.0094,1148.3885,330.7562,18420.8415,1675.7792,0,643.7032,2960.1867,459.8054,1254.9868,0,416.2185,791.2885,491.5773,906.0489,1067.6567,629.755,770.8469,493.9842,51,0,2.3,7,0,0,0,0,0,0
0,0,2550.0382,3069.2582,607.0678,-2.9,13,770.2866,0,0,682.0035,1676.1082,4255.3486,57,745.1448,506.7215,619.1185,726.0669,1135.7623,341.9429,18537.3961,1656.4244,0,685.7243,2997.0907,471.4803,1252.7303,0,398.5573,827.1632,494.3149,886.2969,1080.3975,615.1559,763.9788,510.7964,55,0,2.1,8,0,0,0,0,0,0
0,0,2538.5105,3066.2662,588.4983,-2.6,19,754.7675,0,0,689.4129,1675.8869,4273.9491,57,744.1317,524.8589,589.0645,726.8703,1126.2161,344.1256,18521.2688,1641.1874,0,660.4695,3008.6295,492.5551,1256.0014,0,406.412,817.9012,496.8338,875.2236,1060.8378,622.665,745.4565,484.6168,51,0,1.9,8,0,0,0,0,0,0
0,0,2514.5834,3082.9688,605.8067,-2.1,8,739.2058,0,0,697.1884,1698.6529,4276.3212,56,750.5879,526.9761,595.6035,716.3295,1136.0043,355.3955,18543.7858,1675.377,0,659.0926,3002.3673,445.0988,1213.0688,0,417.9578,803.6301,500.0517,904.0857,1080.4464,619.0804,737.3836,487.8129,38,0,2.5,9,0,0,0,0,0,0
0,0,2554.3603,3061.9827,637.0526,-1.9,12,754.1053,0,5,679.593,1704.6129,4266.5884,55,728.445,544.9547,581.9424,714.0956,1123.3199,338.3259,18543.7955,1678.664,0,660.6537,2968.2033,434.6023,1205.585,0,414.0992,796.9997,501.2277,899.1318,1103.7989,635.7418,748.4007,482.6152,41,0,2,8,0,0,0,0,0,0
0,0,2545.7365,3049.3064,665.0012,-1.9,37,731.9394,0,161,675.7104,1695.6564,4218.3895,56,731.1179,548.4396,595.7291,713.7302,1157.4969,324.6109,18453.4719,1659.9689,0,647.9535,2984.2089,412.9007,1224.7163,0,426.0584,821.4094,510.728,906.7302,1075.489,635.9868,747.7826,511.8701,43,0,2.3,9,0,0,0,0,0,0
0,0,2542.303,3031.7595,639.7209,-1.9,56,746.2945,0,246,680.5979,1690.2626,4248.1746,66,746.232,574.8667,601.7095,713.4863,1164.5989,324.349,18440.4493,1668.6876,0,661.6567,2973.5895,420.7984,1212.6061,0,431.7673,799.429,517.5398,925.2835,1073.0664,658.7549,759.6752,538.8868,43,0,2.5,9,0,0,0,0,0,0
0,0,2469.1511,3039.5463,619.3514,-2.2,85,735.9822,0,416,680.5075,1655.5987,4174.7932,81,698.9761,549.6872,620.8738,734.231,1183.6856,314.2971,18198.0685,1639.6134,0,666.1195,2932.8963,414.7436,1199.5701,0,438.3799,824.9195,517.8935,907.0188,1086.8994,629.731,754.8039,534.7857,52,0,2,9,0,0,0,0,0,0
0,0,2445.8786,2979.8742,582.732,-2.2,171,738.8499,0,789,691.9868,1677.396,4060.9573,83,687.7629,566.1793,641.7601,772.8655,1176.5494,317.0563,17995.9003,1686.3704,0,683.126,2869.5038,449.7321,1186.7689,0,445.4824,872.3767,530.9345,891.3126,1089.1511,650.1473,734.9286,537.8985,54,0,2,8,0,0,0,0,0,0
0,0,2399.9479,2847.3887,589.3282,-1.9,188,762.4441,0,1035,730.6254,1660.2613,3916.1752,82,685.5117,518.2788,678.2829,776.3128,1159.131,373.4072,17594.8778,1644.2672,0,719.6571,2790.5682,457.7015,1219.8663,0,456.9606,834.134,516.6764,880.3636,1116.403,630.4952,686.8144,534.122,38,0,1.4,8,1,0,0,0.3,0,0
0,0,2348.6809,2849.6423,632.6776,-0.8,186,785.2918,0,980,793.803,1654.5955,3896.1996,81,739.2145,575.6963,708.6192,794.1095,1192.8083,387.6929,17551.9194,1647.9914,0,752.7486,2789.9729,493.107,1245.1284,0,469.9947,853.3559,530.3676,971.919,1119.7084,686.5591,732.5448,529.7216,46,0,0.7,7,0,0,0,0,0,0
