"y","past_return","bus_passenger","station_dist","temp","m5","m0","sub_passenger","wind","wet","X8_9","dust","f25","m40","m20","m30","f0","f15","m70","m65","m25","X14_15","cloud","m55","m35","m60","f70","f40","f65","m50","f60","f30","m45","f35","f45","f55","f20","X18_19","station_type","f50","rain","m10","most_use","f10","X9_10","semester","X16_17","X19_20","sunny","X22_23","X7_8"
1,3,32,83,27.4,692.5743,444.799,0,3.1,77,0,11,3952.4889,911.1683,3681.5593,1912.3102,350.201,952.7581,831.8442,399.5834,3591.9266,0,10,757.5902,1398.7126,522.7645,1251.6308,773.26,506.2902,814.2018,643.3451,2018.4971,978.2015,1348.0475,737.3028,672.2444,5723.4323,0,0,730.5286,0,205.2917,23626.9745,162.6323,0,0,0,0,0,0,0
0,6,331,43,18,711.8507,958.8846,0,2.1,33,0,144,983.1469,924.914,805.7809,840.5984,880.0096,803.302,866.891,419.6518,921.2582,0,0,679.811,1013,625.0235,1395.2251,1072.3399,604.0986,819.7905,830.5448,981.0653,920.9271,1059.0254,1060.2999,978.4832,1024.9815,0,0,919.902,0,494.9747,7628.8566,467.7597,0,1,0,0,0,0,0
5,1,486,554,29.3,801.9534,559.1895,1767,2.4,68,0,32,3324.3738,1281.0487,3495.5823,1630.7311,432.8693,1164.962,929.7448,561.921,2898.7189,0,8,1144.7101,1516.5566,755.2433,1391.5952,1169.7218,585.3234,1190.0678,840.9754,1744.1886,1357.0079,1288.9044,1348.0061,1115.9045,5430.0265,0,0,1177.3509,0,258.087,21329.0822,201.023,0,0,0,0,0,0,0
1,0,701,546,6.5,1014.3705,583.7335,3635,1,45,0,38,3769.7017,1063.1966,3599.0489,2074.9085,457.1155,1315.2582,831.3186,445.6544,3699.3069,0,3,855.7901,1416.0425,620.0518,1155.6421,881.0167,580.0782,770.4181,673.8801,1978.4554,1098.5583,1234.4126,851.6204,713.9862,5560.771,0,0,866.2096,0,269.4151,23332.6475,212.2831,0,0,0,0,0,1,0
1,0,294,60,10.9,290.6333,504.7801,2006,2.7,82,1,15,953.4916,522.9533,661.4992,720.7393,340.4084,328.6209,473.5775,240.6384,743.8132,0,0,434.885,822.4349,321.5391,778.9997,562.4938,360.7066,480.3635,406.517,905.4955,535.224,762.5877,497.1205,495.8615,824.9382,0,0,409.4826,0,168.2602,6394.9996,121.7101,0,1,0,0,0,0,0
0,0,53,70,0.1,765.9496,1057.3714,0,1.5,63,0,86.5,982.701,991.741,790.4863,871.4238,972.7008,771.5335,923.9735,433.8842,933.8055,0,3,924.6246,1177.0364,674.9196,1308.387,1050.4291,622.0696,935.924,836.1816,1008.3619,1072.0541,1187.2994,978.3746,1042.9626,936.932,0,1,935.2634,0,545.8133,7888.0463,517.028,0,1,0,0,0,0,0
6,2,879,554,26.4,1455.1322,497.128,4099,3.6,87,0,35,3537.9592,1325.6356,4395.4003,1735.4695,563.4971,1953.194,941.343,516.2884,3218.2544,0,10,1070.3223,1585.5874,705.1769,1327.4949,1062.7608,573.3825,1249.9068,832.4471,1857.0717,1379.6829,1448.2588,1294.5239,937.8828,6289.1166,0,0,1039.3797,8,229.4435,24067.1179,261.6865,0,1,0,0,0,0,0
1,5,229,232,10.1,781.3914,471.9178,1191,3.9,67,0,7,3478.4542,873.1387,3679.2134,1791.7112,547.0505,1024.0157,770.1387,426.6123,3358.9989,0,5,792.9406,1424.0712,565.9204,1169.8012,854.5109,494.9985,858.7659,682.6879,1831.6503,1017.704,1280.572,864.4368,752.6806,5609.9206,0,0,790.6773,0,217.8079,22454.5918,254.0487,0,1,0,0,0,0,0
0,1,0,92,26.3,518.9975,836.8477,0,1.1,85,0,29,946.8189,886.3076,660.621,869.6653,795.0737,480.4381,960.2487,481.7654,792.692,0,3,762.3042,945.896,672.683,1423.9555,990.892,603.2421,730.3095,857.6388,898.0765,999.2085,1141.2097,935.8029,990.9892,687.5844,0,0,766.6154,0,391.4893,6942.5638,345.3586,0,0,0,0,0,0,0
0,1,302,395,25.6,416.6793,785.1822,0,4.1,94,0,32,606.2327,597.0746,513.1188,600.5148,671.054,460.032,830.0278,444.2501,605.9553,0,10,649.2989,656.0246,487.5567,1154.3617,630.3926,512.7254,563.2695,677.3386,624.4278,768.4102,734.0394,685.3298,735.2249,550.4662,0,0,618.4852,31.3,367.3198,4890.7796,291.4876,0,0,0,0,0,0,0
1,3,47,41,26.2,554.1763,651.1162,0,1,87,0,20,881.7051,771.7753,615.0951,866.3205,689.3438,493.5451,1270.4249,606.08,890.1888,0,6,1084.3151,966.0619,839.494,2007.2844,789.7862,824.5374,900.2623,1094.0794,907.3961,920.9062,955.2602,966.2567,1240.8434,737.6209,0,0,1046.043,0,317.9155,6819.6486,319.6644,0,0,0,0,0,0,0
0,1,217,85,-7.3,614.1946,811.4713,1022,3,73,0,29,1784.5974,1079.9794,924.711,1503.237,643.8681,658.2372,904.1158,421.6254,1436.2023,0,8,921.3428,1333.9483,603.7941,1345.1478,1036.8314,572.2115,881.9268,906.0751,1537.5232,1054.2875,1443.3352,1145.3414,1017.9278,1265.1079,0,0,1071.2588,0,377.91,11228.6623,342.9425,0,1,0,0,0,0,0
0,0,12,220,-1.9,317.4772,376.3303,0,1.1,76,0,94,1368.94,621.6305,1087.4685,1017.0461,241.4161,319.7045,540.4905,288.4218,1329.1757,0,7,541.1179,950.855,411.5565,885.2775,544.862,328.0417,542.4187,498.6958,928.0155,586.5223,787.4577,523.7204,540.7625,1549.1812,0,1,489.2635,0,157.5057,9018.1397,118.2809,0,0,0,0,0,0,0
5,1,81,248,16.6,487.2278,895.3022,0,1.3,36,0,33,884.927,862.4195,531.0889,853.1379,723.6858,481.8757,912.0691,516.715,803.4653,0,10,734.962,934.1554,660.9696,1321.0263,879.9415,683.8762,689.7937,818.8831,885.4744,891.1537,1039.6398,937.5543,978.234,739.5869,0,0,755.2136,0,418.8356,6671.4756,314.3492,0,1,0,0,0,0,0
0,2,375,113,3.4,718.6216,432.8086,1606,1,78,0,115,3649.939,950.3614,3114.3975,1965.4853,338.7766,774.0226,805.4439,443.811,3725.3647,0,9,797.9514,1490.658,593.5399,1162.8,886.2639,533.4266,770.7346,680.8669,1910.2116,1072.3479,1320.6432,866.1652,821.953,5027.4396,0,0,815.9331,0,199.7576,22204.1389,157.327,0,0,0,0,0,1,0
1,0,198,405,11.4,527.9057,1086.7743,0,2.2,83,0,17,756.847,737.7293,556.4479,734.734,1082.5067,510.7819,886.3525,431.9847,723.2117,0,9,725.4375,797.0226,616.4825,1261.8997,777.3551,522.6117,671.1069,672.207,768.9376,766.5972,931.1042,787.5045,839.4871,629.527,0,0,716.0126,0,508.4087,5897.832,470.2115,0,1,0,0,0,0,0
2,0,249,10,24.4,573.9039,679.4994,525,3.4,92,0,36,1397.8883,1079.2356,882.6856,1298.0302,591.354,497.6481,848.0074,441.5072,1370.8314,0,10,902.5972,1137.7584,668.5592,1260.6054,996.2087,608.7453,863.3848,778.1945,1242.5152,1087.8417,1345.3571,1173.3187,978.8613,1027.9986,0,0,936.3436,2.2,316.4493,9703.0648,314.9726,0,0,0,0,0,0,0
0,2,294,410,17.4,1282.5225,1376.884,611,2.8,59,0,21,872.8184,1450.2183,873.8474,853.2783,1599.1127,1362.665,1246.8285,656.2175,815.8343,0,5,1246.6972,1066.0955,813.8572,1573.0535,1788.2091,748.4545,1358.7797,1046.2539,914.8898,1840.3604,1465.5503,2148.4495,1428.7036,976.9584,0,0,1477.5422,0,1163.9801,7839.2724,1339.5034,0,1,0,1,1,0,0
6,4,243,90,29.6,539.933,509.1484,0,2.2,71,0,19,1194.3749,917.7719,845.3843,1032.1224,531.6083,479.8319,876.2742,506.2845,1051.5753,0,4,922.2359,1128.3016,765.3019,1534.5697,954.9723,639.4358,892.2456,889.1111,970.4582,1057.5057,1059.2586,906.5738,1075.854,1000.3563,0,0,839.0047,0,310.5113,8281.8316,307.4993,0,0,0,1,0,0,0
0,2,408,554,-3.5,1420.7548,739.1287,1900,3,75,0,39,3167.9628,1145.28,4132.2365,1645.3288,444.7242,1824.0756,972.5876,508.6865,2949.1456,0,9,989.2389,1569.219,787.0658,1311.3475,1139.9549,668.2969,1043.6264,858.4284,1720.895,1317.717,1533.5706,1226.307,1041.6125,6157.355,0,0,1117.4783,0,341.1355,22875.7133,206.5284,0,1,0,0,0,0,0
