"y","temp","rain","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","m10","m5","m20","m25","m30","m40","m70","f0","f15","f20","f25","f30","f35","f40","f50","f60","f65","f70","bus_passenger","sub_passenger"
1,-0.9,0,42,0,1,46,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,329.9373,2380.0975,4256.555,4122.9342,2106.8455,1063.4898,760.3326,673.987,2808.1361,5475.9384,3621.7632,1750.1372,1294.8336,894.2637,784.0434,655.461,534.6887,1281.4106,374,1919
0,-1.2,0,45,0,7,43,1.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,276.9508,2302.7393,4307.0667,4168.2017,2142.992,1055.6617,769.1565,584.2799,2620.2517,5433.5806,3618.2199,1765.6912,1328.7882,853.9846,784.2678,706.2706,559.3522,1222.8802,305,1822
0,-1.6,0,47,0,4,44,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,221.9256,1990.2825,3809.3629,3987.5885,2022.8202,971.6193,746.3631,505.39,2174.8429,5054.2346,3458.2767,1734.4228,1213.1176,840.3534,756.7894,680.7566,562.3245,1215.1594,482,3216
0,-2.4,0,49,0,3,49,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,255.7777,1010.5843,2966.0381,3306.7813,1845.7715,890.7127,756.3511,380.3577,1027.2487,4384.5668,3166.2979,1643.6693,1187.2465,796.9554,779.8195,675.7285,561.7106,1241.576,634,4686
0,-2.5,0,49,0,6,48,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,237.5586,665.6039,2697.6954,3215.2554,1777.7479,862.1241,751.4911,388.5686,752.5396,4242.8454,3115.3854,1664.3515,1215.4682,782.2246,794.7583,695.5734,524.8618,1222.1237,340,1294
0,-2.6,0,52,0,8,52,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.8995,515.973,2496.8181,3131.7732,1621.3565,818.7908,784.51,300.0897,637.14,4208.4572,3002.7874,1629.9731,1097.3711,646.9265,672.8306,611.6483,501.4084,1108.3629,124,312
0,-2.8,0,55,0,7,51,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.2175,527.3301,2528.0976,3054.5089,1649.3404,791.2885,770.8469,330.7562,598.9934,4230.2852,2960.1867,1675.7792,1067.6567,643.7032,677.3715,629.755,493.9842,1148.3885,36,2
0,-2.9,0,57,0,8,55,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.6059,506.7215,2550.0382,3069.2582,1676.1082,827.1632,763.9788,341.9429,607.0678,4255.3486,2997.0907,1656.4244,1080.3975,685.7243,682.0035,615.1559,510.7964,1135.7623,13,0
0,-2.6,0,57,0,8,51,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.333,524.8589,2538.5105,3066.2662,1675.8869,817.9012,745.4565,344.1256,588.4983,4273.9491,3008.6295,1641.1874,1060.8378,660.4695,689.4129,622.665,484.6168,1126.2161,19,0
0,-2.1,0,56,0,9,38,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.4296,526.9761,2514.5834,3082.9688,1698.6529,803.6301,737.3836,355.3955,605.8067,4276.3212,3002.3673,1675.377,1080.4464,659.0926,697.1884,619.0804,487.8129,1136.0043,8,0
