"y","temp","rain","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m5","m20","m25","m35","m45","m55","m65","f25","f30","f65","f70","bus_passenger","sub_passenger"
1,-2.5,0,49,0,6,48,6.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,665.6039,2697.6954,3215.2554,1298.3517,974.7318,810.0397,442.2193,3115.3854,1664.3515,524.8618,1222.1237,340,1294
3,-2.6,0,52,0,8,52,6.76,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,515.973,2496.8181,3131.7732,1229.9252,895.2271,759.3371,404.4098,3002.7874,1629.9731,501.4084,1108.3629,124,312
1,-2.8,0,55,0,7,51,7.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.3301,2528.0976,3054.5089,1254.9868,906.0489,728.0094,416.2185,2960.1867,1675.7792,493.9842,1148.3885,36,2
1,-2.9,0,57,0,8,55,8.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.7215,2550.0382,3069.2582,1252.7303,886.2969,726.0669,398.5573,2997.0907,1656.4244,510.7964,1135.7623,13,0
0,-2.6,0,57,0,8,51,6.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.8589,2538.5105,3066.2662,1256.0014,875.2236,726.8703,406.412,3008.6295,1641.1874,484.6168,1126.2161,19,0
0,-2.1,0,56,0,9,38,4.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.9761,2514.5834,3082.9688,1213.0688,904.0857,716.3295,417.9578,3002.3673,1675.377,487.8129,1136.0043,8,0
0,-1.9,0,55,0,8,41,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.9547,2554.3603,3061.9827,1205.585,899.1318,714.0956,414.0992,2968.2033,1678.664,482.6152,1123.3199,12,5
0,-1.9,0,56,0,9,43,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548.4396,2545.7365,3049.3064,1224.7163,906.7302,713.7302,426.0584,2984.2089,1659.9689,511.8701,1157.4969,37,161
0,-1.9,0,66,0.1,9,43,3.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.8667,2542.303,3031.7595,1212.6061,925.2835,713.4863,431.7673,2973.5895,1668.6876,538.8868,1164.5989,56,246
0,-2.2,0,81,0.5,9,52,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549.6872,2469.1511,3039.5463,1199.5701,907.0188,734.231,438.3799,2932.8963,1639.6134,534.7857,1183.6856,85,416
0,-2.2,0,83,0.5,8,54,4.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.1793,2445.8786,2979.8742,1186.7689,891.3126,772.8655,445.4824,2869.5038,1686.3704,537.8985,1176.5494,171,789
