"y","sub_passenger","bus_passenger","past_return","temp","X8_9","wet","rain","X7_8","m25","f0","m30","f35","f45","m40","m45","sunny","m50","m5","m35","m55","m0","f25","m70","f50","m65","f60","dust","f65","m60","f70","cloud","m20","f55","f40","wind","f20","f30","f15","X18_19","most_use","snow","X9_10","temp.sqr","weekend","X16_17","semester","X12_13"
0,3503,637,6,5.8,0,62,0,0,4314.3164,377.0658,2123.076,1348.9058,869.8871,1054.2858,1053.7864,1,833.2559,1756.1699,1535.2708,882.762,586.5941,4310.4191,846.2349,816.7401,446.8865,603.7418,35,560.936,663.3749,1281.1291,9,4597.5487,789.8069,894.3798,3.8,6322.081,1983.9014,1779.4331,0,26535.5192,0,0,33.64,0,0,1,0
0,2744,529,2,5.7,0,61,0,0,3682.1,344.0383,1934.2418,1293.2138,724.2505,905.2342,949.1049,1,789.4736,894.3392,1397.5343,784.6443,414.2617,3737.9919,784.6589,697.7092,415.2779,603.7727,34,521.4417,569.4916,1191.9934,9,3620.9088,671.2076,813.985,4.3,5748.3234,1821.4532,1155.8182,0,23235.7672,0,0,32.49,0,0,1,0
0,0,168,3,5.5,0,62,0,0,3629.3495,348.3759,1894.2362,1290.8924,722.0898,861.9165,947.925,1,778.3891,817.0269,1385.3501,771.0398,436.0322,3766.2724,792.887,701.2171,410.9231,590.8769,35,520.6343,544.6948,1200.6573,9,3450.9039,651.0501,813.9379,4.7,5612.9829,1797.5023,1084.4097,0,22827.4897,0,0,30.25,1,0,1,0
1,0,23,5,5.3,0,64,0,0,3638.6845,365.2967,1906.4632,1274.3147,740.7223,854.7809,903.0722,1,759.5381,795.4709,1359.6607,770.6966,415.1219,3752.1675,825.0613,704.0071,412.549,591.3455,35,509.3183,531.7663,1187.8557,9,3473.0513,642.595,798.4907,4.5,5656.7953,1833.0435,1118.1537,0,22894.1807,0,0,28.09,1,0,1,0
1,0,18,1,5.2,0,64,0,0,3625.9804,363.8038,1898.57,1281.916,747.5996,868.2175,953.5205,1,747.1023,779.8569,1320.1308,765.5382,405.9109,3783.2489,812.3945,673.237,425.2262,568.8796,37,525.6597,521.2579,1155.6278,10,3499.1422,664.9494,816.1747,3.3,5627.5003,1831.9701,1080.5374,0,22868.4587,0,0,27.04,1,0,1,0
0,0,10,1,4.5,0,77,0.2,0,3630.3298,360.315,1907.299,1284.8294,758.2101,893.2207,933.5075,0,758.9262,775.283,1336.2261,751.3618,423.9685,3789.998,837.9417,674.3463,395.3962,567.4379,40,514.847,523.9167,1193.4603,10,3469.0037,650.8587,822.5778,3,5633.1213,1850.0558,1098.3583,0,22900.8631,0,0,20.25,1,0,1,0
0,8,24,0,3.1,0,89,0,0,3620.077,363.4713,1924.0828,1278.4813,757.8428,856.1606,922.6529,1,766.1623,803.9134,1353.7014,777.5204,418.9749,3792.3962,803.682,661.1683,399.5303,571.7278,42.5,517.0599,524.3136,1181.6688,10,3414.9353,646.5532,804.0631,3.8,5610.238,1842.9995,1071.5887,0,22836.9115,0,0,9.61,1,0,1,0
0,339,64,0,2.4,0,93,0,0,3593.0047,348.6307,1932.4814,1258.4969,763.4564,860.284,950.605,1,748.0664,809.2102,1325.855,755.4992,439.361,3844.7231,836.6357,659.7561,418.7025,581.9572,54,509.3158,531.6751,1198.8904,10,3385.4192,676.8123,807.0921,3.1,5583.9556,1849.2301,1056.8352,0,22773.166,0,0,5.76,1,0,1,0
0,460,123,2,1.4,0,95,5.3,0,3516.333,354.4333,1926.284,1266.3564,762.0923,868.3444,932.8369,0,749.8192,787.6424,1300.8481,782.1861,427.6058,3840.5572,848.6669,698.3725,407.6928,596.8021,53.5,536.9503,524.8204,1204.2364,10,3401.9223,691.866,793.3366,3.4,5544.4026,1830.8065,1083.3597,0,22627.5101,0,0,1.96,1,0,1,0
0,746,161,0,1.1,0,97,0,1,3449.3858,339.8883,1919.4555,1289.9267,749.2839,843.3854,988.3004,0,773.7759,794.0822,1288.4706,806.0743,421.8501,3752.2105,851.1094,711.7559,424.6637,602.3494,39,555.4386,543.0281,1239.81,10,3364.4716,701.8046,808.9585,4,5449.8709,1804.1878,1089.2814,0,22317.9794,0.3,0,1.21,1,0,1,0
0,1221,312,0,1.1,1,98,0,0,3383.6198,331.8584,1906.3784,1285.9891,835.5331,864.8277,1015.8615,0,767.0596,804.0478,1335.333,774.0048,464.5308,3625.0264,827.5188,729.1977,433.6438,615.4887,31.5,542.6245,555.3135,1229.9572,10,3338.9743,765.7024,845.8238,4.2,5191.9259,1767.8408,1019.7985,0,21835.0877,0.5,0,1.21,1,0,1,0
0,1490,340,0,1.1,0,98,4.5,0,3311.9244,395.7081,1907.4867,1271.7814,848.9262,928.7205,1044.5398,0,842.8564,820.0532,1399.5873,845.7679,446.2848,3485.931,832.403,779.9502,439.5096,649.4455,33,594.4484,628.8264,1271.6517,10,3301.6769,797.7244,922.3407,3.9,5026.8211,1786.4034,1036.9276,0,21491.6122,0.5,1,1.21,1,0,1,0
0,1238,316,0,1.2,0,98,0,0,3336.1929,390.1671,1945.1927,1354.6058,900.4284,948.9691,1031.1567,0,838.4232,905.5486,1456.8171,858.6634,493.2289,3531.8296,849.6979,757.3557,474.8785,661.4245,37,575.9022,667.8906,1250.8708,10,3272.565,799.0339,947.5274,2.9,4915.3794,1811.5307,1095.5282,0,21624.1132,0.6,0,1.44,1,0,1,0
0,1579,328,0,1.5,0,98,0,0,3397.2537,370.1057,1884.8985,1311.965,901.1278,952.0722,1086.995,0,845.699,923.9276,1540.1233,897.1259,437.377,3534.2726,828.6554,810.1984,456.97,644.1743,37.5,588.5676,684.1028,1256.3306,10,3289.547,871.7368,969.3785,2.9,4966.6828,1870.4847,1146.1283,0,21795.2276,0.7,0,2.25,1,0,1,0
0,1961,388,0,2,0,97,4.6,0,3532.4899,460.1907,1918.9451,1410.1775,930.2305,1011.6412,1142.3778,0,928.0011,1019.5062,1566.5075,903.4107,466.092,3703.0561,845.4892,844.1059,434.7364,679.0876,35.5,565.4227,642.3433,1358.2614,10,3456.7436,884.445,1049.1643,2.7,5094.1578,1915.9933,1372.4174,0,22598.0708,0.5,0,4,1,0,1,1
0,1865,461,0,3.3,0,96,0,0,3515.1344,536.3797,2032.0933,1360.0954,913.866,1019.7723,1104.6129,1,855.07,1154.0822,1518.7995,909.1361,547.0264,3773.4786,883.116,827.926,464.0068,676.2319,30,564.0631,651.9974,1277.3427,10,3546.7321,862.5111,983.1581,3.5,5231.0333,2047.2674,1389.5977,0,23024.634,0,0,10.89,1,0,1,0
6,2023,418,2,4.8,0,89,0,0,3581.7399,653.592,2077.5711,1368.7877,932.7775,1117.3647,1122.9451,1,926.3677,1318.524,1658.7151,944.8779,641.4396,3923.3015,859.5748,904.8427,459.0369,698.7781,8,546.3556,630.7684,1227.6175,9,3725.6294,892.3024,984.4491,3.8,5482.3506,2061.5767,1594.9794,0,23879.672,0,0,23.04,1,0,1,0
0,2486,503,1,5.2,0,82,0,0,3794.516,710.9607,2115.7529,1361.9398,874.8063,1107.7211,1095.7915,1,943.3503,1478.844,1654.6509,925.1146,665.1478,3958.5907,872.378,972.4694,491.5611,650.6395,8,585.6411,663.6707,1237.5966,9,3883.6517,911.4452,1009.039,2.6,5669.9584,2045.8351,1657.1008,0,24484.8955,0,0,27.04,1,0,1,0
2,2741,512,0,6,0,77,0,0,3873.557,822.0421,2167.6828,1420.9682,960.5961,1150.3496,1075.8074,1,909.2173,1753.1513,1625.397,883.5006,692.1399,4098.296,876.6202,885.5631,505.819,719.4654,13,593.3053,655.9571,1169.5529,9,4146.7644,862.9692,1020.9867,2,5967.0093,2024.5245,2010.6007,0,25324.1992,0,0,36,1,1,1,0
5,2564,497,2,6,0,78,0,0,4236.7819,782.3063,2323.3333,1474.9858,940.999,1164.4817,1151.6934,1,950.9623,2091.6273,1624.5643,917.4138,660.2769,4325.4505,925.1256,919.4744,479.2881,722.7766,18,599.5691,633.6739,1184.3137,9,4571.8229,879.1364,994.7737,2.7,6354.6486,2081.1154,2304.6457,0,26992.7027,0,0,36,1,0,1,0
1,2467,505,1,6,0,74,0,0,4670.9694,668.0768,2426.8231,1429.5146,936.0398,1161.6227,1221.6275,1,954.5957,2305.3929,1727.293,854.4105,646.5463,4444.3318,900.9854,870.4686,485.0493,735.3534,18,594.9863,633.5558,1139.3292,9,5283.2975,814.3747,974.0087,1.5,6859.9426,2063.8622,2465.7482,1,28906.0342,0,0,36,1,0,1,0
0,2216,403,5,5.6,0,78,0,0,4935.1451,589.9714,2454.0589,1405.5222,908.2276,1119.8136,1155.8754,1,928.5437,2363.5299,1687.2318,907.3508,641.1237,4595.7234,896.6397,851.4672,483.3617,668.5105,15,604.4085,615.4103,1182.4167,8,5533.0843,817.5476,879.211,1.7,7130.1724,2104.8117,2563.2101,0,29845.7498,0,0,31.36,1,0,1,0
1,2686,394,2,5.3,0,77,0,0,5036.9033,528.3091,2418.1015,1372.1559,933.3313,1101.7317,1149.6218,1,923.6408,2274.3261,1691.2888,862.5034,578.6035,4583.8539,876.0076,821.6992,443.9994,658.6308,6,607.5671,586.7833,1200.6045,9,5719.0959,779.41,908.8597,1.1,7253.1818,2099.8585,2411.957,0,30174.4396,0,0,28.09,1,0,1,0
0,2807,457,1,4.5,0,74,0,0,4889.1001,470.9759,2407.5063,1396.3627,838.2961,1093.2288,1126.2533,1,885.6966,2021.3543,1674.8685,866.0475,547.6488,4498.1114,857.3683,826.2688,455.0077,646.739,21,603.7912,618.67,1175.2935,7,5495.7105,759.8896,923.2834,3.1,6994.7172,2076.4202,2106.1744,0,29432.7969,0,0,20.25,1,0,1,0
1,3527,513,2,3.6,0,74,0,0,4585.6571,423.0904,2287.0944,1319.3999,848.5341,1055.5861,1106.5131,1,866.2592,1612.4145,1584.2896,883.2259,539.6296,4182.3076,858.7695,822.0104,429.3447,648.5974,8,572.7462,602.488,1170.4733,7,4887.5007,758.9641,876.7872,1.7,6463.4284,1978.2189,1685.8743,0,27287.8966,0,0,12.96,1,0,1,0
2,2884,541,4,2.9,0,75,0,0,3718.9268,349.6835,1920.5345,1261.4886,712.0891,963.4074,1004.3575,1,787.6588,893.2483,1419.7458,808.6833,507.5561,3815.0779,854.5621,720.6558,406.1003,597.9215,17.5,531.0122,514.0274,1207.4662,6,3735.9292,615.8661,791.2851,2,5642.4504,1827.646,1124.6565,0,23341.7992,0,0,8.41,1,0,1,0
0,0,84,1,2.8,0,80,0,0,3589.7687,347.2558,1898.855,1239.0296,728.8723,924.1035,995.8978,1,790.8978,823.8267,1349.738,829.4898,486.4487,3722.1683,841.2553,697.0736,414.9568,585.7763,17.5,515.4582,532.3851,1189.621,6,3574.932,591.7091,754.1737,1.5,5448.3228,1822.5969,1073.1559,0,22645.4113,0,0,7.84,1,0,1,0
5,0,13,3,3.1,0,82,0,0,3578.1384,386.8647,1894.8698,1253.2372,721.1586,893.3224,1024.6761,1,739.4287,789.0916,1341.9618,796.3398,505.3117,3732.3593,838.0969,693.9221,409.9647,585.5668,24.5,505.0763,502.4571,1199.082,5,3581.4168,597.1334,760.733,1.1,5383.6631,1851.496,1104.5011,0,22617.1424,0,0,9.61,1,0,1,0
1,0,20,0,3.6,0,84,0,0,3592.4744,369.7985,1909.196,1240.1224,741.169,891.7508,1031.1908,1,777.7974,786.8413,1285.7213,806.9223,510.3595,3724.4295,858.5074,701.9506,405.0513,583.0104,29,518.1329,519.0872,1208.0383,10,3556.4839,592.4593,761.5093,1.1,5423.6536,1809.3024,1093.8214,0,22541.3835,0,0,12.96,1,0,1,0
0,0,10,1,3.9,0,85,0,0,3585.2142,361.0726,1885.769,1236.2535,748.4463,887.6725,996.8809,0,763.6632,786.5309,1302.7678,787.3975,486.6092,3712.6746,837.9944,705.6747,392.4856,580.6225,11,521.7349,509.0894,1201.2063,10,3588.6404,584.5634,757.8843,0.5,5470.2306,1802.1255,1050.7365,0,22583.6756,0,0,15.21,1,0,1,0
0,9,19,3,4,0,87,0,0,3567.1995,372.4234,1918.9239,1225.9208,729.4866,897.3869,1022.2531,1,745.2789,776.3204,1313.4502,795.1116,510.1851,3721.0943,829.4133,691.0449,385.4512,599.6346,12,511.1132,504.1864,1216.8097,10,3530.2577,587.7752,756.9346,1.6,5470.048,1799.5664,1071.3252,0,22546.4608,0,0,16,1,0,1,0
2,216,46,1,4,0,84,0,0,3518.8046,384.5399,1891.2344,1251.7971,695.7338,881.8922,988.988,0,740.0157,802.875,1304.0002,789.4777,498.3393,3719.7138,850.415,674.4539,394.9689,585.9906,24,507.985,483.2409,1182.6757,10,3485.029,580.5598,746.811,0.8,5451.3912,1799.5151,1059.7535,0,22421.4854,0,0,16,1,0,1,0
0,331,82,0,4,0,85,0,0,3489.8714,386.6963,1866.116,1254.4412,709.355,864.9311,962.82,1,756.4328,795.3645,1277.6598,755.2173,498.4819,3703.7775,847.7421,698.1728,423.6428,614.9197,16,532.0068,513.8531,1192.1371,9,3444.3086,597.7745,759.6371,1.4,5398.5136,1783.9362,1034.562,0,22218.6243,0,0,16,1,0,1,0
2,466,103,1,4.1,0,87,0,1,3465.3236,418.4185,1869.7638,1213.6995,715.9404,874.6151,1032.2903,1,741.3681,807.7574,1290.6307,771.3962,511.1585,3602.9913,824.9165,700.3261,408.7684,603.3337,20,516.0868,519.6201,1175.6826,9,3400.1216,609.4601,750.9764,1.8,5324.7046,1784.8098,1035.7198,0,21952.0449,0,0,16.81,1,0,1,0
0,825,177,0,4.2,1,88,0,0,3390.8163,376.9951,1839.2674,1205.5095,722.8448,879.1646,1034.5267,1,731.4576,857.5816,1300.1045,813.0703,517.4267,3467.4701,803.0424,692.7853,389.3302,642.9686,27,547.9376,553.9163,1225.1058,9,3255.3806,658.6896,757.8068,2.3,5194.8405,1770.1816,1009.1685,0,21423.5705,0,0,17.64,1,0,1,0
1,1088,220,0,5,0,86,0,0,3304.0688,387.9106,1831.2938,1170.4975,758.9535,850.8413,1002.7937,1,783.0129,776.415,1321.4306,803.0871,559.1863,3356.0034,805.8919,670.2314,401.1212,654.5694,24,538.138,540.4887,1208.6455,9,3310.1796,645.947,796.6646,2.1,5009.4006,1727.1408,1048.913,0,21030.0151,0,1,25,1,0,1,0
0,1012,201,0,5.6,0,76,0,0,3238.5075,437.9181,1876.0776,1250.3685,792.73,936.6918,1017.8134,1,783.5547,769.2844,1385.7023,791.723,555.6012,3282.1104,787.1808,720.7524,401.0943,669.4532,27,517.5973,554.0848,1176.7426,8,3262.1548,696.8397,802.0458,4,4926.9147,1762.2142,1031.2743,0,20984.05,0,0,31.36,1,0,1,0
5,1111,211,0,6.6,0,70,0,0,3357.4492,458.5243,1896.8808,1288.4662,858.9245,1006.7312,1124.3747,1,804.1788,855.0605,1401.5544,822.1214,558.9847,3300.9686,801.8099,755.3152,395.9117,671.6675,17,523.6328,589.9797,1163.521,8,3320.428,709.8807,882.4876,2.3,4915.2672,1736.5171,1162.6471,0,21217.5315,0,0,43.56,1,0,1,0
2,1511,308,0,7.9,0,58,0,0,3376.2841,526.7351,1938.8208,1332.4378,925.0295,1035.9489,1092.6723,1,817.6742,983.0898,1531.942,792.6492,578.7697,3340.9767,840.8564,797.9403,420.8565,646.5,14,532.0246,603.0608,1146.4741,7,3373.9424,784.0399,851.5228,3,4988.5851,1919.3399,1375.9433,0,21802.3288,0,0,62.41,1,0,1,1
2,1573,362,1,7.6,0,58,0,0,3492.1216,698.1846,2097.4099,1332.8456,947.497,1028.7832,1078.6636,1,834.7497,1155.0529,1531.9058,730.7311,629.4215,3482.9079,827.7228,818.3107,451.297,663.2966,33,586.6889,606.0489,1194.7516,6,3596.1049,822.5024,953.7786,2.8,5133.1081,1908.4064,1529.5825,0,22574.8102,0,0,57.76,1,0,1,0
4,1703,360,1,8.9,0,49,0,0,3605.7853,798.5125,2159.2013,1347.5785,969.7601,1042.3237,1051.1811,1,796.8013,1356.1012,1579.4274,712.3146,648.9989,3612.4497,795.1318,830.5995,432.2782,697.0897,31,577.4643,633.1448,1203.2963,7,3654.2735,800.8862,967.9843,2.3,5326.0543,1932.5073,1823.2093,0,23217.2773,0,0,79.21,1,0,1,0
2,1969,397,4,9,0,44,0,0,3709.1922,937.3849,2228.3587,1350.3114,982.4567,1072.8729,1054.9786,1,815.6406,1506.7676,1613.222,740.7451,777.8359,3717.2087,782.3493,831.9403,446.9042,718.1985,30,572.7452,594.8147,1172.6247,5,3854.047,856.5465,1006.2868,4.3,5599.9112,1855.8495,2000.3286,0,23928.1007,0,0,81,1,0,1,0
1,2168,419,3,9.1,0,42,0,0,3879.3298,814.078,2255.9714,1389.8925,1007.2239,1067.199,1099.4639,1,802.6012,1574.2173,1549.052,777.0556,752.5825,3882.0425,816.7286,889.194,474.1899,700.3286,37,567.6636,626.2474,1200.8042,1,4009.4993,788.7256,977.4556,4.1,5816.4598,1923.0977,2253.3762,0,24705.345,0,0,82.81,1,1,1,0
1,2323,438,3,8.4,0,45,0,0,3955.6168,718.7988,2203.7725,1387.5149,974.7595,1157.001,1108.7463,1,860.0622,1864.7183,1556.318,769.7596,707.0181,3987.6312,817.1508,850.3547,451.698,699.0452,38,540.536,631.6387,1216.3911,3,4312.4961,786.4519,947.3589,4.4,6288.2817,1972.4366,2564.9671,0,25664.0678,0,0,70.56,1,0,1,0
2,2171,458,3,7.2,0,52,0,0,4154.2371,626.1455,2283.4167,1435.004,994.6127,1100.6733,1125.1637,1,836.6192,2098.945,1578.0034,835.9479,683.5514,4244.4931,839.0582,844.8501,434.4397,699.1157,39,558.4819,676.1505,1211.9127,1,4787.4993,769.9404,930.2166,2.8,6630.8887,2005.2512,2842.5081,1,27118.7935,0,0,51.84,1,0,1,0
5,2327,430,0,5.5,0,52,0,0,4245.9717,573.2616,2286.2998,1382.3551,980.7942,1089.4629,1049.7914,1,883.2891,2226.7768,1617.4785,796.341,671.9001,4371.1414,850.0097,882.3429,411.2479,692.6767,38,553.0003,616.8693,1220.1049,2,4898.9213,795.3942,882.5571,2.6,6850.4011,1990.504,2811.2159,0,27643.0729,0,0,30.25,1,0,1,0
0,2630,404,0,4.7,0,59,0,0,4330.0971,514.6755,2257.9026,1377.4643,963.3434,1047.3091,1018.0041,1,861.5442,2166.9494,1599.8849,817.1805,649.3197,4377.3123,863.1421,855.4291,431.039,699.1416,26,584.4232,624.6058,1242.5342,0,4879.5251,807.6891,881.4059,3.4,6862.9597,2040.3247,2459.4691,0,27725.4707,0,0,22.09,1,0,1,0
5,2616,365,7,3.9,0,63,0,0,4189.0161,527.7209,2141.5643,1342.8929,891.3054,996.6164,1022.4661,1,844.2918,1933.2338,1556.5108,821.2318,601.0323,4279.6343,811.2284,802.6545,414.8162,665.5449,12,534.8211,616.6947,1217.3391,0,4911.3047,748.5831,871.7413,2.2,6601.4941,1996.4364,2055.9488,0,27018.8536,0,0,15.21,1,0,1,0
0,2632,401,2,3.4,0,62,0,0,3892.5445,462.1932,2096.0804,1384.2627,861.781,1032.9622,1008.6361,1,834.3233,1573.127,1557.3829,789.795,620.1831,4056.109,801.2879,760.6068,423.7525,624.1527,63.5,562.5004,611.8873,1214.1595,0,4270.2403,737.6543,864.2609,2.6,6245.1885,1981.0213,1543.4839,0,25482.8296,0,0,11.56,1,0,1,0
0,1644,368,0,2.8,0,54,0,0,3646.7021,315.4197,1891.2344,1283.0523,741.322,934.5891,973.3311,1,718.0098,883.7583,1382.3166,743.0424,405.9639,3798.9008,833.4489,712.3147,392.1278,582.7004,60.5,507.4561,567.4904,1197.9377,0,3573.0238,614.2249,766.5387,2.2,5727.0266,1865.6854,1142.4794,0,23167.942,0,0,7.84,1,0,1,0
1,0,113,0,2.2,0,56,0,0,3590.8844,297.4325,1839.3972,1289.6333,705.1877,953.2624,941.6112,1,725.4074,820.775,1366.8314,738.4044,402.7786,3798.2735,848.7961,694.6761,402.6709,588.2017,61,490.8231,547.1304,1209.1906,0,3560.3536,603.7137,756.1636,2.1,5696.0803,1870.0482,1101.7642,0,23011.5019,0,0,4.84,0,0,1,0
0,0,22,2,1.2,0,60,0,0,3624.0222,287.2116,1837.6191,1236.8533,745.6248,898.0557,931.4706,0,727.1932,808.2075,1343.9297,747.8887,429.1682,3761.7848,838.534,695.9713,394.9351,580.9408,57.5,505.0075,565.9162,1217.4274,0,3552.097,597.0629,769.0022,0.8,5665.0754,1827.299,1088.2482,0,22848.6805,0,0,1.44,0,0,1,0
0,0,22,0,0.8,0,64,0,0,3607.5328,291.3045,1857.7945,1248.2396,709.946,906.3304,936.9557,0,713.7622,808.9258,1371.0612,745.8734,417.7852,3811.4212,853.4954,696.1487,390.8338,589.1182,54,517.6064,551.4195,1243.3648,0,3556.0548,588.7225,737.477,2,5773.3886,1865.3521,1065.5125,0,23090.8448,0,0,0.64,0,0,1,0
0,0,16,1,0.7,0,65,0,0,3617.9107,298.9971,1873.1795,1250.1709,733.2928,901.5388,931.4137,0,725.4037,834.6157,1377.8321,723.9167,413.3147,3781.1082,855.8257,686.7066,385.4199,581.6348,55.5,525.606,558.7127,1236.7124,0,3533.7535,627.6549,743.3427,1.2,5731.4838,1896.2177,1089.4291,0,23061.6564,0,0,0.49,0,0,1,0
0,12,34,0,0.3,0,68,0,0,3572.3169,303.966,1858.912,1272.5605,735.6652,913.9054,929.983,0,731.6158,860.682,1356.771,739.7627,414.6577,3828.2934,856.6886,691.9721,409.1655,584.6569,73,507.7353,550.3728,1190.6708,0,3544.3281,620.0756,742.8522,1.5,5705.3944,1896.5668,1075.8749,0,23035.1431,0,0,0.09,0,0,1,0
0,546,74,0,0.1,0,63,0,0,3532.8457,310.019,1868.4396,1261.9806,744.5325,921.6394,931.5599,0,701.8092,840.9716,1335.8511,735.8239,433.7068,3809.3255,842.0116,702.9474,407.1174,605.7148,86.5,490.9523,565.8392,1192.7983,3,3489.7066,622.9651,722.1448,1.5,5692.6298,1881.6388,1016.3186,0,22872.4177,0,0,0.01,0,0,1,0
0,916,174,0,-0.1,0,64,0,0,3497.8898,288.2141,1858.8293,1245.7658,792.678,932.8102,940.9019,0,748.8782,829.5723,1368.4038,770.5413,402.9517,3757.4155,847.9087,713.2813,381.817,598.7582,15,537.2917,507.2813,1226.0572,7,3433.7442,654.6717,795.187,0.7,5594.4594,1853.5186,1076.5914,0,22610.0264,0,0,0.01,0,0,1,0
6,2398,452,1,-0.3,0,67,0,1,3351.4783,402.7587,1881.7883,1319.5096,884.5474,1049.0715,1149.1357,0,894.8697,1012.173,1407.5171,905.1028,510.3437,3666.2927,918.8564,857.2109,422.5955,641.9549,22,529.0452,572.3263,1265.8271,8,3372.5084,689.4109,815.7774,1.1,5513.1254,1885.35,1116.729,0,22397.5698,0,0,0.09,0,0,1,0
6,4142,729,2,0.3,1,66,0,0,3027.9559,348.3602,1826.3606,1382.1659,1025.3135,1133.2075,1153.4062,0,975.3165,1181.1213,1469.066,980.7092,495.8225,3433.0323,982.3185,875.2436,464.2696,721.646,15,581.4712,637.7361,1325.6,4,3337.4588,770.3952,949.6549,1.9,5422.8795,1769.4872,1309.1868,0,21668.4062,0,0,0.09,0,0,1,0
5,2463,515,10,3.3,0,56,0,0,2931.884,352.6663,1764.4023,1361.9676,1076.2287,1174.6867,1221.7982,1,973.2307,1265.5254,1392.3335,1014.231,591.7559,3246.2676,1068.3795,955.7993,516.5937,752.8811,22,537.774,639.937,1348.5662,7,3305.5218,845.2692,1004.6405,2.7,5126.2312,1759.84,1336.4031,0,20888.448,0,1,10.89,0,0,1,0
4,1451,331,7,5.3,0,50,0,0,2917.2167,328.7299,1755.064,1490.5043,1207.7105,1161.4333,1204.4039,1,1036.8855,1520.0664,1489.3556,1084.845,584.9723,3124.9108,1001.2798,1004.5864,511.4774,757.6523,36,555.349,707.0609,1356.639,3,3540.1526,893.5063,1106.913,2.9,5235.1682,1729.0949,1403.4806,0,21281.4671,0,0,28.09,0,0,1,0
3,1334,334,1,7.3,0,43,0,0,2960.1058,335.8468,1802.253,1477.7194,1196.4038,1115.314,1250.1513,1,1001.0001,1521.641,1496.1163,1104.3638,618.2311,3195.5798,986.3415,1044.9539,465.7843,719.4083,45,577.3924,688.0156,1348.135,7,3889.2405,896.9181,1093.8905,1.3,5326.3722,1724.3392,1431.6727,0,21871.7262,0,0,53.29,0,0,1,0
4,1647,361,1,8.7,0,39,0,0,2984.9472,343.7384,1768.5243,1440.3189,1149.2615,1176.1743,1340.8207,1,1024.9162,1660.3275,1543.3482,1089.8189,683.7559,3268.9121,949.9244,977.4198,488.6633,720.8971,64,586.5294,653.395,1283.3712,8,3921.0957,972.3481,1101.3923,1.9,5575.2142,1784.6974,1531.5733,0,22287.058,0,0,75.69,0,0,1,1
2,1830,404,3,9.8,0,34,0,0,2948.2168,340.535,1865.74,1487.7152,1207.5169,1258.9286,1287.7403,1,1085.1818,1611.3219,1531.6544,1136.0353,661.0277,3234.8209,1060.8916,998.1832,521.5268,707.4449,57,628.9683,684.2997,1159.0823,10,4106.3667,1002.7483,1133.881,2.2,5618.4511,1769.1721,1582.7797,0,22562.1372,0,0,96.04,0,0,1,0
1,1811,437,2,10.7,0,29,0,0,2976.7853,405.7277,1836.5484,1477.1673,1256.8137,1214.8343,1248.9298,1,1108.425,1673.9398,1596.2002,1075.754,655.893,3304.8011,1027.7516,1020.3901,504.5773,733.2152,58,592.6987,715.7224,1307.7211,10,4234.3176,1009.7665,1177.7328,2.2,5738.6063,1772.6003,1738.4381,0,22937.0265,0,0,114.49,0,0,1,0
2,2054,471,1,9.8,0,32,0,0,3044.4556,388.8765,1816.3996,1492.6655,1261.6593,1228.7735,1240.6401,1,1092.8949,1650.158,1586.3595,1031.4363,531.7672,3353.5345,976.8789,1076.9806,506.908,772.0113,63,576.574,740.8932,1226.2514,10,4148.8761,963.6046,1174.5054,2.9,5707.4439,1785.1602,1817.3037,0,22934.8949,0,0,96.04,0,0,1,0
4,2575,588,3,8.8,0,39,0,0,3117.5787,403.2965,1890.8153,1500.6188,1121.2959,1247.181,1206.6699,1,1046.3284,1522.8914,1547.049,1019.2065,474.5177,3331.262,1035.3646,969.0949,505.067,733.8289,67,579.3545,723.4144,1112.6489,10,4182.5733,891.1796,1114.8763,3.6,5838.4734,1820.2077,1854.6278,0,23228.5782,0,0,77.44,0,1,1,0
4,3589,661,3,7.8,0,38,0,0,3264.5375,460.2593,1905.8645,1536.4017,1080.2417,1244.5691,1318.2444,1,1074.3503,1675.4091,1677.0464,995.9371,449.4182,3445.7943,958.6095,971.797,489.779,724.4001,57,582.9778,691.7091,1138.2383,10,4351.2296,890.4395,1072.5259,3.5,5985.11,1744.4945,2078.8977,0,23910.4785,0,0,60.84,0,0,1,0
2,3867,909,4,7.1,0,43,0,0,3786.9514,462.317,2176.9604,1552.9567,1169.4403,1341.0136,1343.8156,1,993.8255,1828.8667,1702.1712,906.0185,419.0226,4008.092,972.3551,984.1597,505.249,759.0024,30,570.0325,711.2253,1143.9227,10,4758.8365,861.3684,1100.7288,3,6544.7919,2168.3855,2318.4248,1,26699.1456,0,0,50.41,0,0,1,0
9,2597,720,5,6.4,0,39,0,0,3910.9624,478.6772,2263.179,1579.501,1091.5593,1292.2719,1241.8256,1,982.1758,1992.2557,1723.5386,924.6093,476.1268,4153.9752,921.723,910.0661,491.7098,751.5474,21,564.0634,621.8951,1160.2477,10,4959.5946,839.6522,1027.0696,2.8,6786.2128,2093.4125,2358.09,0,27470.3761,0,0,40.96,0,0,1,0
0,2336,550,9,6.2,0,39,0,0,3933.4847,432.0896,2217.514,1512.1576,1054.4407,1252.955,1220.2261,1,940.7085,1983.3173,1721.5145,898.1056,490.9083,4215.281,888.2114,900.3866,521.0791,722.2777,11,564.9616,634.6699,1158.0389,10,4871.0525,852.095,956.0072,2.8,6836.7116,2097.2413,2163.5395,0,27404.9572,0,0,38.44,0,0,1,0
