"y","sub_passenger","bus_passenger","past_return","temp","X8_9","wet","rain","X7_8","m25","f0","m30","f35","f45","m40","m45","sunny","m50","m5","m35","m55","m0","f25","m70","f50","m65","f60","dust","f65","m60","f70","cloud","m20","f55","f40","wind","f20","f30","f15","X18_19","most_use","snow","X9_10","temp.sqr","weekend","X16_17","semester","X12_13"
0,1831,334,0,1.9,0,35,0,0,3308.7379,892.3827,1904.7691,1318.7469,945.9123,1074.65,1075.261,1,856.697,1533.5207,1631.5211,810.2722,768.3739,3165.0785,811.7398,775.275,425.5368,641.0388,46,560.3337,516.2654,1237.8167,0,3021.9892,831.9715,897.7426,1.7,4504.0262,1726.6451,1725.9705,0,20581.514,0,0,3.61,1,0,0,0
0,2177,393,2,1.8,0,37,0,0,3627.6926,828.4641,1972.7596,1368.0086,954.1123,1034.5832,1026.4613,1,898.046,1951.9843,1616.5206,856.0725,677.759,3286.5011,785.5772,816.4424,440.202,649.4567,36,581.6992,575.7618,1292.1359,0,3481.3525,805.2629,879.5719,1.4,4648.2518,1735.9394,2255.1883,0,21737.0262,0,0,3.24,1,1,0,0
2,2172,436,1,0.5,0,38,0,0,3857.673,777.9175,2021.4605,1263.0188,943.3894,1078.4719,995.6357,0,881.8446,2263.3812,1588.2836,888.3974,625.3572,3510.5175,747.7952,786.7407,443.0869,669.0835,42,566.1505,579.374,1277.7392,0,4061.439,813.6039,879.2243,1.5,5060.285,1746.7962,2646.9193,0,23109.4736,0,0,0.25,1,0,0,0
0,1919,374,1,-0.9,0,42,0,0,4122.9342,673.987,2106.8455,1294.8336,987.391,1063.4898,1068.9945,0,832.9198,2380.0975,1541.2446,851.4151,714.8656,3621.7632,760.3326,784.0434,453.6725,655.461,46,534.6887,619.3034,1281.4106,1,4256.555,769.2663,894.2637,0.7,5475.9384,1750.1372,2808.1361,1,24170.2517,0,0,0.81,1,0,0,0
0,1822,305,0,-1.2,0,45,0,0,4168.2017,584.2799,2142.992,1328.7882,986.3548,1055.6617,1070.2002,0,881.6793,2302.7393,1517.6744,842.4864,600.0606,3618.2199,769.1565,784.2678,444.6465,706.2706,43,559.3522,617.974,1222.8802,7,4307.0667,799.8908,853.9846,0.9,5433.5806,1765.6912,2620.2517,0,24282.2147,0,0,1.44,1,0,0,0
0,3216,482,0,-1.6,0,47,0,0,3987.5885,505.39,2022.8202,1213.1176,908.8601,971.6193,1046.1585,0,838.2168,1990.2825,1425.254,864.8032,480.8395,3458.2767,746.3631,756.7894,438.4032,680.7566,44,562.3245,558.3138,1215.1594,4,3809.3629,742.736,840.3534,0.9,5054.2346,1734.4228,2174.8429,0,22705.0773,0,0,2.56,1,0,0,0
1,4686,634,0,-2.4,0,49,0,0,3306.7813,380.3577,1845.7715,1187.2465,866.2712,890.7127,1025.4351,0,816.4539,1010.5843,1368.3173,802.2568,554.185,3166.2979,756.3511,779.8195,424.2162,675.7285,49,561.7106,546.7402,1241.576,3,2966.0381,757.9299,796.9554,2.1,4384.5668,1643.6693,1027.2487,0,19868.6887,0,0,5.76,1,0,0,0
1,1294,340,0,-2.5,0,49,0,0,3215.2554,388.5686,1777.7479,1215.4682,842.5428,862.1241,974.7318,0,801.8453,665.6039,1298.3517,810.0397,514.7113,3115.3854,751.4911,794.7583,442.2193,695.5734,48,524.8618,568.5069,1222.1237,6,2697.6954,727.5439,782.2246,1,4242.8454,1664.3515,752.5396,0,19227.1009,0,0,6.25,1,0,0,0
0,312,124,1,-2.6,0,52,0,0,3131.7732,300.0897,1621.3565,1097.3711,746.8139,818.7908,895.2271,0,730.9854,515.973,1229.9252,759.3371,461.283,3002.7874,784.51,672.8306,404.4098,611.6483,52,501.4084,509.645,1108.3629,8,2496.8181,622.0597,646.9265,0.9,4208.4572,1629.9731,637.14,0,18418.4618,0,0,6.76,1,0,0,0
0,2,36,0,-2.8,0,55,0,0,3054.5089,330.7562,1649.3404,1067.6567,749.1479,791.2885,906.0489,0,725.6719,527.3301,1254.9868,728.0094,459.8054,2960.1867,770.8469,677.3715,416.2185,629.755,51,493.9842,491.5773,1148.3885,7,2528.0976,629.466,643.7032,2.3,4230.2852,1675.7792,598.9934,0,18420.8415,0,0,7.84,1,0,0,0
