"y","f45","m20","f50","m25","temp","bus_passenger","past_return","m30","m50","wet","X16_17","f20","m55","sub_passenger","X17_18","m0","m70","m5","m40","f70","sunny","f60","f65","f25","f0","m35","m45","m65","m60","f40","f35","f30","f15","f55","wind","most_use","dust","cloud","X11_12","rain","X14_15","temp.sqr","X13_14"
0,954.1123,3481.3525,816.4424,3627.6926,1.8,393,1,1972.7596,898.046,37,1,4648.2518,856.0725,2177,0,677.759,785.5772,1951.9843,1034.5832,1292.1359,1,649.4567,581.6992,3286.5011,828.4641,1616.5206,1026.4613,440.202,575.7618,879.5719,1368.0086,1735.9394,2255.1883,805.2629,1.4,21737.0262,36,0,0,0,0,3.24,0
1,943.3894,4061.439,786.7407,3857.673,0.5,436,0,2021.4605,881.8446,38,0,5060.285,888.3974,2172,1,625.3572,747.7952,2263.3812,1078.4719,1277.7392,0,669.0835,566.1505,3510.5175,777.9175,1588.2836,995.6357,443.0869,579.374,879.2243,1263.0188,1746.7962,2646.9193,813.6039,1.5,23109.4736,42,0,0,0,0,0.25,0
1,987.391,4256.555,784.0434,4122.9342,-0.9,374,0,2106.8455,832.9198,42,0,5475.9384,851.4151,1919,0,714.8656,760.3326,2380.0975,1063.4898,1281.4106,0,655.461,534.6887,3621.7632,673.987,1541.2446,1068.9945,453.6725,619.3034,894.2637,1294.8336,1750.1372,2808.1361,769.2663,0.7,24170.2517,46,1,0,0,0,0.81,0
0,986.3548,4307.0667,784.2678,4168.2017,-1.2,305,1,2142.992,881.6793,45,0,5433.5806,842.4864,1822,0,600.0606,769.1565,2302.7393,1055.6617,1222.8802,0,706.2706,559.3522,3618.2199,584.2799,1517.6744,1070.2002,444.6465,617.974,853.9846,1328.7882,1765.6912,2620.2517,799.8908,0.9,24282.2147,43,7,0,0,0,1.44,0
0,908.8601,3809.3629,756.7894,3987.5885,-1.6,482,0,2022.8202,838.2168,47,0,5054.2346,864.8032,3216,0,480.8395,746.3631,1990.2825,971.6193,1215.1594,0,680.7566,562.3245,3458.2767,505.39,1425.254,1046.1585,438.4032,558.3138,840.3534,1213.1176,1734.4228,2174.8429,742.736,0.9,22705.0773,44,4,0,0,0,2.56,0
0,866.2712,2966.0381,779.8195,3306.7813,-2.4,634,0,1845.7715,816.4539,49,0,4384.5668,802.2568,4686,0,554.185,756.3511,1010.5843,890.7127,1241.576,0,675.7285,561.7106,3166.2979,380.3577,1368.3173,1025.4351,424.2162,546.7402,796.9554,1187.2465,1643.6693,1027.2487,757.9299,2.1,19868.6887,49,3,0,0,0,5.76,0
0,842.5428,2697.6954,794.7583,3215.2554,-2.5,340,0,1777.7479,801.8453,49,0,4242.8454,810.0397,1294,0,514.7113,751.4911,665.6039,862.1241,1222.1237,0,695.5734,524.8618,3115.3854,388.5686,1298.3517,974.7318,442.2193,568.5069,782.2246,1215.4682,1664.3515,752.5396,727.5439,1,19227.1009,48,6,0,0,0,6.25,0
0,746.8139,2496.8181,672.8306,3131.7732,-2.6,124,0,1621.3565,730.9854,52,0,4208.4572,759.3371,312,0,461.283,784.51,515.973,818.7908,1108.3629,0,611.6483,501.4084,3002.7874,300.0897,1229.9252,895.2271,404.4098,509.645,646.9265,1097.3711,1629.9731,637.14,622.0597,0.9,18418.4618,52,8,0,0,0,6.76,0
0,749.1479,2528.0976,677.3715,3054.5089,-2.8,36,0,1649.3404,725.6719,55,0,4230.2852,728.0094,2,0,459.8054,770.8469,527.3301,791.2885,1148.3885,0,629.755,493.9842,2960.1867,330.7562,1254.9868,906.0489,416.2185,491.5773,643.7032,1067.6567,1675.7792,598.9934,629.466,2.3,18420.8415,51,7,0,0,0,7.84,0
0,770.2866,2550.0382,682.0035,3069.2582,-2.9,13,0,1676.1082,745.1448,57,0,4255.3486,726.0669,0,0,471.4803,763.9788,506.7215,827.1632,1135.7623,0,615.1559,510.7964,2997.0907,341.9429,1252.7303,886.2969,398.5573,494.3149,685.7243,1080.3975,1656.4244,607.0678,619.1185,2.1,18537.3961,55,8,0,0,0,8.41,0
0,754.7675,2538.5105,689.4129,3066.2662,-2.6,19,0,1675.8869,744.1317,57,0,4273.9491,726.8703,0,0,492.5551,745.4565,524.8589,817.9012,1126.2161,0,622.665,484.6168,3008.6295,344.1256,1256.0014,875.2236,406.412,496.8338,660.4695,1060.8378,1641.1874,588.4983,589.0645,1.9,18521.2688,51,8,0,0,0,6.76,0
0,739.2058,2514.5834,697.1884,3082.9688,-2.1,8,0,1698.6529,750.5879,56,0,4276.3212,716.3295,0,0,445.0988,737.3836,526.9761,803.6301,1136.0043,0,619.0804,487.8129,3002.3673,355.3955,1213.0688,904.0857,417.9578,500.0517,659.0926,1080.4464,1675.377,605.8067,595.6035,2.5,18543.7858,38,9,0,0,0,4.41,0
0,754.1053,2554.3603,679.593,3061.9827,-1.9,12,0,1704.6129,728.445,55,0,4266.5884,714.0956,5,0,434.6023,748.4007,544.9547,796.9997,1123.3199,0,635.7418,482.6152,2968.2033,338.3259,1205.585,899.1318,414.0992,501.2277,660.6537,1103.7989,1678.664,637.0526,581.9424,2,18543.7955,41,8,0,0,0,3.61,0
0,731.9394,2545.7365,675.7104,3049.3064,-1.9,37,0,1695.6564,731.1179,56,0,4218.3895,713.7302,161,0,412.9007,747.7826,548.4396,821.4094,1157.4969,0,635.9868,511.8701,2984.2089,324.6109,1224.7163,906.7302,426.0584,510.728,647.9535,1075.489,1659.9689,665.0012,595.7291,2.3,18453.4719,43,9,0,0,0,3.61,0
0,746.2945,2542.303,680.5979,3031.7595,-1.9,56,0,1690.2626,746.232,66,0,4248.1746,713.4863,246,0,420.7984,759.6752,574.8667,799.429,1164.5989,0,658.7549,538.8868,2973.5895,324.349,1212.6061,925.2835,431.7673,517.5398,661.6567,1073.0664,1668.6876,639.7209,601.7095,2.5,18440.4493,43,9,0,0,0,3.61,0
0,735.9822,2469.1511,680.5075,3039.5463,-2.2,85,0,1655.5987,698.9761,81,0,4174.7932,734.231,416,0,414.7436,754.8039,549.6872,824.9195,1183.6856,0,629.731,534.7857,2932.8963,314.2971,1199.5701,907.0188,438.3799,517.8935,666.1195,1086.8994,1639.6134,619.3514,620.8738,2,18198.0685,52,9,0,0,0,4.84,0
1,738.8499,2445.8786,691.9868,2979.8742,-2.2,171,0,1677.396,687.7629,83,0,4060.9573,772.8655,789,0,449.7321,734.9286,566.1793,872.3767,1176.5494,0,650.1473,537.8985,2869.5038,317.0563,1186.7689,891.3126,445.4824,530.9345,683.126,1089.1511,1686.3704,582.732,641.7601,2,17995.9003,54,8,0,0,0,4.84,0
0,762.4441,2399.9479,730.6254,2847.3887,-1.9,188,0,1660.2613,685.5117,82,0,3916.1752,776.3128,1035,0,457.7015,686.8144,518.2788,834.134,1159.131,0,630.4952,534.122,2790.5682,373.4072,1219.8663,880.3636,456.9606,516.6764,719.6571,1116.403,1644.2672,589.3282,678.2829,1.4,17594.8778,38,8,0,0.3,0,3.61,0
0,785.2918,2348.6809,793.803,2849.6423,-0.8,186,1,1654.5955,739.2145,81,0,3896.1996,794.1095,980,0,493.107,732.5448,575.6963,853.3559,1192.8083,0,686.5591,529.7216,2789.9729,387.6929,1245.1284,971.919,469.9947,530.3676,752.7486,1119.7084,1647.9914,632.6776,708.6192,0.7,17551.9194,46,7,0,0,0,0.64,0
0,816.1618,2428.9893,808.333,2874.238,0,220,0,1704.4265,776.9283,80,0,3902.4411,785.4998,1083,0,565.0802,742.5658,637.0834,943.8775,1304.3411,0,649.8822,532.8006,2823.5763,359.1147,1312.0558,1014.5956,427.9908,536.7211,803.0257,1237.3767,1610.8288,704.0107,764.3561,3.3,17893.9325,52,8,1,0,0,0,0
1,866.4332,2553.8709,803.6848,3096.9322,1.4,251,0,1808.7333,842.0146,74,0,4098.2867,805.2971,1307,0,569.5927,693.9417,774.3842,973.1295,1288.6323,1,646.2579,541.7407,3010.0309,536.9017,1358.0544,1052.0858,428.0588,529.9763,881.6837,1245.0799,1666.6389,848.3786,743.7875,2.4,18837.6272,65,6,0,0,0,1.96,0
