"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-08-20 20:",3571,2,28.6,0,2.1,76,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,679.1755,313.4652,1443.4049,5036.7952,4958.1309,2405.5339,1693.9033,1228.5765,1226.458,1024.1675,962.4325,638.661,405.1824,878.9577,696.7993,323.5916,1793.2368,6948.428,4880.8957,2307.1903,1517.1158,1008.4646,1035.3455,910.2472,859.2122,696.4022,624.7077,1300.1998,555,3214,6377,6099,3463,3502,3540,3266
"2022-07-16 12:",3571,4,27.8,0,2.1,68,0,9,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,577.1324,266.3687,796.5459,3272.5424,3419.7015,1899.2169,1493.1404,1108.8302,1094.1584,886.5438,848.5096,607.2276,432.7317,762.4991,642.4265,298.341,1263.4368,4984.389,3498.4573,1834.5801,1398.0367,1012.7616,1015.9211,878.8483,834.0329,729.9594,501.6306,1248.2302,472,2405,6377,6099,3463,3502,3540,3266
"2022-10-27 18:",3571,18,15.9,0,2.4,73,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,461.7169,213.0998,2185.9952,7039.287,3973.0733,2178.2511,1745.6238,1310.5374,1531.1784,1165.0768,1022.6171,770.3489,484.8181,896.3483,474.0846,220.1633,2770.031,9672.052,4322.4071,2204.1394,1545.5031,1190.8464,1298.4484,1079.3023,940.1924,779.7901,633.2692,1367.283,938,4313,6377,6099,3463,3502,3540,3266
"2022-09-04 12:",3571,2,21.7,0,2.5,91,0,10,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,524.4107,242.0351,880.8678,3478.8114,3607.4021,1910.5731,1530.9835,1019.7423,1166.5795,843.8445,838.8949,580.3579,428.6573,801.6651,632.684,293.8167,1281.5746,5455.6937,3685.3538,2003.5953,1536.6367,1076.0053,1018.9264,837.7275,842.9311,713.3933,611.4176,1145.9141,368,1666,6377,6099,3463,3502,3540,3266
"2022-07-17 23:",3571,10,24.9,0,1.2,75,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,450.3085,207.8345,914.3765,3915.7712,3869.4993,2040.3084,1440.1711,912.5582,905.7747,736.4194,791.3667,538.8997,383.3092,738.0348,354.1147,164.4495,1119.2081,5922.9621,4184.3849,1844.2578,1364.8407,687.8504,772.0117,751.4404,631.41,630.6407,466.6587,1174.1673,382,1431,6377,6099,3463,3502,3540,3266
"2022-02-16 09:",3571,4,-8.4,0,2.8,61,0,1,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585.3295,270.1514,524.38,2797.0462,2747.0504,1650.0554,1370.6835,1074.6237,1297.3953,1059.3583,1007.1185,698.4498,535.3826,1041.8938,332.1053,154.2285,738.586,4300.6742,3053.2753,1766.7683,1370.5255,985.5344,1105.0469,976.8268,891.0855,752.6112,608.5891,1521.1973,544,2605,6377,6099,3463,3502,3540,3266
"2022-05-27 11:",3571,2,21.7,0,5,50,0,4,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,759.1832,350.3915,1533.0341,3899.2306,2911.5307,1642.5979,1544.7451,1190.8891,1319.5832,1112.5379,1027.4807,745.931,533.9113,947.3967,584.7952,271.5771,1726.8001,5591.7053,3246.2182,1774.321,1484.3566,1159.3459,1210.2724,1050.5654,947.9012,848.8985,653.7122,1284.4737,410,1803,6377,6099,3463,3502,3540,3266
"2022-12-22 17:",3571,2,-7.6,0,5.2,50,1.8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,461.8201,213.1474,1053.2994,3903.2644,3012.1475,1841.2161,1567.6801,1237.5756,1351.082,1066.0232,1020.2151,682.8085,504.4182,976.9127,450.1525,209.0494,1751.0919,5813.3164,3199.4991,1907.5176,1358.8086,1072.8792,1142.4135,990.2217,979.8878,853.8403,543.9567,1366.0639,1621,4624,6377,6099,3463,3502,3540,3266
"2022-03-24 10:",3571,3,6.6,0,1,73,0,10,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.272,197.2021,1334.813,3564.0816,2876.1644,1746.9818,1553.5436,1199.3938,1276.2144,1044.0301,1019.021,700.7375,506.3076,967.8124,400.7062,186.0865,1424.105,5378.4432,3233.0966,1740.5046,1495.4711,1109.9223,1134.7309,1029.508,950.52,809.4785,577.5648,1390.1149,348,1500,6377,6099,3463,3502,3540,3266
"2022-07-25 00:",3571,9,25.2,0,2,87,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.7943,217.7508,740.6368,3593.3464,3757.1701,1949.4794,1427.1955,915.0087,913.8463,748.7956,793.8513,525.909,394.1553,726.6358,383.0603,177.8922,1044.8067,5705.9877,3914.121,1889.7339,1290.9014,747.0764,718.4579,726.2464,659.1062,620.0237,442.2115,1154.8642,154,293,6377,6099,3463,3502,3540,3266
