"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-02-13 18:",3520,2,7.5,0,2.5,36,0,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,610.3283,284.2359,613.2974,792.3943,1334.8371,1321.863,1118.1281,1081.9973,1065.3688,810.6518,880.1266,590.9766,418.2315,839.9254,625.5108,333.165,458.4932,1093.1488,1435.4196,1300.9083,1221.6316,1042.8069,1062.5422,862.9777,928.141,815.0072,514.6778,1387.2038,233,497,6377,6099,3463,3502,3540,3266
"2022-02-19 16:",3503,0,2,0,2.4,46,0,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1385.6074,1171.3545,1279.8537,918.2954,812.1602,792.759,1156.4048,1526.9916,1821.9046,1407.9504,1277.4065,930.2459,687.2189,1313.7593,1642.2834,1375.6655,1284.1846,999.8808,883.1545,905.5008,1439.3758,1697.9074,2087.6256,1459.3844,1419.2765,1012.0435,712.4887,1591.0137,228,764,6377,6099,3463,3502,3540,3266
"2022-01-22 11:",544,1,0,0,1.4,53,0,7,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1334.2398,1127.9305,1503.5259,984.2921,871.7645,840.8599,1042.9809,1492.66,1609.6411,1440.9726,1197.8294,852.1694,642.1097,1286.7696,1715.1146,1436.6722,1390.5354,1146.4571,953.2572,882.3822,1442.808,1780.0559,2061.7989,1438.0778,1362.992,932.8963,739.0177,1611.2636,162,700,6377,6099,3463,3502,3540,3266
"2022-08-07 11:",576,1,28.6,0,1.9,84,0,10,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1348.5175,1140,1507.55,918.5813,833.4506,725.9741,1142.576,1304.729,1766.3918,1478.52,1164.5353,791.1555,595.7925,1205.6035,1468.3687,1229.986,1526.471,1159.6854,984.6501,859.9713,1420.6319,1563.3625,2139.3761,1426.0418,1427.5833,877.1663,723.3035,1454.6785,232,641,6377,6099,3463,3502,3540,3266
"2022-03-02 11:",3520,2,4.8,0,2.3,34,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,739.8121,344.5375,536.1592,924.0594,1091.7053,926.9609,893.3758,870.3174,890.0518,790.3476,811.5824,592.5207,392.2094,874.3969,615.8196,328.0032,774.3787,949.0598,1179.9995,980.2436,915.1485,963.9859,1008.2626,814.475,855.4795,691.7791,527.9998,1379.6185,533,840,6377,6099,3463,3502,3540,3266
"2022-08-02 23:",3528,0,25.5,2.5,3.1,95,0,10,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1631.4474,1379.181,1762.7877,955.0377,767.6909,775.8334,1042.4089,1501.0499,1950.565,1637.3979,1249.1671,801.8452,620.425,1140.8918,1961.0397,1642.6732,1822.7301,1114.7503,1013.6632,898.1224,1611.6228,1964.4768,2328.2076,1602.4989,1419.7952,880.5518,680.7783,1488.1932,66,81,6377,6099,3463,3502,3540,3266
"2022-11-14 20:",577,4,8.5,0,2.3,68,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1422.8661,1202.8522,1473.591,838.3457,889.7704,768.796,1054.8934,1384.0077,1701.0566,1465.0756,1150.3633,883.1404,661.7974,1317.7611,1737.9373,1455.7904,1575.0502,1120.5747,998.4235,887.1549,1552.3906,1854.3868,2200.4579,1500.4348,1384.5986,965.2398,691.3387,1507.917,202,351,6377,6099,3463,3502,3540,3266
"2022-04-26 16:",3503,0,28.4,0,3.5,37,0,7,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1592.8243,1346.5305,1358.0073,842.7421,851.8228,753.4767,913.9185,1035.8679,1272.0979,1013.9442,975.7687,792.2772,685.2384,1181.6991,1751.8486,1467.443,1206.4511,1034.5421,899.8456,776.4226,1352.2625,1659.673,1824.8881,1337.0144,1252.4606,1102.2788,744.5371,1700.7091,288,717,6377,6099,3463,3502,3540,3266
"2022-04-02 00:",544,1,6.2,0,1.8,52,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1793.2464,1515.9618,1736.4063,1007.8886,801.4115,790.3956,1067.0677,1595.9033,1949.9644,1587.3729,1284.8397,872.2922,683.7316,1107.0878,1987.0043,1664.4224,1676.7829,1121.236,929.6292,896.5052,1610.7864,1986.5255,2271.8931,1540.4502,1309.3652,904.4967,671.7304,1420.3306,19,0,6377,6099,3463,3502,3540,3266
"2022-09-01 01:",3503,0,20,0,1.2,90,0,7,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643.7389,1389.5726,1809.9728,887.1997,879.2104,755.6641,1026.3164,1518.0746,1979.5783,1643.1511,1219.4111,797.6628,652.1835,1258.7908,1882.0735,1576.5268,1762.7064,1121.3914,962.1139,896.6076,1495.0547,1909.6456,2247.9768,1545.5314,1376.9508,876.2373,707.1054,1551.1902,9,0,6377,6099,3463,3502,3540,3266
