"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-09-30 19:",571,1,23.2,0,2.2,69,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,415.5619,173.9256,392.8402,1218.737,1259.0405,1089.488,977.814,753.7483,798.8844,636.7943,728.6641,500.484,358.656,579.5003,364.2944,178.485,446.7359,1537.0119,1313.2434,1057.7881,838.0779,703.9226,593.8594,575.8394,603.9222,470.2881,388.3095,1024.5523,519,0,6377,6099,3463,3502,3540,3266
"2022-01-25 21:",553,0,2.6,0,2.2,80,0,8,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,584.4873,289.021,297.0948,487.2369,682.976,682.353,753.3988,630.693,602.1779,610.0372,690.0059,541.9459,354.4386,788.8797,524.7248,254.6306,295.648,499.383,660.1897,811.2272,647.8767,508.9658,731.9573,675.1368,784.0937,585.6506,500.9451,1110.6291,202,279,6377,6099,3463,3502,3540,3266
"2022-08-08 18:",574,0,25.5,27.7,8,96,0,10,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,481.9761,160.6587,284.1023,624.0502,693.8747,690.3487,704.5725,523.8224,504.324,495.6924,488.4471,382.2729,229.5431,445.0175,404.358,144.5746,307.3612,714.4916,939.3651,763.2499,769.4836,545.2527,510.1844,470.6542,577.3436,443.0133,348.6501,791.9549,525,3660,6377,6099,3463,3502,3540,3266
"2022-03-24 11:",3536,1,7.3,0,1.8,71,0,10,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,587.1205,358.0632,976.5664,1044.4698,1167.4438,1070.5521,941.293,982.8745,947.0974,849.8791,807.4549,619.1079,422.7977,836.9774,393.1835,227.4304,791.6455,1274.7436,1249.9595,1043.8559,1042.9618,968.4091,920.4978,875.8369,1029.3013,848.8125,625.3874,1516.2336,253,0,6377,6099,3463,3502,3540,3266
"2022-09-26 10:",3569,6,20.1,0,1.4,63,0,8,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.4756,215.2963,1409.7159,4286.9592,3050.9298,1637.1344,1372.4381,1106.2731,1346.0258,1246.6693,1113.7862,693.9454,526.554,1026.7755,395.8922,183.8511,1525.1205,5988.1548,3097.0758,1774.2951,1539.4521,1128.0009,1175.0351,1064.9248,1021.4183,830.3287,635.3278,1523.7138,414,1834,6377,6099,3463,3502,3540,3266
"2022-02-17 03:",588,0,-9.2,0,3.4,49,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019.4717,526.2495,637.4204,714.5603,879.7735,855.1263,1262.5724,1022.3361,1081.6837,915.4406,853.2264,688.7889,483.6403,987.146,1060.6643,563.7842,734.6888,944.4432,1009.0421,1027.5819,1120.9775,1011.6233,1003.6008,1013.9825,1015.0412,839.1517,618.5558,1438.8406,0,0,6377,6099,3463,3502,3540,3266
"2022-01-03 14:",3891,0,2,0,2.4,43,0,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,658.4066,307.0336,369.3411,372.1263,568.8751,562.2406,688.2222,523.199,612.8103,565.7487,590.6825,453.621,296.4534,644.6952,566.0234,279.8311,322.2637,600.8669,700.942,619.7549,778.3891,593.5297,673.5861,645.2619,657.5623,599.8301,457.7399,1135.9626,271,0,6377,6099,3463,3502,3540,3266
"2022-04-15 05:",3566,0,8.2,0,2.3,61,0,0,37.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969.5246,500.4669,751.4298,815.0441,945.242,788.1371,1260.8525,1022.3645,1019.3211,906.5072,897.423,642.1554,476.8348,960.4238,993.885,528.2885,779.0752,934.0585,1001.8338,1011.8374,1117.6033,1075.2842,997.0732,946.1758,1078.8286,835.6516,625.6262,1286.6186,46,0,6377,6099,3463,3502,3540,3266
"2022-01-24 10:",3881,1,4.6,0,5.3,58,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922.5256,431.5705,487.1452,556.5333,750.8613,681.2423,728.0305,752.1518,760.6051,740.3085,634.0096,653.8946,460.9732,858.5497,964.0269,418.747,523.5593,658.4568,686.8723,749.2905,924.2197,726.7101,877.2453,716.1678,800.9858,800.4003,505.8506,1318.7706,297,0,6377,6099,3463,3502,3540,3266
"2022-06-20 00:",542,2,23,0,0.9,85,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977.7021,531.7647,959.7504,822.8891,970.1077,932.595,1068.6908,1085.6466,1233.9082,1260.9301,1074.4696,788.5164,616.4064,1006.0303,1380.4775,721.5582,1086.4241,878.3137,1135.2814,1074.7709,1160.0978,1177.7667,1576.7354,1214.8842,1156.0959,1036.1778,695.846,1585.3802,12,26,6377,6099,3463,3502,3540,3266
"2022-06-26 08:",588,3,25.3,0,2.5,86,0,10,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,924.1125,477.0251,635.8611,829.9317,844.9125,791.6928,1189.2761,911.2038,1031.825,940.7879,882.5291,592.4875,455.0049,863.3563,947.0308,503.3835,697.7647,915.4364,943.2978,944.2062,1099.4302,1000.7824,996.1403,882.977,962.8267,753.7828,574.1226,1379.0639,124,0,6377,6099,3463,3502,3540,3266
"2022-07-13 18:",543,0,24.4,14.1,0.4,97,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1305.7395,710.1814,1050.075,1106.9607,1123.4336,1180.1049,1612.3592,1361.8125,1501.2314,1352.4052,1216.0546,889.4797,663.529,1050.1963,1689.4883,883.074,1109.9846,1174.0371,1389.809,1301.7491,1370.3617,1343.9859,1756.8991,1305.7617,1403.158,1066.7413,713.9578,1596.9337,985,2173,6377,6099,3463,3502,3540,3266
"2022-07-24 09:",3881,4,24,0,2.2,90,0,10,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,912.5566,426.9069,501.424,658.0339,764.1979,918.1352,924.9151,857.1181,909.3052,664.8478,712.2616,656.8065,433.4051,928.1934,711.089,308.8773,473.5604,638.7269,980.2684,943.0665,1052.3181,869.9984,861.98,671.8653,886.6449,717.2193,618.7616,1384.1115,312,0,6377,6099,3463,3502,3540,3266
"2022-11-22 09:",588,1,8.6,0,3.3,86,0,10,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.6143,517.5477,747.7954,706.0118,606.716,590.1961,692.6,660.1506,723.104,592.011,514.046,454.0298,390.4756,752.1509,981.1988,521.5455,664.0514,674.5246,744.8728,714.723,963.6526,825.6614,772.8693,798.4625,983.4269,729.3978,542.8142,1383.9483,400,0,6377,6099,3463,3502,3540,3266
"2022-07-16 07:",505,2,24.1,0,1.7,87,0,7,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,503.8601,307.2865,649.4659,910.3132,1213.5778,1205.9127,1084.506,872.436,1041.8861,762.6128,811.2083,711.1786,453.5985,735.4015,539.145,311.859,500.1766,1285.7969,1575.8318,1184.9068,1102.3848,986.3337,923.4976,802.2289,1026.07,777.5544,524.0291,1310.6951,204,0,6377,6099,3463,3502,3540,3266
"2022-06-08 14:",3853,1,24.4,0,1.7,51,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,608.9446,202.9815,424.5466,1025.2001,902.747,697.1529,747.3833,639.7091,717.6304,594.8411,545.5848,436.8992,320.9607,787.9929,1617.6179,578.3651,915.588,1151.6803,903.3388,758.1777,899.6677,669.0531,669.0608,567.2452,675.6228,602.2417,433.1474,1065.3929,346,1833,6377,6099,3463,3502,3540,3266
"2022-07-23 00:",3563,0,24.1,0,0.2,88,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,784.8384,426.8673,876.1352,790.436,938.2763,838.254,1021.108,995.3144,1104.0051,1120.5175,952.912,783.2954,607.6426,923.2467,1035.38,541.1797,1001.32,842.6241,1043.4988,1004.9438,1096.8508,1093.1155,1425.7322,1121.7387,1031.5862,1005.3349,671.9315,1415.2867,8,0,6377,6099,3463,3502,3540,3266
