"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-09-15 15:",3541,9,28,0,2.7,59,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,528.7288,221.8583,369.2246,1233.5325,982.941,850.9173,1003.699,815.7093,882.3274,861.1989,957.152,741.9154,541.9512,937.9811,610.7679,298.6785,435.1836,1655.2649,1282.7976,952.0971,859.7091,920.6646,947.8306,932.696,969.1918,923.6449,678.5593,1799.957,309,441,6377,6099,3463,3502,3540,3266
"2022-01-15 01:",3563,0,-4.2,0,1.8,46,0,9,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1015.3758,552.2551,910.3106,764.6688,867.8543,926.8944,1112.1408,1063.0853,1205.7833,1146.5398,1062.205,811.0331,607.0267,996.907,1363.2979,712.5783,1027.9848,897.9321,1088.7975,1039.3403,1146.5973,1161.5257,1525.2617,1240.1423,1194.893,1001.934,681.2941,1524.9231,0,0,6377,6099,3463,3502,3540,3266
"2022-07-12 10:",3506,1,26.5,0,2.1,69,0,9,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.6303,231.8876,351.9952,1122.5325,1056.6746,825.5175,1062.34,893.6281,931.3252,934.4543,973.8186,691.8776,574.3365,891.5907,401.0285,196.1118,454.1739,1397.2325,1184.7744,1015.3371,1119.0891,968.6586,1036.9154,845.8648,1027.7944,835.6307,696.3201,1412.4541,197,374,6377,6099,3463,3502,3540,3266
"2022-04-21 09:",575,3,15.2,0,1.7,52,0,7,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.4511,583.6936,1016.4733,609.4526,729.9693,662.3075,743.3077,655.4596,723.3339,662.4806,802.0107,628.6176,452.8304,987.8282,1191.6026,552.5739,1043.6718,595.2661,743.7548,734.2791,857.6661,759.3744,901.0172,870.0157,1055.8498,999.0626,672.8206,1832.6777,254,0,6377,6099,3463,3502,3540,3266
"2022-04-10 18:",3881,15,21.6,0,3.2,36,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,901.4064,421.691,457.9516,657.4241,909.7145,931.1636,987.2338,850.3715,960.9442,734.7709,683.1392,621.3484,405.6082,881.9439,671.8919,291.8514,484.859,746.8439,893.9001,939.1429,1097.1393,893.0124,868.0789,699.3708,834.5874,770.8091,583.4154,1203.4736,203,0,6377,6099,3463,3502,3540,3266
"2022-06-19 05:",3881,2,22.3,0,1,86,0,9,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,907.3396,424.4664,495.6172,647.9469,800.7003,898.1085,961.0745,859.6665,933.7381,782.1976,791.9488,651.8596,474.54,999.5715,726.3975,315.5273,557.9747,724.3424,932.9528,949.8938,1098.8858,940.1579,990.0722,741.7135,1030.339,798.97,645.223,1473.4617,68,0,6377,6099,3463,3502,3540,3266
"2022-03-14 11:",3504,1,11.4,0,2.2,83,0,9,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1058.3438,546.315,822.8517,799.2254,801.8312,668.9118,901.6014,709.052,796.515,621.772,591.7046,507.4567,453.0216,848.8905,985.3795,523.7675,663.0674,854.7014,862.3656,794.2875,934.1402,888.0723,950.9351,885.3676,958.154,809.3892,599.3909,1351.1661,134,0,6377,6099,3463,3502,3540,3266
"2022-10-24 02:",555,0,10.4,0,1.2,61,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.1729,578.2512,904.8403,701.8692,959.1269,888.5369,1129.0655,1007.4906,1295.33,1179.0401,1075.1942,775.3359,543.5483,1034.9338,1143.7833,597.8408,1016.824,851.7928,1089.7799,1075.8104,1218.6812,1096.8238,1574.1597,1238.5161,1059.9961,1022.2654,702.6794,1508.8901,0,0,6377,6099,3463,3502,3540,3266
"2022-12-16 16:",546,0,-3,0,3.1,39,1.7,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529.1282,322.6964,798.8833,1016.1513,1083.7222,998.9127,1079.6892,926.4108,1055.6632,774.7964,963.6958,736.9709,453.1398,900.2504,440.0481,254.5382,578.0246,1207.3313,1310.5181,1099.559,1129.6436,944.8928,969.3193,881.7249,1082.7813,847.4682,611.0141,1633.1036,461,0,6377,6099,3463,3502,3540,3266
"2022-10-02 01:",548,0,19,0,1.8,72,0,4,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,899.2308,420.673,565.8893,629.3689,845.2735,894.1208,932.8322,880.6465,932.8765,751.8414,716.8361,710.9776,478.0246,998.6041,785.3306,341.126,525.1353,700.6037,1002.9481,904.1145,1133.4367,969.1178,914.1644,787.0621,996.0244,870.363,617.9224,1367.5191,6,0,6377,6099,3463,3502,3540,3266
