"timestamp","spot_number","return_num","station_dist","station_type","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_rent","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-07-25 14:",3575,6,36,0,31.2,0,2.9,59,0,3,20,973.44,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,616.7394,376.1268,611.2203,881.7482,1137.3387,970.8178,981.9866,890.7066,971.3376,828.475,801.6211,657.0464,473.8945,839.2507,628.0021,363.2564,608.6161,1040.0292,1259.7738,1029.4917,1046.51,959.1681,1059.9873,842.8538,1150.7404,829.5737,614.6718,1439.6054,8347.696,319,0,6377,6099,3463,3502,3540,3266
"2022-08-13 18:",3575,6,36,0,27.4,0,2,82,0,8,18,750.76,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,545.7984,332.8626,528.9118,833.5419,1013.0407,1017.2994,1044.9792,896.2957,987.987,835.0529,824.1661,751.8365,488.46,894.8726,479.2675,277.2238,529.8669,940.3291,1126.264,900.966,999.8211,863.5163,876.8708,792.0266,1083.463,879.9735,601.0602,1378.9762,7876.2414,558,0,6377,6099,3463,3502,3540,3266
"2022-06-20 02:",3575,3,36,0,22.6,0,1.1,90,0,8,22,510.76,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.7024,312.0684,981.3957,1280.8957,1402.1258,1266.0179,1198.3629,955.7804,1110.7221,875.858,891.9074,715.9957,484.0622,836.4195,504.302,291.7049,768.7949,1578.4352,1715.8888,1304.8438,1108.2673,1050.8078,1021.6693,889.0418,1117.4819,895.9786,625.5363,1426.2589,10854.8374,5,0,6377,6099,3463,3502,3540,3266
"2022-11-29 07:",3575,4,36,0,11.6,0,3.6,95,0,8,8,134.56,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.1889,339.8094,745.7346,1187.0485,1287.9469,1172.5695,1118.1272,919.3196,1007.4518,797.6693,821.2793,657.5201,407.98,748.3445,469.0618,271.3205,702.1018,1573.2114,1670.6921,1243.0227,1142.4343,991.6305,990.5139,838.214,1062.4565,756.4894,543.2339,1282.2011,10395.0526,668,0,6377,6099,3463,3502,3540,3266
"2022-04-06 10:",3575,4,36,0,11.7,0,1.9,60,0,2,48,136.89,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.3023,388.6675,957.8838,1002.728,1187.2076,1125.0656,977.7398,1018.1689,970.536,838.8968,759.6969,648.3181,428.2616,811.2774,431.0535,249.3357,831.4783,1332.6384,1373.3489,1068.3606,1034.2718,1022.3817,962.7373,920.4902,920.405,788.5081,628.7353,1404.0058,9101.3607,286,0,6377,6099,3463,3502,3540,3266
"2022-02-17 20:",3575,3,36,0,-4.7,0,0.3,39,0,0,41,22.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,601.9177,367.088,614.3906,869.429,1256.2197,1201.332,1139.271,950.5061,1017.9547,865.6587,837.8528,682.0837,543.4009,907.0264,522.2008,302.0578,531.3312,1119.1843,1572.9878,1171.1972,1115.5356,972.577,997.9326,920.3979,1161.1804,914.9994,615.6441,1519.9595,9445.1566,193,0,6377,6099,3463,3502,3540,3266
"2022-12-12 09:",3575,4,36,0,-0.2,0,2.7,63,0,7,40,0.04,0,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580.5452,354.0536,763.628,1170.3652,1130.4975,1003.3301,1015.4814,841.4912,1107.482,718.3118,810.662,614.5114,413.1684,746.9969,439.7262,254.3519,700.5737,1408.3949,1402.7028,1052.6615,1113.2938,1037.8671,905.9456,803.9835,1029.4391,795.2257,579.6704,1272.5298,9296.7272,353,0,6377,6099,3463,3502,3540,3266
"2022-12-01 18:",3575,10,36,0,-3.4,0,2.8,46,0,0,43,11.56,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,620.6781,378.529,647.4484,940.2418,1160.9641,1104.6752,1076.1785,929.7069,1039.2975,824.9552,966.6194,730.9237,425.8808,864.1247,612.3831,354.2222,639.5018,1164.4243,1367.8154,1112.5211,1106.3162,980.1087,981.0438,894.1544,1154.4719,894.2175,622.4919,1468.6059,9033.1366,493,0,6377,6099,3463,3502,3540,3266
"2022-06-03 04:",3575,2,36,0,19.1,0,0.6,81,0,9,34,364.81,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.0165,321.4081,933.7559,1250.4571,1467.6728,1284.3879,1176.4703,936.9123,1048.2154,861.9605,819.4362,734.9375,451.1815,805.8946,499.0211,288.6497,803.3045,1652.6598,1671.5506,1293.9422,1183.6771,1040.1788,980.2676,891.3725,1112.6451,894.0993,591.7811,1372.0855,10980.8178,16,0,6377,6099,3463,3502,3540,3266
"2022-10-09 20:",3575,0,36,0,11.1,1.5,4.2,94,0,10,6,123.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,556.9166,339.6434,682.3986,1026.7534,1157.7875,1110.6016,1076.3238,812.1618,1021.7186,837.9536,906.5035,689.1049,478.5784,843.8547,451.047,260.9006,561.6295,1154.9473,1318.7429,1007.6571,1076.5258,915.7442,883.7736,812.9234,1053.6482,833.7577,605.4803,1295.814,8929.3394,171,0,6377,6099,3463,3502,3540,3266
"2022-12-02 14:",3575,1,36,0,2.2,0,2.3,26,0,0,40,4.84,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,702.7077,428.5563,595.3779,954.2869,1124.7121,912.7554,1068.6058,856.6295,1027.8757,836.6274,864.0471,623.9229,437.954,834.4378,435.2249,251.7482,498.851,1128.7534,1273.8742,954.6894,1064.0496,837.2892,961.9275,850.275,1000.1035,854.3464,662.272,1529.6116,8481.7268,337,0,6377,6099,3463,3502,3540,3266
"2022-01-08 07:",3575,1,36,0,-4.9,0,2,60,0,1,58,24.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,496.1422,302.5794,636.1468,951.03,1447.3637,1197.8531,1079.9527,852.6721,1038.0369,790.3885,773.6413,670.0664,450.7456,800.2783,489.3419,283.0511,495.2057,1364.7639,1620.1855,1231.0756,1065.4055,971.9187,905.9357,876.4289,1068.9067,852.4779,601.6836,1367.7439,9957.63,158,0,6377,6099,3463,3502,3540,3266
"2022-12-01 21:",3575,3,36,0,-4.6,0,2.7,51,0,2,25,21.16,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,637.5822,388.8389,647.3997,1030.6565,1217.0896,1141.0099,1145.6599,937.4535,1109.1541,821.1948,910.0575,702.3954,442.1259,847.3363,547.9899,316.9754,653.5,1290.5902,1555.6794,1229.1984,1188.7741,963.8552,986.3142,870.4106,1138.3619,864.7816,622.2916,1480.9674,9798.658,193,0,6377,6099,3463,3502,3540,3266
"2022-05-24 15:",3575,8,36,0,29.9,0,3.8,30,0,3,47,894.01,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,696.9509,425.0452,912.9492,1017.5953,1110.7974,961.4069,979.9635,959.6133,913.2733,851.5955,804.0183,624.9353,476.3141,832.3709,478.0375,276.5122,662.1027,1239.9696,1245.1894,939.7397,1016.7235,992.4691,916.9797,921.7369,1093.7043,943.0837,598.7783,1415.3597,8511.3853,265,0,6377,6099,3463,3502,3540,3266
"2022-01-02 00:",3575,1,36,0,-2.8,0,2.3,55,0,7,51,7.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,480.623,293.1146,517.4377,854.0078,1379.248,1154.9769,1108.1609,912.8387,1098.5774,858.4529,890.9267,718.8185,501.9091,836.8366,439.9123,254.4595,497.9988,1217.8685,1498.0958,1194.462,990.6802,899.2441,978.9163,894.1887,1125.9228,841.5303,594.086,1316.5535,9397.5001,8,0,6377,6099,3463,3502,3540,3266
"2022-12-03 19:",3575,8,36,0,3.8,0,1.8,72,0,9,43,14.44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,513.0156,312.8698,595.2263,958.233,1105.0354,1009.7753,1181.6938,932.0391,1090.7295,878.0263,891.3172,713.8898,462.0884,856.7203,526.9777,304.8213,601.0071,1242.0027,1274.3996,1124.9178,981.9571,865.8702,934.1739,831.662,1053.72,841.5269,613.1569,1358.386,8878.0147,233,0,6377,6099,3463,3502,3540,3266
