"timestamp","spot_number","rent_num","station_dist","station_type","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-09-18 00:",591,0,554,0,24.4,0,0.2,86,0,4,15,595.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,318.1665,146.846,1124.5152,5254.5482,4579.2915,2209.2298,1490.9306,937.0332,986.9658,879.6448,807.8878,524.1683,383.1025,774.8953,334.562,155.3698,1366.9814,6819.677,4480.5546,1892.6851,1344.4599,746.1659,829.5658,789.2648,655.2095,653.1355,473.3762,1127.5097,28071.3767,218,0,6377,6099,3463,3502,3540,3266
"2022-12-27 01:",591,0,554,0,-5.2,0,1.8,73,0.3,0,40,27.04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.2005,171.7847,685.744,3752.0219,3719.3075,1885.4159,1436.8868,969.9078,1024.6879,820.1675,785.2679,531.6902,406.4203,750.7186,364.433,169.2414,861.4022,5938.8341,4116.9146,1959.2814,1310.3871,749.5762,833.632,737.669,641.4458,617.4681,497.7991,1320.5097,24119.0493,92,0,6377,6099,3463,3502,3540,3266
"2022-11-07 09:",591,1,554,0,8.1,0,1.7,73,0,3,31,65.61,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.9524,232.1314,1085.6987,3846.5115,2951.8781,1650.3935,1459.8538,1138.6235,1331.3255,1042.5436,1009.3551,695.2378,470.5904,952.1876,372.5281,173.0006,1094.6047,5787.2878,3162.7012,1682.066,1403.692,1072.2901,1083.3014,1045.8109,907.7684,755.2934,548.7068,1350.379,21944.3839,546,3068,6377,6099,3463,3502,3540,3266
"2022-04-21 18:",591,1,554,0,18.8,0,4.1,54,0,7,49,353.44,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,531.6117,245.3587,1767.7531,4726.6418,3603.8134,2195.13,1817.2075,1389.9405,1424.1124,1123.2086,983.3387,738.2283,517.2304,945.218,482.8021,224.212,2172.0851,6475.0701,4101.3487,2189.5859,1634.0453,1120.1788,1242.7829,1063.2765,968.4304,822.2108,645.1253,1251.4654,26742.8427,919,4033,6377,6099,3463,3502,3540,3266
"2022-05-23 08:",591,0,554,0,19.1,0,1.8,80,0,8,70,364.81,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.2638,265.0445,1286.2246,3773.7659,3144.0928,1700.1702,1418.391,1129.7143,1211.7049,1021.0016,979.786,695.0031,479.7443,832.7755,374.1277,173.7439,1277.5016,5655.552,3427.9149,1778.3501,1348.2382,949.0718,1017.4368,955.63,842.6952,739.0943,600.3091,1334.2243,22246.4751,793,4759,6377,6099,3463,3502,3540,3266
"2022-02-26 17:",591,1,554,0,8,0,5,69,0,10,38,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,785.4334,362.5071,1655.2787,4236.9729,4131.1904,2263.607,1557.4264,1159.0296,1208.9124,936.8482,975.0425,651.3365,470.5021,866.9771,751.679,349.0775,2124.7351,5975.6306,4072.7802,2085.9126,1335.8848,981.2745,1104.7912,974.2595,947.3277,757.7585,671.3751,1222.4261,25659.4049,518,2905,6377,6099,3463,3502,3540,3266
"2022-11-04 18:",592,9,611,0,7.2,0,2.3,29,0,0,46,51.84,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,461.4083,212.9577,1478.7565,5000.5448,3854.4333,2183.0679,1758.4691,1208.5635,1326.4883,1088.1326,1008.3221,702.9403,519.1109,865.5219,583.8559,271.1413,1944.3054,7238.3897,4375.0273,2258.3453,1560.9775,1088.2398,1204.0117,1036.8316,944.3517,760.0241,561.1288,1244.1251,28229.2549,1073,4939,6377,6099,3463,3502,3540,3266
"2022-07-14 20:",592,3,611,0,26.1,0,3.6,81,0,6,27,681.21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,460.688,212.6248,1251.5413,4608.1495,4001.9001,2301.7555,1779.1414,1179.3565,1221.1319,1021.839,971.316,633.4136,451.4668,841.5729,520.5617,241.7473,1871.1159,6391.651,4199.3848,2189.3907,1538.2548,952.2138,1035.1441,1006.7849,897.5468,733.8774,617.5489,1269.0496,27009.6278,660,2996,6377,6099,3463,3502,3540,3266
"2022-06-10 20:",592,5,611,0,20.9,0,3.4,76,0,10,32,436.81,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,467.2332,215.6457,1881.7169,5363.8839,4639.051,2339.1409,1965.4754,1318.5512,1268.4842,1151.4297,991.0278,757.1733,484.5254,922.0832,468.1699,217.4168,2105.3979,7492.3532,4982.6587,2277.5273,1642.3519,1092.7704,1128.1603,1024.6959,915.9076,769.8724,615.8622,1442.5709,30702.4423,600,2909,6377,6099,3463,3502,3540,3266
"2022-02-13 11:",592,0,611,0,7.4,0,2.1,40,0,10,67,54.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,601.8788,277.7899,546.2422,3005.0595,3431.2186,1880.8948,1352.731,984.2625,1042.492,796.0853,834.8345,641.0676,394.7987,820.638,444.9316,206.6247,807.4035,4583.0253,3350.4746,1815.2633,1321.4251,853.3467,808.0487,755.5213,803.2228,643.4976,509.9666,1272.6549,20740.0922,249,1169,6377,6099,3463,3502,3540,3266
"2022-10-13 18:",592,10,611,0,20.2,0,0.6,57,0,4,27,408.04,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,509.2251,235.0267,1399.3338,5017.5588,3718.6189,2130.4748,1808.4396,1306.4056,1374.5723,1120.2939,1031.6816,727.5245,473.8677,917.8752,569.4168,264.4356,2073.1915,7406.0849,4105.5194,2240.0221,1737.0661,1056.3726,1244.3277,1055.0896,1003.7251,705.8387,605.4544,1330.4344,28163.7846,1014,4441,6377,6099,3463,3502,3540,3266
"2022-06-05 06:",592,1,611,0,22.8,0,1.7,59,0,10,29,519.84,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,508.8415,234.8497,988.1482,4007.3261,3658.4919,1904.9761,1387.135,922.292,1035.5429,852.2814,789.7655,517.2405,390.6733,848.5401,428.4327,198.9633,1191.9754,5933.7778,3571.2156,1801.893,1286.2901,789.5047,803.6748,807.4583,725.518,620.5256,559.7303,1394.1654,23551.1056,122,536,6377,6099,3463,3502,3540,3266
"2022-03-23 02:",592,0,611,0,5.3,0,2.2,60,0,10,17,28.09,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.2329,201.3382,842.5996,3493.8735,3602.9757,1878.9162,1285.0336,877.2194,962.6852,730.0219,712.0591,544.472,421.1799,788.9951,358.2442,166.3677,1101.3016,5760.1647,3815.9108,1905.8401,1296.5043,771.3069,744.7836,709.5541,654.157,604.3641,480.454,1152.6996,23039.2189,12,0,6377,6099,3463,3502,3540,3266
"2022-04-17 20:",592,0,611,0,15.5,0,2.7,40,0,7,39,240.25,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,489.6998,226.0149,2092.2725,5157.1369,4634.3986,2301.3953,1622.2493,988.8937,1116.943,882.7598,884.6011,569.4985,381.8281,851.9441,435.4841,202.2375,2007.7883,7341.4519,4572.743,2051.4385,1395.0834,794.5465,915.9313,845.0188,829.1473,664.0224,605.5548,1188.8766,29075.8969,487,2993,6377,6099,3463,3502,3540,3266
"2022-01-23 03:",592,0,611,0,0.6,0,1.2,50,0,9,78,0.36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414.5341,191.3229,558.2593,3007.3553,3566.6626,1847.7201,1201.5886,856.7098,979.4279,717.2759,726.7827,493.2462,410.255,773.9456,352.3195,163.6158,709.5689,4899.5288,3668.1127,1836.1996,1201.7259,740.5793,747.9626,726.0429,638.7824,626.9851,507.1392,1110.5268,21228.8936,8,0,6377,6099,3463,3502,3540,3266
