"timestamp","spot_number","rent_num","station_dist","station_type","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-12-02 02:",3523,0,546,0,-6.8,0,1.7,56,0,0,14,46.24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.4258,202.8113,773.3499,3916.1614,3737.8586,1923.7193,1385.3605,908.9941,1152.6096,775.9148,805.2465,554.3128,392.425,837.5546,388.6137,180.4713,1000.4048,6456.5075,4155.6887,2076.0406,1393.7858,797.7713,832.0743,799.1703,674.2964,638.3631,539.6159,1247.5957,25045.1224,214,133,6377,6099,3463,3502,3540,3266
"2022-05-01 13:",3523,1,546,0,18.6,0,4.1,24,0,0,99,345.96,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,667.743,308.1884,1168.8588,3861.0353,3483.3543,1993.4863,1669.5014,1005.1583,1172.9479,875.1254,886.9521,525.1773,430.8608,738.043,940.4859,436.7589,1843.965,5369.788,3731.3495,1954.5156,1525.4889,1086.8923,929.5538,939.4434,855.8887,659.738,566.4714,1147.6213,23588.5193,458,2223,6377,6099,3463,3502,3540,3266
"2022-11-25 02:",3523,0,546,0,7.3,0,1.9,84,0,3,58,53.29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.2029,188.4009,968.8479,4233.6633,3940.3755,1929.4028,1410.2891,956.6179,1066.1986,785.5014,769.7383,546.4842,387.6204,800.6891,393.9387,182.9441,1191.8579,6586.4778,4244.6529,1951.666,1340.923,744.4172,777.8763,756.7872,664.2522,665.8422,495.4787,1189.7006,25637.4504,74,0,6377,6099,3463,3502,3540,3266
"2022-11-01 07:",3523,0,546,0,10.9,0,0,94,0,9,25,118.81,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.7324,233.8758,894.8404,3678.2922,3500.9006,1873.5688,1413.8965,1082.4333,1273.2639,973.5903,906.7559,624.9678,397.7039,807.1214,423.5464,196.6938,1096.8454,6174.8949,3961.0288,1921.684,1406.1916,860.2209,1007.9743,870.2025,809.4365,687.4056,565.0513,1370.3236,23930.4574,531,2867,6377,6099,3463,3502,3540,3266
"2022-08-17 06:",3523,0,546,0,22.9,0,1.4,89,0,2,25,524.41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.9989,191.9992,573.8362,3201.2347,3507.2757,1880.1524,1361.0371,945.3015,975.4987,786.2972,814.426,557.5697,410.5308,795.8811,446.7228,207.4564,859.9055,5450.693,3875.2529,1833.9462,1318.4102,834.9492,782.8062,766.9013,708.1457,648.7497,523.3857,1282.3847,22428.0022,246,974,6377,6099,3463,3502,3540,3266
"2022-11-16 11:",3523,8,546,0,9.6,0,2.8,67,0,1,49,92.16,1,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,539.8281,249.1512,1247.0922,4535.7257,2973.6901,1595.6654,1477.3428,1100.1588,1360.3707,1026.3335,936.1173,653.3412,476.525,886.3695,344.5267,159.9968,1429.0615,6440.2778,3015.8343,1688.2626,1349.9464,1234.9933,1074.5766,1066.1413,905.6082,741.9273,630.4046,1409.3049,23076.7451,416,1704,6377,6099,3463,3502,3540,3266
"2022-09-30 18:",3523,11,546,0,25,0,2.6,46,0,0,63,625,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,423.8417,195.6191,1373.1138,4628.7188,3781.8133,2239.0786,1846.0675,1289.5574,1409.2555,1203.8389,1032.1926,702.2331,503.959,852.966,651.8758,302.729,2131.9176,6485.6383,4067.6721,2374.9929,1595.3694,1126.6782,1304.5641,1140.3001,988.0921,750.9561,606.2957,1332.2941,27019.3509,1045,4646,6377,6099,3463,3502,3540,3266
"2022-05-24 17:",3523,6,546,0,29.1,0,3.4,34,0,6,44,846.81,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,539.1793,248.8516,1750.9012,4660.3135,3086.6468,1792.8819,1604.6186,1254.7921,1394.3609,1239.8954,1055.0382,714.3124,532.1144,907.6474,469.5043,218.0364,2186.9298,6473.9925,3421.435,1838.6999,1493.5256,1145.0532,1149.0092,1043.1086,1022.0553,749.836,603.3858,1343.4315,24372.1138,713,3867,6377,6099,3463,3502,3540,3266
"2022-10-16 17:",3523,2,546,0,19.1,0,1.7,66,0,9,42,364.81,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,710.7506,328.0381,1447.9504,4435.9865,4030.8087,2118.0461,1604.8845,1111.6529,1141.6499,956.3739,846.058,583.9029,439.794,802.4684,978.7295,454.5193,1879.1291,6550.7449,4145.5871,2106.7201,1528.9258,902.0226,1009.2222,914.2053,872.8471,701.1647,536.263,1307.7123,26521.7037,677,3838,6377,6099,3463,3502,3540,3266
"2022-04-07 00:",3523,0,546,0,10.3,0,2.3,46,0,8,39,106.09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.0506,195.2537,898.3228,3858.128,3707.9026,1828.2474,1340.9015,970.2534,1029.0302,713.8776,667.5935,526.7953,395.8179,875.3222,361.517,167.8873,1198.5789,6001.4081,3857.2045,1957.2259,1292.5628,761.1595,759.2824,723.3556,681.2824,647.9009,532.0013,1252.5655,23843.5808,459,5,6377,6099,3463,3502,3540,3266
"2022-12-01 05:",3523,0,546,0,-8.1,0,2.7,35,0,0,13,65.61,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.7104,196.0199,706.85,3773.3505,3692.5707,1944.8992,1332.3794,934.7986,1075.9261,839.5041,828.6396,581.4846,386.9856,852.6672,370.7293,172.1658,1018.7184,6321.3415,4209.5062,1996.6768,1373.2577,821.0387,869.7714,779.272,670.8142,593.7332,514.9702,1292.7983,24643.982,89,582,6377,6099,3463,3502,3540,3266
"2022-11-22 22:",3523,1,546,0,11.5,0,0.7,65,0,10,68,132.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,438.377,202.3276,1137.1668,4754.8396,3979.4273,2129.943,1615.6714,1149.2301,1217.9582,904.0807,871.3104,615.6119,436.8938,844.6984,408.9899,189.934,1322.6304,6834.078,4415.2512,2132.7653,1532.091,829.9011,878.8273,808.1278,841.2491,654.418,566.4163,1277.3419,27394.0668,704,2771,6377,6099,3463,3502,3540,3266
"2022-12-15 16:",3523,4,546,0,-2.4,0,2.6,91,4.5,10,38,5.76,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,517.9612,239.0588,1416.1417,4221.801,3179.0956,1740.2715,1546.9848,1147.6799,1262.1995,1121.0231,1040.4484,737.3547,505.9606,974.4921,563.2921,261.5912,1904.5244,6045.973,3286.8102,1794.5085,1348.2801,1054.0193,1158.3002,1151.1815,945.341,833.2713,669.5466,1310.4573,23163.7247,744,3433,6377,6099,3463,3502,3540,3266
"2022-05-28 05:",3523,0,546,0,15.5,0,0.7,78,0,8,23,240.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491.3747,226.7883,962.0203,3965.3875,3812.5947,1953.5211,1277.6106,938.2018,1003.2136,852.9576,754.4122,525.638,419.4897,794.8318,355.5616,165.1215,1296.0872,6182.9551,4082.8281,1929.7317,1290.6846,765.7806,820.0729,775.2272,701.402,622.3993,559.8468,1247.2165,24495.3134,153,977,6377,6099,3463,3502,3540,3266
"2022-01-03 02:",3523,0,546,0,-6.4,0,1.7,56,0,5,25,40.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.014,214.1603,417.6675,2772.7609,3491.2571,1754.8118,1314.0017,901.255,957.8903,757.3202,683.5991,507.8375,407.4006,754.1195,285.7222,132.6885,671.1149,4815.8483,3579.102,1887.8221,1184.0139,662.989,722.0812,681.0465,640.2234,631.7989,502.6214,1121.5832,20799.6178,21,0,6377,6099,3463,3502,3540,3266
"2022-05-07 12:",3523,0,546,0,21.2,0,3.2,37,0,6,33,449.44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,639.0827,294.9611,1044.6229,3543.2355,3310.0903,1951.6933,1618.1008,1043.3437,1215.6905,949.6839,893.9005,620.6854,514.1239,873.4007,817.8483,379.8061,1565.9361,4824.4635,3469.4826,1798.966,1492.574,1118.3335,1022.9049,871.5393,833.3345,691.9709,615.9128,1327.051,22008.606,454,2470,6377,6099,3463,3502,3540,3266
"2022-01-15 19:",3523,0,546,0,1.3,0,2.5,49,0,9,63,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,497.1676,229.4616,1998.8292,5257.0103,4845.4869,2487.1717,1786.6712,1106.1128,1128.3404,927.4984,958.3742,589.5157,494.9282,840.5222,574.9777,267.0178,2551.541,7382.5695,4776.4147,2173.1945,1493.662,863.4262,987.5744,968.3302,903.5999,761.6662,595.3455,1239.9422,30202.1808,507,2658,6377,6099,3463,3502,3540,3266
"2022-05-11 11:",3523,2,546,0,22.3,0,2.1,40,0,1,37,497.29,1,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,731.7897,337.7483,1643.3158,4292.4855,2873.917,1606.3199,1510.4512,1184.6096,1325.3496,1050.9012,987.991,767.6932,480.8248,932.3984,463.7213,215.3505,1873.1499,5848.7095,3147.0569,1798.9365,1555.6746,1202.9044,1256.8001,1063.9707,921.453,839.7275,671.6612,1318.8787,22633.5511,388,1782,6377,6099,3463,3502,3540,3266
"2022-10-20 07:",3523,0,546,0,6.1,0,1.5,87,0,0,17,37.21,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.4349,197.2776,1024.3919,3716.0567,3447.1099,1922.7542,1435.5422,1029.5592,1148.8705,966.6051,870.2579,613.6386,407.6396,878.6543,417.7602,194.0065,1121.4654,6186.2026,3884.3039,1977.6975,1522.2744,895.2542,965.4008,920.9844,754.7625,680.6823,575.2881,1314.5955,24091.9414,541,2891,6377,6099,3463,3502,3540,3266
"2022-04-18 17:",3523,5,546,0,19.7,0,4.1,26,0,0,40,388.09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,520.501,240.2309,1587.801,4336.4144,3183.4569,1824.6984,1648.1683,1271.1254,1417.8576,1155.2045,941.922,648.7932,470.109,915.9263,439.0206,203.8797,1758.2121,6069.144,3384.4032,1819.5359,1509.1582,1120.4075,1054.0045,1038.5029,1045.9367,774.8504,660.4371,1272.9324,23774.9793,645,3478,6377,6099,3463,3502,3540,3266
"2022-12-28 07:",3523,0,546,0,-3.5,0,3,67,0.4,2,39,12.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.1082,192.5114,605.8161,3344.9076,3375.5899,1879.1756,1350.5091,1153.4139,1095.4138,896.3252,823.5161,599.5452,448.1403,805.3009,438.3856,203.585,860.6485,5261.8871,3809.5315,1980.8168,1427.9453,835.3664,936.1878,856.0538,823.7078,704.8383,548.9424,1341.1308,22430.3629,463,2473,6377,6099,3463,3502,3540,3266
"2022-04-10 01:",3523,0,546,0,15.2,0,1.2,52,0,0,30,231.04,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,386.9317,178.5836,982.2969,3967.6969,3730.4482,1846.9617,1408.1939,895.9131,946.1249,797.2861,762.3962,499.0772,392.8963,885.0927,351.9276,163.4337,1172.4341,5568.4651,3623.9792,1783.3167,1300.6927,728.233,712.3248,774.3714,662.003,643.4684,523.3903,1170.8451,23229.7544,48,0,6377,6099,3463,3502,3540,3266
"2022-05-06 23:",3523,0,546,0,17.9,0,2.6,86,0,6,35,320.41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,415.9037,191.9551,1419.1783,5050.996,4607.4325,2220.6115,1533.2147,1019.2144,1011.7551,864.6359,857.163,541.2528,423.2383,795.9583,410.1931,190.4923,1603.0987,6447.4945,3948.4959,1904.2104,1227.5027,755.6858,774.7836,794.8292,721.1895,639.0254,545.896,1173.9334,26939.9582,526,2414,6377,6099,3463,3502,3540,3266
"2022-05-12 21:",3523,0,546,0,20.6,0,1,51,0,6,22,424.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,431.077,198.9584,2100.2404,5612.2642,4317.4122,2319.8432,1767.195,1194.2402,1253.6211,1114.225,1056.7468,660.6587,521.8669,903.065,415.7791,193.0867,2705.4552,7637.9748,4622.4632,2323.0765,1505.8234,952.0677,999.9959,1013.7744,834.6003,772.4007,637.1412,1271.9451,30106.0525,696,3341,6377,6099,3463,3502,3540,3266
"2022-05-22 06:",3523,0,546,0,15.9,0,2.5,84,0,9,40,252.81,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,490.4299,226.3521,846.1453,3705.8791,3770.1555,1834.2786,1294.548,862.2434,1026.3969,747.246,772.9865,581.3855,417.6328,825.8216,401.8932,186.638,1083.246,5818.3778,3712.7164,1902.6391,1256.5904,810.7275,755.4881,727.7251,674.9709,626.4568,586.2164,1220.4943,23295.1849,126,532,6377,6099,3463,3502,3540,3266
"2022-09-27 06:",3523,0,546,0,14.4,0,2.2,86,0,0,30,207.36,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.358,173.242,769.5846,3724.7066,3638.588,1858.8095,1342.7393,901.6287,1156.368,914.0509,745.1708,554.6161,427.3817,791.1947,394.6197,183.2603,1027.2237,6225.5147,3937.9218,1923.6419,1419.5272,796.6683,859.2047,779.0355,639.4147,609.5253,525.6492,1271.0368,24071.449,244,0,6377,6099,3463,3502,3540,3266
