"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-02-16 10:",593,3,-7.6,0,4.4,51,0,1,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890.0127,416.3606,551.8404,546.468,758.3889,722.2182,794.4525,779.1576,837.9245,730.1112,649.9237,621.1107,431.1757,843.7252,747.0765,324.5099,580.1722,645.5476,704.2955,718.4911,909.0133,788.7219,876.9623,763.4862,799.4348,761.402,567.0708,1198.6277,307,0,6377,6099,3463,3502,3540,3266
"2022-03-03 01:",593,0,3.9,0,2.3,80,0,8,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878.5648,411.0056,491.1899,614.9524,918.4422,968.7251,1111.8663,929.2946,970.475,779.3326,771.2081,735.8073,557.0736,951.778,779.8309,338.7371,516.7033,781.1938,1018.7694,1105.5539,1186.4659,1043.2329,1009.3872,795.5278,1060.0436,910.7476,693.4346,1385.7828,0,0,6377,6099,3463,3502,3540,3266
"2022-08-23 01:",593,1,23.1,0,0.7,88,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.7482,435.4173,454.0588,646.569,843.7337,920.4402,1044.0127,900.9613,969.1048,698.8519,742.6845,609.7032,483.6336,950.6666,762.6635,331.2801,523.4787,711.528,1024.776,1016.823,1203.6126,987.3436,914.9298,804.4372,1035.0441,884.7835,613.6225,1431.7452,5,0,6377,6099,3463,3502,3540,3266
"2022-11-09 01:",593,0,9.3,0,0.6,82,0,2,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038.1151,485.6453,531.6457,567.8931,818.325,933.2322,1008.0453,875.1099,934.4118,760.7216,791.7707,694.594,468.1756,967.4193,858.6202,372.9613,508.6955,688.4763,1042.4402,1060.5036,1156.9144,984.0209,958.9965,786.2428,1009.9819,917.6872,642.19,1423.3083,3,0,6377,6099,3463,3502,3540,3266
"2022-01-20 07:",593,2,-9.8,0,1.9,83,2.1,0,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867.4719,405.8157,512.3711,626.1781,933.5546,942.7697,1061.9407,896.3627,942.1372,847.1041,707.5935,694.46,475.8383,885.1287,768.113,333.6474,534.6716,765.7346,1024.7187,1046.3311,1186.0923,1010.1837,983.9616,796.2011,983.5613,858.4641,600.1569,1381.7951,700,0,6377,6099,3463,3502,3540,3266
"2022-08-07 13:",593,3,30.6,0,2.9,78,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,745.5319,348.7705,422.6806,569.1342,764.6563,817.93,844.4135,825.661,864.7102,653.091,603.3406,569.3018,402.7266,861.0451,639.7225,277.8784,447.379,601.0417,824.6997,797.7426,906.6284,694.1313,776.3249,595.7286,720.4855,717.2323,473.9857,1224.3675,353,0,6377,6099,3463,3502,3540,3266
"2022-08-02 18:",593,0,26.3,5,3.5,94,0,10,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,807.4784,377.75,448.9297,518.8061,710.242,762.252,836.9821,722.7574,887.2888,698.4564,657.4468,593.3296,445.7111,884.1303,670.9144,291.427,460.7603,555.3271,800.8542,807.8467,919.3069,784.8139,770.6812,693.6621,793.9244,695.9264,507.3309,1195.8309,453,0,6377,6099,3463,3502,3540,3266
"2022-02-07 21:",593,0,-1,0,1.4,52,0,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,860.77,402.6808,497.7256,586.9198,872.9103,910.9942,1017.2485,857.3271,973.9232,707.7289,682.098,641.3286,488.7899,867.4827,826.3741,358.9545,438.8432,744.8431,984.1697,1014.5222,1116.3975,938.912,877.5756,808.4966,897.7889,799.1566,575.7223,1233.9057,193,0,6377,6099,3463,3502,3540,3266
"2022-05-29 04:",593,0,19.6,0,1.8,81,0,10,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,924.0023,432.2614,496.7896,631.4718,816.835,943.4119,1024.7818,798.8022,984.1793,713.3634,738.898,656.6759,455.8423,987.9246,769.832,334.3942,528.8148,763.7908,950.6893,941.7008,1127.6241,905.0007,947.9619,763.5521,977.7554,850.8136,585.1911,1378.9361,33,0,6377,6099,3463,3502,3540,3266
"2022-10-24 18:",593,1,12,0,2.8,38,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,937.2909,438.4781,378.1586,496.4543,702.6341,708.6311,840.3465,792.1584,831.8471,635.8504,757.5264,555.5031,406.8236,892.085,787.1094,341.8988,419.0079,537.3607,852.2652,798.2351,957.2295,753.0579,776.5452,721.5477,789.4767,723.8505,488.6259,1076.107,448,0,6377,6099,3463,3502,3540,3266
"2022-05-15 12:",593,3,20.5,0,2.7,26,0,3,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,872.1139,407.9878,518.9524,756.5284,833.4643,841.1449,829.485,817.6194,853.9227,726.8614,607.7286,545.6771,403.3342,776.442,706.2804,306.7888,465.8721,625.0826,829.1326,825.2667,1018.5212,828.7831,781.4,666.8095,706.0768,695.2441,524.5289,1233.1602,316,0,6377,6099,3463,3502,3540,3266
"2022-05-12 13:",593,0,26.6,0,1.8,37,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1149.575,537.7884,486.5167,493.8701,563.9539,603.233,664.6884,698.6476,722.2003,651.6689,604.1392,512.643,422.6542,785.0219,1087.5154,472.3872,437.4983,561.8763,589.4744,611.3386,856.8126,651.7314,782.0277,649.8104,674.8854,702.3605,509.9727,1055.5347,307,0,6377,6099,3463,3502,3540,3266
"2022-11-06 13:",593,2,15.3,0,1.6,38,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,826.4157,386.6091,424.6629,587.6795,693.5404,843.687,924.0617,818.3923,867.4146,679.8228,682.0924,526.398,370.3113,785.6972,695.6996,302.1928,480.4092,661.0434,828.2272,800.8124,948.6389,771.3008,788.7093,700.9523,771.0003,661.6188,509.6867,1218.4858,355,0,6377,6099,3463,3502,3540,3266
"2022-09-04 08:",593,2,20.5,0,3.5,85,0,10,45.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1001.3165,468.4299,478.3182,629.4613,839.8675,960.8541,1040.0583,921.0365,959.9793,725.6517,761.0168,616.3991,460.3618,938.5628,817.8592,355.2557,550.5923,679.3778,1043.6818,964.1568,1172.1712,993.024,915.619,732.803,944.9801,790.0398,611.9142,1376.1958,225,0,6377,6099,3463,3502,3540,3266
"2022-03-15 12:",593,0,9.7,0,2.1,65,0,5,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1056.6232,494.3034,490.6402,494.8482,668.8219,671.9599,781.7024,676.274,738.1252,606.3945,572.9847,565.4912,440.2447,782.1968,1103.6856,479.4107,503.2898,609.6289,716.0757,688.7853,904.7182,704.7118,784.5862,698.1302,836.0179,749.5093,503.0751,1258.324,269,0,6377,6099,3463,3502,3540,3266
"2022-06-11 03:",593,0,18.4,0,2.1,83,0,6,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,868.022,406.0731,480.04,622.3313,842.9515,954.6639,1035.7377,924.003,949.8574,768.631,726.4067,665.8608,498.1776,948.4075,713.6258,309.9795,558.6181,776.6949,983.3877,990.0895,1144.1848,928.7663,907.2252,787.9412,990.3632,841.5288,606.8404,1405.4633,1,0,6377,6099,3463,3502,3540,3266
"2022-04-02 05:",593,0,4.1,0,1.7,75,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,817.628,382.4982,511.2429,572.4396,936.6765,958.2626,1017.0887,896.3911,988.0653,743.7058,679.5724,682.0507,490.7709,931.8035,735.8354,319.6274,470.8449,780.0098,968.3518,963.2192,1095.4815,940.0167,939.3976,759.2002,968.4,789.0253,639.0232,1306.4359,141,0,6377,6099,3463,3502,3540,3266
"2022-12-10 10:",593,2,1.4,0,0.5,47,0,7,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,887.3444,415.1125,484.7421,597.6266,780.3241,897.3521,973.002,863.8707,890.6751,795.0642,782.3819,591.7885,491.4709,901.3697,872.9729,379.1955,484.824,641.3761,938.2031,917.9695,1097.4946,855.0914,837.3478,717.0732,845.9479,747.6469,597.861,1278.7207,386,0,6377,6099,3463,3502,3540,3266
