"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-08-11 10:",3860,2,24.2,0,1.7,93,0,10,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.0452,234.0204,721.6729,3034.1578,2769.6969,1656.108,1471.0995,1153.2375,1228.4655,1123.7899,1062.7253,690.8307,541.6227,959.1259,445.388,206.8367,1007.0519,4526.4445,2907.6137,1773.9545,1270.0656,1114.0067,1044.0752,995.6909,895.38,798.5391,623.3738,1321.2776,420,1686,6377,6099,3463,3502,3540,3266
"2022-01-29 19:",3860,1,-1.6,0,2.6,42,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,678.8161,313.2993,1484.3874,3950.9493,3810.6695,2098.5168,1414.1032,1106.9012,1060.8941,867.1953,882.7099,682.697,463.0644,937.9944,527.3448,244.8976,1862.9893,5367.868,3768.6975,1794.5499,1253.297,831.0079,873.1008,853.7119,850.453,628.3842,569.8813,1231.1757,369,2159,6377,6099,3463,3502,3540,3266
"2022-02-12 09:",3860,1,0.7,0,1.6,82,0,0,129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,439.3687,202.7853,565.2354,2743.069,3354.6924,1836.0747,1369.5338,988.4556,1020.3776,873.1138,822.7334,641.2292,446.8174,754.356,355.5206,165.1025,711.9621,4547.7189,3351.468,1805.7413,1207.9219,887.5268,815.5479,843.6488,794.3155,735.8553,553.1247,1330.9724,366,1619,6377,6099,3463,3502,3540,3266
"2022-10-05 04:",3860,0,14.4,0,2.7,91,0,10,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.84,185.4644,849.0815,3907.0215,3797.0803,1881.9584,1288.0622,971.8161,1051.8285,894.2853,754.736,531.9898,405.7314,799.8012,376.305,174.7552,1102.6823,6304.4441,4038.3771,1911.5683,1355.9322,747.2768,812.2455,763.0714,674.9818,587.7752,525.1683,1200.8292,39,10,6377,6099,3463,3502,3540,3266
"2022-08-11 05:",3860,0,23.5,23.9,1.5,95,0,10,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.9901,196.149,622.4074,3394.3461,3656.706,1936.2659,1353.7823,939.4481,972.9868,801.9257,799.8203,562.0354,438.1738,873.6688,458.5366,212.9431,944.4832,5634.0908,3931.0261,1937.6987,1333.244,718.4382,808.59,760.1328,659.7303,645.9672,544.0309,1252.8167,109,592,6377,6099,3463,3502,3540,3266
"2022-06-04 11:",3860,1,27.8,0,1.7,46,0,8,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,578.444,266.974,892.4054,3747.7357,3321.7547,1959.3363,1484.7504,1132.5294,1086.4413,928.6417,861.9454,610.6713,472.6181,818.6229,587.503,272.8349,1299.9651,5233.6013,3525.2993,2040.2238,1478.2764,1047.1057,1058.9969,915.1434,934.9584,759.3563,571.6695,1302.2067,370,1970,6377,6099,3463,3502,3540,3266
"2022-01-28 23:",3860,1,-3.6,0,3.6,46,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,442.5093,204.2347,410.3301,2556.7667,3033.2917,1765.763,1229.2438,924.7408,973.2142,712.8532,753.1273,517.6983,374.84,814.9042,338.3913,157.1478,680.3031,4192.541,3182.1275,1789.7021,1141.1157,734.5547,698.6318,709.5671,685.9549,605.2189,483.3223,1154.7859,183,358,6377,6099,3463,3502,3540,3266
"2022-11-02 23:",3860,0,9.6,0,2.2,69,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,400.7974,184.9831,970.6992,4398.8562,3918.705,2025.8685,1526.0602,988.511,1183.3893,864.3817,752.8192,564.0141,419.0432,808.0018,394.2447,183.0859,1206.3968,6747.8051,4180.1892,2004.5246,1327.9099,726.1867,866.513,745.305,720.3166,653.195,486.0842,1205.7151,407,1596,6377,6099,3463,3502,3540,3266
"2022-04-09 13:",3860,1,22.6,0,5.9,37,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,686.9659,317.0606,1165.7959,3909.7735,3632.7918,2133.8915,1863.0605,1384.383,1246.6833,857.3057,860.6056,628.0826,470.7537,926.3364,883.0303,410.0765,1509.9594,5415.7327,3791.2363,2169.3925,1780.448,1144.6823,1071.3027,965.5182,949.4915,817.6192,588.1458,1321.7496,586,2688,6377,6099,3463,3502,3540,3266
"2022-07-28 05:",3860,0,25.4,0,2.2,72,0,1,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.2123,200.4052,548.3944,3239.0928,3628.3462,1954.0901,1343.0771,953.2319,934.0136,847.9485,705.565,512.2466,396.457,848.6767,412.4796,191.5546,860.8791,5622.1691,3949.3145,1899.2244,1292.3398,732.5527,742.624,767.7195,680.0148,644.9067,508.2778,1214.3286,114,724,6377,6099,3463,3502,3540,3266
"2022-02-22 14:",3860,2,-0.3,0,3.9,37,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,542.4813,250.3757,893.9282,3263.7957,3008.1804,1746.5027,1539.9817,1236.8773,1455.4943,1196.3999,1151.088,765.5061,533.4361,1090.3452,529.5344,245.9141,1298.3106,4867.5342,3199.5134,1857.5055,1617.9226,1156.3288,1196.1782,1171.6582,1112.2865,863.4077,669.2111,1461.5254,433,1882,6377,6099,3463,3502,3540,3266
"2022-03-21 08:",3860,1,0.3,0,1.9,66,0,4,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.8225,228.841,1181.1213,3337.4588,3027.9559,1826.3606,1469.066,1133.2075,1153.4062,975.3165,980.7092,637.7361,464.2696,982.3185,348.3602,161.7772,1309.1868,5422.8795,3433.0323,1769.4872,1382.1659,949.6549,1025.3135,875.2436,770.3952,721.646,581.4712,1325.6,729,4142,6377,6099,3463,3502,3540,3266
"2022-09-29 03:",3860,1,17.4,0,1.4,88,0,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.2119,200.8665,790.4494,3915.6331,3848.8725,1973.1023,1356.1199,904.4754,1045.1535,840.4697,783.2661,582.3774,418.6276,834.9409,348.732,161.9504,1145.6025,6469.1783,4127.5464,1939.8809,1365.7477,755.3927,778.2679,748.5828,676.8787,630.9088,494.3747,1182.5407,53,0,6377,6099,3463,3502,3540,3266
"2022-12-05 05:",3860,0,-5.5,0,3,40,0,9,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.9879,193.3785,756.0887,3767.4012,3737.29,1935.3662,1392.8772,958.3408,1035.9392,779.2308,782.4666,525.3618,368.6237,851.2022,346.6068,160.9631,954.104,6376.4519,4118.2577,2000.0935,1376.3056,752.3311,817.4425,780.8348,669.3771,628.6222,512.8089,1194.3978,99,650,6377,6099,3463,3502,3540,3266
"2022-12-21 18:",3860,2,1.7,0,0.2,91,1.9,8,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,519.5172,239.7766,1320.3107,4796.2222,3653.1097,2113.5119,1762.2398,1274.9167,1428.3854,1151.5488,1007.4297,706.743,506.1991,1017.2642,422.5619,196.2361,2162.0086,6672.3613,4076.1106,2172.545,1690.3723,1044.1209,1140.1893,1070.1668,935.9842,772.6392,646.2645,1339.377,1159,4549,6377,6099,3463,3502,3540,3266
"2022-07-29 11:",3860,1,32.6,0,2.6,62,0,7,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,541.2146,249.7905,677.341,3059.2349,2739.3859,1660.7697,1625.9454,1107.95,1069.9406,982.8425,921.8493,714.1924,506.2454,845.0106,446.8396,207.5112,994.79,4497.233,2923.6505,1688.615,1447.2913,1080.3439,1097.0804,1055.934,882.954,774.8542,578.7773,1225.1515,357,1523,6377,6099,3463,3502,3540,3266
"2022-06-05 22:",3860,2,20.2,0,3.1,71,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,648.1186,299.1311,1535.3284,5359.572,4779.1675,2466.7981,1783.1327,1064.2088,1135.4624,1027.1095,864.7716,623.452,440.198,945.0392,535.8334,248.8393,1774.566,7281.0203,4494.8281,2044.5895,1376.3973,926.2919,970.855,921.3443,890.726,716.3013,610.9687,1349.2564,461,2946,6377,6099,3463,3502,3540,3266
"2022-08-08 20:",3860,0,26.2,0.1,1.8,97,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,547.6413,252.7571,1109.1351,4339.5751,3694.2636,2006.8089,1563.3441,1183.8731,1082.2032,993.8254,914.5599,616.8415,450.3601,932.4998,564.9919,262.3803,1587.039,5945.9141,3997.2536,2062.264,1405.443,900.9545,944.0199,1007.4354,847.8375,734.5363,548.535,1415.3116,592,2693,6377,6099,3463,3502,3540,3266
"2022-06-04 00:",3860,2,22.3,0,2.2,76,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,399.9715,184.6018,1117.9637,5019.1033,4309.0752,2254.7185,1483.7527,973.7508,1035.247,857.0897,795.7137,516.2053,415.9726,782.4932,414.373,192.4335,1519.9452,6603.4807,4192.8688,2022.9217,1264.1277,800.8706,830.9574,810.6894,692.7997,623.6444,534.693,1194.7037,376,2,6377,6099,3463,3502,3540,3266
"2022-10-21 05:",3860,1,9.8,0,1.8,84,0,7,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.188,177.779,744.0981,3784.0349,3700.9388,1906.8802,1386.3706,922.4469,1028.9048,808.8131,820.6732,525.1001,407.2585,823.1156,400.9944,186.2203,1014.5333,6271.2848,4022.1192,1968.1118,1340.1624,822.7759,798.6584,837.3372,621.5332,646.4602,514.3985,1175.8189,121,702,6377,6099,3463,3502,3540,3266
"2022-06-11 11:",3860,2,27.3,0,1.4,51,0,3,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,639.3505,295.0844,970.2288,3744.9453,3505.1528,1936.8017,1655.2216,1124.539,1115.8306,927.693,859.3264,682.7343,519.147,884.0958,618.0706,287.0298,1278.626,5557.2935,3683.6242,2038.2051,1542.6758,1086.379,1049.5789,865.5053,917.2866,751.992,582.4755,1292.518,390,2094,6377,6099,3463,3502,3540,3266
"2022-01-11 21:",3860,2,-9,0,2.9,54,0.2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,452.8963,209.0287,844.7984,3123.6232,3660.6161,2055.2515,1496.7584,1082.8481,1204.0691,931.5233,813.1602,656.3913,447.182,863.4368,397.5828,184.6362,947.492,5338.9603,3984.788,1981.8465,1332.7033,869.099,959.9838,895.3533,881.9255,702.628,586.8659,1341.5044,888,4638,6377,6099,3463,3502,3540,3266
"2022-09-18 16:",3860,4,32.4,0,2.4,56,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,781.1291,360.5209,1319.5618,4190.0848,3825.2695,2197.3065,1570.4126,1158.9071,1126.738,946.2117,839.7358,563.9378,429.0764,827.9383,941.8913,437.4114,1708.5384,6173.1325,3989.9332,2041.306,1509.8362,1020.6358,1050.1593,907.9882,850.7599,706.8698,539.3802,1206.9374,561,2829,6377,6099,3463,3502,3540,3266
"2022-03-12 23:",3860,0,14.2,0,3.6,79,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,436.844,201.6199,897.7334,3845.0891,3881.6863,1916.2318,1368.3859,922.8337,936.7762,756.5172,737.4868,521.4348,439.4371,819.5636,364.6086,169.3232,1119.1793,5622.9177,3653.9332,1787.4301,1202.3651,769.1208,726.0339,712.955,643.6871,609.768,511.6276,1173.0437,456,2557,6377,6099,3463,3502,3540,3266
"2022-02-11 18:",3860,4,6.3,0,2.8,44,0,5,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,532.3685,245.7081,2047.0009,4074.474,3876.3262,2216.1836,1872.7013,1343.2347,1270.3532,1061.5646,949.3007,707.6356,507.4448,927.9898,514.6635,239.0085,2030.3392,5849.822,4067.7469,2230.883,1523.1189,980.5864,1246.0673,1000.9146,949.1551,797.5193,640.3776,1349.397,831,4101,6377,6099,3463,3502,3540,3266
"2022-07-28 21:",3860,1,30.5,0,1.9,65,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,551.6679,254.6153,1206.6456,4319.8262,3946.5265,2178.3623,1715.6431,1216.3282,1135.02,990.6643,841.9575,639.8074,433.9141,831.8293,582.8998,270.697,1767.1126,6356.5574,4420.3479,2119.5659,1483.1355,894.387,950.8446,928.1761,869.4789,752.7339,532.722,1298.1892,654,3053,6377,6099,3463,3502,3540,3266
"2022-09-20 19:",3860,4,20.9,0,2.4,53,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,432.0974,199.4292,1493.6732,5178.6645,3944.3188,2142.7913,1836.6174,1228.9145,1376.0451,1128.6296,1003.3057,705.3843,497.5826,843.9409,456.2248,211.8695,1985.7303,7379.5458,4410.103,2345.8632,1589.013,1043.9631,1230.8178,1064.7488,951.2471,810.3977,575.7235,1353.5727,825,3157,6377,6099,3463,3502,3540,3266
"2022-06-24 07:",3860,0,20.8,0.2,3.4,99,0,10,41.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.4035,246.6474,751.4971,3391.2938,3457.0013,1873.1986,1397.9782,1025.897,1101.3208,931.2959,786.4814,616.5066,433.7662,824.7444,402.5419,186.9391,1034.1426,5509.9422,3785.4796,1874.2557,1331.3069,853.8429,874.8735,900.2129,716.8386,682.0849,547.7954,1305.1879,507,2692,6377,6099,3463,3502,3540,3266
"2022-01-06 04:",3860,0,-4.8,0,2.1,62,0,0,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.1544,194.84,501.3521,2780.5806,3545.0453,1821.7793,1234.8361,865.3585,998.7819,737.8118,719.3895,514.7797,430.2526,789.372,336.2309,156.1449,703.6267,5015.1474,3741.9028,1916.0988,1240.7358,707.7436,680.0894,713.8558,700.7122,652.4215,491.9447,1179.1844,36,7,6377,6099,3463,3502,3540,3266
"2022-01-23 22:",3860,1,0.8,0,2.4,61,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,512.5709,236.5707,619.831,3073.2462,3657.3762,1979.3644,1336.1191,981.2936,968.3561,839.8973,780.0291,540.2093,421.0697,837.5501,452.5784,210.1761,870.8277,5157.1235,3826.891,2042.8057,1290.9056,816.5006,771.9896,817.1097,733.8943,687.6105,535.7268,1181.8358,301,1133,6377,6099,3463,3502,3540,3266
"2022-05-22 13:",3860,0,24.5,0,4.2,54,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,681.6324,314.5992,1270.3625,3841.1779,3645.1626,2109.7896,1572.9056,1144.8611,1271.7665,892.9268,932.5088,597.0459,456.1359,746.7481,958.8757,445.2991,1576.6969,5460.4873,3710.1321,1952.8128,1631.8705,1046.8266,1077.7651,879.1716,896.1701,733.3221,647.6201,1293.2218,448,2163,6377,6099,3463,3502,3540,3266
"2022-09-05 10:",3860,0,19.5,2.3,3.6,93,0,10,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.6216,249.9788,1283.6871,4383.3805,3049.5031,1688.9017,1485.9586,1148.1709,1352.7921,1154.6192,1075.1447,699.2971,494.4427,898.738,284.1073,131.9387,1490.0859,5954.2793,2978.3254,1670.3964,1363.2297,1128.2315,1162.3449,1030.0341,958.1997,839.3462,655.8741,1283.8678,409,1718,6377,6099,3463,3502,3540,3266
"2022-05-11 03:",3860,0,17.1,0,1,53,0,10,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.9807,184.6066,943.1309,4134.2782,3859.4095,1871.1088,1367.3967,886.2884,1030.9672,812.2547,785.8322,546.8282,420.4842,810.6166,363.7594,168.9285,1370.0238,6490.9356,4086.1903,1981.6728,1299.0838,771.0908,726.1329,795.147,653.9024,629.615,511.8603,1152.2319,42,0,6377,6099,3463,3502,3540,3266
"2022-04-22 17:",3860,9,15.1,0,3.4,87,0,10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,539.3805,248.9446,1690.2158,4227.337,3225.5829,1806.3814,1584.3898,1153.1869,1298.4518,1079.285,998.5653,729.9973,489.0055,937.9801,408.073,189.5084,1859.4792,5963.8791,3454.0451,1825.2265,1441.3681,1061.8189,1120.6529,1012.431,1015.7361,774.3018,634.9609,1321.1883,710,3922,6377,6099,3463,3502,3540,3266
