"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-05-17 08:",592,4,16.8,0,2.5,66,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.7483,220.0374,1258.6217,3868.7327,3017.1463,1741.4993,1461.1727,1159.5584,1346.384,1032.7576,995.4901,704.0946,485.1875,912.1168,332.9564,154.6239,1291.6897,5689.1111,3435.3036,1732.1116,1365.0613,979.0622,1018.8953,947.3198,862.7195,724.4036,638.1302,1307.4601,789,4875,6377,6099,3463,3502,3540,3266
"2022-10-22 15:",592,7,20.2,0,1.8,54,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,679.5661,313.6456,1151.5232,3700.6131,3693.3477,2283.3543,1669.7247,1242.9022,1185.7012,897.3229,939.6817,667.0988,444.8883,915.6043,1055.5436,490.1912,1752.5297,5616.3753,3965.654,2257.5552,1695.7933,1126.5872,1151.0488,982.9073,936.1792,720.647,589.5072,1218.5663,634,3475,6377,6099,3463,3502,3540,3266
"2022-08-09 05:",592,0,25.6,1.5,2,97,0,10,13.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.9959,185.9978,600.6162,3401.6494,3499.1844,1892.0542,1321.9047,980.7476,962.9513,841.0331,757.5764,548.6076,410.5557,835.4469,491.2097,228.1162,963.319,5408.1213,3968.6856,1920.9313,1314.7666,783.8128,787.2763,826.9599,624.4712,605.854,503.148,1269.5286,94,0,6377,6099,3463,3502,3540,3266
"2022-02-17 15:",592,0,-2,0,2.7,31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,586.066,270.4915,1010.8243,3111.9428,2835.5855,1779.8915,1457.8963,1265.614,1211.5862,1070.6858,1064.5579,728.8558,518.3645,958.602,571.5304,265.417,1505.5388,4681.6023,3223.8162,1761.8637,1319.1815,1059.1881,1187.6323,1100.9083,982.4777,761.015,639.9437,1381.2664,487,1993,6377,6099,3463,3502,3540,3266
"2022-09-07 15:",592,25,27.8,0,2.2,38,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,638.6273,294.7503,1458.3129,4795.8572,3054.9587,1672.4293,1544.7497,1178.3636,1223.6812,1167.8683,1080.8554,746.2347,535.8083,962.3453,518.721,240.8925,1892.3574,6370.0381,3065.8194,1776.0249,1364.7539,1221.6963,1252.515,1122.709,971.6887,878.9205,664.0437,1209.5556,603,2805,6377,6099,3463,3502,3540,3266
"2022-07-07 11:",592,3,29.8,0,2.5,73,0,10,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,413.162,190.6896,989.8814,3330.9587,2747.3896,1540.1293,1491.2399,1253.4757,1270.2296,1152.8354,1001.0003,700.62,512.9473,878.5428,260.0765,120.7788,999.0315,4558.7391,3135.2489,1822.3935,1520.5038,1130.3863,1261.3759,1037.8905,997.6591,812.795,628.8073,1396.486,377,1537,6377,6099,3463,3502,3540,3266
"2022-09-07 16:",592,28,27.8,0,2.9,39,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,560.9569,258.903,1330.4387,4771.5728,3071.8713,1643.0936,1538.2709,1146.097,1175.4152,1159.5419,1057.7919,706.8925,497.1907,939.2673,468.8002,217.7094,1913.8474,6307.7264,3089.6438,1751.1944,1356.0246,1111.6238,1237.879,1064.9094,897.2837,862.4551,616.8468,1168.4223,738,3336,6377,6099,3463,3502,3540,3266
"2022-06-10 04:",592,0,17.7,0,2.4,89,0,6,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.3053,218.9095,908.32,4068.7312,3688.8111,1938.7368,1413.1884,981.2432,1046.0022,846.8773,759.3696,550.9605,426.3881,812.034,333.694,154.9668,1346.2105,6400.3538,4134.3368,1988.7943,1378.0481,841.7027,802.9314,752.2129,659.5304,638.1955,498.201,1274.7152,44,16,6377,6099,3463,3502,3540,3266
"2022-05-03 09:",592,2,14.1,0,2.4,59,0,0,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651.006,300.464,1271.6214,3819.0852,2860.2344,1604.9323,1505.5427,1111.9959,1239.1468,1094.8506,1092.4633,739.066,528.6568,988.2236,376.6499,174.9145,1506.9953,5474.3907,3136.9047,1654.6804,1423.4057,1124.0775,1093.6925,1030.0273,996.3477,751.7047,652.2027,1435.5678,578,3109,6377,6099,3463,3502,3540,3266
"2022-04-21 01:",592,4,12.2,0,0.8,55,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.1228,207.7484,1053.4701,4235.8122,3828.9084,1999.8946,1499.4854,923.8796,1009.5937,793.0926,744.2022,539.6916,449.5224,804.362,334.6241,155.3985,1307.1909,6420.8113,4050.2012,1997.7617,1296.8826,796.3497,756.8089,771.3533,707.3015,632.6977,546.8883,1166.4622,49,0,6377,6099,3463,3502,3540,3266
"2022-10-07 01:",592,1,14.6,0,1.2,84,0,10,40.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.3655,194.9373,925.9913,4220.484,3838.9807,1976.8279,1449.1182,950.1958,1136.7644,825.8449,814.5842,567.7533,404.9346,797.472,430.5492,199.9456,1272.9207,6530.0296,4139.4335,2000.7614,1364.1583,791.0749,816.9915,767.18,661.6473,635.2552,527.9675,1161.7056,168,0,6377,6099,3463,3502,3540,3266
