"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-11-15 07:",576,0,4.1,0,2.2,82,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576.9539,1333.1138,1615.6282,963.4841,1000.726,804.4468,1083.9563,1334.8217,1666.1518,1437.8236,1141.0701,827.3419,664.3733,1310.6696,1894.2008,1586.6853,1631.1168,1177.2008,1135.0705,915.9023,1533.7185,1851.1125,2115.4258,1610.945,1480.4721,965.0438,771.6632,1694.8279,509,1826,6377,6099,3463,3502,3540,3266
"2022-03-31 13:",3503,0,13.6,0,2.6,55,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2218.9217,1875.8164,1466.7815,861.4676,817.2386,764.6496,951.6984,1168.4262,1314.7698,1022.3755,885.3408,732.2665,605.3498,1204.6738,2519.8993,2110.8045,1538.1432,1022.6649,934.2081,918.0081,1502.9545,1647.8974,1907.5441,1327.1625,1295.8834,1052.1133,733.4128,1767.3017,189,547,6377,6099,3463,3502,3540,3266
"2022-06-11 00:",3564,0,19.1,0,1.8,80,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1662.8013,1405.6869,1701.4107,886.5399,762.1524,750.9497,1038.6752,1544.4197,1934.201,1600.5965,1317.8813,823.9847,694.2648,1159.1079,1910.7601,1600.5563,1791.2907,1120.373,936.535,893.455,1496.5147,1969.4088,2362.4606,1572.3833,1348.0177,885.9323,714.402,1636.8192,25,0,6377,6099,3463,3502,3540,3266
"2022-10-14 00:",3503,0,14.2,0,1.1,81,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663.4727,1406.2547,1626.3261,835.6203,842.3165,729.1581,1019.4945,1443.9494,1967.0011,1521.9875,1189.7896,770.48,628.8992,1177.5651,1870.5419,1566.8678,1742.3863,1138.957,993.8975,840.1882,1482.4499,1923.6621,2255.2581,1591.9428,1381.576,891.003,690.7507,1438.6218,11,17,6377,6099,3463,3502,3540,3266
"2022-07-12 08:",3503,0,24.6,0,2.8,76,0,8,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214.8776,1872.3971,1573.1264,1017.5833,733.828,774.356,911.2885,1318.3017,1421.2936,1148.4971,1089.8034,891.2618,621.0646,1232.3838,2454.4429,2055.9745,1604.7696,1177.1948,999.3186,923.5145,1383.8122,1711.9096,1949.9054,1505.9487,1384.2884,1040.1765,848.7924,1737.5978,621,1952,6377,6099,3463,3502,3540,3266
"2022-12-22 20:",3878,0,-9.8,0,4.8,57,1.8,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1347.7547,1139.3551,1380.1645,900.2283,756.5444,786.0674,978.7982,1234.9861,1719.286,1374.8924,1163.2935,901.139,617.3015,1285.853,1724.1998,1444.2833,1674.6903,1332.9482,1232.1277,992.5806,1431.0309,1854.2526,2083.8669,1448.1575,1381.5735,941.2648,711.2576,1567.9778,214,419,6377,6099,3463,3502,3540,3266
"2022-07-22 08:",3570,15,23.6,0,1.8,88,0,9,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616.9772,287.3322,541.9709,904.3828,1118.1927,1117.7734,1052.5053,894.1579,905.0268,759.6763,740.1084,553.828,370.3801,858.8913,584.2677,311.1977,1080.4539,1061.715,1297.6018,1125.006,1183.6439,1029.5101,1039.0569,864.7628,946.9991,768.4203,537.9809,1171.5246,709,4686,6377,6099,3463,3502,3540,3266
"2022-08-25 23:",3516,0,21.2,0,1.7,82,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1649.3505,1394.3158,1747.9478,999.7498,845.3541,781.7029,1045.4614,1496.2744,1957.8695,1592.7939,1214.3987,814.9905,645.5771,1165.8697,1956.1041,1638.5385,1781.3828,1116.697,1001.54,879.7368,1490.7694,2001.0658,2271.9191,1598.7059,1426.455,882.4689,698.1587,1515.1205,80,88,6377,6099,3463,3502,3540,3266
"2022-10-12 22:",3564,0,13.9,0,1.1,71,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1551.5793,1311.6627,1445.8733,854.5164,826.2821,787.6733,1061.5493,1381.1679,1747.9134,1394.4723,1236.5855,813.4416,608.4895,1257.2837,1804.9912,1511.9584,1586.5332,1138.5468,987.6823,904.9571,1498.6927,1893.8203,2215.2427,1500.3761,1399.8138,904.9687,722.1307,1499.341,206,486,6377,6099,3463,3502,3540,3266
"2022-08-10 08:",3564,1,22.1,0,0.2,96,0,7,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486.2488,1256.4348,1695.089,1036.6335,769.9359,755.5743,906.2353,1219.5194,1438.7243,1139.5409,1067.5604,799.5459,633.1641,1233.9148,1799.2781,1507.1729,1567.424,1119.1023,954.1748,899.9,1351.0805,1679.6673,1903.4249,1547.1148,1411.7535,955.831,802.8632,1597.5307,612,1753,6377,6099,3463,3502,3540,3266
