"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-05-18 19:",3504,9,22.7,0,4.5,45,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,970.0752,500.7516,625.8149,825.0284,929.9343,829.9151,1002.2896,869.5936,820.4884,756.0116,712.4577,579.9418,451.8168,906.9924,1025.4613,545.0722,709.3748,1184.4837,1059.4257,932.0524,1136.0789,1078.825,1011.3175,954.2484,1075.5384,828.4085,608.6378,1283.9126,468,0,6377,6099,3463,3502,3540,3266
"2022-04-13 17:",3501,7,12.2,0,6.6,58,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,502.6203,306.5297,802.0202,1044.0874,1062.4823,1073.3126,1008.8109,993.5252,943.9003,886.8807,888.7027,650.1901,461.6205,860.7126,657.249,380.1745,627.2963,1240.4815,1406.1366,1134.711,1093.0274,1154.8781,979.6677,917.234,1071.7744,870.0444,693.647,1480.7438,357,0,6377,6099,3463,3502,3540,3266
"2022-11-25 14:",3587,1,17.3,0,4,41,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1152.5572,626.8672,673.6686,1014.3364,1052.1472,1060.7598,1307.9319,1295.5362,1432.9872,1243.9761,1150.1001,867.2054,664.5412,1188.3332,978.9103,511.6639,748.3285,969.0696,1218.3693,1047.7399,1455.9551,1213.5495,1527.7752,1338.8753,1207.5847,1044.9346,847.7838,1680.2357,356,1695,6377,6099,3463,3502,3540,3266
"2022-10-16 21:",584,9,15.9,0,2.8,76,0,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,501.3945,209.8489,476.0954,1335.1478,1365.9187,1112.5265,1026.1237,697.6909,678.0706,583.986,580.8659,434.7504,336.6306,607.6492,302.0505,147.9885,471.0586,1560.7899,1442.0817,1017.7533,798.6724,708.5611,537.6694,520.602,618.6919,488.5264,381.0093,920.8296,320,0,6377,6099,3463,3502,3540,3266
"2022-07-20 15:",553,2,30.2,0,3.2,62,0,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,518.3217,256.3029,288.7303,378.9878,477.2894,483.6581,545.3773,562.1201,570.9073,551.7264,592.4614,462.8388,313.6411,676.8604,503.3852,244.2753,317.1549,452.4187,429.8587,598.3796,620.7119,490.0465,708.1624,663.5339,730.6203,568.5044,412.7284,1188.665,255,444,6377,6099,3463,3502,3540,3266
"2022-04-09 00:",3571,16,12.9,0,0.5,44,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,384.3377,177.3865,1014.7007,4028.9897,3894.6098,1970.1898,1400.7696,934.0406,913.6359,729.3827,756.3112,513.451,422.2471,887.1755,299.0915,138.8971,1299.4382,5733.4402,3763.4043,1889.2928,1235.407,768.1696,779.4121,730.0494,678.9576,675.2936,528.2852,1177.5504,713,3,6377,6099,3463,3502,3540,3266
"2022-12-24 08:",3860,1,-13.5,0,2.3,63,1.7,2,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,375.5839,173.3462,690.3607,3359.0032,3486.6008,1928.6249,1407.1451,923.9541,1041.6742,812.0118,842.1191,551.6219,428.0111,802.5787,352.7353,163.8093,907.0608,5229.1386,3760.2362,1882.5003,1290.6279,769.0303,879.9244,810.9048,768.4326,637.1215,506.5783,1169.1367,342,1240,6377,6099,3463,3502,3540,3266
"2022-03-05 15:",3880,2,6.1,0,6.8,24,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,789.5529,436.4803,641.5362,624.5526,734.3251,745.6487,832.1196,767.7298,815.5166,750.8439,741.5496,586.1999,411.8088,973.175,778.6676,452.0463,575.2365,713.3152,868.7063,756.5623,943.4033,1013.6375,1003.8838,796.5431,889.1384,817.2069,656.5578,1325.711,428,834,6377,6099,3463,3502,3540,3266
"2022-06-18 18:",548,12,25,0,1.3,75,0,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,882.8364,413.0036,507.9856,669.5562,734.3339,861.5991,918.3754,834.2174,915.2287,753.5961,720.3164,603.1766,479.0204,892.8024,659.038,286.2684,411.5035,599.4834,795.7507,790.9672,950.7509,832.3096,866.0655,652.3037,806.2229,731.769,515.8535,1342.6682,283,0,6377,6099,3463,3502,3540,3266
"2022-10-02 08:",591,0,18.9,0,2.7,79,0,10,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,401.2983,185.2142,720.9509,3481.74,3392.9181,1787.6954,1285.0777,953.4458,962.5183,735.6595,785.6842,516.5251,362.1597,706.6905,363.1021,168.6234,856.8225,5312.7001,3417.982,1743.8957,1199.3452,794.3871,806.5622,766.7211,688.2625,708.9094,547.0853,1153.9075,201,974,6377,6099,3463,3502,3540,3266
