"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-11-27 20:",500,1,7.7,0,2.4,35,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,485.0377,223.8629,1709.7469,5091.7702,4163.5503,2285.3002,1555.4472,1021.5198,1058.1276,895.7503,837.3973,587.4504,405.7964,828.9231,515.5061,239.3997,2036.1239,7238.5492,4377.7234,2055.6886,1425.9014,805.408,900.2247,874.8943,738.3178,638.1663,530.2373,1142.7648,498,2942,6377,6099,3463,3502,3540,3266
"2022-05-24 17:",3571,9,29.1,0,3.4,34,0,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,539.1793,248.8516,1750.9012,4660.3135,3086.6468,1792.8819,1604.6186,1254.7921,1394.3609,1239.8954,1055.0382,714.3124,532.1144,907.6474,469.5043,218.0364,2186.9298,6473.9925,3421.435,1838.6999,1493.5256,1145.0532,1149.0092,1043.1086,1022.0553,749.836,603.3858,1343.4315,713,3867,6377,6099,3463,3502,3540,3266
"2022-07-02 18:",3523,0,33.1,0,2.9,57,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,726.9897,335.5332,1430.9714,4949.7079,4652.5294,2532.9559,1821.1434,1304.7984,1174.6033,970.4796,920.7175,708.9207,458.6764,859.0473,792.0943,367.8465,2099.6657,6789.1046,4655.7442,2206.4724,1554.2397,1058.3912,1048.2519,945.7122,912.1386,771.4144,579.7655,1342.0381,1044,4596,6377,6099,3463,3502,3540,3266
"2022-06-12 23:",500,8,22.8,0,2.1,76,0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,440.903,203.4932,1040.6883,4300.9104,4002.4265,1938.8155,1485.9425,992.9158,980.1381,746.1657,812.1758,540.068,408.2704,804.8871,370.4325,172.0274,1412.5897,6838.9507,4099.0329,1940.9954,1333.6265,769.2322,810.1079,738.6307,690.7185,630.8936,536.3529,1250.2615,302,1158,6377,6099,3463,3502,3540,3266
"2022-01-25 21:",3579,0,2.6,0,2.2,80,0,8,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,449.5831,207.4998,740.6389,3289.455,3557.9817,2062.3753,1414.03,1133.9163,1139.1522,933.3679,827.2801,597.9784,464.8496,861.5466,425.339,197.5258,933.8262,5260.7626,4068.7921,2037.6702,1368.128,930.2923,894.2181,878.7295,784.1827,695.6717,564.9583,1253.9077,891,4707,6377,6099,3463,3502,3540,3266
"2022-09-28 18:",590,8,23.9,0,2.5,64,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,508.4505,234.6691,1414.4811,4990.3013,3839.4219,2117.662,1881.1348,1300.8141,1505.0078,1279.5851,1017.8776,733.8397,496.0898,970.4614,525.2393,243.9197,1866.2381,6915.4782,4060.8041,2309.9286,1675.399,1185.3619,1126.6962,1124.8948,985.3011,783.195,599.7852,1322.2658,1102,4459,6377,6099,3463,3502,3540,3266
"2022-09-23 15:",590,9,19.9,0,5.7,42,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,570.5091,263.3115,1127.7204,4192.7217,2876.3224,1763.8675,1520.0311,1119.734,1260.7985,1095.6803,1072.1581,728.4783,514.6294,898.3362,495.6053,230.1575,1608.6089,5816.6792,3064.0261,1723.5169,1439.1508,1125.3944,1188.2035,1056.4895,1019.674,824.1375,655.0813,1289.1177,598,2708,6377,6099,3463,3502,3540,3266
"2022-05-27 10:",590,14,20.6,0,3.9,53,0,2,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794.6867,366.7777,1389.9805,3803.6872,2907.8829,1557.5694,1525.0077,1173.9965,1332.9582,1203.4687,1054.5426,727.0893,541.7665,1020.7783,491.6609,228.3261,1574.9355,5444.1281,3138.6346,1774.3334,1430.4958,1114.4252,1156.4406,1001.9647,971.4482,828.6158,635.8061,1400.7381,393,1841,6377,6099,3463,3502,3540,3266
"2022-09-25 02:",500,4,16.9,0,1.6,80,0,6,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,417.9089,192.8806,999.8762,4703.3326,4356.8535,2052.7729,1425.4729,871.51,1021.9973,759.217,746.7709,531.7412,379.8893,779.2179,330.5075,153.4866,1200.1766,6471.415,4101.2516,1888.906,1366.414,736.2013,813.3555,754.6042,669.2102,631.7905,480.2347,1155.462,44,0,6377,6099,3463,3502,3540,3266
"2022-08-24 07:",500,1,22.6,0,2.7,69,0,8,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.8047,223.7559,829.2973,3242.6898,3438.2858,1828.3865,1443.145,1124.2904,1222.5806,926.1797,862.2308,645.7106,399.8967,836.4269,453.8431,210.7632,1018.1351,5545.4335,3862.3901,2036.6974,1346.3907,899.5774,920.7295,893.1173,824.5715,675.4913,548.3234,1311.7388,528,2627,6377,6099,3463,3502,3540,3266
"2022-11-28 17:",500,1,14,0,2.8,82,0,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,450.4829,207.9149,1383.7912,4672.5172,3165.5345,1797.9123,1589.8828,1218.7211,1215.6632,1026.0708,1215.6194,730.9569,490.2173,943.009,475.128,220.648,1618.2108,6376.3275,3354.8258,1872.1394,1377.2748,982.952,1104.0989,1013.5209,968.4356,725.0273,569.6187,1243.1332,863,3994,6377,6099,3463,3502,3540,3266
"2022-08-26 06:",500,2,20.1,0,0.9,88,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.9909,196.1493,657.4476,3347.0593,3542.8777,1947.9887,1334.7359,947.5684,1052.1367,833.3871,837.2541,602.1584,359.5164,807.8524,346.8866,161.0933,960.7085,5733.6856,3966.7118,1915.2167,1281.4975,778.1087,792.8029,794.4279,754.0752,694.2919,538.272,1275.0738,242,955,6377,6099,3463,3502,3540,3266
"2022-06-05 21:",3569,11,20.5,0,2.4,70,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,652.6382,301.2172,1704.2118,5447.1673,4877.8235,2594.4914,1752.5307,1177.8167,1150.7947,1000.6282,866.9678,622.7689,448.7331,918.9658,540.9965,251.2372,2009.8865,7622.4891,4651.6376,2158.052,1469.7145,970.4456,1077.1526,895.2333,855.5545,728.4424,599.1622,1401.2832,531,2762,6377,6099,3463,3502,3540,3266
"2022-10-16 15:",3579,6,18.3,0,0.9,67,0,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,867.3937,400.3351,1361.0903,4150.6179,3874.9473,2171.3302,1599.9979,1185.7929,1084.2614,996.4997,870.4407,560.3839,387.3196,861.4411,1072.4768,498.0552,1836.3624,6455.4314,4062.1189,2154.2986,1574.2533,993.8684,996.0249,970.3187,843.4228,695.1812,586.386,1244.8336,678,3234,6377,6099,3463,3502,3540,3266
"2022-07-31 21:",3571,0,26,6.4,2.3,94,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,587.99,271.3793,1081.726,4410.2876,3975.3376,2098.2465,1533.2373,951.832,994.973,928.336,771.6116,536.9515,408.2672,782.3724,544.51,252.8691,1610.1975,6102.8036,4068.1211,2014.7141,1283.5578,829.7616,908.4306,856.181,728.4377,680.8541,540.0797,1304.4981,537,2671,6377,6099,3463,3502,3540,3266
"2022-05-14 13:",3569,12,19.7,0,3.1,37,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,700.4545,323.2858,1272.3864,3763.8436,3617.6423,2138.1151,1749.506,1205.2402,1339.7234,959.5883,911.4563,738.0614,455.735,877.8177,859.4517,399.1269,1648.1615,5502.056,3987.3554,2085.7237,1565.1068,1210.1287,1138.3631,993.2199,994.9622,834.4792,626.6145,1135.8638,543,2888,6377,6099,3463,3502,3540,3266
"2022-07-13 08:",3571,0,25.1,0.5,2.3,89,0,10,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.2155,278.4067,960.6708,3251.1482,3023.0163,1677.4992,1387.7178,1091.0604,1139.1077,1019.2312,902.4755,666.4222,511.44,842.779,401.4438,186.4295,955.5432,5000.9214,3401.2403,1734.0183,1335.2401,949.6349,1070.7349,946.2187,837.9349,747.6073,573.5438,1393.3447,917,4948,6377,6099,3463,3502,3540,3266
"2022-01-07 08:",3569,9,-5.8,0,1.3,64,0,0,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.42,243.4244,534.2307,2597.6519,2976.6532,1647.9116,1482.1686,1059.4715,1286.2548,976.0836,898.6462,682.0291,498.77,942.6419,456.5437,212.0175,629.4961,4498.1376,3199.593,1856.1376,1340.0778,978.8997,1005.2542,878.2672,871.2779,763.5476,555.2024,1312.4636,762,4469,6377,6099,3463,3502,3540,3266
"2022-09-21 00:",500,3,16.6,0,1.3,62,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.3731,186.6336,977.8038,4223.7876,3876.9212,1912.4825,1430.137,933.3672,1029.2301,860.6303,800.3077,540.4627,404.0002,829.3165,384.9399,178.765,1332.189,6667.6701,4179.6255,1920.1654,1350.7138,765.8865,843.7249,760.7067,692.8776,633.9937,492.6759,1170.3011,178,0,6377,6099,3463,3502,3540,3266
"2022-07-21 01:",3523,1,24,0.9,2.8,91,0,10,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.8322,208.5381,733.1659,3643.2789,3769.1995,1902.0867,1420.8491,905.2751,886.1165,793.9132,788.9424,583.8224,393.9323,747.4162,399.9573,185.739,961.2639,5680.7402,4045.2421,1951.6756,1338.924,786.8122,761.0456,747.5413,683.2135,657.369,490.7561,1188.1366,63,0,6377,6099,3463,3502,3540,3266
"2022-06-25 16:",3523,0,29.7,0,3.7,74,0,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,652.0969,300.9677,1259.6294,4072.4784,3821.383,2220.9727,1636.4485,1241.682,1186.8797,997.1669,874.2352,589.0548,475.0147,965.5044,1015.7017,471.689,1572.6797,5331.6908,4119.7144,2100.9577,1606.2438,1103.2274,1071.2827,993.0612,911.3922,713.7962,580.4445,1303.6596,691,3948,6377,6099,3463,3502,3540,3266
"2022-06-29 08:",500,8,25,0.1,6.1,95,0,10,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586.6252,270.7497,783.5787,3045.4737,2945.3279,1719.6111,1421.6446,1051.2063,1196.8164,1058.5783,828.7244,746.6796,504.2869,899.6222,308.9182,143.4606,965.7953,4904.8236,3271.168,1727.1517,1327.5463,922.0983,982.1355,962.9038,846.1087,761.2334,579.7302,1356.386,823,4860,6377,6099,3463,3502,3540,3266
"2022-01-09 23:",3860,0,-0.8,0,0.9,68,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,401.9655,185.522,434.3495,2796.1836,3597.5336,1832.7298,1358.881,860.851,1011.8744,746.1021,721.4658,537.185,416.0782,770.4846,322.1844,149.6217,685.5739,4945.8784,3726.3544,1857.0062,1193.1904,791.9351,651.4419,698.9641,666.0688,608.7587,507.3535,1143.6516,140,306,6377,6099,3463,3502,3540,3266
