"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-04-10 23:",3582,2,15.5,0,1.4,61,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,384.4807,177.4523,1248.8766,4335.5866,3910.9733,1891.7471,1369.6432,913.0176,930.1536,738.5148,742.0508,522.8854,412.9741,852.0593,358.2313,166.3618,1486.3441,6379.2925,3952.5932,1922.6012,1239.6848,736.3244,733.5024,747.0335,659.04,678.3618,545.5623,1131.477,440,1759,6377,6099,3463,3502,3540,3266
"2022-04-07 06:",3582,1,9,0,2.5,52,0,10,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.4991,200.9994,954.78,3642.7913,3607.0679,1830.5159,1355.0965,1017.3735,1030.0015,777.8418,691.9892,529.1394,396.1523,924.24,360.4661,167.3993,1126.6225,5858.4542,3879.7734,1977.6865,1318.5471,817.2572,816.4104,736.2286,742.8895,636.9152,592.2368,1233.9778,211,901,6377,6099,3463,3502,3540,3266
"2022-12-03 17:",3588,2,5.2,0,2.4,67,0,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,460.6567,192.7988,401.9333,1262.5671,1382.084,1019.2822,1036.4217,720.5474,834.4847,634.4774,708.8084,517.2149,331.2857,711.5638,556.9018,272.8522,696.2078,1874.4428,1503.7692,1121.1229,1045.8748,851.304,820.5653,658.528,656.2376,515.2327,382.0215,1079.3002,561,0,6377,6099,3463,3502,3540,3266
"2022-10-06 10:",3879,3,15.6,0,2.6,77,0,9,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.4753,127.5111,153.9111,374.001,523.8119,590.0958,645.2525,595.8994,581.8472,556.2934,594.7024,359.9897,332.2082,520.0099,288.3115,113.4983,113.0911,426.6567,617.956,600.3876,575.3733,533.2165,479.1032,550.9906,594.6154,567.7936,348.7657,900.8059,240,0,6377,6099,3463,3502,3540,3266
"2022-02-23 01:",590,0,-8.4,0,1.6,46,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.0392,199.8638,510.7723,3122.7172,3633.8742,1885.6769,1248.0864,902.6748,979.3315,718.0516,739.9908,548.9017,400.451,845.6756,371.4813,172.515,819.5406,5287.1864,3864.491,1945.4367,1260.9646,778.6174,743.5261,749.8811,664.4073,662.628,558.8318,1227.212,25,0,6377,6099,3463,3502,3540,3266
"2022-02-10 05:",3586,0,-2.5,0,1.7,62,0,3,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.8923,171.5525,277.8708,1091.1564,1353.8853,1064.6227,939.5281,622.7054,544.1155,537.9699,520.3227,411.2886,328.5007,579.8985,232.3291,113.8288,329.8991,1506.5683,1421.9512,952.1176,823.8782,576.0678,502.159,471.1566,527.298,529.8503,304.7974,819.8342,202,0,6377,6099,3463,3502,3540,3266
"2022-05-17 22:",3878,1,19.3,0,2.7,65,0,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1666.5481,1408.8545,1530.8612,969.7066,839.2522,810.7502,1082.4148,1471.1305,1805.7765,1516.2698,1223.1048,930.1119,669.5434,1186.5971,1852.8648,1552.0596,1582.1366,1134.1827,1026.0132,895.4689,1492.6301,1923.2692,2251.7221,1549.8163,1389.5017,1028.3859,720.8536,1672.9899,167,356,6377,6099,3463,3502,3540,3266
"2022-07-03 19:",3882,1,31.3,0,3.2,58,0,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,839.286,392.6305,471.7508,598.1644,746.4828,884.1609,955.025,853.6872,917.9666,743.4504,692.4161,627.8288,471.7409,899.4831,853.7287,370.8363,423.4421,643.9707,842.4818,780.1328,1056.878,874.9869,850.7195,667.7438,811.3543,779.7052,519.6462,1296.978,175,0,6377,6099,3463,3502,3540,3266
"2022-08-19 02:",573,0,23.8,0,1.2,82,0,10,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.2566,150.0855,133.8541,495.4034,707.9993,730.4865,697.8146,512.7722,455.5249,438.827,394.7302,286.8685,183.1965,418.2039,339.9632,121.5507,254.2719,649.7222,982.4133,861.2497,732.1173,554.69,416.2684,356.0161,440.6698,340.6228,291.2217,695.8236,24,0,6377,6099,3463,3502,3540,3266
"2022-11-11 08:",3570,10,11.5,0,2.1,74,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774.6385,360.7564,482.4089,824.439,1070.8606,1137.1792,1071.1833,847.017,872.5532,785.8788,739.0967,531.2579,369.7581,865.4704,993.9509,529.4068,1304.8242,1124.239,1294.9037,1199.9817,1194.9147,960.0623,1026.1802,954.7304,961.2679,764.0582,528.3773,1256.8609,775,4998,6377,6099,3463,3502,3540,3266
