"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-10-18 14:",571,7,13.3,0,4.1,38,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,356.9168,149.3807,752.3206,2688.113,1564.8816,967.4427,887.2815,753.3448,885.9162,694.9691,667.6646,464.021,319.934,702.5329,314.9477,154.3077,809.9445,2847.1208,1266.7936,866.4735,896.7434,819.1971,720.0528,630.3745,679.6068,547.2735,382.1072,856.1224,469,0,6377,6099,3463,3502,3540,3266
"2022-07-15 02:",571,0,23.8,0,1.6,87,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.1729,169.9959,428.8116,1155.4726,1448.4467,949.5844,963.8485,610.2801,580.2613,570.0796,509.5168,402.1921,311.6574,505.8839,364.9118,178.7874,279.8965,1604.929,1385.9297,966.2759,815.6037,525.5899,536.503,501.6663,506.7499,469.2752,365.017,835.7625,11,0,6377,6099,3463,3502,3540,3266
"2022-02-26 00:",571,0,5.2,0,2.3,85,0,9,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,441.2503,184.6771,412.4392,1101.7649,1411.4641,1081.6871,949.928,628.871,556.4141,563.0941,568.3232,420.6378,318.1287,537.1408,277.8544,136.1339,356.5417,1488.5533,1386.6159,929.8594,854.022,533.2799,542.1969,501.0794,529.8304,523.234,326.2333,887.8297,42,0,6377,6099,3463,3502,3540,3266
"2022-11-28 20:",571,0,13.5,0,2,94,0,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,437.4347,183.0801,480.9965,1598.6907,1552.2268,1170.222,1074.3316,760.198,798.9757,666.4457,713.5269,520.0537,318.7484,595.5669,428.8392,210.1083,554.1453,1934.5314,1580.6741,1190.4236,961.1051,761.3114,608.5875,583.103,602.5166,547.6003,370.1546,1011.7419,417,0,6377,6099,3463,3502,3540,3266
"2022-12-15 17:",571,0,-1.8,0,1,92,4.5,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,461.5769,193.1841,626.4087,2091.4311,1373.3153,919.5328,964.1095,774.6401,874.5536,642.5891,800.745,498.9163,393.722,696.8884,338.8879,166.0371,653.9193,2282.8754,1264.2238,882.9586,900.163,765.7798,714.1921,626.8324,718.9725,595.1555,424.0441,986.8489,718,0,6377,6099,3463,3502,3540,3266
"2022-04-27 07:",571,1,13.4,0,2.5,30,0,0,224,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.8091,151.4282,383.6417,1413.0403,1548.945,1055.1094,963.0985,602.5626,546.1496,486.0586,562.4918,407.301,305.9735,548.0424,266.83,130.7323,420.8151,1836.8285,1442.9954,1009.3625,907.1334,626.3532,557.7023,533.3271,512.2319,496.0527,341.8941,914.329,811,0,6377,6099,3463,3502,3540,3266
"2022-08-10 17:",571,4,26.2,0,2.5,78,0,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,492.8229,206.2617,321.92,1143.9532,1367.5867,1081.7762,946.0561,731.4035,828.7137,692.7146,604.8596,475.4095,318.797,661.7831,390.7197,191.4315,349.5218,1422.7602,1141.5813,958.4636,840.201,763.5605,659.0146,648.8558,629.3654,475.0065,450.2464,975.1828,635,0,6377,6099,3463,3502,3540,3266
"2022-07-22 21:",571,0,25.1,0,2.1,83,0,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,427.2024,178.7973,346.2689,978.6236,1368.1818,1078.697,1005.6144,730.3581,726.3069,642.269,648.9114,465.6475,355.9967,579.8985,342.7675,167.9378,328.7341,1373.2927,1436.8954,930.0035,934.9117,611.4679,589.9028,549.7462,585.9406,517.876,434.4907,923.1192,355,0,6377,6099,3463,3502,3540,3266
"2022-05-21 10:",571,0,21.5,0,2.7,67,0,8,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,433.8372,181.5745,482.3727,1233.5254,1415.2921,993.9743,910.6913,706.2133,647.0387,560.7214,575.0946,446.8634,324.8956,604.9703,331.6781,162.5046,508.0947,1700.5624,1337.7922,937.8262,850.1411,674.4969,634.2662,529.1312,578.0963,503.4968,388.7913,919.0126,489,0,6377,6099,3463,3502,3540,3266
"2022-08-01 13:",571,0,31.1,0,2.4,78,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,410.9737,172.005,346.5318,1134.3932,1327.2102,918.52,885.1016,711.8897,815.9296,653.7988,613.4353,477.0163,313.7987,621.1752,319.4337,156.5054,383.4799,1582.641,1171.586,870.3657,879.0719,696.6906,645.0306,533.8494,576.8627,496.5973,427.9829,905.8882,449,0,6377,6099,3463,3502,3540,3266
"2022-03-13 08:",571,0,11.8,0,2.2,98,0,10,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,577.167,241.5622,517.1615,1255.5134,1541.784,1065.4565,969.0466,668.5082,606.5167,530.455,551.3464,418.4858,285.5721,587.0416,241.6664,118.4035,393.3419,1608.1755,1398.0161,1004.9783,853.1899,586.2049,531.9796,446.8171,558.853,509.8769,353.3081,845.8489,201,0,6377,6099,3463,3502,3540,3266
"2022-10-29 18:",571,0,17.1,0,0.9,53,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,486.122,203.4572,427.1037,1127.0112,1310.3938,1065.6302,1039.499,734.1451,735.4476,643.2615,717.4877,505.3776,378.3242,615.6909,377.2886,184.8508,493.727,1346.4548,1363.4062,990.3875,839.5972,699.6621,691.2036,651.3383,676.7074,602.8421,424.8316,1036.1515,518,0,6377,6099,3463,3502,3540,3266
"2022-07-03 23:",571,3,28.3,0,1.2,71,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,386.89,161.9256,435.2957,1100.4563,1474.6005,969.4361,1018.9003,689.1902,565.3453,537.8824,569.6429,373.0897,291.6721,506.8999,323.0321,158.2683,311.3272,1597.0368,1383.0504,961.6763,831.4279,575.8003,530.5563,500.4264,504.1221,484.3886,388.6062,909.4756,97,0,6377,6099,3463,3502,3540,3266
