"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-07-21 14:",573,2,23.6,0,4.2,87,0,10,13,556.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,558.8843,186.2948,302.407,685.7819,743.3957,609.618,676.5554,585.8313,614.5344,521.6517,469.0761,408.8746,296.8317,614.7348,731.9638,261.707,520.5805,830.7216,840.7133,709.4149,905.7645,628.3269,606.0616,551.5678,612.2423,507.6029,393.0002,945.1633,6001.9653,322,1471,6377,6099,3463,3502,3540,3266
"2022-02-06 00:",3529,0,-8,0,1.4,61,0,0,20,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,452.1452,150.7149,186.1633,516.5782,751.887,768.3072,664.5448,517.0067,571.7327,399.65,371.1929,295.967,187.5249,391.6922,313.0756,111.9374,205.7477,607.9608,890.8294,827.8433,742.3954,441.3195,456.107,388.2262,408.1461,352.6616,301.3101,723.1106,5770.3461,19,0,6377,6099,3463,3502,3540,3266
"2022-12-13 18:",3518,9,0.4,0.5,3,83,0.6,9,111,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,440.4714,184.3507,551.4455,1865.1458,1446.9176,1004.3906,958.0101,827.1826,779.3254,640.7327,700.7507,505.8443,354.3484,700.6279,401.5827,196.7542,718.5545,2246.2747,1456.3096,1043.301,1020.2008,685.6404,712.438,737.4505,723.1612,511.392,423.9643,973.3952,11040.5502,473,0,6377,6099,3463,3502,3540,3266
"2022-12-22 07:",3529,0,-7.5,0,3.7,74,1.9,0,28,56.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.5352,201.5118,222.6194,633.7864,775.8562,690.0746,750.0159,513.7145,514.9913,427.6719,391.887,340.9568,248.6723,432.0296,704.0602,251.7304,423.5527,829.9439,1064.6807,913.1835,852.6305,569.7483,464.1254,435.5894,499.9694,386.1512,329.3599,701.5333,6510.1717,535,3759,6377,6099,3463,3502,3540,3266
"2022-09-26 00:",591,2,18,0,0.4,65,0,8,21,324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.235,146.8774,855.8529,4205.8225,3988.7225,1984.8091,1384.8238,868.3861,993.1163,763.6824,746.1768,554.2487,384.5707,801.0124,351.0064,163.0062,1202.5854,6532.5367,4110.6437,1921.2931,1345.3212,722.0271,760.5384,732.6212,637.0377,606.477,477.1527,1156.6433,25473.9726,121,303,6377,6099,3463,3502,3540,3266
"2022-05-31 08:",3500,17,18.4,0,1.9,60,0,2,27,338.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.0164,98.1521,115.618,479.4112,703.3834,678.0262,793.2165,674.3903,630.5605,531.1558,633.8818,458.0039,369.9906,573.8495,254.1823,100.0629,152.3979,583.4956,817.16,758.0794,712.0003,524.1205,535.2108,624.4003,623.9983,511.0343,343.8966,897.62,5524.7726,506,0,6377,6099,3463,3502,3540,3266
"2022-05-02 11:",588,5,16.5,0,3.8,41,0,2,69,272.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1179.9758,609.1012,755.875,773.4122,763.8318,598.8965,820.5655,721.4579,823.1692,646.6835,534.5885,450.1103,429.2266,835.4204,1048.5145,557.3258,737.7589,905.1824,827.2887,792.5759,941.4867,810.4235,988.6435,815.5551,936.1004,789.1616,548.6623,1429.5079,6423.2397,208,0,6377,6099,3463,3502,3540,3266
"2022-05-14 11:",591,0,18.5,0,5.4,31,0,7,55,342.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,630.3581,290.9341,924.4732,3524.3497,3417.3396,1970.677,1570.5819,1187.2628,1215.8793,945.9351,891.8992,672.494,538.7789,913.035,756.9729,351.5358,1277.2814,5126.2199,3661.8055,1978.4116,1606.0378,1167.0727,1028.0688,934.9331,887.2164,836.704,564.8087,1240.1694,22855.423,436,2393,6377,6099,3463,3502,3540,3266
"2022-07-27 12:",500,3,31.2,0,2.4,64,0,9,48,973.44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,472.1153,217.8991,721.1535,3127.1803,2608.9653,1672.2403,1429.4107,1162.0061,1090.6066,1100.3658,964.5441,683.2233,460.3002,917.7775,646.628,300.2921,1183.1787,4755.3712,3051.917,1678.0213,1428.1178,1165.8269,1153.365,959.9991,942.6723,725.5137,624.457,1312.6145,19751.2239,479,1791,6377,6099,3463,3502,3540,3266
"2022-11-30 16:",584,6,-2.8,0,3.5,37,0,0,37,7.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,465.107,194.6616,662.2919,2338.8158,1546.4036,974.0124,958.37,768.8121,914.2139,704.4779,687.3191,524.506,334.1719,676.9624,360.2645,176.5101,787.7386,2767.5164,1362.1543,952.9363,978.275,797.2904,648.0032,642.5249,644.2531,507.6248,397.907,1056.8513,11878.4838,526,0,6377,6099,3463,3502,3540,3266
