"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-11-17 20:",593,4,10.9,0,0.7,69,0,0,32,118.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,886.6094,414.7688,404.263,537.8397,694.5162,778.8559,922.8577,827.8032,882.8381,749.6751,741.8349,627.693,446.8281,877.4293,865.5106,375.954,478.5348,624.074,798.0747,859.3177,1034.4287,902.0176,812.1169,719.6078,837.5315,761.0956,525.3127,1278.1138,6249.9646,208,0,6377,6099,3463,3502,3540,3266
"2022-11-03 04:",593,0,7.9,0,0.9,65,0,6,21,62.41,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.6883,446.6169,461.7069,630.1813,808.5438,916.7085,1061.2054,954.4299,931.4289,726.8357,822.5538,679.1585,482.6666,1028.0923,857.1698,372.3313,557.2118,677.5748,1057.9758,962.4361,1249.2832,1036.3858,961.0282,839.702,1012,903.0771,661.8518,1429.8922,7363.9089,132,0,6377,6099,3463,3502,3540,3266
"2022-04-26 22:",593,4,19.9,0,4.4,64,0,0,31,396.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,855.6643,400.2922,462.9692,589.9751,763.8542,902.6175,957.8751,904.888,945.72,704.2434,733.8658,592.878,422.5153,823.0298,733.1212,318.448,440.0146,662.1141,946.3698,950.1053,999.9063,883.1352,846.8619,720.1825,861.2669,727.1083,546.2721,1267.8763,6772.8174,183,0,6377,6099,3463,3502,3540,3266
"2022-12-06 04:",593,0,-3.1,0,1.9,62,0,9,31,9.61,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973.5906,455.46,445.7067,599.8348,831.1473,932.7326,1100.9489,906.9124,998.2614,790.5466,825.8776,650.4943,492.9604,969.8648,953.4165,414.1381,547.7932,661.5855,993.721,1052.0962,1173.5763,1009.4817,972.9795,813.3335,999.104,846.7099,622.122,1439.4139,7345.6426,137,0,6377,6099,3463,3502,3540,3266
"2022-06-21 23:",593,7,24.6,0,3.1,79,0,4,17.5,605.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,912.9579,427.0949,433.9552,602.245,818.5917,922.2168,1033.9995,926.7156,994.3918,763.6469,734.5308,664.5836,522.7656,1040.4886,763.5715,331.6749,497.9745,708.0022,965.4313,983.5996,1202.3328,1001.4617,964.0234,786.883,1065.8184,880.0292,647.576,1440.7934,7236.4189,77,0,6377,6099,3463,3502,3540,3266
"2022-05-12 12:",593,2,25.2,0,1.5,40,0,6,27,635.04,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1194.5986,558.8503,491.9003,470.3367,573.2412,571.0197,676.7487,668.2632,709.6625,635.6926,542.1866,528.0934,424.9466,807.4619,1096.6602,476.3593,468.8334,534.9163,579.4622,622.9806,780.4832,661.9407,834.6895,627.3835,695.6672,665.0405,510.497,1124.2742,4809.1886,277,0,6377,6099,3463,3502,3540,3266
"2022-06-11 08:",593,1,20.7,0,1.5,76,0,7,23,428.49,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,939.9693,439.7309,476.6845,664.1033,848.473,978.1113,1046.5755,919.8687,927.4339,760.7039,706.0684,654.2609,528.3808,966.8801,795.5187,345.5519,553.7747,777.9816,963.6103,965.0803,1127.7727,911.6197,933.9811,762.0163,953.8776,849.6194,592.8048,1338.8756,7371.708,448,0,6377,6099,3463,3502,3540,3266
"2022-03-24 08:",593,1,5.5,0,1.7,75,0,9,28,30.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142.0798,534.281,569.191,598.9616,861.5135,849.6193,977.2524,761.1741,902.9128,741.6883,672.4115,576.0728,460.0509,918.2092,952.7092,413.831,485.3649,788.3853,895.3642,940.8692,1119.8333,912.8925,919.915,789.134,889.0007,806.6533,616.6477,1333.2617,7031.7988,1010,0,6377,6099,3463,3502,3540,3266
"2022-06-24 09:",593,5,22,0,2.6,98,0,9,24.5,484,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100.6937,514.9205,513.7819,577.9581,640.0584,683.5632,798.4797,770.7555,853.8771,660.6653,701.7448,592.3231,424.5942,870.9763,951.0044,413.0905,513.0355,613.9183,708.0937,760.0102,897.4228,789.5225,892.2225,652.2118,795.3762,713.9234,548.4973,1345.3748,5679.5044,646,0,6377,6099,3463,3502,3540,3266
"2022-06-14 03:",593,1,19,0,4,63,0,3,11,361,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963.6208,450.7952,474.4083,641.3042,836.3669,952.5067,1027.159,910.2528,997.2241,781.3044,760.416,635.438,508.7905,1005.168,777.5957,337.7662,555.116,730.7075,1004.0918,984.862,1140.1096,980.8928,941.2159,813.0354,1010.1796,861.9089,622.4563,1436.3062,7317.1077,0,0,6377,6099,3463,3502,3540,3266
