"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-09-09 05:",591,0,19.2,0,2,86,0,2,29,368.64,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.7965,196.9826,704.4564,3167.8766,3159.3337,1682.4684,1294.8485,814.5109,938.5917,814.2483,739.1008,548.725,423.5086,770.1865,352.4545,163.6784,892.2217,4902.2118,2977.0225,1589.919,1105.9542,761.0814,815.3579,737.4978,625.1665,624.6585,487.203,1136.9515,19879.6347,101,521,6377,6099,3463,3502,3540,3266
"2022-04-04 07:",591,0,5.2,0,0.6,82,0,0,55,27.04,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.4604,218.5201,1070.9509,3496.5587,3458.7949,1918.7711,1404.8718,1032.1353,1112.1167,939.3231,857.2711,559.2129,472.8088,768.1889,396.5879,184.1744,1121.7713,5487.5769,3689.4832,1886.5344,1260.8938,794.5292,830.025,849.5234,703.9051,663.4808,546.6305,1200.6051,22603.4848,514,2535,6377,6099,3463,3502,3540,3266
"2022-05-29 01:",591,0,20.2,0,2.4,70,0,0,28,408.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,503.3061,232.295,1143.1646,4861.9641,4590.3172,2162.0984,1456.6383,1005.8638,1034.1145,826.7105,782.9919,528.1797,404.8763,827.3964,408.051,189.4975,1393.0746,6619.7664,4267.5914,1908.1848,1348.3095,834.1437,805.7386,753.0024,691.7349,684.7154,548.6522,1143.6971,27214.8701,56,0,6377,6099,3463,3502,3540,3266
"2022-12-27 07:",591,1,-7.2,0,2.2,84,0.3,0,44,51.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.537,209.7859,560.7415,3268.5742,3321.7523,1826.284,1528.6223,1072.9316,1081.9449,865.4698,847.2317,619.5321,391.5109,825.2727,441.8929,205.2136,796.7272,5275.4264,3778.6619,1927.2213,1315.0916,881.5818,923.9479,818.1005,764.7737,643.0144,539.1717,1327.0551,22241.634,443,2352,6377,6099,3463,3502,3540,3266
"2022-10-13 14:",591,4,22,0,1.6,45,0,0,18,484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,791.874,365.48,1372.5419,4843.0265,2967.7674,1621.1088,1474.5134,1199.5966,1394.5077,1191.0666,1097.6147,740.8827,459.5595,997.5443,501.2627,232.7849,1527.3435,6618.9946,3077.0823,1863.0622,1521.2593,1176.6158,1372.4208,1119.5033,1029.3189,840.9097,643.9729,1332.3332,23986.8145,506,2392,6377,6099,3463,3502,3540,3266
"2022-10-02 15:",591,4,21.1,0,4,67,0,10,29,445.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,726.9977,335.5373,1046.0436,3891.8032,3621.6566,2049.8879,1477.035,1131.2362,1113.4827,907.256,769.7133,595.9848,409.1705,804.4008,1042.5649,484.1639,1380.1338,5714.7342,3535.3329,1975.6364,1384.5236,980.2606,1058.9416,979.7892,827.2534,707.9478,542.8774,1157.8538,23650.6098,529,2579,6377,6099,3463,3502,3540,3266
"2022-08-23 18:",591,1,28.8,0,2.9,57,0,2,36,829.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,470.4185,217.1161,1001.2894,4102.8121,3415.5265,2077.5739,1850.2769,1243.5689,1304.3001,1139.2126,980.1679,722.5723,440.1026,892.3444,491.4674,228.2357,1737.4453,6184.3993,4146.5125,2118.7471,1500.9214,1102.2165,1240.0092,1041.5292,920.0507,735.1391,623.8284,1367.2356,25396.7697,951,4121,6377,6099,3463,3502,3540,3266
"2022-04-24 18:",591,3,21.6,0,4,64,0,0,68,466.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,599.6261,276.7499,1621.0053,4451.0373,4246.4816,2215.1693,1567.6252,1057.3512,1098.9031,852.576,890.4966,669.9212,410.3567,924.4539,543.4183,252.3614,1701.3722,6535.4629,4276.2334,1979.4278,1376.3099,873.6832,953.0243,902.786,817.8774,714.2854,583.3669,1212.4995,26647.7474,486,2305,6377,6099,3463,3502,3540,3266
"2022-12-25 15:",591,0,-0.5,0,2.9,47,1.3,0,41,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1086.6368,501.5237,2042.2389,3790.1708,3578.6075,2054.062,1592.6556,1163.3046,1244.7013,956.1772,867.3243,590.938,434.6562,777.5783,1471.5952,683.4039,2864.4152,5886.4297,3874.7825,2032.7457,1550.5009,1113.8486,1066.4869,913.4524,892.2739,711.4412,580.802,1241.2553,24359.9547,624,3180,6377,6099,3463,3502,3540,3266
"2022-05-25 10:",591,6,23.6,0,2.7,56,0,7,31,556.96,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.5245,299.3184,1493.0916,4005.6322,2945.8446,1640.7543,1491.1255,1139.4315,1349.9532,1147.3623,1089.4873,764.2971,496.1547,973.6033,392.5618,182.3046,1658.0618,5894.8915,3110.82,1805.863,1426.096,1252.8692,1140.1285,1035.9196,996.8202,820.7071,692.143,1478.8546,22321.0271,390,1841,6377,6099,3463,3502,3540,3266
