"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-08-31 22:",3881,5,21.1,0,1,83,0,3,4,445.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,845.0216,395.3129,498.7408,547.3232,774.591,858.8522,912.902,859.8723,1038.9997,722.8264,767.4702,592.9076,457.1145,938.7697,825.8302,358.7182,550.966,678.43,956.5975,908.5373,1122.3298,859.9061,906.8798,730.2266,918.7139,785.0566,563.7715,1223.5936,6759.563,191,0,6377,6099,3463,3502,3540,3266
"2022-07-27 03:",3881,0,27.3,0,1.7,79,0,5,36,745.29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899.6841,420.885,474.0243,634.1635,843.4357,922.6373,990.1157,919.9127,942.5674,672.3308,777.4281,642.4808,457.3652,915.6894,772.1189,335.3876,513.2467,779.4075,978.741,987.0429,1149.7292,940.3745,935.1208,760.8865,984.933,829.8897,585.9174,1328.0409,7285.2728,0,0,6377,6099,3463,3502,3540,3266
"2022-04-09 05:",3881,0,14,0,2.7,38,0,4,25,196,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,735.7476,344.1934,453.1594,558.4375,855.3093,876.7265,1030.6907,871.5121,940.0321,791.06,733.964,677.5951,488.4208,841.3529,697.551,302.9972,516.9152,736.2721,909.3435,974.184,1091.435,907.4746,911.8266,716.8229,968.2545,851.7615,615.4635,1351.9528,7032.3986,129,0,6377,6099,3463,3502,3540,3266
"2022-12-27 19:",3881,3,-0.3,0,0.6,62,0,7,37,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,870.3843,407.1782,426.1513,609.9917,658.7655,776.6339,810.3935,769.2066,900.7745,756.4104,778.178,595.3378,426.3996,948.5487,751.13,326.2702,458.4094,633.5586,728.1718,803.2675,920.752,877.5895,761.0946,706.6277,841.3822,741.9909,571.7578,1213.8382,5941.5345,272,0,6377,6099,3463,3502,3540,3266
"2022-01-28 11:",3881,0,-1.8,0,3.4,48,0,0,28,3.24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,776.5744,363.2929,511.3354,499.3334,708.9696,679.3203,799.8055,708.9598,762.9288,697.6814,615.8318,582.3598,488.1674,845.0422,685.5804,297.7972,531.6916,652.1436,678.5648,683.2641,873.7366,758.3688,792.9443,732.5769,761.2984,703.19,551.7209,1187.6653,5575.1379,300,0,6377,6099,3463,3502,3540,3266
"2022-02-13 07:",3881,0,1.8,0,1.2,44,0,9,63,3.24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,843.1661,394.4453,481.4547,600.5386,958.3925,978.0536,1136.8821,921.8043,927.861,754.5156,762.9107,707.5961,535.2375,887.0777,775.4734,336.8445,477.4736,785.0979,957.3246,1043.36,1128.0611,953.6708,917.9983,752.4649,1016.5056,888.9577,653.4685,1430.6997,7587.7104,120,0,6377,6099,3463,3502,3540,3266
"2022-01-09 11:",3881,2,1,0,1.2,85,0,7,145,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,823.3089,385.1558,500.7082,645.9585,875.7736,924.1953,965.1416,890.3386,906.9045,741.2059,680.6779,672.4375,462.1918,869.6254,602.9243,261.8937,456.8288,707.4685,908.3253,989.0914,1073.7385,846.198,888.465,720.2365,896.8439,824.2031,643.862,1402.2598,7089.6927,229,0,6377,6099,3463,3502,3540,3266
"2022-11-18 08:",3881,24,5.5,0,1.6,92,0,0,32,30.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733.4441,343.1157,458.236,493.468,688.5818,799.2182,831.0646,784.8867,781.8798,700.2826,662.1394,547.0061,395.1429,852.3103,600.7852,260.9644,406.5656,573.4741,810.9756,835.5771,962.4249,797.1886,849.8082,648.9872,831.146,748.7318,516.8161,1202.1042,5994.7843,1058,0,6377,6099,3463,3502,3540,3266
"2022-07-30 15:",3881,5,33.8,0.9,3.5,62,0,8,27,1142.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,698.9608,326.984,465.347,520.4907,706.898,738.2553,843.1794,782.8206,915.5456,649.5409,576.109,479.0661,423.2055,851.0649,558.6014,242.6412,422.5268,558.4361,777.5066,794.6705,886.6266,692.6152,693.1707,613.7747,701.2402,637.5271,524.7479,1180.0531,5826.0632,292,0,6377,6099,3463,3502,3540,3266
"2022-05-09 07:",3881,3,11.6,0,2.2,83,0,0,45.5,134.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959.4651,448.8517,499.1199,661.5505,884.9219,943.3736,1022.6556,890.5125,979.8974,785.6424,761.0303,669.1515,486.7431,958.5972,861.2003,374.0819,582.9862,745.5767,1002.4289,985.2814,1117.1649,973.8831,997.6562,741.8614,963.6894,793.3722,608.4392,1320.7046,7362.9535,827,0,6377,6099,3463,3502,3540,3266
