"y","bus_passenger","past_rent","sub_passenger","temp","wet","X8_9","m25","m5","f20","m30","f0","sunny","f55","m40","m20","f25","m65","f65","f15","m45","f60","m0","wind","f30","m55","rain","dust","f70","f35","f45","m60","m35","most_use","f40","m70","m50","f50","cloud","weekend","X9_10","X17_18","X23_24","temp.sqr","X15_16","X22_23","semester","snow"
2,334,7,1831,1.9,35,0,3308.7379,1533.5207,4504.0262,1904.7691,892.3827,1,831.9715,1074.65,3021.9892,3165.0785,425.5368,560.3337,1725.9705,1075.261,641.0388,768.3739,1.7,1726.6451,810.2722,0,46,1237.8167,1318.7469,945.9123,516.2654,1631.5211,20581.514,897.7426,811.7398,856.697,775.275,0,1,0,0,0,3.61,1,0,0,0
2,393,3,2177,1.8,37,0,3627.6926,1951.9843,4648.2518,1972.7596,828.4641,1,805.2629,1034.5832,3481.3525,3286.5011,440.202,581.6992,2255.1883,1026.4613,649.4567,677.759,1.4,1735.9394,856.0725,0,36,1292.1359,1368.0086,954.1123,575.7618,1616.5206,21737.0262,879.5719,785.5772,898.046,816.4424,0,1,0,0,0,3.24,0,0,0,0
0,436,2,2172,0.5,38,0,3857.673,2263.3812,5060.285,2021.4605,777.9175,0,813.6039,1078.4719,4061.439,3510.5175,443.0869,566.1505,2646.9193,995.6357,669.0835,625.3572,1.5,1746.7962,888.3974,0,42,1277.7392,1263.0188,943.3894,579.374,1588.2836,23109.4736,879.2243,747.7952,881.8446,786.7407,0,1,0,1,0,0.25,0,0,0,0
1,374,1,1919,-0.9,42,0,4122.9342,2380.0975,5475.9384,2106.8455,673.987,0,769.2663,1063.4898,4256.555,3621.7632,453.6725,534.6887,2808.1361,1068.9945,655.461,714.8656,0.7,1750.1372,851.4151,0,46,1281.4106,1294.8336,987.391,619.3034,1541.2446,24170.2517,894.2637,760.3326,832.9198,784.0434,1,1,0,0,0,0.81,0,0,0,0
1,305,1,1822,-1.2,45,0,4168.2017,2302.7393,5433.5806,2142.992,584.2799,0,799.8908,1055.6617,4307.0667,3618.2199,444.6465,559.3522,2620.2517,1070.2002,706.2706,600.0606,0.9,1765.6912,842.4864,0,43,1222.8802,1328.7882,986.3548,617.974,1517.6744,24282.2147,853.9846,769.1565,881.6793,784.2678,7,1,0,0,0,1.44,0,0,0,0
3,482,2,3216,-1.6,47,0,3987.5885,1990.2825,5054.2346,2022.8202,505.39,0,742.736,971.6193,3809.3629,3458.2767,438.4032,562.3245,2174.8429,1046.1585,680.7566,480.8395,0.9,1734.4228,864.8032,0,44,1215.1594,1213.1176,908.8601,558.3138,1425.254,22705.0773,840.3534,746.3631,838.2168,756.7894,4,1,0,0,0,2.56,0,0,0,0
2,634,1,4686,-2.4,49,0,3306.7813,1010.5843,4384.5668,1845.7715,380.3577,0,757.9299,890.7127,2966.0381,3166.2979,424.2162,561.7106,1027.2487,1025.4351,675.7285,554.185,2.1,1643.6693,802.2568,0,49,1241.576,1187.2465,866.2712,546.7402,1368.3173,19868.6887,796.9554,756.3511,816.4539,779.8195,3,1,0,0,0,5.76,0,0,0,0
2,340,1,1294,-2.5,49,0,3215.2554,665.6039,4242.8454,1777.7479,388.5686,0,727.5439,862.1241,2697.6954,3115.3854,442.2193,524.8618,752.5396,974.7318,695.5734,514.7113,1,1664.3515,810.0397,0,48,1222.1237,1215.4682,842.5428,568.5069,1298.3517,19227.1009,782.2246,751.4911,801.8453,794.7583,6,1,0,0,0,6.25,0,1,0,0
2,124,1,312,-2.6,52,0,3131.7732,515.973,4208.4572,1621.3565,300.0897,0,622.0597,818.7908,2496.8181,3002.7874,404.4098,501.4084,637.14,895.2271,611.6483,461.283,0.9,1629.9731,759.3371,0,52,1108.3629,1097.3711,746.8139,509.645,1229.9252,18418.4618,646.9265,784.51,730.9854,672.8306,8,1,0,0,1,6.76,0,0,0,0
1,36,1,2,-2.8,55,0,3054.5089,527.3301,4230.2852,1649.3404,330.7562,0,629.466,791.2885,2528.0976,2960.1867,416.2185,493.9842,598.9934,906.0489,629.755,459.8054,2.3,1675.7792,728.0094,0,51,1148.3885,1067.6567,749.1479,491.5773,1254.9868,18420.8415,643.7032,770.8469,725.6719,677.3715,7,1,0,0,0,7.84,0,0,0,0
0,13,0,0,-2.9,57,0,3069.2582,506.7215,4255.3486,1676.1082,341.9429,0,619.1185,827.1632,2550.0382,2997.0907,398.5573,510.7964,607.0678,886.2969,615.1559,471.4803,2.1,1656.4244,726.0669,0,55,1135.7623,1080.3975,770.2866,494.3149,1252.7303,18537.3961,685.7243,763.9788,745.1448,682.0035,8,1,0,0,0,8.41,0,0,0,0
0,19,0,0,-2.6,57,0,3066.2662,524.8589,4273.9491,1675.8869,344.1256,0,589.0645,817.9012,2538.5105,3008.6295,406.412,484.6168,588.4983,875.2236,622.665,492.5551,1.9,1641.1874,726.8703,0,51,1126.2161,1060.8378,754.7675,496.8338,1256.0014,18521.2688,660.4695,745.4565,744.1317,689.4129,8,1,0,0,0,6.76,0,0,0,0
0,8,0,0,-2.1,56,0,3082.9688,526.9761,4276.3212,1698.6529,355.3955,0,595.6035,803.6301,2514.5834,3002.3673,417.9578,487.8129,605.8067,904.0857,619.0804,445.0988,2.5,1675.377,716.3295,0,38,1136.0043,1080.4464,739.2058,500.0517,1213.0688,18543.7858,659.0926,737.3836,750.5879,697.1884,9,1,0,0,0,4.41,0,0,0,0
1,12,0,5,-1.9,55,0,3061.9827,544.9547,4266.5884,1704.6129,338.3259,0,581.9424,796.9997,2554.3603,2968.2033,414.0992,482.6152,637.0526,899.1318,635.7418,434.6023,2,1678.664,714.0956,0,41,1123.3199,1103.7989,754.1053,501.2277,1205.585,18543.7955,660.6537,748.4007,728.445,679.593,8,1,0,0,0,3.61,0,0,0,0
1,37,0,161,-1.9,56,0,3049.3064,548.4396,4218.3895,1695.6564,324.6109,0,595.7291,821.4094,2545.7365,2984.2089,426.0584,511.8701,665.0012,906.7302,635.9868,412.9007,2.3,1659.9689,713.7302,0,43,1157.4969,1075.489,731.9394,510.728,1224.7163,18453.4719,647.9535,747.7826,731.1179,675.7104,9,1,0,0,0,3.61,0,0,0,0
1,56,0,246,-1.9,66,0,3031.7595,574.8667,4248.1746,1690.2626,324.349,0,601.7095,799.429,2542.303,2973.5895,431.7673,538.8868,639.7209,925.2835,658.7549,420.7984,2.5,1668.6876,713.4863,0,43,1164.5989,1073.0664,746.2945,517.5398,1212.6061,18440.4493,661.6567,759.6752,746.232,680.5979,9,1,0,0,0,3.61,0,0,0,0.1
0,85,3,416,-2.2,81,0,3039.5463,549.6872,4174.7932,1655.5987,314.2971,0,620.8738,824.9195,2469.1511,2932.8963,438.3799,534.7857,619.3514,907.0188,629.731,414.7436,2,1639.6134,734.231,0,52,1183.6856,1086.8994,735.9822,517.8935,1199.5701,18198.0685,666.1195,754.8039,698.9761,680.5075,9,1,0,0,0,4.84,0,0,0,0.5
1,171,0,789,-2.2,83,1,2979.8742,566.1793,4060.9573,1677.396,317.0563,0,641.7601,872.3767,2445.8786,2869.5038,445.4824,537.8985,582.732,891.3126,650.1473,449.7321,2,1686.3704,772.8655,0,54,1176.5494,1089.1511,738.8499,530.9345,1186.7689,17995.9003,683.126,734.9286,687.7629,691.9868,8,1,0,0,0,4.84,0,0,0,0.5
0,188,1,1035,-1.9,82,0,2847.3887,518.2788,3916.1752,1660.2613,373.4072,0,678.2829,834.134,2399.9479,2790.5682,456.9606,534.122,589.3282,880.3636,630.4952,457.7015,1.4,1644.2672,776.3128,0.3,38,1159.131,1116.403,762.4441,516.6764,1219.8663,17594.8778,719.6571,686.8144,685.5117,730.6254,8,1,1,0,0,3.61,0,0,0,0.4
1,186,1,980,-0.8,81,0,2849.6423,575.6963,3896.1996,1654.5955,387.6929,0,708.6192,853.3559,2348.6809,2789.9729,469.9947,529.7216,632.6776,971.919,686.5591,493.107,0.7,1647.9914,794.1095,0,46,1192.8083,1119.7084,785.2918,530.3676,1245.1284,17551.9194,752.7486,732.5448,739.2145,793.803,7,1,0,0,0,0.64,0,0,0,0.3
0,220,0,1083,0,80,0,2874.238,637.0834,3902.4411,1704.4265,359.1147,0,764.3561,943.8775,2428.9893,2823.5763,427.9908,532.8006,704.0107,1014.5956,649.8822,565.0802,3.3,1610.8288,785.4998,0,52,1304.3411,1237.3767,816.1618,536.7211,1312.0558,17893.9325,803.0257,742.5658,776.9283,808.333,8,1,0,0,0,0,0,0,0,0.2
4,251,2,1307,1.4,74,0,3096.9322,774.3842,4098.2867,1808.7333,536.9017,1,743.7875,973.1295,2553.8709,3010.0309,428.0588,541.7407,848.3786,1052.0858,646.2579,569.5927,2.4,1666.6389,805.2971,0,65,1288.6323,1245.0799,866.4332,529.9763,1358.0544,18837.6272,881.6837,693.9417,842.0146,803.6848,6,1,0,0,0,1.96,0,0,0,0
4,343,1,1489,1.4,67,0,3235.9751,808.9133,4258.0445,1888.7752,818.0814,1,777.4661,1029.1762,2719.6056,3205.7348,408.0048,533.556,983.88,1044.7225,658.2622,815.6734,3.6,1715.4634,808.177,0,59,1370.8558,1306.1918,935.6483,532.6915,1387.0997,19716.8901,952.7356,755.5868,869.0742,821.4102,3,1,0,0,0,1.96,0,0,0,0
1,367,4,1618,2.4,55,0,3349.7157,1002.3004,4481.4933,1954.7321,878.6592,1,833.2126,1062.4139,2882.892,3361.0543,408.1565,603.1208,1331.7228,1137.1555,654.9396,817.1264,3.5,1794.8592,804.7556,0,62,1245.7425,1320.17,968.025,521.6277,1497.7037,20642.6203,992.1802,756.9006,883.5678,846.7926,1,1,0,0,0,5.76,0,0,0,0
