"y","bus_passenger","past_rent","sub_passenger","temp","wet","X8_9","m25","m5","f20","m30","f0","sunny","f55","m40","m20","f25","m65","f65","f15","m45","f60","m0","wind","f30","m55","rain","dust","f70","f35","f45","m60","m35","most_use","f40","m70","m50","f50","cloud","weekend","X9_10","X17_18","X23_24","temp.sqr","X15_16","X22_23","semester","snow"
2,35,1,0,-6.2,56,0,3576.5725,530.1364,5082.614,1868.6205,357.4981,0,652.0776,954.5962,2998.2926,3619.7477,396.9367,521.9664,799.0811,1011.773,620.3202,448.9058,3.2,1873.422,748.0896,0,24,1153.826,1243.5398,759.1109,544.437,1235.7983,21498.6074,794.9505,848.8259,682.6853,741.6373,0,1,0,0,0,38.44,0,0,0,0
0,13,2,0,-6.2,57,0,3549.2339,547.1444,5133.1389,1908.4165,372.9071,0,659.0652,972.0533,3061.5149,3651.088,383.5266,506.5923,784.5118,983.5034,623.4624,456.5407,2.8,1869.8155,729.2699,0,18,1164.5875,1232.8111,758.7771,565.1628,1232.7358,21638.7546,788.317,856.4685,699.2251,763.797,0,1,0,0,0,38.44,0,0,0,0
0,17,0,0,-6.2,48,0,3502.4394,538.7842,5065.1304,1929.4505,364.8425,0,667.2251,948.3658,3030.485,3628.4066,391.5933,509.1722,771.4623,973.1811,642.5924,476.1149,5.1,1896.7252,728.8645,0,33,1149.0549,1216.2915,746.4529,556.085,1236.7909,21505.7195,790.9476,857.2255,710.2537,763.6542,0,1,0,0,0,38.44,0,0,0,0
0,10,0,0,-6.7,48,0,3510.8305,538.6178,5132.8993,1928.6331,365.0681,0,665.3125,930.8957,3087.4955,3608.2241,404.7166,504.5969,789.1706,961.1176,633.2806,476.4006,4.9,1886.4676,751.2854,0,50,1153.8742,1241.1559,747.8879,546.7413,1223.7612,21619.4672,792.2074,868.6334,695.4867,771.6744,0,1,0,0,0,44.89,0,0,0,0
0,14,0,2,-7.2,50,0,3501.1309,559.4409,5131.8663,1936.1033,348.8647,0,683.4468,939.3904,3137.0635,3626.9476,394.416,514.5942,778.8577,1000.2005,630.0887,480.3047,4.6,1895.2755,755.6115,0,57,1167.0694,1239.3507,750.2881,532.9401,1254.2519,21721.9897,783.8485,851.3068,719.6442,726.4761,0,1,0,0,0,51.84,0,0,0,0
0,42,0,211,-7.6,51,0,3476.9402,559.8202,5092.8807,1909.5862,358.064,0,664.4322,901.6598,3104.3684,3572.1631,389.6889,489.3652,759.8947,968.7191,625.4936,444.7068,4.7,1882.3319,763.3669,0,41,1161.6084,1237.1796,759.7108,553.5222,1234.1853,21509.6354,770.7782,850.9935,712.1336,721.2065,0,1,0,0,0,57.76,0,0,0,0
1,92,0,266,-8,52,0,3456.0891,544.6626,5039.7855,1897.0111,352.9673,0,652.8053,901.8271,3066.843,3593.8553,380.2656,516.4699,801.0555,1001.4879,627.8985,444.22,4.6,1869.4065,766.9387,0,42,1172.3804,1223.0252,758.5254,517.1638,1210.7271,21356.7428,769.7496,867.6102,707.6731,714.028,0,1,0,0,0,64,0,0,0,0
0,106,1,434,-8.3,52,0,3399.6532,552.499,4949.9832,1880.7929,348.5397,0,679.7711,909.6403,3022.613,3510.2796,404.5569,531.2762,777.5631,999.3989,644.8717,431.4435,4,1871.4504,782.1925,0,41,1202.3782,1246.8796,737.1693,548.1464,1220.6218,21102.2737,745.0769,807.122,697.8316,748.868,0,1,0,0,0,68.89,0,0,0,0
1,179,1,820,-8.4,52,1,3349.518,578.0106,4884.2717,1869.8121,356.9999,0,707.3922,915.8214,2951.0703,3431.5517,420.8518,551.9403,731.692,1022.6357,635.9484,450.5305,4.4,1825.3205,834.2573,0,39,1167.4701,1207.0594,797.2383,543.1357,1234.1826,20752.7863,773.7971,831.4407,734.7749,774.5618,0,1,0,0,0,70.56,0,0,0,0
0,236,1,1110,-7.4,49,0,3208.5973,560.5072,4744.2163,1877.6796,323.0248,0,727.2273,896.4499,2858.4,3308.1588,417.2347,515.82,774.7111,1029.9709,643.5937,426.3933,4.7,1842.8345,843.7865,0,43,1199.1812,1293.895,777.0591,567.8629,1259.4271,20393.2086,763.4216,816.0437,765.3862,771.0915,0,1,1,0,0,54.76,0,0,0,0
0,197,2,977,-6.5,44,0,3174.896,562.0837,4608.4641,1937.4,348.8172,0,783.2552,965.623,2864.8204,3281.6095,437.5901,505.7086,728.3811,1023.1893,670.9584,507.9007,4.2,1869.7836,847.6965,0,41,1154.0218,1269.1716,872.2372,604.2982,1325.5587,20331.7039,869.4101,847.7629,769.0131,812.3542,0,1,0,0,0,42.25,0,0,0,0
2,253,0,1049,-4.6,39,0,3245.4748,596.6882,4613.8801,1994.1606,414.7492,0,812.2255,1057.1017,2903.9734,3391.6044,400.1537,512.6001,793.9777,1049.1818,689.2817,548.236,3.5,1890.5207,901.0067,0,40,1165.5425,1335.4204,920.7128,588.0989,1378.4955,20753.5299,935.4098,883.243,801.225,847.1053,0,1,0,0,0,21.16,0,0,0,0
1,297,2,1477,-3.7,33,0,3396.9719,637.6662,4760.9616,2110.5996,450.4232,0,816.6058,1104.9363,3114.2823,3423.4701,411.55,556.3692,1002.3156,1023.4107,705.6277,566.0933,3.9,1960.5736,973.6781,0,41,1203.1955,1383.236,972.2063,619.6246,1405.5335,21555.6286,945.6721,884.5216,793.612,920.0369,0,1,0,0,0,13.69,0,0,0,0
0,392,1,1561,-3.2,29,0,3512.1562,773.5891,5066.1162,2100.6234,676.2498,0,888.7155,1086.4008,3151.6207,3603.1244,404.4742,608.2707,1127.749,1085.7039,698.998,706.5979,5.6,2014.0822,929.762,0,38,1245.1961,1443.0368,985.5822,628.1915,1489.4612,22380.2211,969.3801,931.0529,795.4811,854.4734,0,1,0,0,0,10.24,0,0,0,0
1,356,1,1741,-2,29,0,3534.0703,908.8865,5123.9178,2118.7359,790.5776,0,863.8591,1134.2252,3403.0326,3689.3955,406.4164,588.5955,1323.6945,1083.7835,699.283,709.1798,4.6,2054.8857,895.4955,0,35,1184.241,1377.9766,987.8902,590.7788,1446.0423,22748.0567,981.97,911.1488,830.5202,904.6259,0,1,0,0,0,4,0,0,0,0
2,436,0,1965,-1.3,26,0,3611.9756,1049.6699,5317.48,2066.0728,754.5258,0,850.7039,1117.6892,3491.2014,3760.8522,416.8107,566.2576,1342.6658,1123.5609,708.1033,701.415,4.8,1958.6712,852.1048,0,39,1131.793,1416.5787,1009.3412,574.7458,1497.1133,23119.9452,1007.9631,870.13,844.7921,882.3866,0,1,0,0,0,1.69,1,0,0,0
2,364,2,2177,-0.6,25,0,3712.3069,1281.589,5544.5787,2146.8853,664.0142,0,924.0333,1093.2299,3711.1825,4008.4944,436.903,616.8008,1713.8926,1065.6679,712.5049,607.0527,3.6,1972.8453,907.7852,0,49,1150.7875,1477.713,1029.9231,614.4023,1529.8057,24103.8118,952.2458,918.6956,808.0082,880.2588,0,1,0,0,0,0.36,0,0,0,0
2,392,2,2153,-1.1,31,0,3941.6142,1547.4012,5951.8895,2207.9036,701.8207,0,904.9853,1076.6904,4127.8569,4111.2344,430.4697,622.9277,1940.5864,1054.3042,721.9296,611.9644,4.5,2025.3809,882.4558,0,38,1248.6036,1408.5481,998.9086,568.2446,1543.1238,25317.5514,942.8761,905.7687,812.0771,920.0917,0,1,0,1,0,1.21,0,0,0,0
0,443,3,2077,-2.2,36,0,4260.2975,1632.7863,6245.9819,2282.2133,690.258,0,888.0329,1066.4711,4452.432,4280.1477,436.7414,625.5047,2027.3158,1097.6625,723.2475,617.1287,2.8,2036.7664,861.8673,0,43,1259.1718,1409.3738,956.8295,608.1756,1566.5771,26533.7897,905.9906,927.7105,845.0608,919.8703,0,1,0,0,0,4.84,0,0,0,0
4,334,0,2028,-2.9,38,0,4337.0683,1701.844,6340.7897,2330.7355,505.8359,0,864.0816,1045.7029,4586.0899,4336.72,420.3649,603.2312,1955.0086,1038.8008,716.5765,558.8933,3.3,2016.3382,855.9333,0,37,1213.3109,1364.5754,914.3575,569.2181,1523.5681,26835.8851,901.7394,893.1248,844.888,845.5918,0,1,0,0,0,8.41,0,0,0,0
1,412,2,2432,-3.4,38,0,4206.7599,1507.2131,6269.333,2224.7817,446.2611,0,828.1962,1028.0571,4503.8976,4264.8137,420.7484,615.2637,1688.7456,1048.2363,704.8072,588.2148,3,1983.1364,889.1675,0,14,1237.0503,1447.8383,849.6858,577.0279,1514.828,26415.3886,903.9245,946.6391,873.6848,863.9618,0,1,0,0,0,11.56,0,0,0,0
1,414,1,3013,-3.9,38,0,3979.1998,1218.0877,5855.0886,2077.8227,444.6822,0,777.3539,963.6001,4015.4344,4139.4191,419.6233,600.5645,1411.0487,1063.4797,695.0524,530.5849,3.9,2024.3419,837.8495,0,20,1201.9733,1389.6731,866.3218,564.4796,1424.4363,24905.4159,883.6001,876.9932,798.7685,862.2664,0,1,0,0,0,15.21,0,0,0,0
2,486,2,2793,-4.4,40,0,3627.1973,624.9221,5163.5802,1994.5637,442.5834,0,728.2375,942.6597,3206.0277,3850.8186,393.9772,582.5704,908.0313,1055.1618,688.2948,558.4851,3.4,1928.235,796.8372,0,19,1193.0502,1386.2221,819.0829,574.8376,1326.8721,22483.5167,849.8399,898.9423,745.609,811.2391,0,1,0,0,0,19.36,0,1,0,0
1,146,1,318,-4.8,44,0,3527.6268,462.2499,5150.04,1851.3507,318.6211,0,640.9398,898.7939,2933.763,3718.7315,391.4244,541.9326,796.8168,993.4305,633.2682,409.5322,3.6,1923.1384,783.4783,0,21,1149.3724,1252.7238,737.4838,541.5632,1271.6348,21629.009,760.9963,835.4414,713.0874,736.2342,0,1,0,0,1,23.04,0,0,0,0
0,59,1,0,-5.3,47,0,3544.2656,467.7576,5139.3537,1843.889,324.4035,0,600.8344,909.3403,2959.7965,3730.2205,398.3741,533.6238,821.6977,1002.8356,634.1804,427.3361,2.1,1928.1506,754.3356,0,21,1109.446,1269.0057,741.0569,545.3697,1281.555,21696.2366,769.6284,820.4145,714.381,740.1799,1,0,0,0,0,28.09,0,0,0,0
0,36,1,0,-6,50,0,3538.4403,499.1771,5196.377,1838.3204,325.7235,0,610.6587,919.7568,3005.9263,3751.732,378.6346,533.2076,840.9684,980.6593,635.1332,436.1009,0.8,1952.0051,780.269,0,15,1150.2273,1237.5636,734.0506,535.8759,1259.6255,21779.9902,752.7459,820.0218,714.4395,765.178,0,0,0,0,0,36,0,0,0,0
0,17,0,0,-6.7,50,0,3533.0811,503.7842,5217.6747,1839.9045,341.9042,0,610.7396,915.9372,3046.6971,3728.7719,374.863,521.8293,869.0246,996.7048,622.8016,443.0675,0.5,1967.4212,773.1291,0,25,1151.9663,1249.7316,772.4906,526.7933,1251.6256,21834.9077,776.7141,796.2258,737.5895,740.9166,0,0,0,0,0,44.89,0,0,0,0
0,16,0,0,-7.2,55,0,3568.0564,522.0953,5234.6514,1835.8063,334.986,0,612.4433,949.7777,3044.1976,3710.9593,376.6588,525.6819,849.913,968.6908,624.6663,455.0877,0.2,1951.9001,776.6477,0,19,1113.3329,1260.6765,774.3473,522.3792,1242.5297,21848.7773,765.8308,830.6416,726.7747,756.4872,0,0,0,0,0,51.84,0,0,0,0
0,35,0,8,-7.3,56,0,3536.8039,499.6369,5196.2462,1816.7179,328.6988,0,613.617,921.9772,3031.3165,3721.5356,372.7057,518.1493,839.3524,977.7947,617.6529,422.3801,1.3,1941.3033,754.9648,0,22,1114.5224,1253.0665,779.7145,502.0417,1252.9861,21749.976,785.0673,842.5355,722.3963,766.205,0,0,0,0,0,53.29,0,0,0,0
0,69,0,515,-7.6,59,0,3528.0303,506.0201,5186.5991,1844.2298,315.3337,0,662.271,895.6966,3034.2821,3744.037,373.0468,509.8664,854.7908,988.5636,651.3302,403.5695,1.6,1949.2109,746.6172,0,23,1165.066,1243.3124,770.5228,524.6898,1240.742,21770.4436,784.8786,867.5709,711.923,775.0959,0,0,0,0,0,57.76,0,0,0,0
0,167,0,816,-7.7,59,0,3451.3467,504.0806,5105.9636,1833.4234,300.3083,0,672.4106,930.2227,3019.5624,3684.3046,403.2663,550.3795,840.0677,998.7044,659.0361,414.5602,1.9,1959.8622,800.442,0,25,1157.8184,1270.1123,779.5465,573.6641,1257.5884,21582.1636,790.6241,927.7463,706.3054,772.5902,0,0,0,0,0,59.29,0,0,0,0
3,378,0,2288,-7.9,60,0,3331.5302,508.2473,4967.3595,1814.1917,313.6201,0,711.907,1044.4305,2934.8105,3584.5427,451.8487,575.6191,791.7749,1188.4952,716.8836,464.112,1.6,1931.8174,888.9366,0,27,1181.3862,1332.1589,875.5057,619.6327,1335.3895,21231.8004,882.3647,937.3698,869.128,861.162,0,0,0,0,0,62.41,0,0,0,0
6,715,2,4267,-7.5,61,1,2947.4704,537.0957,4670.1416,1719.2706,318.6798,0,812.0155,1045.478,2770.0885,3257.4827,465.8344,584.7953,767.5946,1117.861,719.1334,446.6825,1.8,1792.1419,920.5161,0,25,1310.8452,1310.2958,956.1387,647.9091,1374.491,19841.3825,961.5444,951.964,939.6538,879.1693,0,0,0,0,0,56.25,0,0,0,0
5,456,5,2513,-5,60,0,2845.2291,536.6915,4299.4286,1698.5019,349.3199,0,880.2799,1106.1223,2790.4486,2939.6711,511.3788,609.6527,790.5799,1152.5798,750.0264,454.5207,2.6,1655.0009,1009.2756,0,24,1334.2531,1330.9753,1021.0472,749.1845,1409.9393,18969.1948,1014.229,1019.2685,1045.6384,950.1752,0,0,1,0,0,25,0,0,0,0
0,328,4,1417,-2,53,0,2869.9459,527.1689,4304.3166,1704.7827,394.3666,0,1011.3572,1132.7067,2780.4427,2963.3529,470.4247,628.645,770.9736,1201.1341,748.4875,503.3121,2.3,1694.8021,1059.9583,0,39,1333.7294,1350.1917,1083.8797,766.9508,1361.1368,19028.9714,1096.2646,925.6394,1077.1471,992.1549,1,0,0,0,0,4,0,0,0,0
1,341,3,1421,0.1,51,0,2840.0331,584.6571,4373.7857,1771.955,410.3092,0,996.5101,1049.1612,2866.6521,2963.2547,477.5948,651.8831,822.2088,1200.7858,783.6393,527.9548,1.8,1754.4554,995.7166,0,44,1395.8549,1400.8045,1076.8722,711.6317,1387.8516,19358.7921,1134.4363,955.9047,1061.3133,973.8761,7,0,0,0,0,0.01,0,0,0,0
3,371,0,1516,-0.2,74,0,2848.8345,655.8004,4430.0311,1821.8344,430.9507,0,967.1462,1115.7912,2983.9872,3024.613,522.1527,619.7982,1031.8377,1235.7157,766.7434,505.2038,3.7,1617.6824,1015.2001,0,52,1313.9499,1380.0705,1094.4574,726.4516,1439.3254,19546.3785,1072.2916,978.6652,1082.3565,1049.5328,9,0,0,0,0,0.04,0,0,0,0
4,436,4,1612,1.1,69,0,2939.0002,689.1062,4550.6876,1751.6257,519.6556,1,1040.3868,1174.4224,3021.561,3016.3365,568.6364,673.7927,1135.8152,1237.4578,811.9629,453.1826,2.5,1680.3654,1099.7247,0,54,1253.2861,1461.5283,1072.3971,769.2257,1434.2384,19855.3431,1081.5851,942.2557,1119.3406,1051.3457,9,0,0,0,0,1.21,0,0,0,0
3,484,0,1843,3.4,47,0,2865.6614,746.6278,4659.7497,1754.4208,498.8133,1,1036.0704,1155.2708,3131.2166,3043.6049,539.1681,633.4838,1351.8103,1261.0976,862.4701,466.7849,5.2,1674.398,1084.5449,0,60,1325.3707,1444.9528,1148.1801,754.0667,1425.9319,19999.9361,1170.1475,977.6906,1130.11,1019.5881,7,0,0,0,0,11.56,0,0,0,0
0,520,2,2039,3.1,45,0,2883.7103,777.6452,4749.9928,1781.6345,404.7024,0,1060.7038,1184.2072,3247.0685,3077.1003,575.7351,624.7371,1532.2836,1297.9797,870.1891,511.3821,5.5,1702.4873,1092.5792,0.1,67,1249.9207,1472.6753,1111.4779,730.727,1445.8016,20360.4706,1086.9955,930.7186,1111.4595,1090.8608,7,0,0,0,0,9.61,1,0,0,0
1,565,2,2552,2.3,44,0,2967.5925,936.3273,5016.181,1720.5795,415.4872,1,1009.6029,1166.2424,3432.8337,3115.9516,533.7715,627.7498,1634.9633,1232.2705,818.4222,516.6886,4,1759.9888,1007.6536,0,53,1300.4998,1387.1518,1117.0628,694.7602,1407.8307,20808.1096,1025.3441,881.3217,1077.9461,1007.7061,6,0,0,0,0,5.29,0,0,0,0
3,646,1,3346,2,44,0,3129.4547,1138.9463,5200.5871,1845.2871,466.0257,1,1009.2533,1259.0847,3698.2647,3232.4962,501.7987,632.0724,1854.0945,1242.9543,814.7804,533.3846,4.1,1742.646,966.8546,0,34,1260.0976,1373.4892,1013.1987,675.2269,1540.8043,21763.0293,955.1511,904.566,1069.6371,999.3924,4,0,0,1,0,4,0,0,0,0
13,893,4,3899,0.5,49,0,3629.503,1274.3911,5886.3814,2188.1533,464.0507,0,973.0071,1226.9041,4075.224,3791.7123,481.8556,598.4875,1935.3701,1226.037,817.9837,497.2818,3.7,2046.7263,972.0467,0,43,1190.4748,1495.9431,1058.1326,739.94,1742.113,24855.7564,1047.1272,924.2634,1057.1846,1048.276,4,0,0,0,0,0.25,0,0,0,0
2,789,7,2494,-0.9,48,0,3850.7919,1310.9531,6107.6989,2164.4956,509.9801,0,909.9985,1234.2454,4223.1306,3878.371,491.0494,619.7115,1926.2019,1195.7758,810.9963,526.5348,4.5,2083.7745,819.7197,0,31,1183.443,1415.7938,1015.1443,665.8245,1675.658,25399.7143,1008.5281,908.6349,997.843,984.2876,0,0,0,0,0,0.81,0,0,0,0
0,530,5,2466,-1.8,47,0,3932.5914,1296.1433,6075.8777,2189.5348,498.2224,0,865.0785,1179.338,4102.294,3957.0967,454.7391,595.9227,1812.4642,1162.549,746.1659,545.653,3.4,2050.8349,858.3369,0,23,1156.518,1335.862,986.0072,608.3809,1583.6186,25227.7101,975.0246,931.9027,952.2011,994.8127,0,0,0,0,0,3.24,0,0,0,0
1,582,1,2845,-2.7,51,0,3821.4312,1082.3673,5698.6196,2155.4955,474.8073,0,831.943,1134.6647,3769.1658,3907.5689,456.2362,607.7592,1549.7071,1121.6591,750.577,570.1427,3.5,1951.7145,799.1698,0,20,1156.7697,1352.8682,917.7651,601.0703,1488.7978,24145.6615,907.3603,947.0366,891.3661,954.6549,0,0,0,0,0,7.29,0,0,0,0
6,605,2,2535,-3.5,55,0,3636.0893,684.1659,5246.7497,2019.971,456.7727,0,818.6223,1075.1455,3227.145,3809.9753,455.9231,578.7664,986.1109,1094.3301,717.0813,547.3628,2.6,1942.9371,762.7088,0,20,1128.2849,1298.5888,850.2659,605.7681,1321.2133,22502.6695,905.7616,875.2896,794.8248,892.5502,0,0,0,0,0,12.25,0,1,0,0
1,182,0,315,-4.3,56,0,3483.0401,513.0014,5302.3882,1838.7857,333.7396,0,675.5045,937.0932,3113.2123,3679.6606,413.2237,522.1668,863.6196,983.3126,635.2519,469.4194,3.2,1891.2921,753.4439,0,20,1116.492,1230.6167,790.9969,503.6917,1237.6108,21776.6065,777.4369,818.4851,691.8685,731.411,0,0,0,0,1,18.49,0,0,0,0
0,63,0,0,-4.8,57,0,3555.8614,493.7069,5331.2205,1865.9246,347.5755,0,633.4945,911.3009,3097.592,3765.9973,388.1274,518.1101,855.9434,954.496,630.9248,451.0665,2.3,1924.8561,771.0753,0,23,1164.1534,1217.8842,765.2929,508.1932,1198.8469,21958.183,815.3741,821.9248,697.4481,741.4092,0,0,0,0,0,23.04,0,0,0,0
1,12,1,0,-5.1,60,0,3564.7158,478.5628,5355.8605,1879.9738,334.8661,0,643.4515,915.2529,3152.1872,3775.7193,395.8667,544.4469,890.0016,989.1155,621.8437,429.5415,2.9,1891.8847,758.4069,0,33,1156.3533,1261.6855,784.0681,491.5024,1208.1706,22090.1974,801.1764,817.9483,718.3202,769.8827,0,0,0,0,0,26.01,0,0,0,0
0,19,0,0,-5.2,56,0,3551.5693,488.5485,5337.6083,1887.2918,346.0569,0,636.7747,929.609,3178.4102,3785.3216,408.3342,545.0824,898.8378,989.3338,621.3102,448.5321,2.8,1905.7602,739.7494,0,29,1128.2216,1267.3261,780.309,496.651,1209.3896,22122.6771,801.2749,808.0172,716.9633,774.7761,0,0,0,0,0,27.04,0,0,0,0
0,15,0,0,-5.4,58,0,3513.8337,475.9513,5359.271,1886.8178,339.9688,0,638.007,908.6806,3195.9453,3761.739,390.3287,528.3421,871.5974,998.3203,628.3653,427.5106,3.6,1916.1127,745.7158,0,34,1123.1884,1279.7587,753.747,500.8891,1199.8599,22113.3381,798.1674,804.46,715.7787,762.8228,0,0,0,0,0,29.16,0,0,0,0
0,28,0,12,-5.9,50,0,3512.3179,469.7852,5324.8465,1914.1718,367.6506,0,654.9138,898.4774,3184.7265,3761.0259,396.9356,527.5956,877.662,1007.2555,624.0552,446.1893,2.9,1933.4194,703.6441,0,32,1175.761,1282.5814,754.3739,510.1665,1199.8105,22112.8999,799.9279,825.8135,722.045,749.5893,0,0,0,0,0,34.81,0,0,0,0
0,71,1,528,-6.6,45,0,3507.7069,500.5204,5324.1329,1890.8115,353.9759,0,641.0006,894.665,3177.1696,3794.2552,402.4584,516.799,859.1519,997.1237,641.679,427.7358,1.4,1938.1393,719.4659,0,29,1141.9326,1251.4234,744.4008,517.355,1207.4569,22091.0957,808.6995,844.5498,703.5845,770.6592,0,0,0,0,0,43.56,0,0,0,0
0,156,1,823,-6.8,43,0,3506.3907,515.4095,5262.3467,1836.0636,347.3144,0,679.6767,899.9774,3109.4487,3731.4042,427.8717,577.6392,849.1292,1013.7086,654.8895,419.5368,2.6,1930.9191,760.8119,0,27,1177.6875,1303.043,760.2687,555.5385,1215.2447,21894.8607,829.5181,829.7818,759.4645,788.2819,0,0,0,0,0,46.24,0,0,0,0
3,387,0,2277,-7.1,43,0,3408.4042,505.2678,5142.9115,1888.5261,342.5264,0,770.9589,1008.5779,3065.6022,3663.5764,461.7448,567.4734,823.4586,1108.1793,689.6637,441.7243,2.3,1897.3208,839.4794,0,31,1155.535,1367.4527,882.5933,623.4652,1313.1751,21746.969,838.2213,914.5482,910.6475,833.6094,0,0,0,0,0,50.41,0,0,0,0
8,766,1,4186,-7.3,44,1,3001.7695,523.3812,4752.1056,1722.5374,346.8121,0,837.5325,1086.7323,2888.33,3276.1849,466.9335,562.7364,791.5998,1139.8574,758.949,453.4605,0.6,1813.4999,930.0343,0,35,1232.4117,1366.1142,994.0423,700.9509,1344.7995,20165.341,980.1806,936.5176,987.7243,910.0151,0,0,0,0,0,53.29,0,0,0,0
2,556,7,2536,-5.8,40,0,2892.006,531.9165,4458.5619,1689.6044,360.8336,0,921.6243,1182.2603,2901.235,2991.2969,508.3454,578.5926,747.3408,1258.0533,796.5397,476.574,2.3,1666.0719,1043.8128,0,27,1344.404,1383.7151,1088.2963,745.5316,1474.3901,19456.8813,1089.3587,1053.2215,1105.297,959.9444,0,0,1,0,0,33.64,0,0,0,0
3,344,9,1513,-4.6,33,0,2905.8296,558.3691,4427.4623,1737.4367,384.2018,0,1017.2101,1165.6967,2886.8926,3063.0211,570.1272,620.3067,798.6698,1261.3302,826.1783,475.0593,3.7,1828.2401,1168.414,0,36,1341.6962,1453.8712,1152.4085,777.6905,1432.886,19735.6396,1155.3358,1026.8408,1039.4857,1069.1908,0,0,0,0,0,21.16,0,0,0,0
2,342,5,1361,-3,34,0,2975.6775,601.2645,4605.4468,1730.6649,515.0702,0,1077.8387,1180.5373,3058.9659,3115.0347,515.6685,641.37,907.6735,1275.6021,809.5387,476.232,4.2,1788.0191,1142.1698,0,48,1433.3269,1489.497,1209.0864,769.7924,1499.1888,20262.4947,1110.6334,946.1732,1090.7382,1088.8977,1,0,0,0,0,9,0,0,0,0
2,361,1,1535,-1.5,35,0,3024.7731,669.4058,4675.3323,1731.5857,488.9796,0,1103.3676,1232.6579,3246.5188,3198.1333,520.9523,655.5895,1106.665,1373.9622,832.4481,527.6433,4.1,1866.9689,1198.7841,0,38,1407.2219,1463.4385,1182.9653,754.1835,1483.87,20690.6206,1179.1076,989.4763,1162.4024,1139.5074,4,0,0,0,0,2.25,0,0,0,0
4,455,4,1764,-0.6,34,0,3071.9221,752.3086,4708.3105,1733.3156,464.442,0,1144.9151,1286.9503,3276.2677,3170.6127,582.9963,696.3197,1194.5671,1383.8872,824.6158,543.9451,4.1,1914.2047,1135.3986,0,41,1464.8279,1518.7613,1227.8436,810.5384,1518.5981,20911.9927,1226.4653,946.376,1209.3181,1189.8705,6,0,0,0,0,0.36,0,0,0,0
3,433,2,1882,-0.3,37,0,3008.1804,893.9282,4867.5342,1746.5027,529.5344,0,1112.2865,1236.8773,3263.7957,3199.5134,533.4361,669.2111,1298.3106,1455.4943,863.4077,542.4813,3.9,1857.5055,1151.088,0,48,1461.5254,1617.9226,1196.1782,765.5061,1539.9817,21100.9362,1156.3288,1090.3452,1196.3999,1171.6582,4,0,0,0,0,0.09,0,0,0,0
1,505,2,2180,-0.2,38,0,3031.4645,859.2023,5058.4501,1777.1153,525.0946,0,1030.8292,1256.3531,3317.296,3293.1914,521.3285,697.1041,1484.5903,1449.2099,837.6031,605.2239,3.9,1838.9063,1128.823,0,47,1412.6533,1552.275,1135.1801,759.3012,1564.9222,21433.6208,1193.7134,1027.6273,1234.2816,1160.1707,2,0,0,0,0,0.04,1,0,0,0
4,617,4,2775,-1.2,39,0,3042.0273,1050.4571,5021.4808,1752.8878,600.6898,0,939.84,1157.0241,3353.7736,3208.7909,493.1356,685.8127,1596.8126,1336.1547,808.3058,598.6567,4.7,1796.6965,1044.1881,0,44,1396.6551,1460.2646,1166.6203,731.9524,1525.9771,21161.8986,1117.9269,973.2999,1088.0605,1095.4923,6,0,0,0,0,1.44,0,0,0,0
4,630,1,3460,-1.7,42,0,3232.3443,1241.6161,5324.7774,1892.3924,496.0149,0,936.9555,1170.2767,3745.8022,3358.8492,472.7908,614.5706,1720.4145,1303.4319,799.3929,626.1053,3.8,1829.8209,1029.8501,0,50,1349.2539,1455.6235,1016.561,685.0505,1623.0402,22462.6501,1075.199,936.9014,1093.5471,1074.9295,7,0,0,1,0,2.89,0,0,0,0
10,935,2,3865,-2.2,42,0,3621.7621,1434.3144,5965.0798,2139.7296,546.0335,0,932.4257,1228.8108,4095.0447,4001.2721,455.6985,630.6292,1925.1715,1380.1009,792.4803,507.9026,4.9,2098.2822,1013.1407,0,36,1369.795,1528.9707,1137.4232,712.1989,1717.5757,25167.7169,1099.0445,976.6676,1027.991,1028.0901,2,0,0,0,0,4.84,0,0,0,0
5,736,11,2480,-3.3,40,0,3864.5547,1413.6415,6158.9439,2194.5218,481.8949,0,895.392,1263.4401,4325.0672,4252.3495,453.2492,645.5995,1899.9916,1286.4331,725.2978,513.531,4.7,2109.9175,976.6409,0,36,1399.9851,1567.6732,978.9033,654.5657,1625.8292,26098.857,993.191,963.8738,1007.2397,910.6226,0,0,0,0,0,10.89,0,0,0,0
2,528,5,2582,-4.9,39,0,3904.2851,1296.0001,6107.2434,2219.5794,450.311,0,854.8693,1161.6676,4295.8517,4191.9102,463.7372,665.9672,1838.876,1189.454,770.0362,513.9853,5,2128.5497,911.7999,0,28,1395.7702,1498.8824,923.7013,628.6835,1628.472,25974.7739,967.6579,911.7074,909.6056,920.5749,0,0,0,0,0,24.01,0,0,0,0
2,548,1,3129,-6.1,44,0,3841.3849,1117.0614,5798.064,2190.1839,375.0182,0,792.5317,1153.1121,3931.4835,4054.1621,431.7508,645.2694,1404.1087,1093.9933,735.8373,511.5207,4.3,2047.3345,853.7628,0,19,1372.0805,1415.739,890.3986,614.0543,1528.6066,24806.9585,945.8091,915.9946,940.0284,892.3236,0,0,0,0,0,37.21,0,0,0,0
