"y","m30","f20","m25","X8_9","temp","sub_passenger","past_rent","f40","f50","f15","m20","f25","f45","f60","wet","m60","X9_10","semester","f35","m35","f55","bus_passenger","rain","m40","m55","m0","m50","m45","f30","dust","m70","m65","f65","f0","wind","sunny","m5","f70","X16_17","most_use","cloud","X15_16","X10_11","temp.sqr","X13_14","X12_13"
0,1904.7691,4504.0262,3308.7379,0,1.9,1831,0,897.7426,775.275,1725.9705,3021.9892,3165.0785,945.9123,641.0388,35,516.2654,0,0,1318.7469,1631.5211,831.9715,334,0,1074.65,810.2722,768.3739,856.697,1075.261,1726.6451,46,811.7398,425.5368,560.3337,892.3827,1.7,1,1533.5207,1237.8167,0,20581.514,0,1,0,3.61,0,0
0,1972.7596,4648.2518,3627.6926,0,1.8,2177,0,879.5719,816.4424,2255.1883,3481.3525,3286.5011,954.1123,649.4567,37,575.7618,0,0,1368.0086,1616.5206,805.2629,393,0,1034.5832,856.0725,677.759,898.046,1026.4613,1735.9394,36,785.5772,440.202,581.6992,828.4641,1.4,1,1951.9843,1292.1359,1,21737.0262,0,0,0,3.24,0,0
0,2021.4605,5060.285,3857.673,0,0.5,2172,0,879.2243,786.7407,2646.9193,4061.439,3510.5175,943.3894,669.0835,38,579.374,0,0,1263.0188,1588.2836,813.6039,436,0,1078.4719,888.3974,625.3572,881.8446,995.6357,1746.7962,42,747.7952,443.0869,566.1505,777.9175,1.5,0,2263.3812,1277.7392,0,23109.4736,0,0,0,0.25,0,0
0,2106.8455,5475.9384,4122.9342,0,-0.9,1919,0,894.2637,784.0434,2808.1361,4256.555,3621.7632,987.391,655.461,42,619.3034,0,0,1294.8336,1541.2446,769.2663,374,0,1063.4898,851.4151,714.8656,832.9198,1068.9945,1750.1372,46,760.3326,453.6725,534.6887,673.987,0.7,0,2380.0975,1281.4106,0,24170.2517,1,0,0,0.81,0,0
0,2142.992,5433.5806,4168.2017,0,-1.2,1822,0,853.9846,784.2678,2620.2517,4307.0667,3618.2199,986.3548,706.2706,45,617.974,0,0,1328.7882,1517.6744,799.8908,305,0,1055.6617,842.4864,600.0606,881.6793,1070.2002,1765.6912,43,769.1565,444.6465,559.3522,584.2799,0.9,0,2302.7393,1222.8802,0,24282.2147,7,0,0,1.44,0,0
0,2022.8202,5054.2346,3987.5885,0,-1.6,3216,0,840.3534,756.7894,2174.8429,3809.3629,3458.2767,908.8601,680.7566,47,558.3138,0,0,1213.1176,1425.254,742.736,482,0,971.6193,864.8032,480.8395,838.2168,1046.1585,1734.4228,44,746.3631,438.4032,562.3245,505.39,0.9,0,1990.2825,1215.1594,0,22705.0773,4,0,0,2.56,0,0
0,1845.7715,4384.5668,3306.7813,0,-2.4,4686,0,796.9554,779.8195,1027.2487,2966.0381,3166.2979,866.2712,675.7285,49,546.7402,0,0,1187.2465,1368.3173,757.9299,634,0,890.7127,802.2568,554.185,816.4539,1025.4351,1643.6693,49,756.3511,424.2162,561.7106,380.3577,2.1,0,1010.5843,1241.576,0,19868.6887,3,0,0,5.76,0,0
0,1777.7479,4242.8454,3215.2554,0,-2.5,1294,0,782.2246,794.7583,752.5396,2697.6954,3115.3854,842.5428,695.5734,49,568.5069,0,0,1215.4682,1298.3517,727.5439,340,0,862.1241,810.0397,514.7113,801.8453,974.7318,1664.3515,48,751.4911,442.2193,524.8618,388.5686,1,0,665.6039,1222.1237,0,19227.1009,6,0,0,6.25,0,0
0,1621.3565,4208.4572,3131.7732,0,-2.6,312,0,646.9265,672.8306,637.14,2496.8181,3002.7874,746.8139,611.6483,52,509.645,0,0,1097.3711,1229.9252,622.0597,124,0,818.7908,759.3371,461.283,730.9854,895.2271,1629.9731,52,784.51,404.4098,501.4084,300.0897,0.9,0,515.973,1108.3629,0,18418.4618,8,0,0,6.76,0,0
0,1649.3404,4230.2852,3054.5089,0,-2.8,2,0,643.7032,677.3715,598.9934,2528.0976,2960.1867,749.1479,629.755,55,491.5773,0,0,1067.6567,1254.9868,629.466,36,0,791.2885,728.0094,459.8054,725.6719,906.0489,1675.7792,51,770.8469,416.2185,493.9842,330.7562,2.3,0,527.3301,1148.3885,0,18420.8415,7,0,0,7.84,0,0
