"y","m30","f20","sub_passenger","m25","temp","past_rent","f15","f40","m20","semester","bus_passenger","X10_11","rain","X8_9","f45","X9_10","f25","wet","f50","m50","m35","m55","f55","m45","m0","cloud","X15_16","f35","m5","f30","f0","dust","f60","m40","f70","m65","sunny","wind","m70","temp.sqr","f65","m60","most_use","X12_13","X13_14"
1,1972.7596,4648.2518,2177,3627.6926,1.8,1,2255.1883,879.5719,3481.3525,0,393,0,0,0,954.1123,0,3286.5011,37,816.4424,898.046,1616.5206,856.0725,805.2629,1026.4613,677.759,0,0,1368.0086,1951.9843,1735.9394,828.4641,36,649.4567,1034.5832,1292.1359,440.202,1,1.4,785.5772,3.24,581.6992,575.7618,21737.0262,0,0
0,2021.4605,5060.285,2172,3857.673,0.5,1,2646.9193,879.2243,4061.439,0,436,0,0,0,943.3894,0,3510.5175,38,786.7407,881.8446,1588.2836,888.3974,813.6039,995.6357,625.3572,0,0,1263.0188,2263.3812,1746.7962,777.9175,42,669.0835,1078.4719,1277.7392,443.0869,0,1.5,747.7952,0.25,566.1505,579.374,23109.4736,0,0
0,2106.8455,5475.9384,1919,4122.9342,-0.9,0,2808.1361,894.2637,4256.555,0,374,0,0,0,987.391,0,3621.7632,42,784.0434,832.9198,1541.2446,851.4151,769.2663,1068.9945,714.8656,1,0,1294.8336,2380.0975,1750.1372,673.987,46,655.461,1063.4898,1281.4106,453.6725,0,0.7,760.3326,0.81,534.6887,619.3034,24170.2517,0,0
0,2142.992,5433.5806,1822,4168.2017,-1.2,0,2620.2517,853.9846,4307.0667,0,305,0,0,0,986.3548,0,3618.2199,45,784.2678,881.6793,1517.6744,842.4864,799.8908,1070.2002,600.0606,7,0,1328.7882,2302.7393,1765.6912,584.2799,43,706.2706,1055.6617,1222.8802,444.6465,0,0.9,769.1565,1.44,559.3522,617.974,24282.2147,0,0
0,2022.8202,5054.2346,3216,3987.5885,-1.6,2,2174.8429,840.3534,3809.3629,0,482,0,0,0,908.8601,0,3458.2767,47,756.7894,838.2168,1425.254,864.8032,742.736,1046.1585,480.8395,4,0,1213.1176,1990.2825,1734.4228,505.39,44,680.7566,971.6193,1215.1594,438.4032,0,0.9,746.3631,2.56,562.3245,558.3138,22705.0773,0,0
0,1845.7715,4384.5668,4686,3306.7813,-2.4,0,1027.2487,796.9554,2966.0381,0,634,0,0,0,866.2712,0,3166.2979,49,779.8195,816.4539,1368.3173,802.2568,757.9299,1025.4351,554.185,3,0,1187.2465,1010.5843,1643.6693,380.3577,49,675.7285,890.7127,1241.576,424.2162,0,2.1,756.3511,5.76,561.7106,546.7402,19868.6887,0,0
1,1777.7479,4242.8454,1294,3215.2554,-2.5,0,752.5396,782.2246,2697.6954,0,340,0,0,0,842.5428,0,3115.3854,49,794.7583,801.8453,1298.3517,810.0397,727.5439,974.7318,514.7113,6,0,1215.4682,665.6039,1664.3515,388.5686,48,695.5734,862.1241,1222.1237,442.2193,0,1,751.4911,6.25,524.8618,568.5069,19227.1009,0,0
3,1621.3565,4208.4572,312,3131.7732,-2.6,1,637.14,646.9265,2496.8181,0,124,0,0,0,746.8139,0,3002.7874,52,672.8306,730.9854,1229.9252,759.3371,622.0597,895.2271,461.283,8,0,1097.3711,515.973,1629.9731,300.0897,52,611.6483,818.7908,1108.3629,404.4098,0,0.9,784.51,6.76,501.4084,509.645,18418.4618,0,0
0,1649.3404,4230.2852,2,3054.5089,-2.8,0,598.9934,643.7032,2528.0976,0,36,0,0,0,749.1479,0,2960.1867,55,677.3715,725.6719,1254.9868,728.0094,629.466,906.0489,459.8054,7,0,1067.6567,527.3301,1675.7792,330.7562,51,629.755,791.2885,1148.3885,416.2185,0,2.3,770.8469,7.84,493.9842,491.5773,18420.8415,0,0
0,1676.1082,4255.3486,0,3069.2582,-2.9,0,607.0678,685.7243,2550.0382,0,13,0,0,0,770.2866,0,2997.0907,57,682.0035,745.1448,1252.7303,726.0669,619.1185,886.2969,471.4803,8,0,1080.3975,506.7215,1656.4244,341.9429,55,615.1559,827.1632,1135.7623,398.5573,0,2.1,763.9788,8.41,510.7964,494.3149,18537.3961,0,0
0,1675.8869,4273.9491,0,3066.2662,-2.6,0,588.4983,660.4695,2538.5105,0,19,0,0,0,754.7675,0,3008.6295,57,689.4129,744.1317,1256.0014,726.8703,589.0645,875.2236,492.5551,8,0,1060.8378,524.8589,1641.1874,344.1256,51,622.665,817.9012,1126.2161,406.412,0,1.9,745.4565,6.76,484.6168,496.8338,18521.2688,0,0
0,1698.6529,4276.3212,0,3082.9688,-2.1,0,605.8067,659.0926,2514.5834,0,8,0,0,0,739.2058,0,3002.3673,56,697.1884,750.5879,1213.0688,716.3295,595.6035,904.0857,445.0988,9,0,1080.4464,526.9761,1675.377,355.3955,38,619.0804,803.6301,1136.0043,417.9578,0,2.5,737.3836,4.41,487.8129,500.0517,18543.7858,0,0
0,1704.6129,4266.5884,5,3061.9827,-1.9,0,637.0526,660.6537,2554.3603,0,12,0,0,0,754.1053,0,2968.2033,55,679.593,728.445,1205.585,714.0956,581.9424,899.1318,434.6023,8,0,1103.7989,544.9547,1678.664,338.3259,41,635.7418,796.9997,1123.3199,414.0992,0,2,748.4007,3.61,482.6152,501.2277,18543.7955,0,0
0,1695.6564,4218.3895,161,3049.3064,-1.9,0,665.0012,647.9535,2545.7365,0,37,0,0,0,731.9394,0,2984.2089,56,675.7104,731.1179,1224.7163,713.7302,595.7291,906.7302,412.9007,9,0,1075.489,548.4396,1659.9689,324.6109,43,635.9868,821.4094,1157.4969,426.0584,0,2.3,747.7826,3.61,511.8701,510.728,18453.4719,0,0
0,1690.2626,4248.1746,246,3031.7595,-1.9,0,639.7209,661.6567,2542.303,0,56,0,0,0,746.2945,0,2973.5895,66,680.5979,746.232,1212.6061,713.4863,601.7095,925.2835,420.7984,9,0,1073.0664,574.8667,1668.6876,324.349,43,658.7549,799.429,1164.5989,431.7673,0,2.5,759.6752,3.61,538.8868,517.5398,18440.4493,0,0
0,1655.5987,4174.7932,416,3039.5463,-2.2,0,619.3514,666.1195,2469.1511,0,85,0,0,0,735.9822,0,2932.8963,81,680.5075,698.9761,1199.5701,734.231,620.8738,907.0188,414.7436,9,0,1086.8994,549.6872,1639.6134,314.2971,52,629.731,824.9195,1183.6856,438.3799,0,2,754.8039,4.84,534.7857,517.8935,18198.0685,0,0
0,1677.396,4060.9573,789,2979.8742,-2.2,0,582.732,683.126,2445.8786,0,171,0,0,1,738.8499,0,2869.5038,83,691.9868,687.7629,1186.7689,772.8655,641.7601,891.3126,449.7321,8,0,1089.1511,566.1793,1686.3704,317.0563,54,650.1473,872.3767,1176.5494,445.4824,0,2,734.9286,4.84,537.8985,530.9345,17995.9003,0,0
0,1660.2613,3916.1752,1035,2847.3887,-1.9,0,589.3282,719.6571,2399.9479,0,188,0,0.3,0,762.4441,1,2790.5682,82,730.6254,685.5117,1219.8663,776.3128,678.2829,880.3636,457.7015,8,0,1116.403,518.2788,1644.2672,373.4072,38,630.4952,834.134,1159.131,456.9606,0,1.4,686.8144,3.61,534.122,516.6764,17594.8778,0,0
