"y","rain","wind","wet","snow","cloud","temp.sqr","sunny","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m5","m20","m25","m30","m35","m45","m50","m55","m65","m70","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger"
0,0,2.3,42,0,1,46.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,475.4972,587.8323,2538.3244,2850.1474,1659.5073,1280.9699,874.7221,782.646,775.9598,416.1323,761.8202,205.0591,658.867,3872.7968,2745.5063,1507.7122,1116.8421,793.1648,822.3881,730.6889,690.4344,663.1034,509.4526,1314.768,128,831
0,0,0.9,37,0,1,18.49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,490.0385,586.4021,2465.0082,2924.4905,1686.0821,1385.1672,917.8842,800.8161,768.1554,420.2144,740.2119,219.3723,736.8298,3905.4698,2767.0991,1518.8841,1197.2218,826.6142,833.0353,745.7217,782.8822,695.089,545.356,1320.4043,207,1018
0,0,1.2,34,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,587.3517,723.2443,2586.8189,2965.6393,1859.6825,1505.189,977.1987,827.3971,776.7449,426.3821,722.2581,232.8729,868.8715,4058.0544,2952.5516,1631.3175,1258.8671,855.5406,872.7537,748.1338,830.7245,656.1947,487.6,1276.0991,230,1212
1,0,1.5,32,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,625.9619,876.6455,2626.8551,3114.6131,1903.0784,1479.5145,1019.1622,820.6575,809.2896,455.5889,770.7484,294.5113,1092.1016,4179.6607,3095.74,1604.3219,1397.4549,945.3094,892.3504,767.3724,802.4848,662.9924,539.4187,1302.6493,317,1333
0,0,2.2,32,0,1,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,694.8158,1100.0851,2781.1102,3183.4582,1878.3498,1569.3377,1007.1156,817.509,798.1733,426.191,781.2048,348.8924,1314.7159,4305.561,3120.8955,1664.2449,1296.6963,954.4554,906.0148,788.0211,799.3658,650.5356,532.675,1240.5739,289,1564
0,0,1.7,35,0,0,3.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,768.3739,1533.5207,3021.9892,3308.7379,1904.7691,1631.5211,1075.261,856.697,810.2722,425.5368,811.7398,414.4201,1725.9705,4504.0262,3165.0785,1726.6451,1318.7469,897.7426,945.9123,775.275,831.9715,641.0388,560.3337,1237.8167,334,1831
1,0,1.4,37,0,0,3.24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,677.759,1951.9843,3481.3525,3627.6926,1972.7596,1616.5206,1026.4613,898.046,856.0725,440.202,785.5772,384.7362,2255.1883,4648.2518,3286.5011,1735.9394,1368.0086,879.5719,954.1123,816.4424,805.2629,649.4567,581.6992,1292.1359,393,2177
0,0,1.5,38,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,625.3572,2263.3812,4061.439,3857.673,2021.4605,1588.2836,995.6357,881.8446,888.3974,443.0869,747.7952,361.2626,2646.9193,5060.285,3510.5175,1746.7962,1263.0188,879.2243,943.3894,786.7407,813.6039,669.0835,566.1505,1277.7392,436,2172
0,0,0.7,42,0,1,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,714.8656,2380.0975,4256.555,4122.9342,2106.8455,1541.2446,1068.9945,832.9198,851.4151,453.6725,760.3326,312.9978,2808.1361,5475.9384,3621.7632,1750.1372,1294.8336,894.2637,987.391,784.0434,769.2663,655.461,534.6887,1281.4106,374,1919
0,0,0.9,45,0,7,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,600.0606,2302.7393,4307.0667,4168.2017,2142.992,1517.6744,1070.2002,881.6793,842.4864,444.6465,769.1565,271.3378,2620.2517,5433.5806,3618.2199,1765.6912,1328.7882,853.9846,986.3548,784.2678,799.8908,706.2706,559.3522,1222.8802,305,1822
0,0,0.9,47,0,4,2.56,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,480.8395,1990.2825,3809.3629,3987.5885,2022.8202,1425.254,1046.1585,838.2168,864.8032,438.4032,746.3631,234.7017,2174.8429,5054.2346,3458.2767,1734.4228,1213.1176,840.3534,908.8601,756.7894,742.736,680.7566,562.3245,1215.1594,482,3216
0,0,2.1,49,0,3,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,554.185,1010.5843,2966.0381,3306.7813,1845.7715,1368.3173,1025.4351,816.4539,802.2568,424.2162,756.3511,176.6365,1027.2487,4384.5668,3166.2979,1643.6693,1187.2465,796.9554,866.2712,779.8195,757.9299,675.7285,561.7106,1241.576,634,4686
1,0,1,49,0,6,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,514.7113,665.6039,2697.6954,3215.2554,1777.7479,1298.3517,974.7318,801.8453,810.0397,442.2193,751.4911,180.4501,752.5396,4242.8454,3115.3854,1664.3515,1215.4682,782.2246,842.5428,794.7583,727.5439,695.5734,524.8618,1222.1237,340,1294
3,0,0.9,52,0,8,6.76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,461.283,515.973,2496.8181,3131.7732,1621.3565,1229.9252,895.2271,730.9854,759.3371,404.4098,784.51,139.3609,637.14,4208.4572,3002.7874,1629.9731,1097.3711,646.9265,746.8139,672.8306,622.0597,611.6483,501.4084,1108.3629,124,312
0,0,2.3,55,0,7,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,459.8054,527.3301,2528.0976,3054.5089,1649.3404,1254.9868,906.0489,725.6719,728.0094,416.2185,770.8469,153.6023,598.9934,4230.2852,2960.1867,1675.7792,1067.6567,643.7032,749.1479,677.3715,629.466,629.755,493.9842,1148.3885,36,2
0,0,2.1,57,0,8,8.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471.4803,506.7215,2550.0382,3069.2582,1676.1082,1252.7303,886.2969,745.1448,726.0669,398.5573,763.9788,158.7973,607.0678,4255.3486,2997.0907,1656.4244,1080.3975,685.7243,770.2866,682.0035,619.1185,615.1559,510.7964,1135.7623,13,0
0,0,1.9,57,0,8,6.76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,492.5551,524.8589,2538.5105,3066.2662,1675.8869,1256.0014,875.2236,744.1317,726.8703,406.412,745.4565,159.8109,588.4983,4273.9491,3008.6295,1641.1874,1060.8378,660.4695,754.7675,689.4129,589.0645,622.665,484.6168,1126.2161,19,0
