"y","station_dist","station_type","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_rent","X8_9","X9_10","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger"
0,475,0,11,0,1.4,71,0,17,121,0,1,3,0,0,0,0,0,0,0,0,0,904.9832,423.3644,459.9589,659.783,884.3628,988.8114,1043.0276,975.2534,1083.7814,771.9151,789.9283,654.531,522.208,885.3777,818.04,355.3346,520.8304,750.2605,1011.639,964.3118,1208.3434,1020.0273,965.4014,761.1169,927.6715,867.2258,623.2842,1400.1688,7510.5395,360,0
0,405,0,26.8,1.7,3.3,92,10,10,718.24,0,0,0,0,0,0,0,0,0,0,0,1,648.1395,303.2089,485.011,592.2164,713.6227,873.4412,945.4014,799.1301,843.0209,694.809,705.3177,548.571,450.1667,884.2786,605.0639,262.8234,444.8882,608.0089,780.0263,809.6805,977.5421,762.4103,782.0606,621.8678,783.8287,724.3682,537.0274,1209.651,6299.9395,204,0
0,89,0,11.3,0,1.5,24,0,62,127.69,0,1,0,0,0,0,0,0,0,0,0,0,2182.6966,1845.1927,1467.5102,914.578,767.9494,755.4908,988.2697,1145.6266,1367.2104,1069.8113,1056.0456,807.0844,654.266,1238.9341,2346.3722,1965.4484,1438.2717,1053.4654,942.9946,870.8058,1431.4914,1654.4319,1876.3858,1357.3729,1367.3702,1012.1658,744.5215,1858.5574,7725.0451,159,468
7,90,0,23.9,0,1.6,99,9,18,571.21,0,0,4,1,0,0,0,0,0,0,0,0,226.2964,94.7119,350.8257,1220.5046,1370.9776,999.815,965.0771,733.4696,725.2965,654.2813,575.4841,442.5081,317.1971,565.1844,236.5836,115.913,298.9641,1729.9653,1438.1257,1025.6794,958.5337,692.9575,611.6614,571.6918,595.2398,448.5084,434.0409,956.6517,9708.6784,1001,0
3,27,1,0.1,0,3.8,89,10,176,0.01,0,1,2,0,0,1,0,0,0,0,0,0,1081.7595,558.4024,561.553,843.4092,748.9068,596.3456,867.2278,730.2414,742.862,700.1333,675.8872,571.0418,446.9016,823.9672,896.2893,476.4125,676.7107,884.6537,897.3329,878.4412,1187.8802,895.0577,923.4978,895.1998,1010.2063,797.4181,652.5,1280.4819,6904.1974,540,0
3,88,0,13.9,0,3.6,58,9,7,193.21,0,1,4,0,0,0,0,0,0,1,0,0,406.1408,135.3803,260.4094,696.3018,778.3599,880.1988,768.2449,584.2045,618.3297,574.7571,564.7221,430.6062,274.6081,529.8942,445.7989,159.3918,335.7311,835.5399,1040.1193,968.2847,904.6157,637.6396,559.3505,557.5815,603.6313,473.2441,342.3376,921.7762,6871.665,321,1653
1,41,0,24.8,0,1.7,77,0,11,615.04,0,1,1,0,0,0,0,0,0,0,1,0,728.038,355.4733,631.4809,673.6264,924.668,921.8778,1024.8144,869.3004,895.9481,941.4814,1118.8774,884.9102,588.063,1366.1743,866.8274,401.9678,571.9162,790.4628,1029.9775,1081.9029,1098.9329,950.5754,1109.5075,1106.4046,1346.4815,1198.1802,911.0741,2259.0463,7546.2627,110,0
6,115,0,22.8,0,1.2,83,7,13,519.84,0,1,10,0,0,0,0,0,0,0,0,1,536.9543,225.3103,578.2931,1387.1697,1218.9508,925.2112,1212.6062,989.8896,1022.7686,987.2001,1017.9186,828.62,573.6298,849.908,456.2508,223.1165,521.2573,1765.284,1411.4173,1049.8893,1083.331,951.1754,873.8294,872.8203,1077.9289,881.5593,600.8874,1452.253,10053.8595,129,0
3,52,0,28.7,0,2.6,68,8,22,823.69,0,0,4,0,0,0,0,0,0,0,0,0,444.2499,156.2774,248.7215,355.7561,548.3638,560.941,694.64,584.3274,600.4,554.7379,635.9198,409.9901,330.8745,513.7739,333.7543,131.3873,218.1476,395.1185,606.6671,571.1752,540.5766,453.644,520.5594,560.7774,560.5955,523.3599,381.6855,848.6297,4273.2383,207,0
6,36,0,23,0,2.5,59,4,41,529,1,1,6,0,0,0,0,0,0,0,0,1,574.1206,350.1353,751.4265,1025.6229,1239.573,1039.1644,1059.1272,829.1834,1016.8786,760.6274,749.5481,649.2488,478.9203,812.1426,492.7796,285.0397,676.8245,1340.5091,1429.183,1057.4189,1043.9117,999.1583,889.0037,879.4735,1011.2324,822.5999,629.6783,1321.3497,9234.5102,327,0
