"y","m25","m50","f20","m30","temp","semester","sub_passenger","f15","f40","past_rent","bus_passenger","wet","X8_9","rain","X9_10","m45","m55","f50","m5","m35","cloud","f45","dust","m20","f70","f35","m0","m60","m40","m65","temp.sqr","f65","f25","f55","m70","f0","f60","wind","f30","most_use","sunny","X11_12","X13_14","X15_16","X10_11","X16_17","snow"
0,3308.7379,856.697,4504.0262,1904.7691,1.9,0,1831,1725.9705,897.7426,0,334,35,0,0,0,1075.261,810.2722,775.275,1533.5207,1631.5211,0,945.9123,46,3021.9892,1237.8167,1318.7469,768.3739,516.2654,1074.65,425.5368,3.61,560.3337,3165.0785,831.9715,811.7398,892.3827,641.0388,1.7,1726.6451,20581.514,1,0,0,1,0,0,0
0,3627.6926,898.046,4648.2518,1972.7596,1.8,0,2177,2255.1883,879.5719,0,393,37,0,0,0,1026.4613,856.0725,816.4424,1951.9843,1616.5206,0,954.1123,36,3481.3525,1292.1359,1368.0086,677.759,575.7618,1034.5832,440.202,3.24,581.6992,3286.5011,805.2629,785.5772,828.4641,649.4567,1.4,1735.9394,21737.0262,1,0,0,0,0,1,0
2,3857.673,881.8446,5060.285,2021.4605,0.5,0,2172,2646.9193,879.2243,3,436,38,0,0,0,995.6357,888.3974,786.7407,2263.3812,1588.2836,0,943.3894,42,4061.439,1277.7392,1263.0188,625.3572,579.374,1078.4719,443.0869,0.25,566.1505,3510.5175,813.6039,747.7952,777.9175,669.0835,1.5,1746.7962,23109.4736,0,0,0,0,0,0,0
0,4122.9342,832.9198,5475.9384,2106.8455,-0.9,0,1919,2808.1361,894.2637,3,374,42,0,0,0,1068.9945,851.4151,784.0434,2380.0975,1541.2446,1,987.391,46,4256.555,1281.4106,1294.8336,714.8656,619.3034,1063.4898,453.6725,0.81,534.6887,3621.7632,769.2663,760.3326,673.987,655.461,0.7,1750.1372,24170.2517,0,0,0,0,0,0,0
3,4168.2017,881.6793,5433.5806,2142.992,-1.2,0,1822,2620.2517,853.9846,0,305,45,0,0,0,1070.2002,842.4864,784.2678,2302.7393,1517.6744,7,986.3548,43,4307.0667,1222.8802,1328.7882,600.0606,617.974,1055.6617,444.6465,1.44,559.3522,3618.2199,799.8908,769.1565,584.2799,706.2706,0.9,1765.6912,24282.2147,0,0,0,0,0,0,0
1,3987.5885,838.2168,5054.2346,2022.8202,-1.6,0,3216,2174.8429,840.3534,1,482,47,0,0,0,1046.1585,864.8032,756.7894,1990.2825,1425.254,4,908.8601,44,3809.3629,1215.1594,1213.1176,480.8395,558.3138,971.6193,438.4032,2.56,562.3245,3458.2767,742.736,746.3631,505.39,680.7566,0.9,1734.4228,22705.0773,0,0,0,0,0,0,0
1,3306.7813,816.4539,4384.5668,1845.7715,-2.4,0,4686,1027.2487,796.9554,0,634,49,0,0,0,1025.4351,802.2568,779.8195,1010.5843,1368.3173,3,866.2712,49,2966.0381,1241.576,1187.2465,554.185,546.7402,890.7127,424.2162,5.76,561.7106,3166.2979,757.9299,756.3511,380.3577,675.7285,2.1,1643.6693,19868.6887,0,0,0,0,0,0,0
0,3215.2554,801.8453,4242.8454,1777.7479,-2.5,0,1294,752.5396,782.2246,2,340,49,0,0,0,974.7318,810.0397,794.7583,665.6039,1298.3517,6,842.5428,48,2697.6954,1222.1237,1215.4682,514.7113,568.5069,862.1241,442.2193,6.25,524.8618,3115.3854,727.5439,751.4911,388.5686,695.5734,1,1664.3515,19227.1009,0,0,0,0,0,0,0
1,3131.7732,730.9854,4208.4572,1621.3565,-2.6,0,312,637.14,646.9265,0,124,52,0,0,0,895.2271,759.3371,672.8306,515.973,1229.9252,8,746.8139,52,2496.8181,1108.3629,1097.3711,461.283,509.645,818.7908,404.4098,6.76,501.4084,3002.7874,622.0597,784.51,300.0897,611.6483,0.9,1629.9731,18418.4618,0,0,0,0,0,0,0
0,3054.5089,725.6719,4230.2852,1649.3404,-2.8,0,2,598.9934,643.7032,1,36,55,0,0,0,906.0489,728.0094,677.3715,527.3301,1254.9868,7,749.1479,51,2528.0976,1148.3885,1067.6567,459.8054,491.5773,791.2885,416.2185,7.84,493.9842,2960.1867,629.466,770.8469,330.7562,629.755,2.3,1675.7792,18420.8415,0,0,0,0,0,0,0
