"y","bus_passenger","past_rent","temp","sub_passenger","m5","wet","sunny","f15","m50","most_use","m35","m20","f30","f45","f20","m30","m25","f0","f70","wind","m0","m70","m55","m40","f60","f65","m45","f25","f40","m60","m65","f50","dust","f35","f55","X18_19","cloud","X17_18","rain","weekend","semester","X22_23","X1_2","X7_8"
4,393,3,1.8,2177,1951.9843,37,1,2255.1883,898.046,21737.0262,1616.5206,3481.3525,1735.9394,954.1123,4648.2518,1972.7596,3627.6926,828.4641,1292.1359,1.4,677.759,785.5772,856.0725,1034.5832,649.4567,581.6992,1026.4613,3286.5011,879.5719,575.7618,440.202,816.4424,36,1368.0086,805.2629,0,0,0,0,1,0,0,0,0
3,436,1,0.5,2172,2263.3812,38,0,2646.9193,881.8446,23109.4736,1588.2836,4061.439,1746.7962,943.3894,5060.285,2021.4605,3857.673,777.9175,1277.7392,1.5,625.3572,747.7952,888.3974,1078.4719,669.0835,566.1505,995.6357,3510.5175,879.2243,579.374,443.0869,786.7407,42,1263.0188,813.6039,0,0,1,0,1,0,0,0,0
4,374,2,-0.9,1919,2380.0975,42,0,2808.1361,832.9198,24170.2517,1541.2446,4256.555,1750.1372,987.391,5475.9384,2106.8455,4122.9342,673.987,1281.4106,0.7,714.8656,760.3326,851.4151,1063.4898,655.461,534.6887,1068.9945,3621.7632,894.2637,619.3034,453.6725,784.0434,46,1294.8336,769.2663,1,1,0,0,1,0,0,0,0
0,305,4,-1.2,1822,2302.7393,45,0,2620.2517,881.6793,24282.2147,1517.6744,4307.0667,1765.6912,986.3548,5433.5806,2142.992,4168.2017,584.2799,1222.8802,0.9,600.0606,769.1565,842.4864,1055.6617,706.2706,559.3522,1070.2002,3618.2199,853.9846,617.974,444.6465,784.2678,43,1328.7882,799.8908,0,7,0,0,1,0,0,0,0
0,482,0,-1.6,3216,1990.2825,47,0,2174.8429,838.2168,22705.0773,1425.254,3809.3629,1734.4228,908.8601,5054.2346,2022.8202,3987.5885,505.39,1215.1594,0.9,480.8395,746.3631,864.8032,971.6193,680.7566,562.3245,1046.1585,3458.2767,840.3534,558.3138,438.4032,756.7894,44,1213.1176,742.736,0,4,0,0,1,0,0,0,0
1,634,1,-2.4,4686,1010.5843,49,0,1027.2487,816.4539,19868.6887,1368.3173,2966.0381,1643.6693,866.2712,4384.5668,1845.7715,3306.7813,380.3577,1241.576,2.1,554.185,756.3511,802.2568,890.7127,675.7285,561.7106,1025.4351,3166.2979,796.9554,546.7402,424.2162,779.8195,49,1187.2465,757.9299,0,3,0,0,1,0,0,0,0
3,340,0,-2.5,1294,665.6039,49,0,752.5396,801.8453,19227.1009,1298.3517,2697.6954,1664.3515,842.5428,4242.8454,1777.7479,3215.2554,388.5686,1222.1237,1,514.7113,751.4911,810.0397,862.1241,695.5734,524.8618,974.7318,3115.3854,782.2246,568.5069,442.2193,794.7583,48,1215.4682,727.5439,0,6,0,0,1,0,1,0,0
1,124,1,-2.6,312,515.973,52,0,637.14,730.9854,18418.4618,1229.9252,2496.8181,1629.9731,746.8139,4208.4572,1621.3565,3131.7732,300.0897,1108.3629,0.9,461.283,784.51,759.3371,818.7908,611.6483,501.4084,895.2271,3002.7874,646.9265,509.645,404.4098,672.8306,52,1097.3711,622.0597,0,8,0,0,1,0,0,0,0
0,36,3,-2.8,2,527.3301,55,0,598.9934,725.6719,18420.8415,1254.9868,2528.0976,1675.7792,749.1479,4230.2852,1649.3404,3054.5089,330.7562,1148.3885,2.3,459.8054,770.8469,728.0094,791.2885,629.755,493.9842,906.0489,2960.1867,643.7032,491.5773,416.2185,677.3715,51,1067.6567,629.466,0,7,0,0,1,0,0,0,0
0,13,1,-2.9,0,506.7215,57,0,607.0678,745.1448,18537.3961,1252.7303,2550.0382,1656.4244,770.2866,4255.3486,1676.1082,3069.2582,341.9429,1135.7623,2.1,471.4803,763.9788,726.0669,827.1632,615.1559,510.7964,886.2969,2997.0907,685.7243,494.3149,398.5573,682.0035,55,1080.3975,619.1185,0,8,0,0,1,0,0,1,0
