"y","m5","temp","bus_passenger","past_rent","sub_passenger","f15","wet","f45","m20","m45","f20","f0","m65","f35","m0","f40","f60","m70","f50","m50","m60","f65","m35","m30","m40","f55","dust","m25","f70","rain","f30","m55","f25","wind","sunny","cloud","most_use","semester","X12_13","X20_21","X22_23","X1_2","X9_10","temp.sqr","X21_22","X17_18"
0,1533.5207,1.9,334,1,1831,1725.9705,35,945.9123,3021.9892,1075.261,4504.0262,892.3827,425.5368,1318.7469,768.3739,897.7426,641.0388,811.7398,775.275,856.697,516.2654,560.3337,1631.5211,1904.7691,1074.65,831.9715,46,3308.7379,1237.8167,0,1726.6451,810.2722,3165.0785,1.7,1,0,20581.514,0,0,0,0,0,0,3.61,0,0
0,1951.9843,1.8,393,1,2177,2255.1883,37,954.1123,3481.3525,1026.4613,4648.2518,828.4641,440.202,1368.0086,677.759,879.5719,649.4567,785.5772,816.4424,898.046,575.7618,581.6992,1616.5206,1972.7596,1034.5832,805.2629,36,3627.6926,1292.1359,0,1735.9394,856.0725,3286.5011,1.4,1,0,21737.0262,0,0,0,0,0,0,3.24,0,0
0,2263.3812,0.5,436,0,2172,2646.9193,38,943.3894,4061.439,995.6357,5060.285,777.9175,443.0869,1263.0188,625.3572,879.2243,669.0835,747.7952,786.7407,881.8446,579.374,566.1505,1588.2836,2021.4605,1078.4719,813.6039,42,3857.673,1277.7392,0,1746.7962,888.3974,3510.5175,1.5,0,0,23109.4736,0,0,0,0,0,0,0.25,0,1
0,2380.0975,-0.9,374,1,1919,2808.1361,42,987.391,4256.555,1068.9945,5475.9384,673.987,453.6725,1294.8336,714.8656,894.2637,655.461,760.3326,784.0434,832.9198,619.3034,534.6887,1541.2446,2106.8455,1063.4898,769.2663,46,4122.9342,1281.4106,0,1750.1372,851.4151,3621.7632,0.7,0,1,24170.2517,0,0,0,0,0,0,0.81,0,0
0,2302.7393,-1.2,305,0,1822,2620.2517,45,986.3548,4307.0667,1070.2002,5433.5806,584.2799,444.6465,1328.7882,600.0606,853.9846,706.2706,769.1565,784.2678,881.6793,617.974,559.3522,1517.6744,2142.992,1055.6617,799.8908,43,4168.2017,1222.8802,0,1765.6912,842.4864,3618.2199,0.9,0,7,24282.2147,0,0,0,0,0,0,1.44,0,0
0,1990.2825,-1.6,482,0,3216,2174.8429,47,908.8601,3809.3629,1046.1585,5054.2346,505.39,438.4032,1213.1176,480.8395,840.3534,680.7566,746.3631,756.7894,838.2168,558.3138,562.3245,1425.254,2022.8202,971.6193,742.736,44,3987.5885,1215.1594,0,1734.4228,864.8032,3458.2767,0.9,0,4,22705.0773,0,0,1,0,0,0,2.56,0,0
0,1010.5843,-2.4,634,0,4686,1027.2487,49,866.2712,2966.0381,1025.4351,4384.5668,380.3577,424.2162,1187.2465,554.185,796.9554,675.7285,756.3511,779.8195,816.4539,546.7402,561.7106,1368.3173,1845.7715,890.7127,757.9299,49,3306.7813,1241.576,0,1643.6693,802.2568,3166.2979,2.1,0,3,19868.6887,0,0,0,0,0,0,5.76,1,0
0,665.6039,-2.5,340,1,1294,752.5396,49,842.5428,2697.6954,974.7318,4242.8454,388.5686,442.2193,1215.4682,514.7113,782.2246,695.5734,751.4911,794.7583,801.8453,568.5069,524.8618,1298.3517,1777.7479,862.1241,727.5439,48,3215.2554,1222.1237,0,1664.3515,810.0397,3115.3854,1,0,6,19227.1009,0,0,0,1,0,0,6.25,0,0
0,515.973,-2.6,124,1,312,637.14,52,746.8139,2496.8181,895.2271,4208.4572,300.0897,404.4098,1097.3711,461.283,646.9265,611.6483,784.51,672.8306,730.9854,509.645,501.4084,1229.9252,1621.3565,818.7908,622.0597,52,3131.7732,1108.3629,0,1629.9731,759.3371,3002.7874,0.9,0,8,18418.4618,0,0,0,0,0,0,6.76,0,0
0,527.3301,-2.8,36,0,2,598.9934,55,749.1479,2528.0976,906.0489,4230.2852,330.7562,416.2185,1067.6567,459.8054,643.7032,629.755,770.8469,677.3715,725.6719,491.5773,493.9842,1254.9868,1649.3404,791.2885,629.466,51,3054.5089,1148.3885,0,1675.7792,728.0094,2960.1867,2.3,0,7,18420.8415,0,0,0,0,0,0,7.84,0,0
