"y","m5","temp","bus_passenger","past_rent","sub_passenger","f15","wet","f45","m20","m45","f20","f0","m65","f35","m0","f40","f60","m70","f50","m50","m60","f65","m35","m30","m40","f55","dust","m25","f70","rain","f30","m55","f25","wind","sunny","cloud","most_use","semester","X12_13","X20_21","X22_23","X1_2","X9_10","temp.sqr","X21_22","X17_18"
0,917.6038,13.1,219,0,1035,1243.5949,31,786.1879,3775.3301,1099.2365,6011.5391,327.6605,465.0091,1326.5039,487.0417,819.7975,650.6416,885.5217,818.1421,814.4532,587.6888,570.2684,1370.5866,1882.9426,963.8487,727.0479,168,3729.3683,1227.2755,0,1975.289,783.6488,4029.3158,4.3,1,0,24100.8754,1,0,0,0,0,0,171.61,0,0
0,1071.933,13.4,527,0,2789,1350.3469,30,872.7776,3645.418,1250.3562,5811.7523,426.8927,481.744,1420.2597,536.7839,891.9745,686.0013,865.4307,909.8574,937.4709,654.1159,588.208,1495.1369,1880.5998,1044.4428,837.9318,224,3513.8267,1253.2379,0,1913.5361,813.2117,3844.5948,2.5,1,0,23525.1243,1,0,0,0,0,0,179.56,0,0
1,1223.0821,14.5,762,2,4771,1424.6271,30,1053.9037,3727.1999,1277.0911,5719.0404,266.1884,482.0234,1348.696,685.0948,1019.145,712.1086,965.3833,1019.5134,1007.7476,645.4892,618.9517,1551.1622,1722.0225,1089.488,903.2457,240,3165.935,1312.0033,0,1807.2208,877.6831,3413.6541,2.8,1,0,22454.9309,1,0,0,0,0,0,210.25,0,0
5,1280.791,16.4,610,0,2964,1563.9428,27,1153.0963,3689.8122,1417.4024,5434.5354,289.7398,481.0673,1414.3973,632.0876,1026.3541,782.0157,972.8143,1051.508,1138.7723,676.5812,678.5404,1567.1808,1607.2691,1120.2714,960.2047,239,2909.4109,1404.9191,0,1690.3352,1022.5639,3146.4334,2.4,1,0,21459.3743,1,0,0,0,0,1,268.96,0,0
1,1389.1794,18.1,378,5,1753,1748.7308,26,1205.1202,3837.3554,1341.8917,5493.4169,284.306,494.9727,1431.1466,583.9296,1114.0043,795.6936,975.0761,1165.9261,1186.5903,697.5304,683.0323,1540.8563,1658.807,1175.0469,1025.8578,237,2857.9904,1444.8421,0,1663.07,1041.0783,3131.1775,1.6,1,0,21613.8201,1,0,0,0,0,0,327.61,0,0
6,1593.2715,19.8,351,1,1729,1915.1661,24,1169.9346,4110.6374,1340.958,5604.5754,320.9213,465.3414,1401.8376,555.5325,1144.6089,778.5901,933.5395,1105.5306,1158.5568,658.3169,659.5623,1611.9806,1559.5296,1189.757,1051.4834,237,2847.5479,1430.7953,0,1701.663,1030.5451,3115.1564,1.9,1,0,21952.9279,1,0,0,0,0,0,392.04,0,0
3,1661.2861,21,431,3,1931,2020.2677,22,1200.5838,4265.0746,1340.1936,5679.6937,401.0705,500.8604,1496.0997,519.8988,1160.5778,809.8934,916.7681,1152.5806,1086.778,653.1077,616.596,1632.2764,1631.1337,1213.6686,1097.7316,220,2889.7399,1327.7957,0,1709.3508,1004.703,3180.072,1.6,1,0,22483.4408,1,1,0,0,0,0,441,0,0
5,1790.4866,22.4,461,4,2148,2049.8552,19,1221.5714,4334.6046,1408.5441,5920.0732,359.8755,511.0223,1448.5986,485.9926,1192.0207,802.4563,999.4147,1173.5983,1179.7935,704.8554,647.1503,1593.5841,1640.032,1235.3662,1113.4334,203,2962.0326,1299.2969,0,1647.742,1009.0411,3111.6503,2.1,1,0,22658.3174,1,0,0,0,0,0,501.76,0,0
2,1839.2019,23,475,5,2190,2182.8022,18,1287.111,4423.5553,1457.1396,5969.4913,384.6634,486.8627,1470.1244,516.4802,1244.9295,847.9335,992.4601,1152.8818,1157.0424,689.4788,667.7194,1662.9594,1608.5505,1283.1548,1110.0637,179,2976.6639,1332.8636,0,1685.8364,1075.2117,3176.3006,3.2,1,0,22973.4818,1,0,0,0,0,0,529,0,0
3,1801.5497,23.5,603,2,2612,2310.8105,23,1288.0101,4309.327,1430.3092,5990.2965,374.6717,484.3846,1448.2292,505.8551,1188.3284,803.3627,994.4332,1160.7824,1207.9234,697.6363,680.8907,1639.4416,1600.1467,1236.6852,1135.6385,171,2995.9392,1301.8636,0,1680.0734,1099.092,3230.8775,3.5,1,0,22894.3311,1,0,0,0,0,0,552.25,0,0
2,1796.8375,23.4,602,1,3199,2191.4012,23,1178.1926,4353.2524,1372.2738,5979.5906,477.0861,474.7051,1454.5104,601.3611,1151.4534,770.4485,907.6829,1152.7194,1149.9021,656.9719,635.7714,1606.1287,1651.9812,1228.6386,1103.8372,217,3006.9846,1231.6761,0,1715.9071,1020.8256,3245.2466,2.8,1,0,23013.6016,1,0,0,0,0,0,547.56,0,0
8,1925.0347,22.8,756,5,3975,2568.7239,26,1145.7511,4528.6924,1454.8686,6211.2195,572.6999,456.125,1441.233,604.2353,1057.0542,753.3943,957.6269,1061.8109,1160.7732,673.1254,605.9212,1654.6649,1797.9915,1303.0784,1108.0194,190,3144.6672,1279.4865,0,1828.5797,1040.8332,3361.0155,3.9,1,0,23968.0637,1,0,0,0,0,0,519.84,0,1
9,2074.4235,21.3,938,4,4380,2907.1406,28,1216.6849,4786.8545,1543.9973,7040.431,544.5723,488.334,1678.7159,658.7969,1119.854,754.8313,1015.9088,1142.0491,1220.1252,772.6311,617.9778,1861.225,2200.8698,1481.1073,1078.7299,197,3859.9095,1305.7527,0,2283.2178,1043.9795,4225.5912,3.9,1,0,27936.8147,1,0,0,0,0,0,453.69,0,0
4,2184.0365,19.6,783,6,3091,2919.9648,31,1173.3563,5118.9368,1460.9204,7700.4898,553.1978,493.7161,1670.0926,698.7404,1089.5715,714.8976,979.5554,1054.9373,1179.6731,677.8368,635.8285,2021.4318,2279.9992,1355.2717,984.7504,170,4177.881,1310.3426,0,2374.3266,1042.2355,4543.9789,3.6,1,0,29887.1367,1,0,0,0,0,0,384.16,0,0
9,2263.6379,18,646,7,3251,2866.9973,33,1150.503,5351.4805,1439.7871,7879.9717,549.8251,455.0032,1581.0807,652.1573,1071.9853,705.3644,952.1253,1026.67,1112.785,657.1812,611.1226,1986.9567,2335.2927,1344.3598,947.0703,144,4356.4764,1227.0674,0,2324.9965,1010.761,4538.5127,2.1,1,0,30354.7679,1,0,1,0,0,0,324,0,0
3,2070.291,17.1,596,4,3486,2622.8274,38,1078.7797,5368.0738,1260.4166,7770.992,479.0854,460.6905,1480.3397,611.4313,1024.2281,683.7813,937.5295,961.3112,1069.0916,618.0658,617.3912,1910.8062,2287.6191,1221.344,896.2262,124,4304.8943,1235.4471,0,2256.1319,964.4322,4530.6128,3.1,1,0,29909.4698,1,0,0,0,0,0,292.41,1,0
2,1725.8241,16.4,733,5,3719,2073.1368,41,981.9114,4999.7226,1297.3587,7361.1461,468.5081,445.9613,1489.2088,593.4435,979.225,667.8658,966.9184,919.4243,1014.7333,599.9236,615.8859,1712.8833,2203.0738,1138.7983,846.7344,121,4307.8853,1237.114,0,2193.4242,883.4979,4424.2315,2.6,1,0,28691.5756,1,0,0,1,0,0,268.96,0,0
0,1258.5382,15.6,507,1,1881,1605.2258,47,776.1282,4530.7179,1164.3661,6834.8358,355.4308,402.5861,1304.8143,457.1022,835.5765,635.1322,860.4239,831.7347,789.1367,565.8086,559.2975,1512.2435,2050.7605,1006.3308,698.4867,103,4178.6047,1151.332,0,2012.1286,823.732,4179.4122,2.8,1,0,26603.5175,1,0,0,0,0,0,243.36,0,0
1,1187.5743,14.8,384,5,2,1509.8659,49,780.1601,4392.5133,1131.9317,6587.6848,329.4865,413.469,1314.54,437.7989,784.7816,630.39,850.9931,785.5896,814.6955,539.0494,533.5047,1485.7262,2047.7912,957.3298,673.2681,85,4041.4465,1127.3628,0,1995.6732,812.8872,4102.7616,1.1,1,3,25968.1368,1,0,0,0,0,0,219.04,0,0
2,1194.0614,14.2,71,4,0,1452.2062,51,777.6212,4250.2712,1118.9857,6444.0373,344.6523,419.7364,1342.0641,461.7637,790.7115,606.7502,860.2786,767.0452,792.7099,563.9315,539.5456,1412.5946,2017.0731,940.8197,663.5059,76,3979.8729,1134.0186,0,1977.5697,791.6883,4049.2202,1.4,1,1,25472.7031,1,0,0,0,1,0,201.64,0,0
1,1161.0554,13.4,43,1,0,1431.2923,53,779.4916,4124.9736,1137.2287,6351.6544,362.3726,413.8303,1338.5054,468.9893,812.7925,623.6562,865.2743,783.8645,783.6011,556.7482,537.5989,1397.911,1968.3794,931.4389,657.4414,74,3907.8205,1127.4312,0,1970.3634,778.4013,4014.791,1.5,1,0,25074.3987,1,0,0,0,0,0,179.56,0,0
0,1118.6544,13.2,30,0,0,1374.2029,55,784.7668,4096.6013,1104.0542,6318.1918,384.6221,426.0746,1323.4247,468.4133,805.1289,617.5401,851.6563,781.6129,781.9935,543.6949,535.5479,1383.3245,1957.1372,908.8224,663.2762,67,3842.6522,1090.7437,0,1963.6227,764.1783,4028.2146,1,0,8,24913.169,1,0,0,0,0,0,174.24,0,0
1,1038.5482,13.1,58,3,15,1333.6122,52,787.7972,3991.5009,1098.0375,6249.7041,377.7269,413.6453,1312.5402,456.6736,810.4995,610.7418,849.5499,791.4801,770.2389,558.3725,544.1346,1378.7717,1956.6697,894.2469,659.6123,63,3731.3275,1122.8301,0,1962.2403,766.5664,3947.2974,1.4,1,8,24530.0518,1,0,0,0,0,0,171.61,0,0
0,990.0388,12.4,101,1,720,1304.6141,56,788.9933,3895.3262,1094.7255,6147.253,346.5346,392.0808,1311.2948,460.8443,783.7937,616.3374,871.8555,757.4254,751.0997,541.722,525.568,1367.7273,1905.9213,868.9368,637.1613,62,3721.5597,1120.2649,0,1967.6129,723.4508,3943.0521,1.4,1,8,24259.7473,1,0,0,0,0,0,153.76,0,0
0,912.6743,11.7,199,0,1051,1225.7342,53,782.5045,3853.0621,1117.6667,6066.4331,345.9965,427.3017,1326.3064,431.8779,809.6845,655.3832,866.8431,782.6061,794.1472,537.2818,555.4887,1365.6197,1952.9682,915.9796,706.7623,54,3639.8803,1184.2059,0,1928.0751,751.5927,3845.7776,2.2,1,0,23978.1225,1,0,0,0,0,0,136.89,0,0
2,1116.9324,12.1,508,0,2833,1247.3165,54,868.7443,3733.2756,1253.7863,5803.51,330.5916,450.304,1368.8605,497.1055,843.3471,679.8565,887.877,895.3719,955.9272,613.4273,575.2992,1418.406,1905.8533,1034.4422,760.9812,43,3489.9982,1188.0181,0,1927.3997,853.1699,3825.4824,2,1,1,23472.7857,1,0,0,0,0,0,146.41,0,0
4,1272.7848,14.8,787,2,4756,1347.0848,53,1037.0885,3907.4471,1375.6854,5649.8746,194.8455,511.0266,1362.8226,367.0626,996.6094,710.5068,910.1039,941.1094,1018.3427,588.6396,577.7002,1561.2592,1749.2936,1121.0349,842.6705,45,3076.9483,1325.1434,0,1793.3378,911.0847,3447.5025,2.3,1,0,22548.4857,1,0,0,0,0,0,219.04,0,0
3,1199.9215,17.2,604,3,2918,1365.9804,45,1081.0409,3874.8447,1363.6493,5476.7116,186.1051,576.7273,1448.1043,399.7173,1026.2435,766.3521,991.3131,991.5052,1102.822,648.7703,604.2485,1605.7964,1614.2147,1193.741,903.1037,81,2864.7782,1432.0511,0,1639.3462,974.1238,3142.9552,2.3,1,0,21666.7513,1,0,0,0,0,1,295.84,0,0
1,1241.4752,19.3,368,4,1837,1520.1902,41,1155.3627,3959.6325,1333.8432,5475.383,219.6421,550.6659,1507.0653,404.5442,1087.2593,778.4288,910.2864,1059.8187,1110.6934,657.1974,645.787,1626.6682,1617.5369,1243.2545,1046.6353,111,2884.0622,1336.3934,0,1681.7586,963.0448,3161.7481,2.7,1,0,21913.8548,1,0,0,0,0,0,372.49,0,0
2,1387.0988,21.3,371,2,1640,1700.1742,34,1229.596,4164.2369,1339.876,5662.201,414.3745,534.3272,1575.2239,451.5413,1235.1434,815.4737,963.1388,1049.3313,1060.413,709.7701,635.4672,1596.6168,1627.2621,1233.4175,1000.2895,134,2847.3786,1309.7537,0,1693.2825,1004.197,3212.46,2.1,1,0,22378.6618,1,0,0,0,0,0,453.69,0,0
7,1583.329,22.9,442,2,1940,1820.154,29,1223.0093,4293.2543,1320.4324,5865.4469,757.7702,507.3256,1496.7792,571.2465,1254.6719,820.0105,902.0161,1082.3863,1053.5205,663.0591,624.3418,1561.0285,1644.2893,1179.2032,999.5403,121,2922.2078,1297.9524,0,1695.6692,993.8117,3243.5778,1.7,1,1,22722.253,1,1,0,0,0,0,524.41,0,0
2,1599.9048,24.2,502,7,2157,2094.6376,21,1218.5129,4294.9672,1409.3401,5985.4546,865.7195,526.513,1459.7146,558.8208,1204.2261,825.0486,920.4368,1119.3368,1104.319,658.7557,645.255,1599.1417,1702.0486,1235.5041,1080.5363,95,2853.0819,1306.1025,0,1678.5461,1067.2167,3237.7143,2.2,1,5,22810.669,1,0,0,0,0,0,585.64,0,0
3,1726.1076,25.4,482,2,2337,2245.7975,19,1213.3056,4303.3843,1444.5737,5869.2214,931.308,502.3039,1489.9214,617.3304,1160.9912,834.8911,1017.5084,1067.2207,1160.0129,697.6814,663.6461,1574.6518,1749.2666,1277.3999,1056.4039,84,2906.1855,1356.0495,0,1750.9461,1041.5967,3229.1059,2.4,1,1,22872.683,1,0,0,0,0,0,645.16,0,0
3,1681.2761,25.6,588,2,2613,2281.9783,21,1218.0634,4288.7572,1342.9835,5781.3074,838.7191,509.3905,1473.9417,551.9863,1109.1739,891.7059,1025.2904,1065.3587,1131.1336,671.3752,655.1808,1562.5541,1745.0368,1281.5969,1048.5482,95,2929.9137,1266.9684,0,1730.1395,1010.9888,3217.6545,3,1,8,22729.3049,1,0,0,0,0,0,655.36,0,0
1,1760.6382,22.6,700,4,3045,2411.6263,39,1204.3517,4357.1563,1387.3176,5956.9271,818.8161,506.9832,1421.4897,554.0614,1127.1929,756.4631,977.3351,1098.8487,1162.2125,713.1667,634.4849,1610.5262,1739.4664,1212.3325,997.4778,114,2954.9855,1329.7989,0,1703.0954,1014.2768,3266.9172,5.1,1,10,23010.5638,1,0,0,0,0,0,510.76,0,0
8,2077.2225,21.3,754,1,4370,2672.7939,37,1125.6684,4514.7262,1418.6628,6246.1614,686.5447,495.6139,1340.2668,483.0718,1043.2502,741.6227,879.6056,1046.0123,1144.6411,704.9462,623.6122,1585.1661,1818.8831,1264.5527,942.5271,122,3219.9844,1246.0911,0,1786.0228,902.0715,3430.0164,4.6,1,10,23941.2272,1,0,0,0,0,0,453.69,0,1
3,2367.9575,20.2,911,5,4441,2940.8113,36,1156.3321,5097.1758,1472.8336,7141.1638,555.1585,517.6477,1514.6991,473.9256,1039.8586,739.4086,933.9875,1121.9284,1088.4835,721.0939,602.2621,1940.3237,2175.0807,1347.4686,1000.9386,82,3799.3161,1327.2666,0,2179.5445,942.3354,4251.2191,3.1,1,10,28098.5228,1,0,0,0,0,0,408.04,0,0
6,2481.3653,19.1,826,3,3132,3142.9151,39,1131.0261,5405.2668,1397.7363,7640.9194,509.6606,453.8169,1394.2611,566.1368,1034.8272,749.8312,894.2657,1101.4074,1045.0037,666.1132,612.3577,1900.6688,2258.6667,1313.2564,932.3724,69,4089.0958,1227.3549,0,2291.4245,1010.5627,4399.7943,2.7,1,9,29380.0974,1,0,0,0,0,0,364.81,0,0
2,2588.4661,19,647,6,3167,2984.5057,40,1005.5699,5558.3499,1361.4258,7885.8269,478.2978,489.0124,1450.2775,490.3446,1061.5744,710.7331,967.431,1109.6778,1057.7902,649.8844,597.8504,1790.4558,2334.4077,1277.8816,889.2314,67,4207.5478,1243.7048,0,2242.9051,937.772,4427.6885,2.4,1,9,29897.4592,1,0,1,0,0,0,361,0,0
5,2391.3416,18.6,654,2,3454,2665.2101,54,925.6192,5485.129,1340.074,7666.4654,446.5148,471.5296,1528.5733,491.5577,1019.9199,731.6969,912.1608,1044.7896,971.4601,612.265,603.0883,1725.7525,2293.3125,1230.9459,851.8117,64,4238.3708,1258.0425,0,2108.4982,885.6762,4350.5403,3.3,1,9,29396.642,1,0,0,0,0,0,345.96,1,0
1,2028.8099,17.7,691,5,3726,2130.4939,56,879.0689,5201.0757,1209.2077,7106.8293,461.6882,487.572,1466.2846,529.6818,968.7024,692.3809,883.803,976.6479,923.0927,602.7135,605.1804,1631.867,2139.6656,1120.3788,811.8903,48,4255.5501,1213.346,0,2125.1291,869.844,4311.5148,5.3,1,8,28237.9162,1,0,0,1,0,0,313.29,0,0
2,1561.0823,16.9,484,1,1944,1583.4138,57,743.7914,4648.5842,1066.9548,6620.2864,341.7724,424.2788,1333.5543,372.6006,806.0244,622.941,876.7926,779.3614,808.7383,494.9976,539.6484,1537.4563,2043.2879,1021.9937,688.9131,48,4165.8461,1167.8283,0,2006.6111,824.3958,4089.5476,3.8,1,10,26445.1739,1,0,0,0,0,0,285.61,0,0
1,1425.4492,16.3,567,3,3,1500.1953,59,755.3486,4462.7194,1073.3459,6453.7872,359.5948,413.397,1312.2268,397.1365,817.621,615.438,866.2629,780.9079,790.4917,512.1418,553.2953,1508.2506,1969.7233,966.8374,674.8058,27,4086.9376,1165.2965,0,1977.7454,779.1655,3974.771,3.8,1,10,25746.1613,1,0,0,0,0,0,265.69,0,0
2,1353.9553,14.8,178,0,0,1422.068,72,758.8214,4285.3666,1047.0847,6403.8719,357.5068,438.3446,1324.3791,427.9947,790.3252,621.3185,878.2923,775.2452,811.4601,522.7168,540.7246,1486.5395,1934.094,947.6421,685.5552,15,3996.6506,1211.6665,0.3,1993.503,802.9178,4038.5609,4.3,0,10,25462.9656,1,0,0,0,1,0,219.04,0,0
0,1188.3777,13.7,133,1,0,1366.4664,88,769.5507,4106.8044,1050.7825,6248.9261,363.7693,422.2056,1337.7066,458.1155,809.7989,621.6143,845.8423,766.3665,778.3402,507.9992,546.6683,1409.8516,1882.4653,901.3318,684.2967,20,3882.1193,1173.9191,1.3,1960.9759,813.8575,3979.9374,2.9,0,10,24808.7866,1,0,0,0,0,0,187.69,0,0
0,1152.9875,12.9,50,1,0,1337.6341,92,780.5957,4004.4709,1038.6204,6248.0039,359.603,418.5833,1347.7452,458.152,833.6399,597.862,853.7472,773.0796,771.672,513.628,562.756,1395.1092,1876.214,895.7696,671.5423,14,3836.8694,1172.3749,2,1947.4494,821.8965,4003.718,4.3,0,10,24659.58,1,0,0,0,0,0,166.41,0,0
0,1064.2879,11.9,64,0,17,1280.3777,93,786.1633,3942.5301,1065.2767,6166.8923,366.2485,415.6186,1328.7133,470.1757,838.7159,583.1878,868.1465,768.0237,754.7435,508.4813,540.5608,1384.6702,1896.4323,882.9904,675.9435,13,3761.3774,1137.2521,3,1996.6617,816.4189,3956.0182,3.3,0,10,24433.2955,1,0,0,0,0,0,141.61,0,0
0,953.3754,11.2,127,0,653,1198.0089,95,774.8623,3823.0374,1033.4038,6086.4016,391.868,387.3722,1302.1481,469.432,828.925,602.3458,844.17,780.2849,750.9676,521.6638,540.2501,1380.4377,1933.0684,885.0196,673.9482,9,3744.5524,1204.627,3.4,1977.1321,754.6519,3963.0943,4.3,0,10,24209.872,1,0,0,0,0,0,125.44,0,0
0,954.4534,10.8,238,0,1019,1172.4093,95,765.4819,3777.4212,1017.8522,6008.5843,394.1875,393.8483,1339.1396,448.7932,835.3797,643.3838,898.9924,804.0229,752.6612,555.5512,579.9535,1436.0927,1933.2079,895.0796,687.3183,9,3713.3436,1186.553,3.4,1937.6316,773.3838,3892.7116,4.2,0,10,24038.1325,1,0,0,0,0,0,116.64,0,0
0,1110.3251,10.7,482,0,2692,1249.0918,95,880.8746,3684.2591,1197.1828,5772.004,357.8465,463.3052,1443.7279,447.0464,876.8638,653.4275,855.6602,895.9553,881.6586,603.8701,566.7677,1478.1002,1912.5161,1029.1033,721.4715,50,3485.5093,1226.5864,1.8,1911.2985,898.9481,3707.0605,4.2,0,10,23394.4756,1,0,0,0,0,0,114.49,0,0
1,1219.0625,11,811,0,4651,1316.0841,93,1045.3719,3683.9044,1249.9289,5626.1821,205.0395,480.6411,1391.0262,405.1838,1014.2837,697.9233,987.6976,956.8486,1007.4712,626.9236,625.4016,1478.791,1780.3547,1077.848,818.8052,48,3165.9708,1302.0839,0.3,1761.1181,887.6482,3400.1979,3.7,0,10,22287.5452,1,0,0,0,0,0,121,0,0
5,1203.8471,11.6,595,1,2920,1401.9634,82,1063.5589,3684.6076,1350.7386,5294.7765,219.613,506.13,1410.647,464.2474,1148.8389,724.36,1078.2539,1041.42,1007.9541,676.5443,598.457,1614.3987,1744.8985,1154.2958,893.0141,39.5,2975.2083,1333.3587,0,1607.5639,992.0677,3115.4442,3.9,1,10,21447.5447,1,0,0,0,0,1,134.56,0,0
0,1189.5757,12.4,410,5,1827,1528.4871,71,1172.7579,3803.9121,1367.6986,5282.5867,227.3722,511.3325,1404.4098,488.3557,1142.1642,809.4339,984.8188,1002.5655,1067.6418,658.7346,657.7414,1566.8446,1680.1847,1200.7659,928.4974,38.5,2944.2229,1311.0841,0,1620.9577,1030.9276,3065.2542,5.4,1,10,21368.3727,1,0,0,0,0,0,153.76,0,0
1,1303.3531,14.6,394,0,1779,1737.1221,66,1200.0979,3894.4584,1336.9209,5295.1255,336.8869,491.7273,1496.0409,488.1135,1156.8664,753.5372,953.4321,967.8108,1087.9398,662.1346,633.6779,1560.5488,1692.7258,1157.6264,1010.5362,12,3002.6121,1238.5629,0,1671.9071,994.919,3041.898,4.3,1,6,21655.3166,1,0,0,0,0,0,213.16,0,0
6,1485.346,15.7,424,1,2145,2040.7491,59,1149.057,4032.6017,1270.8592,5346.1429,524.0267,525.9267,1445.4102,813.961,1172.8992,735.8634,896.7684,1030.8898,1093.8223,644.1174,662.8522,1521.2138,1660.1919,1187.3667,963.2292,19,2871.465,1184.9191,0,1689.5396,979.3063,3124.2683,3.3,1,7,21690.8334,1,1,0,0,0,0,246.49,0,0
2,1587.8969,16.1,542,1,2272,2448.1885,59,1253.6539,3921.2733,1346.5742,5269.0343,627.8033,573.7529,1489.6653,856.2682,1215.2824,736.3378,973.9244,1105.2512,1138.4749,710.204,661.4231,1572.9007,1618.7722,1164.5593,997.198,16,2866.7625,1313.4203,0,1765.9279,1070.8869,3147.6831,3.5,1,9,21652.0193,1,0,0,0,0,0,259.21,0,0
4,1722.5117,15.5,543,7,2536,2468.4542,56,1246.1851,4095.3438,1352.1784,5462.192,793.6124,518.1493,1456.4873,767.1068,1199.8953,713.8103,1028.7803,1061.586,1170.0776,696.0417,647.6911,1548.9367,1647.5309,1189.2616,1031.8066,18,2934.4845,1284.0903,0,1669.5324,1077.2691,3145.4065,2.5,1,9,21959.9141,1,0,0,0,0,0,240.25,0,0
2,1880.3733,15.7,598,4,2768,2741.243,56,1219.6083,4029.8273,1347.968,5691.9162,796.7762,541.8087,1612.9515,597.58,1166.7848,747.3361,988.9921,1063.7223,1177.4816,641.9586,608.7363,1529.6538,1666.5086,1165.4363,1005.5951,44,2846.104,1261.1426,0,1688.8163,987.4305,3141.041,2.3,1,9,22206.8187,1,0,0,0,0,0,246.49,0,0
2,1837.007,15.9,690,1,3522,2821.5221,58,1194.4772,4191.9184,1340.2837,5706.7861,795.6324,518.0053,1475.2875,574.9668,1133.4993,723.7874,943.7135,1031.9418,1163.7175,739.7021,603.3658,1614.6049,1677.3198,1155.2499,996.377,9,2934.4686,1237.7065,0,1629.568,975.263,3233.6285,3,1,9,22463.5818,1,0,0,0,0,0,252.81,0,0
5,2043.8239,15.4,767,3,4617,3307.7603,59,1180.4478,4526.3883,1320.2792,6126.1951,737.632,502.3353,1547.8912,533.6825,1063.7313,730.2792,1004.0961,1085.0131,1164.7052,678.5835,617.0974,1672.5355,1809.1628,1222.4516,997.7113,11,3301.5879,1233.7101,0,1769.7094,1020.6782,3471.9529,3,1,9,24225.4231,1,0,0,0,0,0,237.16,0,1
3,2357.672,15,936,6,5139,3621.6415,58,1221.7036,5210.3431,1468.9732,7439.3101,710.8435,514.2528,1645.2321,551.6967,1193.2576,770.5801,915.6687,1137.5441,1190.25,695.3519,615.9476,1978.371,2208.9083,1388.9785,994.4353,40,4099.9604,1227.4837,0,2137.0651,997.9403,4272.0196,2.3,1,9,28991.2097,1,0,0,0,0,0,225,0,0
5,2533.7825,14.7,841,2,3716,3715.9743,59,1116.4609,5840.6968,1366.688,8136.4551,717.0104,473.633,1558.4663,567.5423,1147.7427,746.332,952.4751,1082.2726,1118.5129,699.8064,587.4819,1932.9252,2402.453,1402.3005,960.9155,8,4566.4883,1229.0324,0,2303.588,946.262,4798.1493,2.4,1,10,31539.222,1,0,0,0,0,0,216.09,0,0
3,2463.009,14.4,638,4,3678,3442.6069,57,1096.1853,6208.8172,1287.409,8365.6114,587.1558,492.0871,1570.8722,568.1398,1161.7978,748.3067,948.8837,1054.8988,1111.3837,677.3967,594.5247,1958.2853,2446.4038,1360.2761,932.5126,11,4922.7373,1230.3091,0,2253.5035,940.6194,4898.0116,2.7,1,9,32624.2423,1,0,1,0,0,0,207.36,0,0
3,2214.4051,13.9,636,2,3970,3152.2511,58,1000.1797,6174.1391,1241.5968,8361.2722,535.7181,457.2768,1607.159,535.1102,1035.9826,732.5589,923.9964,993.3728,1051.8604,683.0113,603.0177,1972.7968,2474.8002,1354.8667,867.8472,7,5072.6759,1218.142,0,2288.7333,893.5718,5004.7402,3.6,1,9,32956.3167,1,0,0,0,0,0,193.21,1,0
2,1864.8166,13,708,5,4470,2559.4781,62,896.114,5973.325,1229.9791,7851.2677,497.5227,467.4665,1540.5301,527.7581,993.226,676.0706,931.302,930.6958,947.35,626.3656,606.9763,1876.8644,2406.5242,1179.1762,789.0974,13,4930.2114,1248.3475,0,2154.6568,899.1545,4811.9068,3.1,1,6,31545.2864,1,0,0,1,0,0,169,0,0
4,1523.4356,12.3,668,2,2787,1907.8818,63,756.2156,5416.5801,966.3614,7093.7072,369.2885,456.881,1341.4252,430.3195,839.5611,633.2532,840.3436,807.7866,837.5246,574.0162,553.661,1591.7567,2231.1213,1020.3299,697.073,3,4769.3573,1179.3439,0,2038.3349,820.0186,4535.0064,2.5,1,6,29017.2891,1,0,0,0,0,0,151.29,0,0
1,1453.154,11.6,455,4,2,1752.8389,65,749.7035,5304.3295,962.7791,6897.2343,356.8,425.6617,1340.8809,467.8497,844.6045,632.4678,812.3507,789.0658,823.7491,538.6666,535.3174,1507.0722,2095.0775,998.1657,686.5199,21.5,4598.3537,1133.1535,0,1974.4586,776.0799,4387.4456,3.3,1,6,28104.8523,1,0,0,0,0,0,134.56,0,0
3,1251.3524,11.1,160,0,0,1686.4719,66,777.2418,5067.3237,975.305,6734.9345,354.5791,410.5072,1301.6645,422.9181,875.4299,621.2929,825.4639,765.6547,837.6659,533.9201,553.7906,1438.0602,2063.8422,971.4242,704.6162,18,4539.627,1182.0115,0,1918.3711,783.6703,4291.5712,3.5,1,6,27355.3944,1,0,0,0,1,0,123.21,0,0
1,1179.014,10.5,159,0,0,1548.8147,69,768.4794,4740.0232,964.4612,6527.3971,332.5987,425.4723,1281.888,435.7548,881.038,608.9659,818.4566,727.7582,837.4206,535.7395,556.425,1408.7682,1996.9761,916.9803,706.8041,15,4275.6478,1159.045,0,1892.4733,767.3017,4110.4517,2.9,1,9,26233.6254,1,0,0,0,0,0,110.25,0,0
0,1046.0996,10.8,62,3,0,1466.2247,68,772.7488,4449.1416,960.8713,6310.8129,372.896,429.0133,1300.8539,453.9831,880.8964,603.9941,823.7868,744.9938,826.4724,538.3368,557.3151,1384.2367,1957.1806,895.5328,689.7031,15,4077.2186,1140.4379,0,1931.6864,779.729,4022.8348,2.9,1,9,25433.9655,1,0,0,0,0,0,116.64,0,0
