"y","m20","bus_passenger","past_rent","temp","f15","sub_passenger","m35","wet","sunny","f20","m25","most_use","m50","f50","m0","m40","f45","m30","m5","f65","f0","f25","f60","m45","f70","f35","f40","f30","m55","f55","wind","m65","m60","m70","dust","cloud","X18_19","rain","semester","X17_18","X22_23","X7_8","X21_22","X23_24"
0,3481.3525,393,3,1.8,2255.1883,2177,1616.5206,37,1,4648.2518,3627.6926,21737.0262,898.046,816.4424,677.759,1034.5832,954.1123,1972.7596,1951.9843,581.6992,828.4641,3286.5011,649.4567,1026.4613,1292.1359,1368.0086,879.5719,1735.9394,856.0725,805.2629,1.4,440.202,575.7618,785.5772,36,0,0,0,0,0,0,0,0,0
0,4061.439,436,1,0.5,2646.9193,2172,1588.2836,38,0,5060.285,3857.673,23109.4736,881.8446,786.7407,625.3572,1078.4719,943.3894,2021.4605,2263.3812,566.1505,777.9175,3510.5175,669.0835,995.6357,1277.7392,1263.0188,879.2243,1746.7962,888.3974,813.6039,1.5,443.0869,579.374,747.7952,42,0,0,0,0,1,0,0,0,0
0,4256.555,374,1,-0.9,2808.1361,1919,1541.2446,42,0,5475.9384,4122.9342,24170.2517,832.9198,784.0434,714.8656,1063.4898,987.391,2106.8455,2380.0975,534.6887,673.987,3621.7632,655.461,1068.9945,1281.4106,1294.8336,894.2637,1750.1372,851.4151,769.2663,0.7,453.6725,619.3034,760.3326,46,1,1,0,0,0,0,0,0,0
2,4307.0667,305,0,-1.2,2620.2517,1822,1517.6744,45,0,5433.5806,4168.2017,24282.2147,881.6793,784.2678,600.0606,1055.6617,986.3548,2142.992,2302.7393,559.3522,584.2799,3618.2199,706.2706,1070.2002,1222.8802,1328.7882,853.9846,1765.6912,842.4864,799.8908,0.9,444.6465,617.974,769.1565,43,7,0,0,0,0,0,0,0,0
0,3809.3629,482,0,-1.6,2174.8429,3216,1425.254,47,0,5054.2346,3987.5885,22705.0773,838.2168,756.7894,480.8395,971.6193,908.8601,2022.8202,1990.2825,562.3245,505.39,3458.2767,680.7566,1046.1585,1215.1594,1213.1176,840.3534,1734.4228,864.8032,742.736,0.9,438.4032,558.3138,746.3631,44,4,0,0,0,0,0,0,0,0
0,2966.0381,634,0,-2.4,1027.2487,4686,1368.3173,49,0,4384.5668,3306.7813,19868.6887,816.4539,779.8195,554.185,890.7127,866.2712,1845.7715,1010.5843,561.7106,380.3577,3166.2979,675.7285,1025.4351,1241.576,1187.2465,796.9554,1643.6693,802.2568,757.9299,2.1,424.2162,546.7402,756.3511,49,3,0,0,0,0,0,0,1,0
0,2697.6954,340,2,-2.5,752.5396,1294,1298.3517,49,0,4242.8454,3215.2554,19227.1009,801.8453,794.7583,514.7113,862.1241,842.5428,1777.7479,665.6039,524.8618,388.5686,3115.3854,695.5734,974.7318,1222.1237,1215.4682,782.2246,1664.3515,810.0397,727.5439,1,442.2193,568.5069,751.4911,48,6,0,0,0,0,1,0,0,0
1,2496.8181,124,0,-2.6,637.14,312,1229.9252,52,0,4208.4572,3131.7732,18418.4618,730.9854,672.8306,461.283,818.7908,746.8139,1621.3565,515.973,501.4084,300.0897,3002.7874,611.6483,895.2271,1108.3629,1097.3711,646.9265,1629.9731,759.3371,622.0597,0.9,404.4098,509.645,784.51,52,8,0,0,0,0,0,0,0,1
0,2528.0976,36,0,-2.8,598.9934,2,1254.9868,55,0,4230.2852,3054.5089,18420.8415,725.6719,677.3715,459.8054,791.2885,749.1479,1649.3404,527.3301,493.9842,330.7562,2960.1867,629.755,906.0489,1148.3885,1067.6567,643.7032,1675.7792,728.0094,629.466,2.3,416.2185,491.5773,770.8469,51,7,0,0,0,0,0,0,0,0
1,2550.0382,13,0,-2.9,607.0678,0,1252.7303,57,0,4255.3486,3069.2582,18537.3961,745.1448,682.0035,471.4803,827.1632,770.2866,1676.1082,506.7215,510.7964,341.9429,2997.0907,615.1559,886.2969,1135.7623,1080.3975,685.7243,1656.4244,726.0669,619.1185,2.1,398.5573,494.3149,763.9788,55,8,0,0,0,0,0,0,0,0
1,2538.5105,19,1,-2.6,588.4983,0,1256.0014,57,0,4273.9491,3066.2662,18521.2688,744.1317,689.4129,492.5551,817.9012,754.7675,1675.8869,524.8589,484.6168,344.1256,3008.6295,622.665,875.2236,1126.2161,1060.8378,660.4695,1641.1874,726.8703,589.0645,1.9,406.412,496.8338,745.4565,51,8,0,0,0,0,0,0,0,0
0,2514.5834,8,0,-2.1,605.8067,0,1213.0688,56,0,4276.3212,3082.9688,18543.7858,750.5879,697.1884,445.0988,803.6301,739.2058,1698.6529,526.9761,487.8129,355.3955,3002.3673,619.0804,904.0857,1136.0043,1080.4464,659.0926,1675.377,716.3295,595.6035,2.5,417.9578,500.0517,737.3836,38,9,0,0,0,0,0,0,0,0
0,2554.3603,12,0,-1.9,637.0526,5,1205.585,55,0,4266.5884,3061.9827,18543.7955,728.445,679.593,434.6023,796.9997,754.1053,1704.6129,544.9547,482.6152,338.3259,2968.2033,635.7418,899.1318,1123.3199,1103.7989,660.6537,1678.664,714.0956,581.9424,2,414.0992,501.2277,748.4007,41,8,0,0,0,0,0,0,0,0
0,2545.7365,37,0,-1.9,665.0012,161,1224.7163,56,0,4218.3895,3049.3064,18453.4719,731.1179,675.7104,412.9007,821.4094,731.9394,1695.6564,548.4396,511.8701,324.6109,2984.2089,635.9868,906.7302,1157.4969,1075.489,647.9535,1659.9689,713.7302,595.7291,2.3,426.0584,510.728,747.7826,43,9,0,0,0,0,0,0,0,0
0,2542.303,56,0,-1.9,639.7209,246,1212.6061,66,0,4248.1746,3031.7595,18440.4493,746.232,680.5979,420.7984,799.429,746.2945,1690.2626,574.8667,538.8868,324.349,2973.5895,658.7549,925.2835,1164.5989,1073.0664,661.6567,1668.6876,713.4863,601.7095,2.5,431.7673,517.5398,759.6752,43,9,0,0,0,0,0,0,0,0
