"y","station_dist","station_type","rain","wet","snow","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m30","m35","m45","m55","m65","m70","f20","f25","f35","f60","f70","bus_passenger","sub_passenger"
8,37,0,0,39,0,0,1.69,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,233.8962,1752.4575,1507.9962,1316.8713,1043.4282,499.5477,945.2699,6372.9343,3197.211,1479.6124,794.1783,1311.9483,625,2980
13,611,0,0,51,0,9,566.44,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,260.7928,1734.7215,1586.4143,1341.9249,1093.3172,472.2632,926.1467,6423.1205,3193.2113,1527.031,769.0102,1223.1915,798,4134
5,116,1,0,30,0,0,51.84,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,277.3253,1725.1255,1448.1426,1346.2546,1076.5803,473.955,990.5393,5274.5464,3166.0891,1458.7994,826.2087,1370.6385,375,1679
0,611,0,0,61,0,0,108.16,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.6244,1943.4133,1279.2237,1006.4783,756.2706,390.1119,797.4649,6394.3661,4105.8386,1318.8985,631.5252,1188.4305,48,0
8,546,0,0,67,0,9,62.41,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,271.2684,1648.5552,1532.8973,1302.0779,1074.4681,511.2443,972.4297,6379.4728,3186.4895,1486.7785,839.7352,1337.9746,507,2032
3,232,0,0,38,0,7,806.56,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,261.309,1698.3476,1590.4714,1379.6748,1042.0039,519.7286,987.9379,5927.9808,3259.7202,1446.7991,825.7527,1426.3531,605,2528
2,17,1,0,74,0,4,34.81,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,282.4013,2052.4282,1669.4041,1274.7064,898.0763,459.598,868.0439,5772.4912,4048.9604,1498.8074,776.2633,1175.4304,523,2718
2,113,0,0,59,0,5,372.49,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,233.075,1765.1518,1603.6445,1354.1766,1133.9268,461.1562,930.997,6654.9277,3267.8871,1485.1183,768.1023,1284.3898,908,4071
1,51,0,0,77,0,9,28.09,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,267.0472,2418.1015,1691.2888,1149.6218,862.5034,443.9994,876.0076,7253.1818,4583.8539,1372.1559,658.6308,1200.6045,394,2686
1,17,1,0,50,0,6,198.81,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,252.1311,2352.5892,1819.1544,1356.2546,1071.288,421.2394,932.8976,7749.2051,5076.3338,1691.6887,742.9661,1214.6272,815,3257
0,611,0,0,60,0,0,5.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.944,1795.0466,1285.2133,960.1322,768.9778,389.0778,779.3745,4997.4425,3782.4621,1240.4557,615.1343,1193.7145,61,0
0,546,0,0,73,0,0,428.49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,261.6459,2198.132,1592.8944,1120.4555,924.7018,467.1664,871.7374,7216.1312,4498.8827,1389.3418,664.2558,1339.4291,518,3195
6,37,0,0,39,0,0,243.36,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,200.6545,1807.8217,1558.3561,1339.3323,1065.7141,469.0271,977.0731,6447.546,3744.1162,1599.485,757.6548,1208.5257,832,4277
9,116,1,0,50,0,2,231.04,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,224.6603,1634.4579,1470.9525,1296.3306,1090.7232,441.6373,853.8215,6628.9277,3089.9726,1514.2496,775.7819,1238.6916,361,1706
7,113,0,0,65,0,7,846.81,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,245.7411,1989.8099,1617.599,1186.6395,985.7055,474.0119,814.3827,6092.6747,3881.6702,1511.6583,754.4236,1227.5192,894,4147
1,546,0,0,35,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,198.9504,1896.9606,1631.4008,1272.7957,1063.4642,477.4896,913.758,5014.3307,3198.0204,1380.642,765.4005,1354.0324,626,3566
0,554,0,0,59,0,7,132.25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.263,1960.4283,1345.1963,1052.8541,820.0538,395.4305,796.6224,6579.8638,3999.8605,1343.3343,602.7764,1237.3678,94,716
3,232,0,0,63,0,2,33.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.5775,1644.0086,1279.479,1171.7635,913.92,471.3196,829.3303,4150.8278,3176.0855,1329.0239,722.2764,1307.7351,730,4207
0,546,0,9.9,99,0,10,161.29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.4281,1856.1099,1274.7313,945.7844,711.3919,403.159,941.3796,5540.6634,3673.3774,1219.2317,628.8244,1185.7772,121,430
0,113,0,0,97,0,10,127.69,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,204.4466,1834.178,1266.6615,988.7503,811.3004,400.583,743.2827,4859.8265,3314.1015,1211.6897,666.0773,1184.5512,204,918
0,37,0,0,62,0,1,123.21,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,299.2948,1733.2493,1531.7415,1292.3872,1047.4982,481.3625,941.0345,5372.2765,3283.8786,1475.7818,763.1082,1489.8876,320,1382
11,116,1,0,35,0,0,268.96,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,316.6821,1658.3492,1663.3788,1432.7262,958.062,485.9526,969.2361,5558.4565,3261.4588,1442.1852,830.866,1298.7459,445,1909
0,113,0,0,91,0,8,488.41,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.2805,1899.9316,1428.5655,988.4178,713.8194,445.2788,818.2074,6068.503,3916.6003,1317.0237,677.2155,1278.589,201,1006
2,51,0,0,81,0,8,561.69,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,273.7727,2140.9298,1544.8531,1007.5849,811.4554,435.8642,820.4683,6926.1217,4224.4822,1393.0546,756.7036,1331.5004,461,2614
6,113,0,0,61,0,1,979.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,303.9118,1956.3479,1758.9504,1279.0015,961.7984,439.3532,826.1348,5885.9489,3888.3886,1549.4318,734.0212,1295.2376,994,4119
2,51,0,0,53,0,5,1156,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,207.9293,1936.8484,1488.8656,1103.9466,802.3422,448.1733,746.4235,4559.8898,3290.2041,1368.9415,689.6064,1189.7418,435,1737
5,611,0,0,73,0,7,324,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,173.4544,2415.8067,1824.7608,1438.3367,1008.7174,484.5792,958.3083,7717.1357,4755.8356,1673.5057,736.8537,1403.087,596,3217
3,232,0,0,70,0,7,894.01,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,229.7311,2126.7973,1534.301,1208.3388,901.7959,482.032,774.2397,6441.2314,4158.4603,1403.2111,743.9396,1371.6103,696,2922
1,17,1,0,82,0,7,445.21,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.7884,1920.817,1337.7045,1002.2002,740.8496,392.5765,866.9155,6359.1552,3980.5556,1354.828,674.6865,1194.4691,48,14
1,554,0,0,94,0,10,515.29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,322.6149,2097.9043,1646.5739,1205.7432,874.4537,431.0058,894.4558,5806.0646,3981.3285,1541.0971,711.5135,1170.9856,447,2223
2,116,1,0,75,0,6,17.64,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.0172,1855.3954,1335.504,1166.2146,772.8032,450.6998,853.8299,5507.7092,3705.2642,1317.4889,668.7623,1180.492,445,2399
0,83,0,0,71,0,7,49,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.2285,1902.3567,1318.34,952.2935,746.0287,400.6121,794.698,5787.147,3747.1154,1203.4335,602.411,1194.8869,51,0
0,17,1,7.3,95,0,10,640.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,236.0618,1648.0091,1532.2609,1249.753,987.9277,457.5783,968.9584,4496.1975,3024.6095,1391.1295,743.3596,1373.4963,424,0
1,232,0,0,64,0,2,70.56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.048,1870.0313,1305.1921,1088.9285,753.2937,414.7382,898.9413,5121.2767,3863.7286,1269.4038,646.8691,1246.6346,188,786
13,37,0,0,74,0,6,846.81,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,245.7425,2215.0355,1661.9516,1096.2038,921.7482,429.7049,872.2125,6468.664,4335.8032,1478.2038,678.9701,1314.0715,739,3214
0,113,0,0,62,0,3,44.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.5924,1896.8706,1355.7347,1142.2567,878.6896,456.4421,854.6019,4991.4113,3598.3117,1335.0701,686.807,1362.7309,368,2455
4,128,0,0,94,0,10,388.09,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,192.5781,1962.3401,1429.6397,1030.3238,811.489,365.4213,791.4187,6390.1069,4141.2541,1322.8623,657.909,1201.1997,434,1448
0,17,1,22.1,95,0,10,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,245.6139,2133.5353,1667.8445,1248.7468,920.8917,470.071,955.943,5441.3544,3949.2849,1435.7552,705.1944,1313.8424,1055,0
9,83,0,0,58,0,2,125.44,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,249.6346,2247.5784,1772.6174,1513.9515,978.2085,462.466,880.2638,7620.6085,4403.8712,1608.7588,740.9329,1369.2797,666,2931
3,51,0,0,56,0,7,556.96,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,299.3184,1640.7543,1491.1255,1349.9532,1089.4873,496.1547,973.6033,5894.8915,3110.82,1426.096,820.7071,1478.8546,390,1841
0,128,0,0,57,0,0,23.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.6679,1825.1865,1267.5323,1047.3797,682.0138,391.9787,752.7613,5110.9426,3694.5601,1181.4535,622.5838,1136.5285,31,0
3,51,0,0,84,0,9,392.04,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,264.2935,1627.059,1455.1778,1300.6949,1093.7187,553.8492,987.6609,6062.0313,3142.9535,1408.6073,798.5719,1520.5106,405,1804
0,128,0,0,54,0,8,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.5609,1810.5914,1302.9608,948.3908,659.4891,379.3524,818.0497,4496.1143,3644.3304,1119.0133,638.9018,1114.2486,74,0
3,232,0,0,40,0,0,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,306.956,2335.202,1588.3924,1204.4573,869.2446,487.4568,892.3602,6122.8423,4356.5836,1374.5328,733.449,1234.6653,564,2794
0,232,0,0,55,0,6,6.76,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.8861,2004.9925,1402.5372,1043.3497,806.0232,395.9449,813.1277,6357.8116,4026.3301,1393.7355,632.978,1207.1846,49,0
0,17,1,0,84,0,9,285.61,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.7924,1878.9346,1292.4584,1005.2735,791.2363,421.4685,813.3942,6123.7875,3858.5665,1293.0184,651.9779,1172.7155,164,886
19,128,0,0,63,0,7,635.04,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,265.8523,2120.0284,1862.4776,1409.8832,1051.2305,498.8731,914.8063,7060.6953,4185.7014,1606.3028,833.7367,1394.0092,986,4233
2,232,0,2.2,85,0,9,876.16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,366.4601,2164.8907,1593.7996,1133.7145,973.0876,435.9322,874.037,5414.7368,4023.3513,1474.0801,695.3012,1190.3287,662,2806
0,116,1,0,57,0,6,62.41,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,184.9627,1990.4485,1391.4744,1042.913,800.5001,388.9069,794.5161,6616.7478,4352.0756,1326.7131,620.407,1245.6584,501,1424
3,128,0,0,48,0,0,547.56,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,270.4714,1909.6247,1725.8678,1327.2962,1060.6478,545.535,980.0679,6034.0958,3555.79,1530.7644,777.0619,1291.8658,752,4375
3,83,0,0,71,0,8,789.61,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,249.905,2068.2871,1524.6302,1108.1366,814.5223,392.814,775.986,5712.3574,3682.5877,1612.0776,685.915,1240.2526,436,1922
1,51,0,0,61,0,9,761.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,269.0291,1610.8527,1583.4326,1305.3453,1103.3306,548.6524,917.4036,4948.1239,3009.013,1382.2208,751.8625,1221.786,467,1843
2,83,0,0,71,0,10,207.36,1,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.6333,2130.4028,1440.8745,999.7189,845.2801,447.8731,786.0858,6432.5938,3880.129,1274.7493,665.5948,1130.383,85,0
0,554,0,0,46,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,275.9122,1376.3193,1091.8781,940.133,747.2992,370.9851,841.8797,2888.2735,2114.1896,1018.6228,625.0261,1117.9438,162,888
4,37,0,0,66,0,4,852.64,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,420.4199,1577.6648,1408.0318,1164.7189,874.2853,487.6112,898.8447,4704.1425,3023.7435,1471.4674,755.9661,1467.2429,388,1507
0,546,0,2.3,93,0,10,380.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,249.9788,1688.9017,1485.9586,1352.7921,1075.1447,494.4427,898.738,5954.2793,2978.3254,1363.2297,839.3462,1283.8678,409,1718
2,554,0,0,53,0,8,77.44,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.5312,1662.8501,1488.644,1302.9748,1074.8029,504.5365,1050.868,5255.4219,3212.9462,1371.5951,776.1571,1400.7803,541,2760
9,546,0,0,40,0,8,635.04,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,236.22,1705.6992,1521.8913,1355.426,1093.8584,575.6959,1165.5399,6309.9232,3142.4459,1471.8129,879.0261,1508.4023,494,2141
0,113,0,0,91,0,10,561.69,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.9598,1630.2612,1449.1411,1256.1838,1003.2512,534.4684,917.2325,4789.5558,2992.4431,1418.2491,730.9303,1419.5757,581,2855
0,113,0,0,54,0,9,77.44,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.5901,1882.7424,1389.2645,1231.9196,775.5774,420.0319,917.1872,5701.228,3804.3837,1349.556,653.2664,1275.9255,467,2521
1,546,0,0,63,0,0,33.64,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,268.5014,2515.2526,1924.4436,1447.5343,1187.7772,530.2498,964.8609,7641.3531,5019.4075,1714.6936,785.7704,1267.3735,856,3249
0,611,0,0,86,0,9,163.84,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.4462,2068.3272,1529.2211,1007.579,774.3634,407.2192,864.1846,6657.1699,4205.3857,1303.7965,663.9906,1126.2621,116,0
0,546,0,0,92,0,7,718.24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.8256,1885.9393,1417.6439,989.959,775.9355,417.8395,754.6534,5678.2897,4017.3774,1254.952,616.7827,1171.5346,50,0
2,17,1,0,84,0,10,645.16,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,235.2487,1928.1518,1478.4461,1036.4724,792.2073,382.2495,721.5371,4682.0114,3412.0025,1417.7144,659.5947,1168.5786,302,1255
0,116,1,0,58,0,6,1.69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.9589,1873.6968,1342.1071,1003.1603,729.8653,431.0817,841.2836,5011.0266,3882.4279,1219.464,649.2754,1242.031,14,0
0,113,0,0,74,0,1,262.44,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.6755,1846.4245,1362.4439,1077.9088,776.5124,396.6403,825.587,6377.8285,4008.725,1341.1307,639.7088,1269.7353,244,1039
0,17,1,0,77,0,9,272.25,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.5838,1945.0103,1357.0577,1078.2072,801.2814,391.8883,786.1365,5572.128,3638.8037,1327.0418,670.6933,1134.146,437,1966
0,83,0,0,74,0,0,42.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.671,1909.5869,1386.2405,1066.545,756.26,422.1973,845.7422,6350.3917,4162.6766,1337.9427,643.7809,1212.4712,115,720
4,17,1,0,87,0,10,295.84,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,242.0267,2256.1499,1758.9228,1266.0325,873.0195,469.2993,928.1515,7067.2627,4528.3917,1448.4039,728.9645,1215.9913,636,2885
3,116,1,0,93,0,10,388.09,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.1892,1863.7775,1275.4772,977.3707,799.3031,404.7388,837.7079,6095.0806,3910.5351,1348.5996,687.2027,1183.1795,242,955
0,113,0,0,82,0,10,686.44,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,310.5259,1614.4554,1483.6688,1237.0416,933.3944,496.583,880.9652,4563.9683,2969.2855,1408.3769,765.9275,1340.7385,372,1627
