"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X22_23","X23_24","weekend","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f15","f30","f40","f55","f60","f65","f70","bus_passenger","sub_passenger"
0,1.8,0,1.4,37,0,36,3.24,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,312.8113,1951.9843,3481.3525,3627.6926,1972.7596,1616.5206,1034.5832,1026.4613,898.046,856.0725,575.7618,440.202,785.5772,828.4641,2255.1883,1735.9394,879.5719,805.2629,649.4567,581.6992,1292.1359,393,2177
0,0.5,0,1.5,38,0,42,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,288.6263,2263.3812,4061.439,3857.673,2021.4605,1588.2836,1078.4719,995.6357,881.8446,888.3974,579.374,443.0869,747.7952,777.9175,2646.9193,1746.7962,879.2243,813.6039,669.0835,566.1505,1277.7392,436,2172
0,-0.9,0,0.7,42,1,46,0.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,329.9373,2380.0975,4256.555,4122.9342,2106.8455,1541.2446,1063.4898,1068.9945,832.9198,851.4151,619.3034,453.6725,760.3326,673.987,2808.1361,1750.1372,894.2637,769.2663,655.461,534.6887,1281.4106,374,1919
2,-1.2,0,0.9,45,7,43,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,276.9508,2302.7393,4307.0667,4168.2017,2142.992,1517.6744,1055.6617,1070.2002,881.6793,842.4864,617.974,444.6465,769.1565,584.2799,2620.2517,1765.6912,853.9846,799.8908,706.2706,559.3522,1222.8802,305,1822
0,-1.6,0,0.9,47,4,44,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,221.9256,1990.2825,3809.3629,3987.5885,2022.8202,1425.254,971.6193,1046.1585,838.2168,864.8032,558.3138,438.4032,746.3631,505.39,2174.8429,1734.4228,840.3534,742.736,680.7566,562.3245,1215.1594,482,3216
0,-2.4,0,2.1,49,3,49,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255.7777,1010.5843,2966.0381,3306.7813,1845.7715,1368.3173,890.7127,1025.4351,816.4539,802.2568,546.7402,424.2162,756.3511,380.3577,1027.2487,1643.6693,796.9554,757.9299,675.7285,561.7106,1241.576,634,4686
0,-2.5,0,1,49,6,48,6.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,237.5586,665.6039,2697.6954,3215.2554,1777.7479,1298.3517,862.1241,974.7318,801.8453,810.0397,568.5069,442.2193,751.4911,388.5686,752.5396,1664.3515,782.2246,727.5439,695.5734,524.8618,1222.1237,340,1294
1,-2.6,0,0.9,52,8,52,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,212.8995,515.973,2496.8181,3131.7732,1621.3565,1229.9252,818.7908,895.2271,730.9854,759.3371,509.645,404.4098,784.51,300.0897,637.14,1629.9731,646.9265,622.0597,611.6483,501.4084,1108.3629,124,312
0,-2.8,0,2.3,55,7,51,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.2175,527.3301,2528.0976,3054.5089,1649.3404,1254.9868,791.2885,906.0489,725.6719,728.0094,491.5773,416.2185,770.8469,330.7562,598.9934,1675.7792,643.7032,629.466,629.755,493.9842,1148.3885,36,2
1,-2.9,0,2.1,57,8,55,8.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217.6059,506.7215,2550.0382,3069.2582,1676.1082,1252.7303,827.1632,886.2969,745.1448,726.0669,494.3149,398.5573,763.9788,341.9429,607.0678,1656.4244,685.7243,619.1185,615.1559,510.7964,1135.7623,13,0
