"y","temp","rain","wind","wet","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m10","m5","m25","m30","m35","m40","m45","m55","m60","m65","m70","f15","f20","f25","f30","f40","f45","f50","f55","f65","bus_passenger","sub_passenger"
3,1.8,0,1.4,37,0,3.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,677.759,312.8113,1951.9843,3627.6926,1972.7596,1616.5206,1034.5832,1026.4613,856.0725,575.7618,440.202,785.5772,2255.1883,4648.2518,3286.5011,1735.9394,879.5719,954.1123,816.4424,805.2629,581.6992,393,2177
4,0.5,0,1.5,38,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625.3572,288.6263,2263.3812,3857.673,2021.4605,1588.2836,1078.4719,995.6357,888.3974,579.374,443.0869,747.7952,2646.9193,5060.285,3510.5175,1746.7962,879.2243,943.3894,786.7407,813.6039,566.1505,436,2172
5,-0.9,0,0.7,42,1,0.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,714.8656,329.9373,2380.0975,4122.9342,2106.8455,1541.2446,1063.4898,1068.9945,851.4151,619.3034,453.6725,760.3326,2808.1361,5475.9384,3621.7632,1750.1372,894.2637,987.391,784.0434,769.2663,534.6887,374,1919
0,-1.2,0,0.9,45,7,1.44,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,600.0606,276.9508,2302.7393,4168.2017,2142.992,1517.6744,1055.6617,1070.2002,842.4864,617.974,444.6465,769.1565,2620.2517,5433.5806,3618.2199,1765.6912,853.9846,986.3548,784.2678,799.8908,559.3522,305,1822
0,-1.6,0,0.9,47,4,2.56,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,480.8395,221.9256,1990.2825,3987.5885,2022.8202,1425.254,971.6193,1046.1585,864.8032,558.3138,438.4032,746.3631,2174.8429,5054.2346,3458.2767,1734.4228,840.3534,908.8601,756.7894,742.736,562.3245,482,3216
0,-2.4,0,2.1,49,3,5.76,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,554.185,255.7777,1010.5843,3306.7813,1845.7715,1368.3173,890.7127,1025.4351,802.2568,546.7402,424.2162,756.3511,1027.2487,4384.5668,3166.2979,1643.6693,796.9554,866.2712,779.8195,757.9299,561.7106,634,4686
1,-2.5,0,1,49,6,6.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,514.7113,237.5586,665.6039,3215.2554,1777.7479,1298.3517,862.1241,974.7318,810.0397,568.5069,442.2193,751.4911,752.5396,4242.8454,3115.3854,1664.3515,782.2246,842.5428,794.7583,727.5439,524.8618,340,1294
0,-2.6,0,0.9,52,8,6.76,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,461.283,212.8995,515.973,3131.7732,1621.3565,1229.9252,818.7908,895.2271,759.3371,509.645,404.4098,784.51,637.14,4208.4572,3002.7874,1629.9731,646.9265,746.8139,672.8306,622.0597,501.4084,124,312
1,-2.8,0,2.3,55,7,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.8054,212.2175,527.3301,3054.5089,1649.3404,1254.9868,791.2885,906.0489,728.0094,491.5773,416.2185,770.8469,598.9934,4230.2852,2960.1867,1675.7792,643.7032,749.1479,677.3715,629.466,493.9842,36,2
1,-2.9,0,2.1,57,8,8.41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.4803,217.6059,506.7215,3069.2582,1676.1082,1252.7303,827.1632,886.2969,726.0669,494.3149,398.5573,763.9788,607.0678,4255.3486,2997.0907,1656.4244,685.7243,770.2866,682.0035,619.1185,510.7964,13,0
0,-2.6,0,1.9,57,8,6.76,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.5551,227.333,524.8589,3066.2662,1675.8869,1256.0014,817.9012,875.2236,726.8703,496.8338,406.412,745.4565,588.4983,4273.9491,3008.6295,1641.1874,660.4695,754.7675,689.4129,589.0645,484.6168,19,0
0,-2.1,0,2.5,56,9,4.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.0988,205.4296,526.9761,3082.9688,1698.6529,1213.0688,803.6301,904.0857,716.3295,500.0517,417.9578,737.3836,605.8067,4276.3212,3002.3673,1675.377,659.0926,739.2058,697.1884,595.6035,487.8129,8,0
1,-1.9,0,2,55,8,3.61,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.6023,200.5852,544.9547,3061.9827,1704.6129,1205.585,796.9997,899.1318,714.0956,501.2277,414.0992,748.4007,637.0526,4266.5884,2968.2033,1678.664,660.6537,754.1053,679.593,581.9424,482.6152,12,5
1,-1.9,0,2.3,56,9,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.9007,190.5695,548.4396,3049.3064,1695.6564,1224.7163,821.4094,906.7302,713.7302,510.728,426.0584,747.7826,665.0012,4218.3895,2984.2089,1659.9689,647.9535,731.9394,675.7104,595.7291,511.8701,37,161
