"y","bus_passenger","past_rent","sub_passenger","temp","wet","f20","X8_9","m20","most_use","sunny","f0","m30","m25","dust","f25","m45","m0","m55","m5","m50","f70","f65","f40","f15","wind","f55","m40","f50","f30","f45","rain","cloud","f35","f60","m65","m35","m60","m70","temp.sqr","weekend","X18_19","X6_7","semester","X21_22","X1_2","snow","X7_8","X16_17"
2,334,0,1831,1.9,35,4504.0262,0,3021.9892,20581.514,1,892.3827,1904.7691,3308.7379,46,3165.0785,1075.261,768.3739,810.2722,1533.5207,856.697,1237.8167,560.3337,897.7426,1725.9705,1.7,831.9715,1074.65,775.275,1726.6451,945.9123,0,0,1318.7469,641.0388,425.5368,1631.5211,516.2654,811.7398,3.61,1,0,0,0,0,0,0,0,0
1,393,0,2177,1.8,37,4648.2518,0,3481.3525,21737.0262,1,828.4641,1972.7596,3627.6926,36,3286.5011,1026.4613,677.759,856.0725,1951.9843,898.046,1292.1359,581.6992,879.5719,2255.1883,1.4,805.2629,1034.5832,816.4424,1735.9394,954.1123,0,0,1368.0086,649.4567,440.202,1616.5206,575.7618,785.5772,3.24,1,0,0,0,0,0,0,0,1
1,436,0,2172,0.5,38,5060.285,0,4061.439,23109.4736,0,777.9175,2021.4605,3857.673,42,3510.5175,995.6357,625.3572,888.3974,2263.3812,881.8446,1277.7392,566.1505,879.2243,2646.9193,1.5,813.6039,1078.4719,786.7407,1746.7962,943.3894,0,0,1263.0188,669.0835,443.0869,1588.2836,579.374,747.7952,0.25,1,0,0,0,0,0,0,0,0
0,374,2,1919,-0.9,42,5475.9384,0,4256.555,24170.2517,0,673.987,2106.8455,4122.9342,46,3621.7632,1068.9945,714.8656,851.4151,2380.0975,832.9198,1281.4106,534.6887,894.2637,2808.1361,0.7,769.2663,1063.4898,784.0434,1750.1372,987.391,0,1,1294.8336,655.461,453.6725,1541.2446,619.3034,760.3326,0.81,1,1,0,0,0,0,0,0,0
0,305,0,1822,-1.2,45,5433.5806,0,4307.0667,24282.2147,0,584.2799,2142.992,4168.2017,43,3618.2199,1070.2002,600.0606,842.4864,2302.7393,881.6793,1222.8802,559.3522,853.9846,2620.2517,0.9,799.8908,1055.6617,784.2678,1765.6912,986.3548,0,7,1328.7882,706.2706,444.6465,1517.6744,617.974,769.1565,1.44,1,0,0,0,0,0,0,0,0
0,482,0,3216,-1.6,47,5054.2346,0,3809.3629,22705.0773,0,505.39,2022.8202,3987.5885,44,3458.2767,1046.1585,480.8395,864.8032,1990.2825,838.2168,1215.1594,562.3245,840.3534,2174.8429,0.9,742.736,971.6193,756.7894,1734.4228,908.8601,0,4,1213.1176,680.7566,438.4032,1425.254,558.3138,746.3631,2.56,1,0,0,0,0,0,0,0,0
0,634,0,4686,-2.4,49,4384.5668,0,2966.0381,19868.6887,0,380.3577,1845.7715,3306.7813,49,3166.2979,1025.4351,554.185,802.2568,1010.5843,816.4539,1241.576,561.7106,796.9554,1027.2487,2.1,757.9299,890.7127,779.8195,1643.6693,866.2712,0,3,1187.2465,675.7285,424.2162,1368.3173,546.7402,756.3511,5.76,1,0,0,0,1,0,0,0,0
1,340,1,1294,-2.5,49,4242.8454,0,2697.6954,19227.1009,0,388.5686,1777.7479,3215.2554,48,3115.3854,974.7318,514.7113,810.0397,665.6039,801.8453,1222.1237,524.8618,782.2246,752.5396,1,727.5439,862.1241,794.7583,1664.3515,842.5428,0,6,1215.4682,695.5734,442.2193,1298.3517,568.5069,751.4911,6.25,1,0,0,0,0,0,0,0,0
0,124,1,312,-2.6,52,4208.4572,0,2496.8181,18418.4618,0,300.0897,1621.3565,3131.7732,52,3002.7874,895.2271,461.283,759.3371,515.973,730.9854,1108.3629,501.4084,646.9265,637.14,0.9,622.0597,818.7908,672.8306,1629.9731,746.8139,0,8,1097.3711,611.6483,404.4098,1229.9252,509.645,784.51,6.76,1,0,0,0,0,0,0,0,0
1,36,0,2,-2.8,55,4230.2852,0,2528.0976,18420.8415,0,330.7562,1649.3404,3054.5089,51,2960.1867,906.0489,459.8054,728.0094,527.3301,725.6719,1148.3885,493.9842,643.7032,598.9934,2.3,629.466,791.2885,677.3715,1675.7792,749.1479,0,7,1067.6567,629.755,416.2185,1254.9868,491.5773,770.8469,7.84,1,0,0,0,0,0,0,0,0
0,13,0,0,-2.9,57,4255.3486,0,2550.0382,18537.3961,0,341.9429,1676.1082,3069.2582,55,2997.0907,886.2969,471.4803,726.0669,506.7215,745.1448,1135.7623,510.7964,685.7243,607.0678,2.1,619.1185,827.1632,682.0035,1656.4244,770.2866,0,8,1080.3975,615.1559,398.5573,1252.7303,494.3149,763.9788,8.41,1,0,0,0,0,1,0,0,0
1,19,0,0,-2.6,57,4273.9491,0,2538.5105,18521.2688,0,344.1256,1675.8869,3066.2662,51,3008.6295,875.2236,492.5551,726.8703,524.8589,744.1317,1126.2161,484.6168,660.4695,588.4983,1.9,589.0645,817.9012,689.4129,1641.1874,754.7675,0,8,1060.8378,622.665,406.412,1256.0014,496.8338,745.4565,6.76,1,0,0,0,0,0,0,0,0
0,8,0,0,-2.1,56,4276.3212,0,2514.5834,18543.7858,0,355.3955,1698.6529,3082.9688,38,3002.3673,904.0857,445.0988,716.3295,526.9761,750.5879,1136.0043,487.8129,659.0926,605.8067,2.5,595.6035,803.6301,697.1884,1675.377,739.2058,0,9,1080.4464,619.0804,417.9578,1213.0688,500.0517,737.3836,4.41,1,0,0,0,0,0,0,0,0
1,12,0,5,-1.9,55,4266.5884,0,2554.3603,18543.7955,0,338.3259,1704.6129,3061.9827,41,2968.2033,899.1318,434.6023,714.0956,544.9547,728.445,1123.3199,482.6152,660.6537,637.0526,2,581.9424,796.9997,679.593,1678.664,754.1053,0,8,1103.7989,635.7418,414.0992,1205.585,501.2277,748.4007,3.61,1,0,0,0,0,0,0,0,0
0,37,0,161,-1.9,56,4218.3895,0,2545.7365,18453.4719,0,324.6109,1695.6564,3049.3064,43,2984.2089,906.7302,412.9007,713.7302,548.4396,731.1179,1157.4969,511.8701,647.9535,665.0012,2.3,595.7291,821.4094,675.7104,1659.9689,731.9394,0,9,1075.489,635.9868,426.0584,1224.7163,510.728,747.7826,3.61,1,0,0,0,0,0,0,0,0
1,56,0,246,-1.9,66,4248.1746,0,2542.303,18440.4493,0,324.349,1690.2626,3031.7595,43,2973.5895,925.2835,420.7984,713.4863,574.8667,746.232,1164.5989,538.8868,661.6567,639.7209,2.5,601.7095,799.429,680.5979,1668.6876,746.2945,0,9,1073.0664,658.7549,431.7673,1212.6061,517.5398,759.6752,3.61,1,0,1,0,0,0,0.1,0,0
0,85,0,416,-2.2,81,4174.7932,0,2469.1511,18198.0685,0,314.2971,1655.5987,3039.5463,52,2932.8963,907.0188,414.7436,734.231,549.6872,698.9761,1183.6856,534.7857,666.1195,619.3514,2,620.8738,824.9195,680.5075,1639.6134,735.9822,0,9,1086.8994,629.731,438.3799,1199.5701,517.8935,754.8039,4.84,1,0,0,0,0,0,0.5,1,0
1,171,0,789,-2.2,83,4060.9573,1,2445.8786,17995.9003,0,317.0563,1677.396,2979.8742,54,2869.5038,891.3126,449.7321,772.8655,566.1793,687.7629,1176.5494,537.8985,683.126,582.732,2,641.7601,872.3767,691.9868,1686.3704,738.8499,0,8,1089.1511,650.1473,445.4824,1186.7689,530.9345,734.9286,4.84,1,0,0,0,0,0,0.5,0,0
0,188,1,1035,-1.9,82,3916.1752,0,2399.9479,17594.8778,0,373.4072,1660.2613,2847.3887,38,2790.5682,880.3636,457.7015,776.3128,518.2788,685.5117,1159.131,534.122,719.6571,589.3282,1.4,678.2829,834.134,730.6254,1644.2672,762.4441,0.3,8,1116.403,630.4952,456.9606,1219.8663,516.6764,686.8144,3.61,1,0,0,0,0,0,0.4,0,0
2,186,0,980,-0.8,81,3896.1996,0,2348.6809,17551.9194,0,387.6929,1654.5955,2849.6423,46,2789.9729,971.919,493.107,794.1095,575.6963,739.2145,1192.8083,529.7216,752.7486,632.6776,0.7,708.6192,853.3559,793.803,1647.9914,785.2918,0,7,1119.7084,686.5591,469.9947,1245.1284,530.3676,732.5448,0.64,1,0,0,0,0,0,0.3,0,0
0,220,2,1083,0,80,3902.4411,0,2428.9893,17893.9325,0,359.1147,1704.4265,2874.238,52,2823.5763,1014.5956,565.0802,785.4998,637.0834,776.9283,1304.3411,532.8006,803.0257,704.0107,3.3,764.3561,943.8775,808.333,1610.8288,816.1618,0,8,1237.3767,649.8822,427.9908,1312.0558,536.7211,742.5658,0,1,0,0,0,0,0,0.2,0,0
1,251,0,1307,1.4,74,4098.2867,0,2553.8709,18837.6272,1,536.9017,1808.7333,3096.9322,65,3010.0309,1052.0858,569.5927,805.2971,774.3842,842.0146,1288.6323,541.7407,881.6837,848.3786,2.4,743.7875,973.1295,803.6848,1666.6389,866.4332,0,6,1245.0799,646.2579,428.0588,1358.0544,529.9763,693.9417,1.96,1,0,0,0,0,0,0,0,0
0,343,1,1489,1.4,67,4258.0445,0,2719.6056,19716.8901,1,818.0814,1888.7752,3235.9751,59,3205.7348,1044.7225,815.6734,808.177,808.9133,869.0742,1370.8558,533.556,952.7356,983.88,3.6,777.4661,1029.1762,821.4102,1715.4634,935.6483,0,3,1306.1918,658.2622,408.0048,1387.0997,532.6915,755.5868,1.96,1,0,0,0,0,0,0,0,0
2,367,1,1618,2.4,55,4481.4933,0,2882.892,20642.6203,1,878.6592,1954.7321,3349.7157,62,3361.0543,1137.1555,817.1264,804.7556,1002.3004,883.5678,1245.7425,603.1208,992.1802,1331.7228,3.5,833.2126,1062.4139,846.7926,1794.8592,968.025,0,1,1320.17,654.9396,408.1565,1497.7037,521.6277,756.9006,5.76,1,0,0,0,0,0,0,0,0
2,388,0,2054,2.5,46,4712.0271,0,3120.7859,21492.5267,1,939.6766,2063.8073,3486.664,46,3529.1173,1091.4846,864.6418,807.2075,1297.0896,853.4059,1216.4534,596.9327,994.0372,1688.3151,3.3,823.7659,1109.1937,846.7644,1830.8999,954.9945,0,0,1303.2258,629.5059,428.9827,1445.9994,519.9179,773.9112,6.25,1,0,0,0,0,0,0,0,0
1,465,2,2230,2.5,45,5063.1589,0,3374.3148,22519.1623,1,1007.2311,2082.8798,3669.4364,37,3639.9819,1119.0707,777.8725,853.5617,1600.7282,863.2513,1290.0584,562.35,973.9869,2171.2288,3,864.8622,1039.4907,899.8927,1920.2308,956.3247,0,0,1317.1841,651.7925,385.5774,1451.9756,554.4749,799.1847,6.25,1,0,0,0,0,0,0,0,1
1,464,1,2283,1.2,45,5532.0384,0,3887.7327,24165.612,1,830.7737,2206.5296,3893.5444,35,3886.1084,1098.6465,741.337,859.1337,1846.4531,863.1784,1274.2889,538.1844,903.5491,2424.7573,2.7,836.6289,1053.9673,860.2495,1925.9611,984.5096,0,0,1307.3212,648.4771,408.6593,1526.3762,585.6299,815.0186,1.44,1,0,0,0,0,0,0,0,0
5,406,4,2227,-0.5,40,5673.6481,0,4151.5567,24790.6092,0,637.631,2201.5787,4015.2045,34,4022.5551,1046.2956,650.3535,811.1428,2041.3181,889.1927,1177.0982,577.2871,920.1534,2460.2036,2.9,788.0574,1041.9536,852.6026,1985.6483,958.3552,0,0,1222.7737,676.5605,423.7561,1517.6441,574.8783,833.3295,0.25,1,1,0,0,0,0,0,0,0
2,371,3,2152,-1.6,41,5723.259,0,4383.8353,25197.4386,0,546.9288,2198.7499,4121.813,28,3991.8154,1060.9019,648.1827,823.536,1931.3085,871.3076,1223.7716,559.4414,870.9679,2455.9861,2,775.9222,1012.3337,810.5095,1914.8314,902.1259,0,0,1315.8114,648.6117,427.686,1547.3232,552.3845,829.5648,2.56,1,0,0,0,0,0,0,0,0
0,469,0,3853,-2.6,46,5350.0875,0,3990.1439,23881.3281,0,416.575,2047.8595,3996.4277,27,3893.08,1073.7328,580.0914,808.785,1639.9636,803.9074,1219.6571,551.7985,809.7796,1915.152,1.6,800.1316,964.321,785.26,1875.5813,898.2168,0,0,1295.8298,691.6397,408.2072,1432.3184,540.6714,788.7672,6.76,1,0,0,0,0,0,0,0,0
2,642,0,4295,-2.9,48,4760.5238,0,3147.1985,21503.0803,0,419.1941,1917.7334,3656.7708,20,3619.6258,1028.2462,558.5282,811.96,906.2387,841.3478,1175.6434,551.3256,783.3676,1058.0538,2.7,765.0819,942.9685,799.0475,1843.4158,847.5671,0,0,1194.3992,666.741,427.58,1363.413,547.0492,778.7249,8.41,1,0,0,0,1,0,0,0,0
1,290,2,1183,-3.8,49,4706.2114,0,2838.5561,20915.2501,0,392.1807,1884.5123,3555.0641,33,3542.5483,1039.9894,576.0977,763.2258,642.8577,800.7484,1165.0347,564.4722,795.783,767.9079,2.1,737.9257,895.4819,799.6374,1842.3086,827.7268,0,0,1203.7896,683.2331,434.2469,1342.2597,558.7961,793.1548,14.44,1,0,0,0,0,0,0,0,0
1,116,0,296,-4.4,48,4753.8475,0,2702.1775,20523.4923,0,302.5978,1756.178,3454.4892,26,3512.6591,983.0021,454.4504,704.2859,412.8902,746.819,1144.6911,500.2525,711.2368,635.5786,2.9,641.8205,892.449,693.2796,1853.8448,705.2005,0,0,1167.7962,613.1592,409.5073,1322.5,527.5285,750.5164,19.36,1,0,0,0,0,0,0,0,0
0,54,0,0,-5.2,51,4745.3337,0,2739.8139,20620.9137,0,298.2608,1746.7593,3483.7838,27,3556.0776,991.3523,470.1789,702.5412,429.0108,731.7209,1090.2994,494.7284,689.1734,630.3021,1.6,640.3266,898.57,685.142,1867.0894,710.2858,0,1,1180.2811,623.4963,412.3134,1301.7749,527.1577,760.0452,27.04,0,0,0,0,0,0,0,0,0
0,28,0,0,-5.8,52,4775.0704,0,2757.503,20732.748,0,288.5762,1760.4701,3502.4904,29,3567.5378,953.1996,451.7634,699.2396,434.1726,748.8319,1091.5168,496.2779,663.4489,650.0474,2.1,647.3592,884.6295,681.5611,1899.451,723.9464,0,0,1171.9583,636.0671,402.6155,1298.267,519.202,768.6048,33.64,0,0,0,0,0,1,0,0,0
0,21,0,0,-6.4,56,4815.8483,0,2772.7609,20799.6178,0,285.7222,1754.8118,3491.2571,25,3579.102,957.8903,464.014,683.5991,417.6675,757.3202,1121.5832,502.6214,662.989,671.1149,1.7,640.2234,901.255,681.0465,1887.8221,722.0812,0,5,1184.0139,631.7989,407.4006,1314.0017,507.8375,754.1195,40.96,0,0,0,0,0,0,0,0,0
0,9,0,0,-7,59,4798.7789,0,2780.6139,20762.1849,0,302.9079,1754.4657,3487.9432,21,3579.6345,965.8599,494.9173,719.0592,438.2313,749.408,1092.3598,504.5646,675.5828,687.2134,1.6,632.5592,904.8807,687.0972,1884.7284,724.244,0,2,1176.7656,633.0392,390.0664,1299.2547,493.8672,759.2225,49,0,0,0,0,0,0,0,0,0
0,35,0,10,-7.2,61,4752.0265,0,2803.1913,20826.7544,0,307.4638,1779.2022,3518.3709,30,3579.2221,970.6791,507.3804,708.5429,446.1406,742.6971,1133.1607,478.4149,685.3887,678.9458,1.3,656.7043,894.8631,698.4787,1880.5437,723.0045,0,3,1212.531,631.4011,397.9289,1301.6667,502.8778,770.3506,51.84,0,0,0,0,0,0,0,0,0
0,64,0,565,-7.4,59,4772.6754,0,2795.1302,20835.7614,0,291.5509,1789.8582,3487.6214,24,3560.5171,1008.9347,445.032,727.9901,440.6551,762.1957,1113.8521,483.2726,683.1681,675.2878,0.3,666.4392,915.6993,712.693,1910.9327,709.2058,0,2,1226.4843,659.0093,409.5458,1292.5421,530.6742,793.6769,54.76,0,0,0,0,0,0,0,0,0
0,173,0,892,-7.8,55,4694.4118,0,2756.9281,20757.2521,0,301.4263,1791.7569,3454.61,22,3569.0227,996.9741,460.1583,774.9457,459.447,789.6308,1165.0858,523.1746,683.3059,674.2249,2.1,722.7125,926.5137,696.985,1890.5477,731.2445,0,1,1238.8622,642.1534,434.1096,1361.1127,536.3459,819.6501,60.84,0,0,1,0,0,0,0,0,0
4,344,1,2435,-7.7,54,4636.7636,0,2652.1441,20535.6556,0,352.3485,1801.4965,3324.0483,21,3455.4277,1149.7792,487.1381,844.6391,430.9352,895.0344,1267.5847,534.9,743.9412,658.9151,2,779.1232,1025.6266,772.7932,1902.6712,802.7161,0,0,1310.0714,697.5645,484.3968,1453.0328,598.5327,858.7583,59.29,0,0,0,0,0,0,0,1,0
15,712,5,4472,-7.6,55,4270.768,1,2519.3405,18767.3927,0,375.8258,1648.7732,2847.9055,25,3084.5751,1208.1979,436.3641,913.6478,644.902,1018.9741,1304.7471,533.7396,925.8083,743.7441,1.6,843.9229,1119.5196,936.5414,1705.8362,924.3551,0,1,1263.8432,728.622,517.2983,1426.351,643.2286,869.331,57.76,0,0,0,0,0,0,0,0,0
4,484,7,2597,-6.9,55,3956.3774,0,2482.0831,17936.2537,0,376.2878,1612.2712,2662.0406,23,2871.5283,1250.4559,468.4626,1001.3734,672.8843,1103.368,1391.9837,562.8275,940.7677,686.4385,1.7,895.3672,1181.4821,915.2747,1671.153,1035.5256,0,1,1285.0733,767.7525,549.8313,1395.7268,736.8433,922.4688,47.61,0,0,0,0,0,0,0,0,0
1,332,4,1361,-4,55,3960.7385,0,2511.324,18079.1343,0,362.6595,1640.1081,2688.0373,20,2821.1083,1312.3121,509.9497,1056.6613,744.7539,1166.6949,1392.7046,586.9194,1009.0316,754.2041,1.2,910.2718,1159.787,943.9601,1675.3203,1173.343,0,2,1342.5714,765.2355,514.519,1439.9264,746.2477,859.6573,16,0,0,0,0,0,0,0,0,0
1,306,0,1430,-1.4,44,4061.4116,0,2534.5863,18323.4817,0,430.8532,1662.9091,2626.2692,32,2868.6999,1295.4737,517.4044,1081.0416,878.6157,1122.7146,1475.7007,593.273,1043.2783,863.6813,1.5,919.8563,1156.4928,946.7855,1684.9537,1104.404,0,0,1418.3272,776.9227,551.6107,1466.3247,717.0376,906.669,1.96,0,0,0,0,0,0,0,0,0
