"y","past_rent","bus_passenger","sub_passenger","temp","f45","sunny","f15","f50","wet","f40","X17_18","m40","m25","most_use","m50","f0","f35","m20","f20","m55","f60","m35","m45","m0","m70","m5","cloud","m65","f25","wind","f55","dust","f65","m60","m30","f30","f70","semester","rain","X16_17","X19_20","X18_19","X8_9","X9_10","X7_8","X20_21"
3,0,393,2177,1.8,954.1123,1,2255.1883,816.4424,37,879.5719,0,1034.5832,3627.6926,21737.0262,898.046,828.4641,1368.0086,3481.3525,4648.2518,856.0725,649.4567,1616.5206,1026.4613,677.759,785.5772,1951.9843,0,440.202,3286.5011,1.4,805.2629,36,581.6992,575.7618,1972.7596,1735.9394,1292.1359,0,0,1,0,0,0,0,0,0
4,1,436,2172,0.5,943.3894,0,2646.9193,786.7407,38,879.2243,1,1078.4719,3857.673,23109.4736,881.8446,777.9175,1263.0188,4061.439,5060.285,888.3974,669.0835,1588.2836,995.6357,625.3572,747.7952,2263.3812,0,443.0869,3510.5175,1.5,813.6039,42,566.1505,579.374,2021.4605,1746.7962,1277.7392,0,0,0,0,0,0,0,0,0
5,1,374,1919,-0.9,987.391,0,2808.1361,784.0434,42,894.2637,0,1063.4898,4122.9342,24170.2517,832.9198,673.987,1294.8336,4256.555,5475.9384,851.4151,655.461,1541.2446,1068.9945,714.8656,760.3326,2380.0975,1,453.6725,3621.7632,0.7,769.2663,46,534.6887,619.3034,2106.8455,1750.1372,1281.4106,0,0,0,0,1,0,0,0,0
0,5,305,1822,-1.2,986.3548,0,2620.2517,784.2678,45,853.9846,0,1055.6617,4168.2017,24282.2147,881.6793,584.2799,1328.7882,4307.0667,5433.5806,842.4864,706.2706,1517.6744,1070.2002,600.0606,769.1565,2302.7393,7,444.6465,3618.2199,0.9,799.8908,43,559.3522,617.974,2142.992,1765.6912,1222.8802,0,0,0,1,0,0,0,0,0
0,2,482,3216,-1.6,908.8601,0,2174.8429,756.7894,47,840.3534,0,971.6193,3987.5885,22705.0773,838.2168,505.39,1213.1176,3809.3629,5054.2346,864.8032,680.7566,1425.254,1046.1585,480.8395,746.3631,1990.2825,4,438.4032,3458.2767,0.9,742.736,44,562.3245,558.3138,2022.8202,1734.4228,1215.1594,0,0,0,0,0,0,0,0,1
0,5,634,4686,-2.4,866.2712,0,1027.2487,779.8195,49,796.9554,0,890.7127,3306.7813,19868.6887,816.4539,380.3577,1187.2465,2966.0381,4384.5668,802.2568,675.7285,1368.3173,1025.4351,554.185,756.3511,1010.5843,3,424.2162,3166.2979,2.1,757.9299,49,561.7106,546.7402,1845.7715,1643.6693,1241.576,0,0,0,0,0,0,0,0,0
1,3,340,1294,-2.5,842.5428,0,752.5396,794.7583,49,782.2246,0,862.1241,3215.2554,19227.1009,801.8453,388.5686,1215.4682,2697.6954,4242.8454,810.0397,695.5734,1298.3517,974.7318,514.7113,751.4911,665.6039,6,442.2193,3115.3854,1,727.5439,48,524.8618,568.5069,1777.7479,1664.3515,1222.1237,0,0,0,0,0,0,0,0,0
0,3,124,312,-2.6,746.8139,0,637.14,672.8306,52,646.9265,0,818.7908,3131.7732,18418.4618,730.9854,300.0897,1097.3711,2496.8181,4208.4572,759.3371,611.6483,1229.9252,895.2271,461.283,784.51,515.973,8,404.4098,3002.7874,0.9,622.0597,52,501.4084,509.645,1621.3565,1629.9731,1108.3629,0,0,0,0,0,0,0,0,0
1,0,36,2,-2.8,749.1479,0,598.9934,677.3715,55,643.7032,0,791.2885,3054.5089,18420.8415,725.6719,330.7562,1067.6567,2528.0976,4230.2852,728.0094,629.755,1254.9868,906.0489,459.8054,770.8469,527.3301,7,416.2185,2960.1867,2.3,629.466,51,493.9842,491.5773,1649.3404,1675.7792,1148.3885,0,0,0,0,0,0,0,0,0
1,1,13,0,-2.9,770.2866,0,607.0678,682.0035,57,685.7243,0,827.1632,3069.2582,18537.3961,745.1448,341.9429,1080.3975,2550.0382,4255.3486,726.0669,615.1559,1252.7303,886.2969,471.4803,763.9788,506.7215,8,398.5573,2997.0907,2.1,619.1185,55,510.7964,494.3149,1676.1082,1656.4244,1135.7623,0,0,0,0,0,0,0,0,0
0,2,19,0,-2.6,754.7675,0,588.4983,689.4129,57,660.4695,0,817.9012,3066.2662,18521.2688,744.1317,344.1256,1060.8378,2538.5105,4273.9491,726.8703,622.665,1256.0014,875.2236,492.5551,745.4565,524.8589,8,406.412,3008.6295,1.9,589.0645,51,484.6168,496.8338,1675.8869,1641.1874,1126.2161,0,0,0,0,0,0,0,0,0
0,0,8,0,-2.1,739.2058,0,605.8067,697.1884,56,659.0926,0,803.6301,3082.9688,18543.7858,750.5879,355.3955,1080.4464,2514.5834,4276.3212,716.3295,619.0804,1213.0688,904.0857,445.0988,737.3836,526.9761,9,417.9578,3002.3673,2.5,595.6035,38,487.8129,500.0517,1698.6529,1675.377,1136.0043,0,0,0,0,0,0,0,0,0
1,1,12,5,-1.9,754.1053,0,637.0526,679.593,55,660.6537,0,796.9997,3061.9827,18543.7955,728.445,338.3259,1103.7989,2554.3603,4266.5884,714.0956,635.7418,1205.585,899.1318,434.6023,748.4007,544.9547,8,414.0992,2968.2033,2,581.9424,41,482.6152,501.2277,1704.6129,1678.664,1123.3199,0,0,0,0,0,0,0,0,0
1,0,37,161,-1.9,731.9394,0,665.0012,675.7104,56,647.9535,0,821.4094,3049.3064,18453.4719,731.1179,324.6109,1075.489,2545.7365,4218.3895,713.7302,635.9868,1224.7163,906.7302,412.9007,747.7826,548.4396,9,426.0584,2984.2089,2.3,595.7291,43,511.8701,510.728,1695.6564,1659.9689,1157.4969,0,0,0,0,0,0,0,0,0
0,0,56,246,-1.9,746.2945,0,639.7209,680.5979,66,661.6567,0,799.429,3031.7595,18440.4493,746.232,324.349,1073.0664,2542.303,4248.1746,713.4863,658.7549,1212.6061,925.2835,420.7984,759.6752,574.8667,9,431.7673,2973.5895,2.5,601.7095,43,538.8868,517.5398,1690.2626,1668.6876,1164.5989,0,0,0,0,0,0,0,0,0
1,0,85,416,-2.2,735.9822,0,619.3514,680.5075,81,666.1195,0,824.9195,3039.5463,18198.0685,698.9761,314.2971,1086.8994,2469.1511,4174.7932,734.231,629.731,1199.5701,907.0188,414.7436,754.8039,549.6872,9,438.3799,2932.8963,2,620.8738,52,534.7857,517.8935,1655.5987,1639.6134,1183.6856,0,0,0,0,0,0,0,1,0
1,0,171,789,-2.2,738.8499,0,582.732,691.9868,83,683.126,0,872.3767,2979.8742,17995.9003,687.7629,317.0563,1089.1511,2445.8786,4060.9573,772.8655,650.1473,1186.7689,891.3126,449.7321,734.9286,566.1793,8,445.4824,2869.5038,2,641.7601,54,537.8985,530.9345,1677.396,1686.3704,1176.5494,0,0,0,0,0,1,0,0,0
0,0,188,1035,-1.9,762.4441,0,589.3282,730.6254,82,719.6571,0,834.134,2847.3887,17594.8778,685.5117,373.4072,1116.403,2399.9479,3916.1752,776.3128,630.4952,1219.8663,880.3636,457.7015,686.8144,518.2788,8,456.9606,2790.5682,1.4,678.2829,38,534.122,516.6764,1660.2613,1644.2672,1159.131,0,0.3,0,0,0,0,1,0,0
1,1,186,980,-0.8,785.2918,0,632.6776,793.803,81,752.7486,0,853.3559,2849.6423,17551.9194,739.2145,387.6929,1119.7084,2348.6809,3896.1996,794.1095,686.5591,1245.1284,971.919,493.107,732.5448,575.6963,7,469.9947,2789.9729,0.7,708.6192,46,529.7216,530.3676,1654.5955,1647.9914,1192.8083,0,0,0,0,0,0,0,0,0
0,1,220,1083,0,816.1618,0,704.0107,808.333,80,803.0257,0,943.8775,2874.238,17893.9325,776.9283,359.1147,1237.3767,2428.9893,3902.4411,785.4998,649.8822,1312.0558,1014.5956,565.0802,742.5658,637.0834,8,427.9908,2823.5763,3.3,764.3561,52,532.8006,536.7211,1704.4265,1610.8288,1304.3411,0,0,0,0,0,0,0,0,0
1,0,251,1307,1.4,866.4332,1,848.3786,803.6848,74,881.6837,0,973.1295,3096.9322,18837.6272,842.0146,536.9017,1245.0799,2553.8709,4098.2867,805.2971,646.2579,1358.0544,1052.0858,569.5927,693.9417,774.3842,6,428.0588,3010.0309,2.4,743.7875,65,541.7407,529.9763,1808.7333,1666.6389,1288.6323,0,0,0,0,0,0,0,0,0
3,0,343,1489,1.4,935.6483,1,983.88,821.4102,67,952.7356,0,1029.1762,3235.9751,19716.8901,869.0742,818.0814,1306.1918,2719.6056,4258.0445,808.177,658.2622,1387.0997,1044.7225,815.6734,755.5868,808.9133,3,408.0048,3205.7348,3.6,777.4661,59,533.556,532.6915,1888.7752,1715.4634,1370.8558,0,0,0,0,0,0,0,0,0
0,0,367,1618,2.4,968.025,1,1331.7228,846.7926,55,992.1802,0,1062.4139,3349.7157,20642.6203,883.5678,878.6592,1320.17,2882.892,4481.4933,804.7556,654.9396,1497.7037,1137.1555,817.1264,756.9006,1002.3004,1,408.1565,3361.0543,3.5,833.2126,62,603.1208,521.6277,1954.7321,1794.8592,1245.7425,0,0,0,0,0,0,0,0,0
3,0,388,2054,2.5,954.9945,1,1688.3151,846.7644,46,994.0372,0,1109.1937,3486.664,21492.5267,853.4059,939.6766,1303.2258,3120.7859,4712.0271,807.2075,629.5059,1445.9994,1091.4846,864.6418,773.9112,1297.0896,0,428.9827,3529.1173,3.3,823.7659,46,596.9327,519.9179,2063.8073,1830.8999,1216.4534,0,0,0,0,0,0,0,0,0
5,6,465,2230,2.5,956.3247,1,2171.2288,899.8927,45,973.9869,0,1039.4907,3669.4364,22519.1623,863.2513,1007.2311,1317.1841,3374.3148,5063.1589,853.5617,651.7925,1451.9756,1119.0707,777.8725,799.1847,1600.7282,0,385.5774,3639.9819,3,864.8622,37,562.35,554.4749,2082.8798,1920.2308,1290.0584,0,0,1,0,0,0,0,0,0
1,1,464,2283,1.2,984.5096,1,2424.7573,860.2495,45,903.5491,1,1053.9673,3893.5444,24165.612,863.1784,830.7737,1307.3212,3887.7327,5532.0384,859.1337,648.4771,1526.3762,1098.6465,741.337,815.0186,1846.4531,0,408.6593,3886.1084,2.7,836.6289,35,538.1844,585.6299,2206.5296,1925.9611,1274.2889,0,0,0,0,0,0,0,0,0
3,1,406,2227,-0.5,958.3552,0,2460.2036,852.6026,40,920.1534,0,1041.9536,4015.2045,24790.6092,889.1927,637.631,1222.7737,4151.5567,5673.6481,811.1428,676.5605,1517.6441,1046.2956,650.3535,833.3295,2041.3181,0,423.7561,4022.5551,2.9,788.0574,34,577.2871,574.8783,2201.5787,1985.6483,1177.0982,0,0,0,0,1,0,0,0,0
2,2,371,2152,-1.6,902.1259,0,2455.9861,810.5095,41,870.9679,0,1012.3337,4121.813,25197.4386,871.3076,546.9288,1315.8114,4383.8353,5723.259,823.536,648.6117,1547.3232,1060.9019,648.1827,829.5648,1931.3085,0,427.686,3991.8154,2,775.9222,28,559.4414,552.3845,2198.7499,1914.8314,1223.7716,0,0,0,1,0,0,0,0,0
0,3,469,3853,-2.6,898.2168,0,1915.152,785.26,46,809.7796,0,964.321,3996.4277,23881.3281,803.9074,416.575,1295.8298,3990.1439,5350.0875,808.785,691.6397,1432.3184,1073.7328,580.0914,788.7672,1639.9636,0,408.2072,3893.08,1.6,800.1316,27,551.7985,540.6714,2047.8595,1875.5813,1219.6571,0,0,0,0,0,0,0,0,1
