"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","semester","past_rent","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m5","m25","m35","m50","m65","f20","f25","f30","f45","f55","f65","f70","bus_passenger","sub_passenger"
1,0.5,0,1.5,38,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,625.3572,2263.3812,3857.673,1588.2836,881.8446,443.0869,5060.285,3510.5175,1746.7962,943.3894,813.6039,566.1505,1277.7392,436,2172
0,-0.9,0,0.7,42,0,1,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,714.8656,2380.0975,4122.9342,1541.2446,832.9198,453.6725,5475.9384,3621.7632,1750.1372,987.391,769.2663,534.6887,1281.4106,374,1919
0,-1.2,0,0.9,45,0,7,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,600.0606,2302.7393,4168.2017,1517.6744,881.6793,444.6465,5433.5806,3618.2199,1765.6912,986.3548,799.8908,559.3522,1222.8802,305,1822
0,-1.6,0,0.9,47,0,4,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,480.8395,1990.2825,3987.5885,1425.254,838.2168,438.4032,5054.2346,3458.2767,1734.4228,908.8601,742.736,562.3245,1215.1594,482,3216
0,-2.4,0,2.1,49,0,3,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,554.185,1010.5843,3306.7813,1368.3173,816.4539,424.2162,4384.5668,3166.2979,1643.6693,866.2712,757.9299,561.7106,1241.576,634,4686
1,-2.5,0,1,49,0,6,6.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,514.7113,665.6039,3215.2554,1298.3517,801.8453,442.2193,4242.8454,3115.3854,1664.3515,842.5428,727.5439,524.8618,1222.1237,340,1294
0,-2.6,0,0.9,52,0,8,6.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,461.283,515.973,3131.7732,1229.9252,730.9854,404.4098,4208.4572,3002.7874,1629.9731,746.8139,622.0597,501.4084,1108.3629,124,312
1,-2.8,0,2.3,55,0,7,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,459.8054,527.3301,3054.5089,1254.9868,725.6719,416.2185,4230.2852,2960.1867,1675.7792,749.1479,629.466,493.9842,1148.3885,36,2
0,-2.9,0,2.1,57,0,8,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471.4803,506.7215,3069.2582,1252.7303,745.1448,398.5573,4255.3486,2997.0907,1656.4244,770.2866,619.1185,510.7964,1135.7623,13,0
1,-2.6,0,1.9,57,0,8,6.76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,492.5551,524.8589,3066.2662,1256.0014,744.1317,406.412,4273.9491,3008.6295,1641.1874,754.7675,589.0645,484.6168,1126.2161,19,0
0,-2.1,0,2.5,56,0,9,4.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,445.0988,526.9761,3082.9688,1213.0688,750.5879,417.9578,4276.3212,3002.3673,1675.377,739.2058,595.6035,487.8129,1136.0043,8,0
1,-1.9,0,2,55,0,8,3.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,434.6023,544.9547,3061.9827,1205.585,728.445,414.0992,4266.5884,2968.2033,1678.664,754.1053,581.9424,482.6152,1123.3199,12,5
0,-1.9,0,2.3,56,0,9,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,412.9007,548.4396,3049.3064,1224.7163,731.1179,426.0584,4218.3895,2984.2089,1659.9689,731.9394,595.7291,511.8701,1157.4969,37,161
