"y","m30","f20","f15","m25","temp","X10_11","sub_passenger","X9_10","m20","m50","bus_passenger","semester","f50","wet","rain","f45","m5","f70","f30","past_rent","f40","m45","f0","m35","m0","m55","m70","f35","m40","most_use","f55","f65","m65","m60","cloud","f60","f25","wind","X8_9","dust","sunny","X7_8","X11_12","X15_16","temp.sqr","X13_14","X16_17","X14_15"
1,1904.7691,4504.0262,1725.9705,3308.7379,1.9,0,1831,0,3021.9892,856.697,334,0,775.275,35,0,945.9123,1533.5207,1237.8167,1726.6451,0,897.7426,1075.261,892.3827,1631.5211,768.3739,810.2722,811.7398,1318.7469,1074.65,20581.514,831.9715,560.3337,425.5368,516.2654,0,641.0388,3165.0785,1.7,0,46,1,0,0,1,3.61,0,0,0
0,1972.7596,4648.2518,2255.1883,3627.6926,1.8,0,2177,0,3481.3525,898.046,393,0,816.4424,37,0,954.1123,1951.9843,1292.1359,1735.9394,1,879.5719,1026.4613,828.4641,1616.5206,677.759,856.0725,785.5772,1368.0086,1034.5832,21737.0262,805.2629,581.6992,440.202,575.7618,0,649.4567,3286.5011,1.4,0,36,1,0,0,0,3.24,0,1,0
0,2021.4605,5060.285,2646.9193,3857.673,0.5,0,2172,0,4061.439,881.8446,436,0,786.7407,38,0,943.3894,2263.3812,1277.7392,1746.7962,0,879.2243,995.6357,777.9175,1588.2836,625.3572,888.3974,747.7952,1263.0188,1078.4719,23109.4736,813.6039,566.1505,443.0869,579.374,0,669.0835,3510.5175,1.5,0,42,0,0,0,0,0.25,0,0,0
1,2106.8455,5475.9384,2808.1361,4122.9342,-0.9,0,1919,0,4256.555,832.9198,374,0,784.0434,42,0,987.391,2380.0975,1281.4106,1750.1372,1,894.2637,1068.9945,673.987,1541.2446,714.8656,851.4151,760.3326,1294.8336,1063.4898,24170.2517,769.2663,534.6887,453.6725,619.3034,1,655.461,3621.7632,0.7,0,46,0,0,0,0,0.81,0,0,0
0,2142.992,5433.5806,2620.2517,4168.2017,-1.2,0,1822,0,4307.0667,881.6793,305,0,784.2678,45,0,986.3548,2302.7393,1222.8802,1765.6912,1,853.9846,1070.2002,584.2799,1517.6744,600.0606,842.4864,769.1565,1328.7882,1055.6617,24282.2147,799.8908,559.3522,444.6465,617.974,7,706.2706,3618.2199,0.9,0,43,0,0,0,0,1.44,0,0,0
0,2022.8202,5054.2346,2174.8429,3987.5885,-1.6,0,3216,0,3809.3629,838.2168,482,0,756.7894,47,0,908.8601,1990.2825,1215.1594,1734.4228,0,840.3534,1046.1585,505.39,1425.254,480.8395,864.8032,746.3631,1213.1176,971.6193,22705.0773,742.736,562.3245,438.4032,558.3138,4,680.7566,3458.2767,0.9,0,44,0,0,0,0,2.56,0,0,0
0,1845.7715,4384.5668,1027.2487,3306.7813,-2.4,0,4686,0,2966.0381,816.4539,634,0,779.8195,49,0,866.2712,1010.5843,1241.576,1643.6693,0,796.9554,1025.4351,380.3577,1368.3173,554.185,802.2568,756.3511,1187.2465,890.7127,19868.6887,757.9299,561.7106,424.2162,546.7402,3,675.7285,3166.2979,2.1,0,49,0,0,0,0,5.76,0,0,0
0,1777.7479,4242.8454,752.5396,3215.2554,-2.5,0,1294,0,2697.6954,801.8453,340,0,794.7583,49,0,842.5428,665.6039,1222.1237,1664.3515,0,782.2246,974.7318,388.5686,1298.3517,514.7113,810.0397,751.4911,1215.4682,862.1241,19227.1009,727.5439,524.8618,442.2193,568.5069,6,695.5734,3115.3854,1,0,48,0,0,0,0,6.25,0,0,0
0,1621.3565,4208.4572,637.14,3131.7732,-2.6,0,312,0,2496.8181,730.9854,124,0,672.8306,52,0,746.8139,515.973,1108.3629,1629.9731,0,646.9265,895.2271,300.0897,1229.9252,461.283,759.3371,784.51,1097.3711,818.7908,18418.4618,622.0597,501.4084,404.4098,509.645,8,611.6483,3002.7874,0.9,0,52,0,0,0,0,6.76,0,0,0
0,1649.3404,4230.2852,598.9934,3054.5089,-2.8,0,2,0,2528.0976,725.6719,36,0,677.3715,55,0,749.1479,527.3301,1148.3885,1675.7792,0,643.7032,906.0489,330.7562,1254.9868,459.8054,728.0094,770.8469,1067.6567,791.2885,18420.8415,629.466,493.9842,416.2185,491.5773,7,629.755,2960.1867,2.3,0,51,0,0,0,0,7.84,0,0,0
0,1676.1082,4255.3486,607.0678,3069.2582,-2.9,0,0,0,2550.0382,745.1448,13,0,682.0035,57,0,770.2866,506.7215,1135.7623,1656.4244,0,685.7243,886.2969,341.9429,1252.7303,471.4803,726.0669,763.9788,1080.3975,827.1632,18537.3961,619.1185,510.7964,398.5573,494.3149,8,615.1559,2997.0907,2.1,0,55,0,0,0,0,8.41,0,0,0
